data_name,model,seq_len,n_layers,d_model,d_ff,patch_size,patch_stride,acc,model_params,model_size (MB)
SelfRegulationSCP1,GPT4TS,896,6,768,768,36,9,0.9010238907849829,44169218,183.17
SelfRegulationSCP1,GPT4TS,896,6,768,768,36,18,0.8703071672354948,44021762,182.61
SelfRegulationSCP1,GPT4TS,896,6,768,768,36,36,0.9044368600682594,43948034,182.33
SelfRegulationSCP1,GPT4TS,896,6,768,768,38,10,0.9146757679180887,44166146,183.16
SelfRegulationSCP1,GPT4TS,896,6,768,768,38,19,0.8976109215017065,44043266,182.69
SelfRegulationSCP1,GPT4TS,896,6,768,768,38,38,0.9078498293515358,43972610,182.42
SelfRegulationSCP1,GPT4TS,896,6,768,768,39,10,0.8976109215017065,44179970,183.21
SelfRegulationSCP1,GPT4TS,896,6,768,768,39,20,0.9010238907849829,44047874,182.71
SelfRegulationSCP1,GPT4TS,896,6,768,768,39,39,0.9146757679180887,43983362,182.46
SelfRegulationSCP1,GPT4TS,896,6,768,768,41,11,0.9180887372013652,44183042,183.22
SelfRegulationSCP1,GPT4TS,896,6,768,768,41,21,0.9215017064846417,44069378,182.79
SelfRegulationSCP1,GPT4TS,896,6,768,768,41,41,0.9215017064846417,44007938,182.56
SelfRegulationSCP1,GPT4TS,896,6,768,768,43,11,0.89419795221843,44210690,183.33
SelfRegulationSCP1,GPT4TS,896,6,768,768,43,22,0.9112627986348123,44090882,182.87
SelfRegulationSCP1,GPT4TS,896,6,768,768,43,43,0.931740614334471,44032514,182.65
SelfRegulationSCP1,GPT4TS,896,6,768,768,45,12,0.9044368600682594,44216834,183.35
SelfRegulationSCP1,GPT4TS,896,6,768,768,45,23,0.9112627986348123,44115458,182.97
SelfRegulationSCP1,GPT4TS,896,6,768,768,45,45,0.9146757679180887,44057090,182.74
SelfRegulationSCP1,GPT4TS,896,6,768,768,48,12,0.8907849829351536,44258306,183.51
SelfRegulationSCP1,GPT4TS,896,6,768,768,48,24,0.9078498293515358,44150786,183.1
SelfRegulationSCP1,GPT4TS,896,6,768,768,48,48,0.9215017064846417,44095490,182.89
SelfRegulationSCP1,GPT4TS,896,6,768,768,50,13,0.9078498293515358,44270594,183.56
SelfRegulationSCP1,GPT4TS,896,6,768,768,50,25,0.9044368600682594,44172290,183.18
SelfRegulationSCP1,GPT4TS,896,6,768,768,50,50,0.9283276450511946,44120066,182.98
SelfRegulationSCP1,GPT4TS,896,6,768,768,53,14,0.9146757679180887,44296706,183.66
SelfRegulationSCP1,GPT4TS,896,6,768,768,53,27,0.9010238907849829,44207618,183.32
SelfRegulationSCP1,GPT4TS,896,6,768,768,53,53,0.8907849829351536,44158466,183.13
SelfRegulationSCP1,GPT4TS,896,6,768,768,56,14,0.9078498293515358,44338178,183.81
SelfRegulationSCP1,GPT4TS,896,6,768,768,56,28,0.9078498293515358,44246018,183.46
SelfRegulationSCP1,GPT4TS,896,6,768,768,56,56,0.9112627986348123,44199938,183.29
SelfRegulationSCP1,GPT4TS,896,6,768,768,60,15,0.9215017064846417,44378114,183.97
SelfRegulationSCP1,GPT4TS,896,6,768,768,60,30,0.9078498293515358,44292098,183.64
SelfRegulationSCP1,GPT4TS,896,6,768,768,60,60,0.9078498293515358,44249090,183.48
SelfRegulationSCP1,GPT4TS,896,6,768,768,64,16,0.9146757679180887,44424194,184.14
SelfRegulationSCP1,GPT4TS,896,6,768,768,64,32,0.9180887372013652,44344322,183.84
SelfRegulationSCP1,GPT4TS,896,6,768,768,64,64,0.9249146757679181,44304386,183.69
SelfRegulationSCP1,GPT4TS,896,6,768,768,69,18,0.9010238907849829,44471810,184.32
SelfRegulationSCP1,GPT4TS,896,6,768,768,69,35,0.9180887372013652,44404226,184.07
SelfRegulationSCP1,GPT4TS,896,6,768,768,69,69,0.9249146757679181,44367362,183.93
SelfRegulationSCP1,GPT4TS,896,6,768,768,75,19,0.9112627986348123,44548610,184.62
SelfRegulationSCP1,GPT4TS,896,6,768,768,75,38,0.9010238907849829,44481026,184.36
SelfRegulationSCP1,GPT4TS,896,6,768,768,75,75,0.9215017064846417,44447234,184.23
SelfRegulationSCP1,GPT4TS,896,6,768,768,82,21,0.8839590443686007,44630018,184.93
SelfRegulationSCP1,GPT4TS,896,6,768,768,82,41,0.8873720136518771,44571650,184.71
SelfRegulationSCP1,GPT4TS,896,6,768,768,82,82,0.9180887372013652,44540930,184.59
SelfRegulationSCP1,GPT4TS,896,6,768,768,90,23,0.9146757679180887,44731394,185.31
SelfRegulationSCP1,GPT4TS,896,6,768,768,90,45,0.9112627986348123,44676098,185.1
SelfRegulationSCP1,GPT4TS,896,6,768,768,90,90,0.9010238907849829,44648450,185.0
SelfRegulationSCP1,GPT4TS,896,6,768,768,100,25,0.8873720136518771,44857346,185.8
SelfRegulationSCP1,GPT4TS,896,6,768,768,100,50,0.9044368600682594,44808194,185.61
SelfRegulationSCP1,GPT4TS,896,6,768,768,100,100,0.9044368600682594,44783618,185.51
SelfRegulationSCP1,GPT4TS,896,6,768,768,112,28,0.9215017064846417,45014018,186.39
SelfRegulationSCP1,GPT4TS,896,6,768,768,112,56,0.9180887372013652,44971010,186.23
SelfRegulationSCP1,GPT4TS,896,6,768,768,112,112,0.9215017064846417,44949506,186.15
SelfRegulationSCP1,GPT4TS,896,6,768,768,128,32,0.9010238907849829,45222914,187.19
SelfRegulationSCP1,GPT4TS,896,6,768,768,128,64,0.9010238907849829,45186050,187.05
SelfRegulationSCP1,GPT4TS,896,6,768,768,128,128,0.9112627986348123,45167618,186.98
SelfRegulationSCP1,GPT4TS,896,6,768,768,150,38,0.9146757679180887,45511682,188.29
SelfRegulationSCP1,GPT4TS,896,6,768,768,150,75,0.9180887372013652,45480962,188.17
SelfRegulationSCP1,GPT4TS,896,6,768,768,150,150,0.9078498293515358,45465602,188.12
SelfRegulationSCP1,GPT4TS,896,6,768,768,180,45,0.9044368600682594,45914114,189.83
SelfRegulationSCP1,GPT4TS,896,6,768,768,180,90,0.9112627986348123,45889538,189.73
SelfRegulationSCP1,GPT4TS,896,6,768,768,180,180,0.8976109215017065,45877250,189.69
SelfRegulationSCP1,GPT4TS,896,5,768,768,36,9,0.8839590443686007,37081346,156.13
SelfRegulationSCP1,GPT4TS,896,5,768,768,36,18,0.9112627986348123,36933890,155.57
SelfRegulationSCP1,GPT4TS,896,5,768,768,36,36,0.8873720136518771,36860162,155.28
SelfRegulationSCP1,GPT4TS,896,5,768,768,38,10,0.9146757679180887,37078274,156.12
SelfRegulationSCP1,GPT4TS,896,5,768,768,38,19,0.9010238907849829,36955394,155.65
SelfRegulationSCP1,GPT4TS,896,5,768,768,38,38,0.9078498293515358,36884738,155.38
SelfRegulationSCP1,GPT4TS,896,5,768,768,39,10,0.8976109215017065,37092098,156.17
SelfRegulationSCP1,GPT4TS,896,5,768,768,39,20,0.9044368600682594,36960002,155.67
SelfRegulationSCP1,GPT4TS,896,5,768,768,39,39,0.9146757679180887,36895490,155.42
SelfRegulationSCP1,GPT4TS,896,5,768,768,41,11,0.9180887372013652,37095170,156.18
SelfRegulationSCP1,GPT4TS,896,5,768,768,41,21,0.9180887372013652,36981506,155.75
SelfRegulationSCP1,GPT4TS,896,5,768,768,41,41,0.9044368600682594,36920066,155.51
SelfRegulationSCP1,GPT4TS,896,5,768,768,43,11,0.9146757679180887,37122818,156.29
SelfRegulationSCP1,GPT4TS,896,5,768,768,43,22,0.9078498293515358,37003010,155.83
SelfRegulationSCP1,GPT4TS,896,5,768,768,43,43,0.9112627986348123,36944642,155.61
