data_name,model,seq_len,n_layers,d_model,d_ff,patch_size,patch_stride,acc,model_params,model_size (MB)
SpokenArabicDigits,GPT4TS,93,6,768,768,4,1,0.9936334697589814,44332042,183.79
SpokenArabicDigits,GPT4TS,93,6,768,768,4,2,0.9936334697589814,43917322,182.21
SpokenArabicDigits,GPT4TS,93,6,768,768,4,4,0.9899954524783993,43714570,181.44
SpokenArabicDigits,GPT4TS,93,6,768,768,5,2,0.9936334697589814,43947274,182.32
SpokenArabicDigits,GPT4TS,93,6,768,768,5,3,0.9840836743974534,43809034,181.8
SpokenArabicDigits,GPT4TS,93,6,768,768,5,5,0.9909049567985448,43698442,181.37
SpokenArabicDigits,GPT4TS,93,6,768,768,6,2,0.9918144611186903,43968010,182.4
SpokenArabicDigits,GPT4TS,93,6,768,768,6,3,0.98681218735789,43838986,181.91
SpokenArabicDigits,GPT4TS,93,6,768,768,6,6,0.9863574351978172,43700746,181.38
SpokenArabicDigits,GPT4TS,93,6,768,768,7,2,0.9918144611186903,43997962,182.52
SpokenArabicDigits,GPT4TS,93,6,768,768,7,4,0.9881764438381082,43795210,181.74
SpokenArabicDigits,GPT4TS,93,6,768,768,7,7,0.988631195998181,43712266,181.43
SpokenArabicDigits,GPT4TS,93,6,768,768,8,2,0.9899954524783993,44018698,182.6
SpokenArabicDigits,GPT4TS,93,6,768,768,8,4,0.9872669395179627,43825162,181.86
SpokenArabicDigits,GPT4TS,93,6,768,768,8,8,0.9854479308776717,43723786,181.47
SpokenArabicDigits,GPT4TS,93,6,768,768,9,3,0.9909049567985448,43919626,182.22
SpokenArabicDigits,GPT4TS,93,6,768,768,9,5,0.9895407003183265,43809034,181.8
SpokenArabicDigits,GPT4TS,93,6,768,768,9,9,0.9854479308776717,43744522,181.55
SpokenArabicDigits,GPT4TS,93,6,768,768,10,3,0.9872669395179627,43940362,182.3
SpokenArabicDigits,GPT4TS,93,6,768,768,10,5,0.988631195998181,43838986,181.91
SpokenArabicDigits,GPT4TS,93,6,768,768,10,10,0.9822646657571623,43765258,181.63
SpokenArabicDigits,GPT4TS,93,6,768,768,11,3,0.9931787175989086,43970314,182.41
SpokenArabicDigits,GPT4TS,93,6,768,768,11,6,0.9827194179172352,43841290,181.92
SpokenArabicDigits,GPT4TS,93,6,768,768,11,11,0.9890859481582538,43785994,181.71
SpokenArabicDigits,GPT4TS,93,6,768,768,12,3,0.9890859481582538,44000266,182.53
SpokenArabicDigits,GPT4TS,93,6,768,768,12,6,0.9909049567985448,43871242,182.03
SpokenArabicDigits,GPT4TS,93,6,768,768,12,12,0.9804456571168713,43806730,181.79
SpokenArabicDigits,GPT4TS,93,6,768,768,14,4,0.9863574351978172,43986442,182.47
SpokenArabicDigits,GPT4TS,93,6,768,768,14,7,0.9890859481582538,43912714,182.19
SpokenArabicDigits,GPT4TS,93,6,768,768,14,14,0.9818099135970896,43857418,181.98
SpokenArabicDigits,GPT4TS,93,6,768,768,16,4,0.9927239654388358,44046346,182.7
SpokenArabicDigits,GPT4TS,93,6,768,768,16,8,0.984993178717599,43954186,182.35
SpokenArabicDigits,GPT4TS,93,6,768,768,16,16,0.984993178717599,43908106,182.17
SpokenArabicDigits,GPT4TS,93,6,768,768,19,5,0.9863574351978172,44090122,182.87
SpokenArabicDigits,GPT4TS,93,6,768,768,19,10,0.9854479308776717,44025610,182.62
SpokenArabicDigits,GPT4TS,93,6,768,768,19,19,0.9804456571168713,43988746,182.48
SpokenArabicDigits,GPT4TS,93,5,768,768,4,1,0.9854479308776717,37244170,156.75
SpokenArabicDigits,GPT4TS,93,5,768,768,4,2,0.98681218735789,36829450,155.17
SpokenArabicDigits,GPT4TS,93,5,768,768,4,4,0.9899954524783993,36626698,154.39
SpokenArabicDigits,GPT4TS,93,5,768,768,5,2,0.9931787175989086,36859402,155.28
SpokenArabicDigits,GPT4TS,93,5,768,768,5,3,0.988631195998181,36721162,154.75
SpokenArabicDigits,GPT4TS,93,5,768,768,5,5,0.9895407003183265,36610570,154.33
SpokenArabicDigits,GPT4TS,93,5,768,768,6,2,0.990450204638472,36880138,155.36
SpokenArabicDigits,GPT4TS,93,5,768,768,6,3,0.9954524783992724,36751114,154.87
SpokenArabicDigits,GPT4TS,93,5,768,768,6,6,0.9895407003183265,36612874,154.34
SpokenArabicDigits,GPT4TS,93,5,768,768,7,2,0.9890859481582538,36910090,155.47
SpokenArabicDigits,GPT4TS,93,5,768,768,7,4,0.98681218735789,36707338,154.7
SpokenArabicDigits,GPT4TS,93,5,768,768,7,7,0.9872669395179627,36624394,154.38
SpokenArabicDigits,GPT4TS,93,5,768,768,8,2,0.9899954524783993,36930826,155.55
SpokenArabicDigits,GPT4TS,93,5,768,768,8,4,0.990450204638472,36737290,154.82
SpokenArabicDigits,GPT4TS,93,5,768,768,8,8,0.990450204638472,36635914,154.43
SpokenArabicDigits,GPT4TS,93,5,768,768,9,3,0.9872669395179627,36831754,155.18
SpokenArabicDigits,GPT4TS,93,5,768,768,9,5,0.9899954524783993,36721162,154.75
SpokenArabicDigits,GPT4TS,93,5,768,768,9,9,0.9840836743974534,36656650,154.51
SpokenArabicDigits,GPT4TS,93,5,768,768,10,3,0.988631195998181,36852490,155.26
SpokenArabicDigits,GPT4TS,93,5,768,768,10,5,0.9872669395179627,36751114,154.87
SpokenArabicDigits,GPT4TS,93,5,768,768,10,10,0.984993178717599,36677386,154.59
SpokenArabicDigits,GPT4TS,93,5,768,768,11,3,0.9918144611186903,36882442,155.37
SpokenArabicDigits,GPT4TS,93,5,768,768,11,6,0.990450204638472,36753418,154.88
SpokenArabicDigits,GPT4TS,93,5,768,768,11,11,0.9818099135970896,36698122,154.67
SpokenArabicDigits,GPT4TS,93,5,768,768,12,3,0.9859026830377444,36912394,155.48
SpokenArabicDigits,GPT4TS,93,5,768,768,12,6,0.9890859481582538,36783370,154.99
SpokenArabicDigits,GPT4TS,93,5,768,768,12,12,0.9831741700773079,36718858,154.75
SpokenArabicDigits,GPT4TS,93,5,768,768,14,4,0.9899954524783993,36898570,155.43
SpokenArabicDigits,GPT4TS,93,5,768,768,14,7,0.9831741700773079,36824842,155.15
SpokenArabicDigits,GPT4TS,93,5,768,768,14,14,0.9840836743974534,36769546,154.94
SpokenArabicDigits,GPT4TS,93,5,768,768,16,4,0.9899954524783993,36958474,155.66
SpokenArabicDigits,GPT4TS,93,5,768,768,16,8,0.9836289222373806,36866314,155.31
SpokenArabicDigits,GPT4TS,93,5,768,768,16,16,0.9799909049567985,36820234,155.13
SpokenArabicDigits,GPT4TS,93,5,768,768,19,5,0.9836289222373806,37002250,155.83
SpokenArabicDigits,GPT4TS,93,5,768,768,19,10,0.9854479308776717,36937738,155.58
SpokenArabicDigits,GPT4TS,93,5,768,768,19,19,0.979081400636653,36900874,155.44
SpokenArabicDigits,GPT4TS,93,4,768,768,4,1,0.9863574351978172,30156298,129.71
SpokenArabicDigits,GPT4TS,93,4,768,768,4,2,0.98681218735789,29741578,128.13
SpokenArabicDigits,GPT4TS,93,4,768,768,4,4,0.9877216916780355,29538826,127.35
SpokenArabicDigits,GPT4TS,93,4,768,768,5,2,0.992269213278763,29771530,128.24
SpokenArabicDigits,GPT4TS,93,4,768,768,5,3,0.9881764438381082,29633290,127.71
SpokenArabicDigits,GPT4TS,93,4,768,768,5,5,0.9877216916780355,29522698,127.29
SpokenArabicDigits,GPT4TS,93,4,768,768,6,2,0.9909049567985448,29792266,128.32
SpokenArabicDigits,GPT4TS,93,4,768,768,6,3,0.9945429740791268,29663242,127.83
SpokenArabicDigits,GPT4TS,93,4,768,768,6,6,0.988631195998181,29525002,127.3
SpokenArabicDigits,GPT4TS,93,4,768,768,7,2,0.9909049567985448,29822218,128.43
SpokenArabicDigits,GPT4TS,93,4,768,768,7,4,0.988631195998181,29619466,127.66
SpokenArabicDigits,GPT4TS,93,4,768,768,7,7,0.9877216916780355,29536522,127.34
SpokenArabicDigits,GPT4TS,93,4,768,768,8,2,0.9931787175989086,29842954,128.51
SpokenArabicDigits,GPT4TS,93,4,768,768,8,4,0.9918144611186903,29649418,127.77
SpokenArabicDigits,GPT4TS,93,4,768,768,8,8,0.9845384265575261,29548042,127.39
SpokenArabicDigits,GPT4TS,93,4,768,768,9,3,0.990450204638472,29743882,128.13
SpokenArabicDigits,GPT4TS,93,4,768,768,9,5,0.9909049567985448,29633290,127.71
SpokenArabicDigits,GPT4TS,93,4,768,768,9,9,0.9877216916780355,29568778,127.47
SpokenArabicDigits,GPT4TS,93,4,768,768,10,3,0.9872669395179627,29764618,128.21
SpokenArabicDigits,GPT4TS,93,4,768,768,10,5,0.9918144611186903,29663242,127.83
SpokenArabicDigits,GPT4TS,93,4,768,768,10,10,0.9836289222373806,29589514,127.54
SpokenArabicDigits,GPT4TS,93,4,768,768,11,3,0.9854479308776717,29794570,128.33
SpokenArabicDigits,GPT4TS,93,4,768,768,11,6,0.9913597089586176,29665546,127.83
SpokenArabicDigits,GPT4TS,93,4,768,768,11,11,0.9795361527967258,29610250,127.62
SpokenArabicDigits,GPT4TS,93,4,768,768,12,3,0.9913597089586176,29824522,128.44
SpokenArabicDigits,GPT4TS,93,4,768,768,12,6,0.9863574351978172,29695498,127.95
SpokenArabicDigits,GPT4TS,93,4,768,768,12,12,0.9877216916780355,29630986,127.7
SpokenArabicDigits,GPT4TS,93,4,768,768,14,4,0.9877216916780355,29810698,128.39
SpokenArabicDigits,GPT4TS,93,4,768,768,14,7,0.9881764438381082,29736970,128.11
SpokenArabicDigits,GPT4TS,93,4,768,768,14,14,0.9804456571168713,29681674,127.9
SpokenArabicDigits,GPT4TS,93,4,768,768,16,4,0.9881764438381082,29870602,128.62
SpokenArabicDigits,GPT4TS,93,4,768,768,16,8,0.9781718963165075,29778442,128.27
SpokenArabicDigits,GPT4TS,93,4,768,768,16,16,0.984993178717599,29732362,128.09
SpokenArabicDigits,GPT4TS,93,4,768,768,19,5,0.9863574351978172,29914378,128.78
SpokenArabicDigits,GPT4TS,93,4,768,768,19,10,0.9840836743974534,29849866,128.54
SpokenArabicDigits,GPT4TS,93,4,768,768,19,19,0.9840836743974534,29813002,128.4
