data_name,model,seq_len,n_layers,d_model,d_ff,patch_size,patch_stride,acc,model_params,model_size (MB)
StandWalkJump,GPT4TS,2500,6,768,768,100,25,0.4,44671491,185.09
StandWalkJump,GPT4TS,2500,6,768,768,100,50,0.4,44487171,184.38
StandWalkJump,GPT4TS,2500,6,768,768,100,100,0.4666666666666667,44395011,184.03
StandWalkJump,GPT4TS,2500,6,768,768,105,27,0.3333333333333333,44686851,185.14
StandWalkJump,GPT4TS,2500,6,768,768,105,53,0.4,44521731,184.52
StandWalkJump,GPT4TS,2500,6,768,768,105,105,0.4,44433411,184.18
StandWalkJump,GPT4TS,2500,6,768,768,109,28,0.5333333333333333,44712195,185.24
StandWalkJump,GPT4TS,2500,6,768,768,109,55,0.4,44550915,184.63
StandWalkJump,GPT4TS,2500,6,768,768,109,109,0.5333333333333333,44466435,184.3
StandWalkJump,GPT4TS,2500,6,768,768,114,29,0.5333333333333333,44746755,185.37
StandWalkJump,GPT4TS,2500,6,768,768,114,57,0.4666666666666667,44589315,184.77
StandWalkJump,GPT4TS,2500,6,768,768,114,114,0.4,44508675,184.47
StandWalkJump,GPT4TS,2500,6,768,768,120,30,0.4666666666666667,44790531,185.54
StandWalkJump,GPT4TS,2500,6,768,768,120,60,0.5333333333333333,44636931,184.95
StandWalkJump,GPT4TS,2500,6,768,768,120,120,0.4,44560131,184.66
StandWalkJump,GPT4TS,2500,6,768,768,125,32,0.6,44817411,185.64
StandWalkJump,GPT4TS,2500,6,768,768,125,63,0.5333333333333333,44675331,185.1
StandWalkJump,GPT4TS,2500,6,768,768,125,125,0.4,44606211,184.84
StandWalkJump,GPT4TS,2500,6,768,768,132,33,0.6,44870403,185.85
StandWalkJump,GPT4TS,2500,6,768,768,132,66,0.4666666666666667,44732163,185.32
StandWalkJump,GPT4TS,2500,6,768,768,132,132,0.4666666666666667,44663043,185.05
StandWalkJump,GPT4TS,2500,6,768,768,139,35,0.3333333333333333,44919555,186.03
StandWalkJump,GPT4TS,2500,6,768,768,139,70,0.4,44788995,185.53
StandWalkJump,GPT4TS,2500,6,768,768,139,139,0.5333333333333333,44723715,185.29
StandWalkJump,GPT4TS,2500,6,768,768,148,37,0.5333333333333333,44987139,186.29
StandWalkJump,GPT4TS,2500,6,768,768,148,74,0.4666666666666667,44864259,185.82
StandWalkJump,GPT4TS,2500,6,768,768,148,148,0.5333333333333333,44802819,185.59
StandWalkJump,GPT4TS,2500,6,768,768,157,40,0.5333333333333333,45050883,186.53
StandWalkJump,GPT4TS,2500,6,768,768,157,79,0.6666666666666666,44939523,186.11
StandWalkJump,GPT4TS,2500,6,768,768,157,157,0.4666666666666667,44881923,185.89
StandWalkJump,GPT4TS,2500,6,768,768,167,42,0.6,45131523,186.84
StandWalkJump,GPT4TS,2500,6,768,768,167,84,0.6,45024003,186.43
StandWalkJump,GPT4TS,2500,6,768,768,167,167,0.7333333333333333,44970243,186.23
StandWalkJump,GPT4TS,2500,6,768,768,179,45,0.4,45226755,187.2
StandWalkJump,GPT4TS,2500,6,768,768,179,90,0.4666666666666667,45126915,186.82
StandWalkJump,GPT4TS,2500,6,768,768,179,179,0.4666666666666667,45076995,186.63
StandWalkJump,GPT4TS,2500,6,768,768,193,49,0.6,45340419,187.64
StandWalkJump,GPT4TS,2500,6,768,768,193,97,0.3333333333333333,45248259,187.29
StandWalkJump,GPT4TS,2500,6,768,768,193,193,0.4666666666666667,45202179,187.11
StandWalkJump,GPT4TS,2500,6,768,768,209,53,0.5333333333333333,45472515,188.14
StandWalkJump,GPT4TS,2500,6,768,768,209,105,0.3333333333333333,45388035,187.82
StandWalkJump,GPT4TS,2500,6,768,768,209,209,0.5333333333333333,45345795,187.66
StandWalkJump,GPT4TS,2500,6,768,768,228,57,0.5333333333333333,45632259,188.75
StandWalkJump,GPT4TS,2500,6,768,768,228,114,0.6,45555459,188.46
StandWalkJump,GPT4TS,2500,6,768,768,228,228,0.3333333333333333,45517059,188.31
StandWalkJump,GPT4TS,2500,6,768,768,250,63,0.4666666666666667,45819651,189.47
StandWalkJump,GPT4TS,2500,6,768,768,250,125,0.26666666666666666,45754371,189.22
StandWalkJump,GPT4TS,2500,6,768,768,250,250,0.3333333333333333,45719811,189.09
StandWalkJump,GPT4TS,2500,6,768,768,278,70,0.5333333333333333,46062339,190.39
StandWalkJump,GPT4TS,2500,6,768,768,278,139,0.6,46000899,190.16
StandWalkJump,GPT4TS,2500,6,768,768,278,278,0.5333333333333333,45970179,190.04
StandWalkJump,GPT4TS,2500,6,768,768,313,79,0.5333333333333333,46369539,191.56
StandWalkJump,GPT4TS,2500,6,768,768,313,157,0.5333333333333333,46315779,191.36
StandWalkJump,GPT4TS,2500,6,768,768,313,313,0.4666666666666667,46288899,191.26
StandWalkJump,GPT4TS,2500,6,768,768,358,90,0.5333333333333333,46768899,193.09
StandWalkJump,GPT4TS,2500,6,768,768,358,179,0.4666666666666667,46722819,192.91
StandWalkJump,GPT4TS,2500,6,768,768,358,358,0.6666666666666666,46699779,192.82
StandWalkJump,GPT4TS,2500,6,768,768,417,105,0.4666666666666667,47297283,195.1
StandWalkJump,GPT4TS,2500,6,768,768,417,209,0.5333333333333333,47258883,194.96
StandWalkJump,GPT4TS,2500,6,768,768,417,417,0.4666666666666667,47239683,194.88
StandWalkJump,GPT4TS,2500,6,768,768,500,125,0.4,48050691,197.98
StandWalkJump,GPT4TS,2500,6,768,768,500,250,0.6,48019971,197.86
StandWalkJump,GPT4TS,2500,6,768,768,500,500,0.4666666666666667,48004611,197.8
StandWalkJump,GPT4TS,2500,5,768,768,100,25,0.4666666666666667,37583619,158.04
StandWalkJump,GPT4TS,2500,5,768,768,100,50,0.5333333333333333,37399299,157.34
StandWalkJump,GPT4TS,2500,5,768,768,100,100,0.4666666666666667,37307139,156.99
StandWalkJump,GPT4TS,2500,5,768,768,105,27,0.4,37598979,158.1
StandWalkJump,GPT4TS,2500,5,768,768,105,53,0.4666666666666667,37433859,157.47
StandWalkJump,GPT4TS,2500,5,768,768,105,105,0.4,37345539,157.14
StandWalkJump,GPT4TS,2500,5,768,768,109,28,0.5333333333333333,37624323,158.2
StandWalkJump,GPT4TS,2500,5,768,768,109,55,0.4,37463043,157.58
StandWalkJump,GPT4TS,2500,5,768,768,109,109,0.5333333333333333,37378563,157.26
StandWalkJump,GPT4TS,2500,5,768,768,114,29,0.5333333333333333,37658883,158.33
StandWalkJump,GPT4TS,2500,5,768,768,114,57,0.3333333333333333,37501443,157.73
StandWalkJump,GPT4TS,2500,5,768,768,114,114,0.4666666666666667,37420803,157.42
StandWalkJump,GPT4TS,2500,5,768,768,120,30,0.4,37702659,158.5
StandWalkJump,GPT4TS,2500,5,768,768,120,60,0.4666666666666667,37549059,157.91
StandWalkJump,GPT4TS,2500,5,768,768,120,120,0.4,37472259,157.62
StandWalkJump,GPT4TS,2500,5,768,768,125,32,0.6,37729539,158.6
StandWalkJump,GPT4TS,2500,5,768,768,125,63,0.4666666666666667,37587459,158.06
StandWalkJump,GPT4TS,2500,5,768,768,125,125,0.4666666666666667,37518339,157.8
StandWalkJump,GPT4TS,2500,5,768,768,132,33,0.6666666666666666,37782531,158.8
StandWalkJump,GPT4TS,2500,5,768,768,132,66,0.5333333333333333,37644291,158.28
StandWalkJump,GPT4TS,2500,5,768,768,132,132,0.4666666666666667,37575171,158.01
StandWalkJump,GPT4TS,2500,5,768,768,139,35,0.3333333333333333,37831683,158.99
StandWalkJump,GPT4TS,2500,5,768,768,139,70,0.4,37701123,158.49
StandWalkJump,GPT4TS,2500,5,768,768,139,139,0.4666666666666667,37635843,158.24
StandWalkJump,GPT4TS,2500,5,768,768,148,37,0.6,37899267,159.25
StandWalkJump,GPT4TS,2500,5,768,768,148,74,0.4666666666666667,37776387,158.78
StandWalkJump,GPT4TS,2500,5,768,768,148,148,0.4666666666666667,37714947,158.55
StandWalkJump,GPT4TS,2500,5,768,768,157,40,0.5333333333333333,37963011,159.49
StandWalkJump,GPT4TS,2500,5,768,768,157,79,0.6,37851651,159.07
StandWalkJump,GPT4TS,2500,5,768,768,157,157,0.4666666666666667,37794051,158.85
StandWalkJump,GPT4TS,2500,5,768,768,167,42,0.6,38043651,159.8
StandWalkJump,GPT4TS,2500,5,768,768,167,84,0.6,37936131,159.39
StandWalkJump,GPT4TS,2500,5,768,768,167,167,0.7333333333333333,37882371,159.18
StandWalkJump,GPT4TS,2500,5,768,768,179,45,0.4666666666666667,38138883,160.16
StandWalkJump,GPT4TS,2500,5,768,768,179,90,0.4666666666666667,38039043,159.78
StandWalkJump,GPT4TS,2500,5,768,768,179,179,0.4,37989123,159.59
StandWalkJump,GPT4TS,2500,5,768,768,193,49,0.6,38252547,160.6
StandWalkJump,GPT4TS,2500,5,768,768,193,97,0.3333333333333333,38160387,160.24
StandWalkJump,GPT4TS,2500,5,768,768,193,193,0.4666666666666667,38114307,160.07
StandWalkJump,GPT4TS,2500,5,768,768,209,53,0.5333333333333333,38384643,161.1
StandWalkJump,GPT4TS,2500,5,768,768,209,105,0.3333333333333333,38300163,160.78
StandWalkJump,GPT4TS,2500,5,768,768,209,209,0.6,38257923,160.62
StandWalkJump,GPT4TS,2500,5,768,768,228,57,0.6,38544387,161.71
StandWalkJump,GPT4TS,2500,5,768,768,228,114,0.4666666666666667,38467587,161.42
StandWalkJump,GPT4TS,2500,5,768,768,228,228,0.4,38429187,161.27
StandWalkJump,GPT4TS,2500,5,768,768,250,63,0.5333333333333333,38731779,162.42
StandWalkJump,GPT4TS,2500,5,768,768,250,125,0.26666666666666666,38666499,162.18
StandWalkJump,GPT4TS,2500,5,768,768,250,250,0.4,38631939,162.04
StandWalkJump,GPT4TS,2500,5,768,768,278,70,0.5333333333333333,38974467,163.35
StandWalkJump,GPT4TS,2500,5,768,768,278,139,0.6,38913027,163.12
StandWalkJump,GPT4TS,2500,5,768,768,278,278,0.5333333333333333,38882307,163.0
StandWalkJump,GPT4TS,2500,5,768,768,313,79,0.5333333333333333,39281667,164.52
StandWalkJump,GPT4TS,2500,5,768,768,313,157,0.5333333333333333,39227907,164.32
StandWalkJump,GPT4TS,2500,5,768,768,313,313,0.4666666666666667,39201027,164.21
StandWalkJump,GPT4TS,2500,5,768,768,358,90,0.5333333333333333,39681027,166.05
StandWalkJump,GPT4TS,2500,5,768,768,358,179,0.4666666666666667,39634947,165.87
StandWalkJump,GPT4TS,2500,5,768,768,358,358,0.6666666666666666,39611907,165.78
StandWalkJump,GPT4TS,2500,5,768,768,417,105,0.4666666666666667,40209411,168.06
StandWalkJump,GPT4TS,2500,5,768,768,417,209,0.5333333333333333,40171011,167.91
StandWalkJump,GPT4TS,2500,5,768,768,417,417,0.4666666666666667,40151811,167.84
StandWalkJump,GPT4TS,2500,5,768,768,500,125,0.26666666666666666,40962819,170.93
StandWalkJump,GPT4TS,2500,5,768,768,500,250,0.6,40932099,170.82
StandWalkJump,GPT4TS,2500,5,768,768,500,500,0.4666666666666667,40916739,170.76
StandWalkJump,GPT4TS,2500,4,768,768,100,25,0.4666666666666667,30495747,131.0
StandWalkJump,GPT4TS,2500,4,768,768,100,50,0.5333333333333333,30311427,130.3
StandWalkJump,GPT4TS,2500,4,768,768,100,100,0.3333333333333333,30219267,129.95
StandWalkJump,GPT4TS,2500,4,768,768,105,27,0.4,30511107,131.06
StandWalkJump,GPT4TS,2500,4,768,768,105,53,0.4,30345987,130.43
StandWalkJump,GPT4TS,2500,4,768,768,105,105,0.4,30257667,130.09
StandWalkJump,GPT4TS,2500,4,768,768,109,28,0.6,30536451,131.16
StandWalkJump,GPT4TS,2500,4,768,768,109,55,0.4,30375171,130.54
StandWalkJump,GPT4TS,2500,4,768,768,109,109,0.5333333333333333,30290691,130.22
StandWalkJump,GPT4TS,2500,4,768,768,114,29,0.5333333333333333,30571011,131.29
StandWalkJump,GPT4TS,2500,4,768,768,114,57,0.5333333333333333,30413571,130.69
StandWalkJump,GPT4TS,2500,4,768,768,114,114,0.4666666666666667,30332931,130.38
StandWalkJump,GPT4TS,2500,4,768,768,120,30,0.5333333333333333,30614787,131.46
StandWalkJump,GPT4TS,2500,4,768,768,120,60,0.4666666666666667,30461187,130.87
StandWalkJump,GPT4TS,2500,4,768,768,120,120,0.4,30384387,130.58
StandWalkJump,GPT4TS,2500,4,768,768,125,32,0.6,30641667,131.56
StandWalkJump,GPT4TS,2500,4,768,768,125,63,0.5333333333333333,30499587,131.02
StandWalkJump,GPT4TS,2500,4,768,768,125,125,0.4,30430467,130.75
StandWalkJump,GPT4TS,2500,4,768,768,132,33,0.6666666666666666,30694659,131.76
StandWalkJump,GPT4TS,2500,4,768,768,132,66,0.4,30556419,131.23
StandWalkJump,GPT4TS,2500,4,768,768,132,132,0.4666666666666667,30487299,130.97
StandWalkJump,GPT4TS,2500,4,768,768,139,35,0.4,30743811,131.95
StandWalkJump,GPT4TS,2500,4,768,768,139,70,0.4,30613251,131.45
StandWalkJump,GPT4TS,2500,4,768,768,139,139,0.5333333333333333,30547971,131.2
StandWalkJump,GPT4TS,2500,4,768,768,148,37,0.5333333333333333,30811395,132.21
StandWalkJump,GPT4TS,2500,4,768,768,148,74,0.4666666666666667,30688515,131.74
StandWalkJump,GPT4TS,2500,4,768,768,148,148,0.5333333333333333,30627075,131.5
StandWalkJump,GPT4TS,2500,4,768,768,157,40,0.5333333333333333,30875139,132.45
StandWalkJump,GPT4TS,2500,4,768,768,157,79,0.6,30763779,132.02
StandWalkJump,GPT4TS,2500,4,768,768,157,157,0.4666666666666667,30706179,131.8
StandWalkJump,GPT4TS,2500,4,768,768,167,42,0.6,30955779,132.76
StandWalkJump,GPT4TS,2500,4,768,768,167,84,0.6,30848259,132.35
