data_name,model,seq_len,n_layers,d_model,d_ff,patch_size,patch_stride,acc,model_params,model_size (MB)
UWaveGestureLibrary,GPT4TS,315,6,768,768,13,4,0.84375,44054792,182.73
UWaveGestureLibrary,GPT4TS,315,6,768,768,13,7,0.84375,43809032,181.8
UWaveGestureLibrary,GPT4TS,315,6,768,768,13,13,0.878125,43655432,181.21
UWaveGestureLibrary,GPT4TS,315,6,768,768,14,4,0.859375,44061704,182.76
UWaveGestureLibrary,GPT4TS,315,6,768,768,14,7,0.8625,43815944,181.82
UWaveGestureLibrary,GPT4TS,315,6,768,768,14,14,0.865625,43646984,181.18
UWaveGestureLibrary,GPT4TS,315,6,768,768,15,4,0.85625,44068616,182.79
UWaveGestureLibrary,GPT4TS,315,6,768,768,15,8,0.85,43776776,181.67
UWaveGestureLibrary,GPT4TS,315,6,768,768,15,15,0.871875,43646216,181.18
UWaveGestureLibrary,GPT4TS,315,6,768,768,16,4,0.8625,44067848,182.78
UWaveGestureLibrary,GPT4TS,315,6,768,768,16,8,0.865625,43783688,181.7
UWaveGestureLibrary,GPT4TS,315,6,768,768,16,16,0.871875,43637768,181.14
UWaveGestureLibrary,GPT4TS,315,6,768,768,17,5,0.859375,43959560,182.37
UWaveGestureLibrary,GPT4TS,315,6,768,768,17,9,0.871875,43759880,181.61
UWaveGestureLibrary,GPT4TS,315,6,768,768,17,17,0.871875,43637000,181.14
UWaveGestureLibrary,GPT4TS,315,6,768,768,18,5,0.853125,43966472,182.4
UWaveGestureLibrary,GPT4TS,315,6,768,768,18,9,0.84375,43766792,181.64
UWaveGestureLibrary,GPT4TS,315,6,768,768,18,18,0.85,43636232,181.14
UWaveGestureLibrary,GPT4TS,315,6,768,768,19,5,0.85625,43973384,182.42
UWaveGestureLibrary,GPT4TS,315,6,768,768,19,10,0.859375,43742984,181.54
UWaveGestureLibrary,GPT4TS,315,6,768,768,19,19,0.84375,43635464,181.13
UWaveGestureLibrary,GPT4TS,315,6,768,768,20,5,0.865625,43980296,182.45
UWaveGestureLibrary,GPT4TS,315,6,768,768,20,10,0.865625,43749896,181.57
UWaveGestureLibrary,GPT4TS,315,6,768,768,20,20,0.878125,43634696,181.13
UWaveGestureLibrary,GPT4TS,315,6,768,768,21,6,0.8625,43910408,182.18
UWaveGestureLibrary,GPT4TS,315,6,768,768,21,11,0.85625,43733768,181.51
UWaveGestureLibrary,GPT4TS,315,6,768,768,21,21,0.853125,43641608,181.16
UWaveGestureLibrary,GPT4TS,315,6,768,768,23,6,0.859375,43916552,182.21
UWaveGestureLibrary,GPT4TS,315,6,768,768,23,12,0.86875,43732232,181.5
UWaveGestureLibrary,GPT4TS,315,6,768,768,23,23,0.884375,43640072,181.15
UWaveGestureLibrary,GPT4TS,315,6,768,768,25,7,0.871875,43876616,182.05
UWaveGestureLibrary,GPT4TS,315,6,768,768,25,13,0.8625,43730696,181.5
UWaveGestureLibrary,GPT4TS,315,6,768,768,25,25,0.871875,43646216,181.18
UWaveGestureLibrary,GPT4TS,315,6,768,768,27,7,0.871875,43890440,182.11
UWaveGestureLibrary,GPT4TS,315,6,768,768,27,14,0.878125,43729160,181.49
UWaveGestureLibrary,GPT4TS,315,6,768,768,27,27,0.871875,43652360,181.2
UWaveGestureLibrary,GPT4TS,315,6,768,768,29,8,0.86875,43858184,181.98
UWaveGestureLibrary,GPT4TS,315,6,768,768,29,15,0.890625,43735304,181.52
UWaveGestureLibrary,GPT4TS,315,6,768,768,29,29,0.871875,43658504,181.22
UWaveGestureLibrary,GPT4TS,315,6,768,768,32,8,0.859375,43878920,182.06
UWaveGestureLibrary,GPT4TS,315,6,768,768,32,16,0.865625,43740680,181.54
UWaveGestureLibrary,GPT4TS,315,6,768,768,32,32,0.853125,43671560,181.27
UWaveGestureLibrary,GPT4TS,315,6,768,768,35,9,0.86875,43868936,182.02
UWaveGestureLibrary,GPT4TS,315,6,768,768,35,18,0.875,43746056,181.56
UWaveGestureLibrary,GPT4TS,315,6,768,768,35,35,0.8625,43692296,181.35
UWaveGestureLibrary,GPT4TS,315,6,768,768,40,10,0.86875,43872776,182.04
UWaveGestureLibrary,GPT4TS,315,6,768,768,40,20,0.884375,43765256,181.63
UWaveGestureLibrary,GPT4TS,315,6,768,768,40,40,0.853125,43711496,181.42
UWaveGestureLibrary,GPT4TS,315,6,768,768,45,12,0.875,43868936,182.02
UWaveGestureLibrary,GPT4TS,315,6,768,768,45,23,0.878125,43784456,181.7
UWaveGestureLibrary,GPT4TS,315,6,768,768,45,45,0.85,43746056,181.56
UWaveGestureLibrary,GPT4TS,315,6,768,768,53,14,0.871875,43893512,182.12
UWaveGestureLibrary,GPT4TS,315,6,768,768,53,27,0.871875,43824392,181.85
UWaveGestureLibrary,GPT4TS,315,6,768,768,53,53,0.859375,43785992,181.71
UWaveGestureLibrary,GPT4TS,315,6,768,768,63,16,0.86875,43939592,182.29
UWaveGestureLibrary,GPT4TS,315,6,768,768,63,32,0.86875,43878152,182.06
UWaveGestureLibrary,GPT4TS,315,6,768,768,63,63,0.871875,43855112,181.97
UWaveGestureLibrary,GPT4TS,315,5,768,768,13,4,0.846875,36966920,155.69
UWaveGestureLibrary,GPT4TS,315,5,768,768,13,7,0.865625,36721160,154.75
UWaveGestureLibrary,GPT4TS,315,5,768,768,13,13,0.871875,36567560,154.17
UWaveGestureLibrary,GPT4TS,315,5,768,768,14,4,0.865625,36973832,155.72
UWaveGestureLibrary,GPT4TS,315,5,768,768,14,7,0.865625,36728072,154.78
UWaveGestureLibrary,GPT4TS,315,5,768,768,14,14,0.875,36559112,154.14
UWaveGestureLibrary,GPT4TS,315,5,768,768,15,4,0.853125,36980744,155.74
UWaveGestureLibrary,GPT4TS,315,5,768,768,15,8,0.859375,36688904,154.63
UWaveGestureLibrary,GPT4TS,315,5,768,768,15,15,0.86875,36558344,154.13
UWaveGestureLibrary,GPT4TS,315,5,768,768,16,4,0.88125,36979976,155.74
UWaveGestureLibrary,GPT4TS,315,5,768,768,16,8,0.85,36695816,154.66
UWaveGestureLibrary,GPT4TS,315,5,768,768,16,16,0.875,36549896,154.1
UWaveGestureLibrary,GPT4TS,315,5,768,768,17,5,0.8625,36871688,155.33
UWaveGestureLibrary,GPT4TS,315,5,768,768,17,9,0.875,36672008,154.57
UWaveGestureLibrary,GPT4TS,315,5,768,768,17,17,0.875,36549128,154.1
UWaveGestureLibrary,GPT4TS,315,5,768,768,18,5,0.85625,36878600,155.35
UWaveGestureLibrary,GPT4TS,315,5,768,768,18,9,0.84375,36678920,154.59
UWaveGestureLibrary,GPT4TS,315,5,768,768,18,18,0.8375,36548360,154.09
UWaveGestureLibrary,GPT4TS,315,5,768,768,19,5,0.84375,36885512,155.38
UWaveGestureLibrary,GPT4TS,315,5,768,768,19,10,0.853125,36655112,154.5
UWaveGestureLibrary,GPT4TS,315,5,768,768,19,19,0.859375,36547592,154.09
UWaveGestureLibrary,GPT4TS,315,5,768,768,20,5,0.884375,36892424,155.41
UWaveGestureLibrary,GPT4TS,315,5,768,768,20,10,0.871875,36662024,154.53
UWaveGestureLibrary,GPT4TS,315,5,768,768,20,20,0.865625,36546824,154.09
UWaveGestureLibrary,GPT4TS,315,5,768,768,21,6,0.865625,36822536,155.14
UWaveGestureLibrary,GPT4TS,315,5,768,768,21,11,0.865625,36645896,154.47
UWaveGestureLibrary,GPT4TS,315,5,768,768,21,21,0.86875,36553736,154.12
UWaveGestureLibrary,GPT4TS,315,5,768,768,23,6,0.86875,36828680,155.16
UWaveGestureLibrary,GPT4TS,315,5,768,768,23,12,0.85625,36644360,154.46
UWaveGestureLibrary,GPT4TS,315,5,768,768,23,23,0.8875,36552200,154.11
UWaveGestureLibrary,GPT4TS,315,5,768,768,25,7,0.8625,36788744,155.01
UWaveGestureLibrary,GPT4TS,315,5,768,768,25,13,0.8625,36642824,154.46
UWaveGestureLibrary,GPT4TS,315,5,768,768,25,25,0.86875,36558344,154.13
UWaveGestureLibrary,GPT4TS,315,5,768,768,27,7,0.86875,36802568,155.06
UWaveGestureLibrary,GPT4TS,315,5,768,768,27,14,0.88125,36641288,154.45
UWaveGestureLibrary,GPT4TS,315,5,768,768,27,27,0.871875,36564488,154.16
UWaveGestureLibrary,GPT4TS,315,5,768,768,29,8,0.865625,36770312,154.94
UWaveGestureLibrary,GPT4TS,315,5,768,768,29,15,0.890625,36647432,154.47
UWaveGestureLibrary,GPT4TS,315,5,768,768,29,29,0.875,36570632,154.18
UWaveGestureLibrary,GPT4TS,315,5,768,768,32,8,0.86875,36791048,155.02
UWaveGestureLibrary,GPT4TS,315,5,768,768,32,16,0.871875,36652808,154.49
UWaveGestureLibrary,GPT4TS,315,5,768,768,32,32,0.853125,36583688,154.23
UWaveGestureLibrary,GPT4TS,315,5,768,768,35,9,0.875,36781064,154.98
UWaveGestureLibrary,GPT4TS,315,5,768,768,35,18,0.865625,36658184,154.51
UWaveGestureLibrary,GPT4TS,315,5,768,768,35,35,0.85625,36604424,154.31
UWaveGestureLibrary,GPT4TS,315,5,768,768,40,10,0.8625,36784904,155.0
UWaveGestureLibrary,GPT4TS,315,5,768,768,40,20,0.875,36677384,154.59
UWaveGestureLibrary,GPT4TS,315,5,768,768,40,40,0.859375,36623624,154.38
UWaveGestureLibrary,GPT4TS,315,5,768,768,45,12,0.88125,36781064,154.98
UWaveGestureLibrary,GPT4TS,315,5,768,768,45,23,0.88125,36696584,154.66
UWaveGestureLibrary,GPT4TS,315,5,768,768,45,45,0.859375,36658184,154.51
UWaveGestureLibrary,GPT4TS,315,5,768,768,53,14,0.871875,36805640,155.08
UWaveGestureLibrary,GPT4TS,315,5,768,768,53,27,0.86875,36736520,154.81
UWaveGestureLibrary,GPT4TS,315,5,768,768,53,53,0.853125,36698120,154.67
UWaveGestureLibrary,GPT4TS,315,5,768,768,63,16,0.878125,36851720,155.25
UWaveGestureLibrary,GPT4TS,315,5,768,768,63,32,0.8625,36790280,155.02
UWaveGestureLibrary,GPT4TS,315,5,768,768,63,63,0.865625,36767240,154.93
UWaveGestureLibrary,GPT4TS,315,4,768,768,13,4,0.84375,29879048,128.65
UWaveGestureLibrary,GPT4TS,315,4,768,768,13,7,0.875,29633288,127.71
UWaveGestureLibrary,GPT4TS,315,4,768,768,13,13,0.859375,29479688,127.13
UWaveGestureLibrary,GPT4TS,315,4,768,768,14,4,0.859375,29885960,128.68
UWaveGestureLibrary,GPT4TS,315,4,768,768,14,7,0.8625,29640200,127.74
UWaveGestureLibrary,GPT4TS,315,4,768,768,14,14,0.875,29471240,127.09
UWaveGestureLibrary,GPT4TS,315,4,768,768,15,4,0.85625,29892872,128.7
UWaveGestureLibrary,GPT4TS,315,4,768,768,15,8,0.8625,29601032,127.59
UWaveGestureLibrary,GPT4TS,315,4,768,768,15,15,0.86875,29470472,127.09
UWaveGestureLibrary,GPT4TS,315,4,768,768,16,4,0.85625,29892104,128.7
UWaveGestureLibrary,GPT4TS,315,4,768,768,16,8,0.8625,29607944,127.62
UWaveGestureLibrary,GPT4TS,315,4,768,768,16,16,0.878125,29462024,127.06
UWaveGestureLibrary,GPT4TS,315,4,768,768,17,5,0.871875,29783816,128.29
UWaveGestureLibrary,GPT4TS,315,4,768,768,17,9,0.8875,29584136,127.52
UWaveGestureLibrary,GPT4TS,315,4,768,768,17,17,0.875,29461256,127.06
UWaveGestureLibrary,GPT4TS,315,4,768,768,18,5,0.85,29790728,128.31
UWaveGestureLibrary,GPT4TS,315,4,768,768,18,9,0.846875,29591048,127.55
UWaveGestureLibrary,GPT4TS,315,4,768,768,18,18,0.85625,29460488,127.05
UWaveGestureLibrary,GPT4TS,315,4,768,768,19,5,0.846875,29797640,128.34
UWaveGestureLibrary,GPT4TS,315,4,768,768,19,10,0.853125,29567240,127.46
UWaveGestureLibrary,GPT4TS,315,4,768,768,19,19,0.85625,29459720,127.05
UWaveGestureLibrary,GPT4TS,315,4,768,768,20,5,0.871875,29804552,128.37
UWaveGestureLibrary,GPT4TS,315,4,768,768,20,10,0.86875,29574152,127.49
UWaveGestureLibrary,GPT4TS,315,4,768,768,20,20,0.853125,29458952,127.05
UWaveGestureLibrary,GPT4TS,315,4,768,768,21,6,0.859375,29734664,128.1
UWaveGestureLibrary,GPT4TS,315,4,768,768,21,11,0.865625,29558024,127.42
UWaveGestureLibrary,GPT4TS,315,4,768,768,21,21,0.859375,29465864,127.07
UWaveGestureLibrary,GPT4TS,315,4,768,768,23,6,0.8625,29740808,128.12
UWaveGestureLibrary,GPT4TS,315,4,768,768,23,12,0.865625,29556488,127.42
UWaveGestureLibrary,GPT4TS,315,4,768,768,23,23,0.8875,29464328,127.07
UWaveGestureLibrary,GPT4TS,315,4,768,768,25,7,0.8625,29700872,127.97
UWaveGestureLibrary,GPT4TS,315,4,768,768,25,13,0.871875,29554952,127.41
UWaveGestureLibrary,GPT4TS,315,4,768,768,25,25,0.875,29470472,127.09
UWaveGestureLibrary,GPT4TS,315,4,768,768,27,7,0.871875,29714696,128.02
UWaveGestureLibrary,GPT4TS,315,4,768,768,27,14,0.875,29553416,127.41
UWaveGestureLibrary,GPT4TS,315,4,768,768,27,27,0.875,29476616,127.11
UWaveGestureLibrary,GPT4TS,315,4,768,768,29,8,0.878125,29682440,127.9
UWaveGestureLibrary,GPT4TS,315,4,768,768,29,15,0.875,29559560,127.43
UWaveGestureLibrary,GPT4TS,315,4,768,768,29,29,0.884375,29482760,127.14
UWaveGestureLibrary,GPT4TS,315,4,768,768,32,8,0.875,29703176,127.98
UWaveGestureLibrary,GPT4TS,315,4,768,768,32,16,0.865625,29564936,127.45
UWaveGestureLibrary,GPT4TS,315,4,768,768,32,32,0.846875,29495816,127.19
UWaveGestureLibrary,GPT4TS,315,4,768,768,35,9,0.878125,29693192,127.94
UWaveGestureLibrary,GPT4TS,315,4,768,768,35,18,0.86875,29570312,127.47
UWaveGestureLibrary,GPT4TS,315,4,768,768,35,35,0.86875,29516552,127.27
UWaveGestureLibrary,GPT4TS,315,4,768,768,40,10,0.8625,29697032,127.96
UWaveGestureLibrary,GPT4TS,315,4,768,768,40,20,0.878125,29589512,127.54
UWaveGestureLibrary,GPT4TS,315,4,768,768,40,40,0.8625,29535752,127.34
UWaveGestureLibrary,GPT4TS,315,4,768,768,45,12,0.875,29693192,127.94
UWaveGestureLibrary,GPT4TS,315,4,768,768,45,23,0.884375,29608712,127.62
UWaveGestureLibrary,GPT4TS,315,4,768,768,45,45,0.85625,29570312,127.47
UWaveGestureLibrary,GPT4TS,315,4,768,768,53,14,0.86875,29717768,128.03
UWaveGestureLibrary,GPT4TS,315,4,768,768,53,27,0.8625,29648648,127.77
UWaveGestureLibrary,GPT4TS,315,4,768,768,53,53,0.85625,29610248,127.62
UWaveGestureLibrary,GPT4TS,315,4,768,768,63,16,0.865625,29763848,128.21
UWaveGestureLibrary,GPT4TS,315,4,768,768,63,32,0.875,29702408,127.98
UWaveGestureLibrary,GPT4TS,315,4,768,768,63,63,0.86875,29679368,127.89
UWaveGestureLibrary,GPT4TS,315,3,768,768,13,4,0.865625,22791176,101.61
UWaveGestureLibrary,GPT4TS,315,3,768,768,13,7,0.871875,22545416,100.67
UWaveGestureLibrary,GPT4TS,315,3,768,768,13,13,0.865625,22391816,100.08
UWaveGestureLibrary,GPT4TS,315,3,768,768,14,4,0.8625,22798088,101.63
UWaveGestureLibrary,GPT4TS,315,3,768,768,14,7,0.8625,22552328,100.7
UWaveGestureLibrary,GPT4TS,315,3,768,768,14,14,0.871875,22383368,100.05
UWaveGestureLibrary,GPT4TS,315,3,768,768,15,4,0.846875,22805000,101.66
UWaveGestureLibrary,GPT4TS,315,3,768,768,15,8,0.853125,22513160,100.55
UWaveGestureLibrary,GPT4TS,315,3,768,768,15,15,0.86875,22382600,100.05
UWaveGestureLibrary,GPT4TS,315,3,768,768,16,4,0.865625,22804232,101.66
UWaveGestureLibrary,GPT4TS,315,3,768,768,16,8,0.871875,22520072,100.57
UWaveGestureLibrary,GPT4TS,315,3,768,768,16,16,0.875,22374152,100.02
UWaveGestureLibrary,GPT4TS,315,3,768,768,17,5,0.8625,22695944,101.24
UWaveGestureLibrary,GPT4TS,315,3,768,768,17,9,0.871875,22496264,100.48
UWaveGestureLibrary,GPT4TS,315,3,768,768,17,17,0.890625,22373384,100.01
UWaveGestureLibrary,GPT4TS,315,3,768,768,18,5,0.85,22702856,101.27
UWaveGestureLibrary,GPT4TS,315,3,768,768,18,9,0.859375,22503176,100.51
UWaveGestureLibrary,GPT4TS,315,3,768,768,18,18,0.853125,22372616,100.01
UWaveGestureLibrary,GPT4TS,315,3,768,768,19,5,0.846875,22709768,101.3
UWaveGestureLibrary,GPT4TS,315,3,768,768,19,10,0.859375,22479368,100.42
UWaveGestureLibrary,GPT4TS,315,3,768,768,19,19,0.85,22371848,100.01
UWaveGestureLibrary,GPT4TS,315,3,768,768,20,5,0.878125,22716680,101.32
UWaveGestureLibrary,GPT4TS,315,3,768,768,20,10,0.865625,22486280,100.44
UWaveGestureLibrary,GPT4TS,315,3,768,768,20,20,0.859375,22371080,100.0
UWaveGestureLibrary,GPT4TS,315,3,768,768,21,6,0.859375,22646792,101.06
UWaveGestureLibrary,GPT4TS,315,3,768,768,21,11,0.865625,22470152,100.38
UWaveGestureLibrary,GPT4TS,315,3,768,768,21,21,0.86875,22377992,100.03
UWaveGestureLibrary,GPT4TS,315,3,768,768,23,6,0.85625,22652936,101.08
UWaveGestureLibrary,GPT4TS,315,3,768,768,23,12,0.8625,22468616,100.38
UWaveGestureLibrary,GPT4TS,315,3,768,768,23,23,0.859375,22376456,100.03
UWaveGestureLibrary,GPT4TS,315,3,768,768,25,7,0.8625,22613000,100.93
UWaveGestureLibrary,GPT4TS,315,3,768,768,25,13,0.875,22467080,100.37
UWaveGestureLibrary,GPT4TS,315,3,768,768,25,25,0.865625,22382600,100.05
UWaveGestureLibrary,GPT4TS,315,3,768,768,27,7,0.85,22626824,100.98
UWaveGestureLibrary,GPT4TS,315,3,768,768,27,14,0.86875,22465544,100.37
UWaveGestureLibrary,GPT4TS,315,3,768,768,27,27,0.878125,22388744,100.07
UWaveGestureLibrary,GPT4TS,315,3,768,768,29,8,0.884375,22594568,100.86
UWaveGestureLibrary,GPT4TS,315,3,768,768,29,15,0.88125,22471688,100.39
UWaveGestureLibrary,GPT4TS,315,3,768,768,29,29,0.875,22394888,100.1
UWaveGestureLibrary,GPT4TS,315,3,768,768,32,8,0.871875,22615304,100.94
UWaveGestureLibrary,GPT4TS,315,3,768,768,32,16,0.871875,22477064,100.41
