data_name,model,seq_len,dnn_type,n_shapelets,lambda_div,lambda_reg,epsilon,distance,memory_efficient,sbm_classifier,gating_value,acc,model_params,model_size (MB)
FaceDetection,InterpretGN,62,FCN,15,1.0,1.0,2.0,euclidean,False,linear,1.0,0.6135073779795687,705154,2.7
FaceDetection,InterpretGN,62,FCN,15,1.0,1.0,2.0,euclidean,False,linear,0.75,0.6316685584562997,705154,2.7
FaceDetection,InterpretGN,62,FCN,15,1.0,1.0,2.0,euclidean,False,linear,0.5,0.6254256526674233,705154,2.7
FaceDetection,InterpretGN,62,FCN,15,1.0,1.0,1.0,euclidean,False,linear,1.0,0.6092508513053349,705154,2.7
FaceDetection,InterpretGN,62,FCN,15,1.0,1.0,1.0,euclidean,False,linear,0.75,0.6055618615209989,705154,2.7
FaceDetection,InterpretGN,62,FCN,15,1.0,1.0,1.0,euclidean,False,linear,0.5,0.6228717366628831,705154,2.7
FaceDetection,InterpretGN,62,FCN,15,1.0,1.0,0.5,euclidean,False,linear,1.0,0.6021566401816119,705154,2.7
FaceDetection,InterpretGN,62,FCN,15,1.0,1.0,0.5,euclidean,False,linear,0.75,0.5987514188422247,705154,2.7
FaceDetection,InterpretGN,62,FCN,15,1.0,1.0,0.5,euclidean,False,linear,0.5,0.6007377979568672,705154,2.7
FaceDetection,InterpretGN,62,FCN,15,1.0,0.1,2.0,euclidean,False,linear,1.0,0.6217366628830874,705154,2.7
FaceDetection,InterpretGN,62,FCN,15,1.0,0.1,2.0,euclidean,False,linear,0.75,0.6336549375709422,705154,2.7
FaceDetection,InterpretGN,62,FCN,15,1.0,0.1,2.0,euclidean,False,linear,0.5,0.626560726447219,705154,2.7
FaceDetection,InterpretGN,62,FCN,15,1.0,0.1,1.0,euclidean,False,linear,1.0,0.6132236095346197,705154,2.7
FaceDetection,InterpretGN,62,FCN,15,1.0,0.1,1.0,euclidean,False,linear,0.75,0.6350737797956867,705154,2.7
FaceDetection,InterpretGN,62,FCN,15,1.0,0.1,1.0,euclidean,False,linear,0.5,0.6149262202043133,705154,2.7
FaceDetection,InterpretGN,62,FCN,15,1.0,0.1,0.5,euclidean,False,linear,1.0,0.5964812712826334,705154,2.7
FaceDetection,InterpretGN,62,FCN,15,1.0,0.1,0.5,euclidean,False,linear,0.75,0.6027241770715096,705154,2.7
FaceDetection,InterpretGN,62,FCN,15,1.0,0.1,0.5,euclidean,False,linear,0.5,0.5913734392735528,705154,2.7
FaceDetection,InterpretGN,62,FCN,15,1.0,0.0,2.0,euclidean,False,linear,1.0,0.6129398410896708,705154,2.7
FaceDetection,InterpretGN,62,FCN,15,1.0,0.0,2.0,euclidean,False,linear,0.75,0.6228717366628831,705154,2.7
FaceDetection,InterpretGN,62,FCN,15,1.0,0.0,2.0,euclidean,False,linear,0.5,0.6228717366628831,705154,2.7
FaceDetection,InterpretGN,62,FCN,15,1.0,0.0,1.0,euclidean,False,linear,1.0,0.6248581157775256,705154,2.7
FaceDetection,InterpretGN,62,FCN,15,1.0,0.0,1.0,euclidean,False,linear,0.75,0.6237230419977299,705154,2.7
FaceDetection,InterpretGN,62,FCN,15,1.0,0.0,1.0,euclidean,False,linear,0.5,0.6242905788876277,705154,2.7
FaceDetection,InterpretGN,62,FCN,15,1.0,0.0,0.5,euclidean,False,linear,1.0,0.5754824063564131,705154,2.7
FaceDetection,InterpretGN,62,FCN,15,1.0,0.0,0.5,euclidean,False,linear,0.75,0.5998864926220204,705154,2.7
FaceDetection,InterpretGN,62,FCN,15,1.0,0.0,0.5,euclidean,False,linear,0.5,0.5749148694665154,705154,2.7
FaceDetection,InterpretGN,62,FCN,15,0.1,1.0,2.0,euclidean,False,linear,1.0,0.6118047673098751,705154,2.7
FaceDetection,InterpretGN,62,FCN,15,0.1,1.0,2.0,euclidean,False,linear,0.75,0.6217366628830874,705154,2.7
FaceDetection,InterpretGN,62,FCN,15,0.1,1.0,2.0,euclidean,False,linear,0.5,0.6223041997729852,705154,2.7
FaceDetection,InterpretGN,62,FCN,15,0.1,1.0,1.0,euclidean,False,linear,1.0,0.6174801362088536,705154,2.7
FaceDetection,InterpretGN,62,FCN,15,0.1,1.0,1.0,euclidean,False,linear,0.75,0.6217366628830874,705154,2.7
FaceDetection,InterpretGN,62,FCN,15,0.1,1.0,1.0,euclidean,False,linear,0.5,0.6166288308740068,705154,2.7
FaceDetection,InterpretGN,62,FCN,15,0.1,1.0,0.5,euclidean,False,linear,1.0,0.5961975028376845,705154,2.7
FaceDetection,InterpretGN,62,FCN,15,0.1,1.0,0.5,euclidean,False,linear,0.75,0.6001702610669694,705154,2.7
FaceDetection,InterpretGN,62,FCN,15,0.1,1.0,0.5,euclidean,False,linear,0.5,0.5959137343927355,705154,2.7
FaceDetection,InterpretGN,62,FCN,15,0.1,0.1,2.0,euclidean,False,linear,1.0,0.6245743473325767,705154,2.7
FaceDetection,InterpretGN,62,FCN,15,0.1,0.1,2.0,euclidean,False,linear,0.75,0.623155505107832,705154,2.7
FaceDetection,InterpretGN,62,FCN,15,0.1,0.1,2.0,euclidean,False,linear,0.5,0.6126560726447219,705154,2.7
