data_name,model,seq_len,dnn_type,n_shapelets,lambda_div,lambda_reg,epsilon,distance,memory_efficient,sbm_classifier,gating_value,acc,model_params,model_size (MB)
LSST,InterpretGN,36,FCN,15,1.0,1.0,2.0,euclidean,False,linear,1.0,0.5579886455798865,285760,1.1
LSST,InterpretGN,36,FCN,15,1.0,1.0,2.0,euclidean,False,linear,0.75,0.5721816707218167,285760,1.1
LSST,InterpretGN,36,FCN,15,1.0,1.0,2.0,euclidean,False,linear,0.5,0.5721816707218167,285760,1.1
LSST,InterpretGN,36,FCN,15,1.0,1.0,1.0,euclidean,False,linear,1.0,0.4140308191403082,285760,1.1
LSST,InterpretGN,36,FCN,15,1.0,1.0,1.0,euclidean,False,linear,0.75,0.4120032441200324,285760,1.1
LSST,InterpretGN,36,FCN,15,1.0,1.0,1.0,euclidean,False,linear,0.5,0.42660178426601786,285760,1.1
LSST,InterpretGN,36,FCN,15,1.0,1.0,0.5,euclidean,False,linear,1.0,0.4144363341443633,285760,1.1
LSST,InterpretGN,36,FCN,15,1.0,1.0,0.5,euclidean,False,linear,0.75,0.3637469586374696,285760,1.1
LSST,InterpretGN,36,FCN,15,1.0,1.0,0.5,euclidean,False,linear,0.5,0.35563665855636656,285760,1.1
LSST,InterpretGN,36,FCN,15,1.0,0.1,2.0,euclidean,False,linear,1.0,0.5798864557988646,285760,1.1
LSST,InterpretGN,36,FCN,15,1.0,0.1,2.0,euclidean,False,linear,0.75,0.5806974858069749,285760,1.1
LSST,InterpretGN,36,FCN,15,1.0,0.1,2.0,euclidean,False,linear,0.5,0.570154095701541,285760,1.1
LSST,InterpretGN,36,FCN,15,1.0,0.1,1.0,euclidean,False,linear,1.0,0.4882400648824006,285760,1.1
LSST,InterpretGN,36,FCN,15,1.0,0.1,1.0,euclidean,False,linear,0.75,0.41565287915652877,285760,1.1
LSST,InterpretGN,36,FCN,15,1.0,0.1,1.0,euclidean,False,linear,0.5,0.4233576642335766,285760,1.1
LSST,InterpretGN,36,FCN,15,1.0,0.1,0.5,euclidean,False,linear,1.0,0.3710462287104623,285760,1.1
LSST,InterpretGN,36,FCN,15,1.0,0.1,0.5,euclidean,False,linear,0.75,0.35360908353609083,285760,1.1
LSST,InterpretGN,36,FCN,15,1.0,0.1,0.5,euclidean,False,linear,0.5,0.36171938361719386,285760,1.1
LSST,InterpretGN,36,FCN,15,1.0,0.0,2.0,euclidean,False,linear,1.0,0.5563665855636658,285760,1.1
LSST,InterpretGN,36,FCN,15,1.0,0.0,2.0,euclidean,False,linear,0.75,0.5527169505271695,285760,1.1
LSST,InterpretGN,36,FCN,15,1.0,0.0,2.0,euclidean,False,linear,0.5,0.5725871857258719,285760,1.1
LSST,InterpretGN,36,FCN,15,1.0,0.0,1.0,euclidean,False,linear,1.0,0.4720194647201946,285760,1.1
LSST,InterpretGN,36,FCN,15,1.0,0.0,1.0,euclidean,False,linear,0.75,0.43227899432278993,285760,1.1
LSST,InterpretGN,36,FCN,15,1.0,0.0,1.0,euclidean,False,linear,0.5,0.4854014598540146,285760,1.1
LSST,InterpretGN,36,FCN,15,1.0,0.0,0.5,euclidean,False,linear,1.0,0.36658556366585565,285760,1.1
LSST,InterpretGN,36,FCN,15,1.0,0.0,0.5,euclidean,False,linear,0.75,0.3523925385239254,285760,1.1
LSST,InterpretGN,36,FCN,15,1.0,0.0,0.5,euclidean,False,linear,0.5,0.45012165450121655,285760,1.1
LSST,InterpretGN,36,FCN,15,0.1,1.0,2.0,euclidean,False,linear,1.0,0.5628548256285483,285760,1.1
LSST,InterpretGN,36,FCN,15,0.1,1.0,2.0,euclidean,False,linear,0.75,0.5750202757502028,285760,1.1
LSST,InterpretGN,36,FCN,15,0.1,1.0,2.0,euclidean,False,linear,0.5,0.5385239253852393,285760,1.1
LSST,InterpretGN,36,FCN,15,0.1,1.0,1.0,euclidean,False,linear,1.0,0.402676399026764,285760,1.1
LSST,InterpretGN,36,FCN,15,0.1,1.0,1.0,euclidean,False,linear,0.75,0.44363341443633414,285760,1.1
LSST,InterpretGN,36,FCN,15,0.1,1.0,1.0,euclidean,False,linear,0.5,0.49716139497161393,285760,1.1
LSST,InterpretGN,36,FCN,15,0.1,1.0,0.5,euclidean,False,linear,1.0,0.3629359286293593,285760,1.1
LSST,InterpretGN,36,FCN,15,0.1,1.0,0.5,euclidean,False,linear,0.75,0.36658556366585565,285760,1.1
LSST,InterpretGN,36,FCN,15,0.1,1.0,0.5,euclidean,False,linear,0.5,0.36253041362530414,285760,1.1
LSST,InterpretGN,36,FCN,15,0.1,0.1,2.0,euclidean,False,linear,1.0,0.5884022708840227,285760,1.1
LSST,InterpretGN,36,FCN,15,0.1,0.1,2.0,euclidean,False,linear,0.75,0.5802919708029197,285760,1.1
LSST,InterpretGN,36,FCN,15,0.1,0.1,2.0,euclidean,False,linear,0.5,0.5855636658556367,285760,1.1
LSST,InterpretGN,36,FCN,15,0.1,0.1,1.0,euclidean,False,linear,1.0,0.45660989456609896,285760,1.1
LSST,InterpretGN,36,FCN,15,0.1,0.1,1.0,euclidean,False,linear,0.75,0.46715328467153283,285760,1.1
LSST,InterpretGN,36,FCN,15,0.1,0.1,1.0,euclidean,False,linear,0.5,0.41565287915652877,285760,1.1
LSST,InterpretGN,36,FCN,15,0.1,0.1,0.5,euclidean,False,linear,1.0,0.3742903487429035,285760,1.1
LSST,InterpretGN,36,FCN,15,0.1,0.1,0.5,euclidean,False,linear,0.75,0.354014598540146,285760,1.1
LSST,InterpretGN,36,FCN,15,0.1,0.1,0.5,euclidean,False,linear,0.5,0.36171938361719386,285760,1.1
LSST,InterpretGN,36,FCN,15,0.1,0.0,2.0,euclidean,False,linear,1.0,0.5794809407948094,285760,1.1
LSST,InterpretGN,36,FCN,15,0.1,0.0,2.0,euclidean,False,linear,0.75,0.5535279805352799,285760,1.1
LSST,InterpretGN,36,FCN,15,0.1,0.0,2.0,euclidean,False,linear,0.5,0.5677210056772101,285760,1.1
LSST,InterpretGN,36,FCN,15,0.1,0.0,1.0,euclidean,False,linear,1.0,0.4955393349553934,285760,1.1
LSST,InterpretGN,36,FCN,15,0.1,0.0,1.0,euclidean,False,linear,0.75,0.48094079480940793,285760,1.1
LSST,InterpretGN,36,FCN,15,0.1,0.0,1.0,euclidean,False,linear,0.5,0.4602595296025953,285760,1.1
LSST,InterpretGN,36,FCN,15,0.1,0.0,0.5,euclidean,False,linear,1.0,0.3605028386050284,285760,1.1
LSST,InterpretGN,36,FCN,15,0.1,0.0,0.5,euclidean,False,linear,0.75,0.3564476885644769,285760,1.1
LSST,InterpretGN,36,FCN,15,0.1,0.0,0.5,euclidean,False,linear,0.5,0.36496350364963503,285760,1.1
LSST,InterpretGN,36,FCN,15,0.0,1.0,2.0,euclidean,False,linear,1.0,0.5815085158150851,285760,1.1
LSST,InterpretGN,36,FCN,15,0.0,1.0,2.0,euclidean,False,linear,0.75,0.5790754257907542,285760,1.1
LSST,InterpretGN,36,FCN,15,0.0,1.0,2.0,euclidean,False,linear,0.5,0.5746147607461476,285760,1.1
LSST,InterpretGN,36,FCN,15,0.0,1.0,1.0,euclidean,False,linear,1.0,0.43309002433090027,285760,1.1
LSST,InterpretGN,36,FCN,15,0.0,1.0,1.0,euclidean,False,linear,0.75,0.4440389294403893,285760,1.1
LSST,InterpretGN,36,FCN,15,0.0,1.0,1.0,euclidean,False,linear,0.5,0.46228710462287104,285760,1.1
LSST,InterpretGN,36,FCN,15,0.0,1.0,0.5,euclidean,False,linear,1.0,0.36253041362530414,285760,1.1
LSST,InterpretGN,36,FCN,15,0.0,1.0,0.5,euclidean,False,linear,0.75,0.35523114355231145,285760,1.1
LSST,InterpretGN,36,FCN,15,0.0,1.0,0.5,euclidean,False,linear,0.5,0.3657745336577453,285760,1.1
LSST,InterpretGN,36,FCN,15,0.0,0.1,2.0,euclidean,False,linear,1.0,0.5677210056772101,285760,1.1
LSST,InterpretGN,36,FCN,15,0.0,0.1,2.0,euclidean,False,linear,0.75,0.551500405515004,285760,1.1
LSST,InterpretGN,36,FCN,15,0.0,0.1,2.0,euclidean,False,linear,0.5,0.5490673154906731,285760,1.1
LSST,InterpretGN,36,FCN,15,0.0,0.1,1.0,euclidean,False,linear,1.0,0.4610705596107056,285760,1.1
LSST,InterpretGN,36,FCN,15,0.0,0.1,1.0,euclidean,False,linear,0.75,0.4951338199513382,285760,1.1
LSST,InterpretGN,36,FCN,15,0.0,0.1,1.0,euclidean,False,linear,0.5,0.4630981346309814,285760,1.1
LSST,InterpretGN,36,FCN,15,0.0,0.1,0.5,euclidean,False,linear,1.0,0.3682076236820762,285760,1.1
LSST,InterpretGN,36,FCN,15,0.0,0.1,0.5,euclidean,False,linear,0.75,0.3751013787510138,285760,1.1
LSST,InterpretGN,36,FCN,15,0.0,0.1,0.5,euclidean,False,linear,0.5,0.3909164639091646,285760,1.1
LSST,InterpretGN,36,FCN,15,0.0,0.0,2.0,euclidean,False,linear,1.0,0.5774533657745337,285760,1.1
LSST,InterpretGN,36,FCN,15,0.0,0.0,2.0,euclidean,False,linear,0.75,0.5709651257096513,285760,1.1
LSST,InterpretGN,36,FCN,15,0.0,0.0,2.0,euclidean,False,linear,0.5,0.5957015409570154,285760,1.1
LSST,InterpretGN,36,FCN,15,0.0,0.0,1.0,euclidean,False,linear,1.0,0.4480940794809408,285760,1.1
LSST,InterpretGN,36,FCN,15,0.0,0.0,1.0,euclidean,False,linear,0.75,0.4781021897810219,285760,1.1
LSST,InterpretGN,36,FCN,15,0.0,0.0,1.0,euclidean,False,linear,0.5,0.45904298459042986,285760,1.1
LSST,InterpretGN,36,FCN,15,0.0,0.0,0.5,euclidean,False,linear,1.0,0.37834549878345497,285760,1.1
LSST,InterpretGN,36,FCN,15,0.0,0.0,0.5,euclidean,False,linear,0.75,0.3746958637469586,285760,1.1
LSST,InterpretGN,36,FCN,15,0.0,0.0,0.5,euclidean,False,linear,0.5,0.36496350364963503,285760,1.1
LSST,InterpretGN,36,FCN,10,1.0,1.0,2.0,euclidean,False,linear,1.0,0.3572587185725872,281050,1.09
LSST,InterpretGN,36,FCN,10,1.0,1.0,2.0,euclidean,False,linear,0.75,0.3609083536090835,281050,1.09
LSST,InterpretGN,36,FCN,10,1.0,1.0,2.0,euclidean,False,linear,0.5,0.3726682887266829,281050,1.09
LSST,InterpretGN,36,FCN,10,1.0,1.0,1.0,euclidean,False,linear,1.0,0.45742092457420924,281050,1.09
LSST,InterpretGN,36,FCN,10,1.0,1.0,1.0,euclidean,False,linear,0.75,0.5113544201135442,281050,1.09
LSST,InterpretGN,36,FCN,10,1.0,1.0,1.0,euclidean,False,linear,0.5,0.43227899432278993,281050,1.09
LSST,InterpretGN,36,FCN,10,1.0,1.0,0.5,euclidean,False,linear,1.0,0.39010543390105434,281050,1.09
LSST,InterpretGN,36,FCN,10,1.0,1.0,0.5,euclidean,False,linear,0.75,0.3824006488240065,281050,1.09
LSST,InterpretGN,36,FCN,10,1.0,1.0,0.5,euclidean,False,linear,0.5,0.370235198702352,281050,1.09
LSST,InterpretGN,36,FCN,10,1.0,0.1,2.0,euclidean,False,linear,1.0,0.3613138686131387,281050,1.09
LSST,InterpretGN,36,FCN,10,1.0,0.1,2.0,euclidean,False,linear,0.75,0.3767234387672344,281050,1.09
LSST,InterpretGN,36,FCN,10,1.0,0.1,2.0,euclidean,False,linear,0.5,0.3515815085158151,281050,1.09
LSST,InterpretGN,36,FCN,10,1.0,0.1,1.0,euclidean,False,linear,1.0,0.4416058394160584,281050,1.09
LSST,InterpretGN,36,FCN,10,1.0,0.1,1.0,euclidean,False,linear,0.75,0.44931062449310627,281050,1.09
LSST,InterpretGN,36,FCN,10,1.0,0.1,1.0,euclidean,False,linear,0.5,0.46390916463909165,281050,1.09
LSST,InterpretGN,36,FCN,10,1.0,0.1,0.5,euclidean,False,linear,1.0,0.36982968369829683,281050,1.09
LSST,InterpretGN,36,FCN,10,1.0,0.1,0.5,euclidean,False,linear,0.75,0.3519870235198702,281050,1.09
LSST,InterpretGN,36,FCN,10,1.0,0.1,0.5,euclidean,False,linear,0.5,0.37145174371451745,281050,1.09
LSST,InterpretGN,36,FCN,10,1.0,0.0,2.0,euclidean,False,linear,1.0,0.5543390105433901,281050,1.09
LSST,InterpretGN,36,FCN,10,1.0,0.0,2.0,euclidean,False,linear,0.75,0.5474452554744526,281050,1.09
LSST,InterpretGN,36,FCN,10,1.0,0.0,2.0,euclidean,False,linear,0.5,0.5454176804541768,281050,1.09
LSST,InterpretGN,36,FCN,10,1.0,0.0,1.0,euclidean,False,linear,1.0,0.4367396593673966,281050,1.09
LSST,InterpretGN,36,FCN,10,1.0,0.0,1.0,euclidean,False,linear,0.75,0.42700729927007297,281050,1.09
LSST,InterpretGN,36,FCN,10,1.0,0.0,1.0,euclidean,False,linear,0.5,0.4440389294403893,281050,1.09
LSST,InterpretGN,36,FCN,10,1.0,0.0,0.5,euclidean,False,linear,1.0,0.354014598540146,281050,1.09
LSST,InterpretGN,36,FCN,10,1.0,0.0,0.5,euclidean,False,linear,0.75,0.35563665855636656,281050,1.09
LSST,InterpretGN,36,FCN,10,1.0,0.0,0.5,euclidean,False,linear,0.5,0.39659367396593675,281050,1.09
LSST,InterpretGN,36,FCN,10,0.1,1.0,2.0,euclidean,False,linear,1.0,0.35320356853203566,281050,1.09
LSST,InterpretGN,36,FCN,10,0.1,1.0,2.0,euclidean,False,linear,0.75,0.3653690186536902,281050,1.09
LSST,InterpretGN,36,FCN,10,0.1,1.0,2.0,euclidean,False,linear,0.5,0.35320356853203566,281050,1.09
LSST,InterpretGN,36,FCN,10,0.1,1.0,1.0,euclidean,False,linear,1.0,0.4059205190592052,281050,1.09
LSST,InterpretGN,36,FCN,10,0.1,1.0,1.0,euclidean,False,linear,0.75,0.4375506893755069,281050,1.09
LSST,InterpretGN,36,FCN,10,0.1,1.0,1.0,euclidean,False,linear,0.5,0.40551500405515006,281050,1.09
LSST,InterpretGN,36,FCN,10,0.1,1.0,0.5,euclidean,False,linear,1.0,0.34874290348742903,281050,1.09
LSST,InterpretGN,36,FCN,10,0.1,1.0,0.5,euclidean,False,linear,0.75,0.37550689375506896,281050,1.09
LSST,InterpretGN,36,FCN,10,0.1,1.0,0.5,euclidean,False,linear,0.5,0.36212489862124897,281050,1.09
LSST,InterpretGN,36,FCN,10,0.1,0.1,2.0,euclidean,False,linear,1.0,0.36496350364963503,281050,1.09
LSST,InterpretGN,36,FCN,10,0.1,0.1,2.0,euclidean,False,linear,0.75,0.34793187347931875,281050,1.09
LSST,InterpretGN,36,FCN,10,0.1,0.1,2.0,euclidean,False,linear,0.5,0.3596918085969181,281050,1.09
LSST,InterpretGN,36,FCN,10,0.1,0.1,1.0,euclidean,False,linear,1.0,0.41038118410381186,281050,1.09
LSST,InterpretGN,36,FCN,10,0.1,0.1,1.0,euclidean,False,linear,0.75,0.4407948094079481,281050,1.09
LSST,InterpretGN,36,FCN,10,0.1,0.1,1.0,euclidean,False,linear,0.5,0.3633414436334144,281050,1.09
LSST,InterpretGN,36,FCN,10,0.1,0.1,0.5,euclidean,False,linear,1.0,0.3722627737226277,281050,1.09
LSST,InterpretGN,36,FCN,10,0.1,0.1,0.5,euclidean,False,linear,0.75,0.36982968369829683,281050,1.09
LSST,InterpretGN,36,FCN,10,0.1,0.1,0.5,euclidean,False,linear,0.5,0.3544201135442011,281050,1.09
LSST,InterpretGN,36,FCN,10,0.1,0.0,2.0,euclidean,False,linear,1.0,0.5636658556366586,281050,1.09
LSST,InterpretGN,36,FCN,10,0.1,0.0,2.0,euclidean,False,linear,0.75,0.559610705596107,281050,1.09
LSST,InterpretGN,36,FCN,10,0.1,0.0,2.0,euclidean,False,linear,0.5,0.5523114355231143,281050,1.09
LSST,InterpretGN,36,FCN,10,0.1,0.0,1.0,euclidean,False,linear,1.0,0.4120032441200324,281050,1.09
LSST,InterpretGN,36,FCN,10,0.1,0.0,1.0,euclidean,False,linear,0.75,0.41565287915652877,281050,1.09
LSST,InterpretGN,36,FCN,10,0.1,0.0,1.0,euclidean,False,linear,0.5,0.4047039740470397,281050,1.09
LSST,InterpretGN,36,FCN,10,0.1,0.0,0.5,euclidean,False,linear,1.0,0.35523114355231145,281050,1.09
