data_name,model,seq_len,dnn_type,n_shapelets,lambda_div,lambda_reg,epsilon,distance,memory_efficient,sbm_classifier,gating_value,acc,model_params,model_size (MB)
PEMS-SF,InterpretGN,144,FCN,15,1.0,1.0,2.0,euclidean,False,linear,1.0,0.8497109826589595,5959765,22.75
PEMS-SF,InterpretGN,144,FCN,15,1.0,1.0,2.0,euclidean,False,linear,0.75,0.8323699421965318,5959765,22.75
PEMS-SF,InterpretGN,144,FCN,15,1.0,1.0,2.0,euclidean,False,linear,0.5,0.838150289017341,5959765,22.75
PEMS-SF,InterpretGN,144,FCN,15,1.0,1.0,1.0,euclidean,False,linear,1.0,0.4508670520231214,5959765,22.75
PEMS-SF,InterpretGN,144,FCN,15,1.0,1.0,1.0,euclidean,False,linear,0.75,0.5722543352601156,5959765,22.75
PEMS-SF,InterpretGN,144,FCN,15,1.0,1.0,1.0,euclidean,False,linear,0.5,0.30057803468208094,5959765,22.75
PEMS-SF,InterpretGN,144,FCN,15,1.0,1.0,0.5,euclidean,False,linear,1.0,0.3236994219653179,5959765,22.75
PEMS-SF,InterpretGN,144,FCN,15,1.0,1.0,0.5,euclidean,False,linear,0.75,0.15606936416184972,5959765,22.75
PEMS-SF,InterpretGN,144,FCN,15,1.0,1.0,0.5,euclidean,False,linear,0.5,0.2947976878612717,5959765,22.75
PEMS-SF,InterpretGN,144,FCN,15,1.0,0.1,2.0,euclidean,False,linear,1.0,0.8497109826589595,5959765,22.75
PEMS-SF,InterpretGN,144,FCN,15,1.0,0.1,2.0,euclidean,False,linear,0.75,0.8323699421965318,5959765,22.75
PEMS-SF,InterpretGN,144,FCN,15,1.0,0.1,2.0,euclidean,False,linear,0.5,0.6473988439306358,5959765,22.75
PEMS-SF,InterpretGN,144,FCN,15,1.0,0.1,1.0,euclidean,False,linear,1.0,0.5375722543352601,5959765,22.75
PEMS-SF,InterpretGN,144,FCN,15,1.0,0.1,1.0,euclidean,False,linear,0.75,0.43352601156069365,5959765,22.75
PEMS-SF,InterpretGN,144,FCN,15,1.0,0.1,1.0,euclidean,False,linear,0.5,0.3236994219653179,5959765,22.75
PEMS-SF,InterpretGN,144,FCN,15,1.0,0.1,0.5,euclidean,False,linear,1.0,0.32947976878612717,5959765,22.75
PEMS-SF,InterpretGN,144,FCN,15,1.0,0.1,0.5,euclidean,False,linear,0.75,0.2947976878612717,5959765,22.75
PEMS-SF,InterpretGN,144,FCN,15,1.0,0.1,0.5,euclidean,False,linear,0.5,0.3236994219653179,5959765,22.75
PEMS-SF,InterpretGN,144,FCN,15,1.0,0.0,2.0,euclidean,False,linear,1.0,0.8497109826589595,5959765,22.75
PEMS-SF,InterpretGN,144,FCN,15,1.0,0.0,2.0,euclidean,False,linear,0.75,0.8439306358381503,5959765,22.75
PEMS-SF,InterpretGN,144,FCN,15,1.0,0.0,2.0,euclidean,False,linear,0.5,0.8439306358381503,5959765,22.75
PEMS-SF,InterpretGN,144,FCN,15,1.0,0.0,1.0,euclidean,False,linear,1.0,0.6763005780346821,5959765,22.75
PEMS-SF,InterpretGN,144,FCN,15,1.0,0.0,1.0,euclidean,False,linear,0.75,0.6994219653179191,5959765,22.75
PEMS-SF,InterpretGN,144,FCN,15,1.0,0.0,1.0,euclidean,False,linear,0.5,0.34104046242774566,5959765,22.75
PEMS-SF,InterpretGN,144,FCN,15,1.0,0.0,0.5,euclidean,False,linear,1.0,0.17341040462427745,5959765,22.75
PEMS-SF,InterpretGN,144,FCN,15,1.0,0.0,0.5,euclidean,False,linear,0.75,0.28901734104046245,5959765,22.75
PEMS-SF,InterpretGN,144,FCN,15,1.0,0.0,0.5,euclidean,False,linear,0.5,0.3179190751445087,5959765,22.75
PEMS-SF,InterpretGN,144,FCN,15,0.1,1.0,2.0,euclidean,False,linear,1.0,0.8554913294797688,5959765,22.75
PEMS-SF,InterpretGN,144,FCN,15,0.1,1.0,2.0,euclidean,False,linear,0.75,0.8554913294797688,5959765,22.75
PEMS-SF,InterpretGN,144,FCN,15,0.1,1.0,2.0,euclidean,False,linear,0.5,0.838150289017341,5959765,22.75
PEMS-SF,InterpretGN,144,FCN,15,0.1,1.0,1.0,euclidean,False,linear,1.0,0.6184971098265896,5959765,22.75
PEMS-SF,InterpretGN,144,FCN,15,0.1,1.0,1.0,euclidean,False,linear,0.75,0.5606936416184971,5959765,22.75
PEMS-SF,InterpretGN,144,FCN,15,0.1,1.0,1.0,euclidean,False,linear,0.5,0.3583815028901734,5959765,22.75
PEMS-SF,InterpretGN,144,FCN,15,0.1,1.0,0.5,euclidean,False,linear,1.0,0.32947976878612717,5959765,22.75
PEMS-SF,InterpretGN,144,FCN,15,0.1,1.0,0.5,euclidean,False,linear,0.75,0.2658959537572254,5959765,22.75
PEMS-SF,InterpretGN,144,FCN,15,0.1,1.0,0.5,euclidean,False,linear,0.5,0.17341040462427745,5959765,22.75
PEMS-SF,InterpretGN,144,FCN,15,0.1,0.1,2.0,euclidean,False,linear,1.0,0.8497109826589595,5959765,22.75
PEMS-SF,InterpretGN,144,FCN,15,0.1,0.1,2.0,euclidean,False,linear,0.75,0.8265895953757225,5959765,22.75
PEMS-SF,InterpretGN,144,FCN,15,0.1,0.1,2.0,euclidean,False,linear,0.5,0.8265895953757225,5959765,22.75
PEMS-SF,InterpretGN,144,FCN,15,0.1,0.1,1.0,euclidean,False,linear,1.0,0.6820809248554913,5959765,22.75
PEMS-SF,InterpretGN,144,FCN,15,0.1,0.1,1.0,euclidean,False,linear,0.75,0.4797687861271676,5959765,22.75
PEMS-SF,InterpretGN,144,FCN,15,0.1,0.1,1.0,euclidean,False,linear,0.5,0.3815028901734104,5959765,22.75
PEMS-SF,InterpretGN,144,FCN,15,0.1,0.1,0.5,euclidean,False,linear,1.0,0.3179190751445087,5959765,22.75
PEMS-SF,InterpretGN,144,FCN,15,0.1,0.1,0.5,euclidean,False,linear,0.75,0.24855491329479767,5959765,22.75
PEMS-SF,InterpretGN,144,FCN,15,0.1,0.1,0.5,euclidean,False,linear,0.5,0.3063583815028902,5959765,22.75
PEMS-SF,InterpretGN,144,FCN,15,0.1,0.0,2.0,euclidean,False,linear,1.0,0.838150289017341,5959765,22.75
PEMS-SF,InterpretGN,144,FCN,15,0.1,0.0,2.0,euclidean,False,linear,0.75,0.8208092485549133,5959765,22.75
PEMS-SF,InterpretGN,144,FCN,15,0.1,0.0,2.0,euclidean,False,linear,0.5,0.861271676300578,5959765,22.75
PEMS-SF,InterpretGN,144,FCN,15,0.1,0.0,1.0,euclidean,False,linear,1.0,0.5375722543352601,5959765,22.75
PEMS-SF,InterpretGN,144,FCN,15,0.1,0.0,1.0,euclidean,False,linear,0.75,0.28901734104046245,5959765,22.75
PEMS-SF,InterpretGN,144,FCN,15,0.1,0.0,1.0,euclidean,False,linear,0.5,0.4161849710982659,5959765,22.75
PEMS-SF,InterpretGN,144,FCN,15,0.1,0.0,0.5,euclidean,False,linear,1.0,0.17341040462427745,5959765,22.75
PEMS-SF,InterpretGN,144,FCN,15,0.1,0.0,0.5,euclidean,False,linear,0.75,0.3815028901734104,5959765,22.75
PEMS-SF,InterpretGN,144,FCN,15,0.1,0.0,0.5,euclidean,False,linear,0.5,0.24855491329479767,5959765,22.75
PEMS-SF,InterpretGN,144,FCN,15,0.0,1.0,2.0,euclidean,False,linear,1.0,0.791907514450867,5959765,22.75
PEMS-SF,InterpretGN,144,FCN,15,0.0,1.0,2.0,euclidean,False,linear,0.75,0.8323699421965318,5959765,22.75
PEMS-SF,InterpretGN,144,FCN,15,0.0,1.0,2.0,euclidean,False,linear,0.5,0.8497109826589595,5959765,22.75
PEMS-SF,InterpretGN,144,FCN,15,0.0,1.0,1.0,euclidean,False,linear,1.0,0.4277456647398844,5959765,22.75
PEMS-SF,InterpretGN,144,FCN,15,0.0,1.0,1.0,euclidean,False,linear,0.75,0.44508670520231214,5959765,22.75
PEMS-SF,InterpretGN,144,FCN,15,0.0,1.0,1.0,euclidean,False,linear,0.5,0.3179190751445087,5959765,22.75
PEMS-SF,InterpretGN,144,FCN,15,0.0,1.0,0.5,euclidean,False,linear,1.0,0.3179190751445087,5959765,22.75
PEMS-SF,InterpretGN,144,FCN,15,0.0,1.0,0.5,euclidean,False,linear,0.75,0.4161849710982659,5959765,22.75
PEMS-SF,InterpretGN,144,FCN,15,0.0,1.0,0.5,euclidean,False,linear,0.5,0.30057803468208094,5959765,22.75
PEMS-SF,InterpretGN,144,FCN,15,0.0,0.1,2.0,euclidean,False,linear,1.0,0.8323699421965318,5959765,22.75
PEMS-SF,InterpretGN,144,FCN,15,0.0,0.1,2.0,euclidean,False,linear,0.75,0.8265895953757225,5959765,22.75
PEMS-SF,InterpretGN,144,FCN,15,0.0,0.1,2.0,euclidean,False,linear,0.5,0.838150289017341,5959765,22.75
PEMS-SF,InterpretGN,144,FCN,15,0.0,0.1,1.0,euclidean,False,linear,1.0,0.47398843930635837,5959765,22.75
PEMS-SF,InterpretGN,144,FCN,15,0.0,0.1,1.0,euclidean,False,linear,0.75,0.5780346820809249,5959765,22.75
PEMS-SF,InterpretGN,144,FCN,15,0.0,0.1,1.0,euclidean,False,linear,0.5,0.5722543352601156,5959765,22.75
PEMS-SF,InterpretGN,144,FCN,15,0.0,0.1,0.5,euclidean,False,linear,1.0,0.2254335260115607,5959765,22.75
PEMS-SF,InterpretGN,144,FCN,15,0.0,0.1,0.5,euclidean,False,linear,0.75,0.17341040462427745,5959765,22.75
PEMS-SF,InterpretGN,144,FCN,15,0.0,0.1,0.5,euclidean,False,linear,0.5,0.3179190751445087,5959765,22.75
PEMS-SF,InterpretGN,144,FCN,15,0.0,0.0,2.0,euclidean,False,linear,1.0,0.8439306358381503,5959765,22.75
PEMS-SF,InterpretGN,144,FCN,15,0.0,0.0,2.0,euclidean,False,linear,0.75,0.838150289017341,5959765,22.75
PEMS-SF,InterpretGN,144,FCN,15,0.0,0.0,2.0,euclidean,False,linear,0.5,0.8439306358381503,5959765,22.75
PEMS-SF,InterpretGN,144,FCN,15,0.0,0.0,1.0,euclidean,False,linear,1.0,0.5838150289017341,5959765,22.75
PEMS-SF,InterpretGN,144,FCN,15,0.0,0.0,1.0,euclidean,False,linear,0.75,0.3236994219653179,5959765,22.75
PEMS-SF,InterpretGN,144,FCN,15,0.0,0.0,1.0,euclidean,False,linear,0.5,0.3988439306358382,5959765,22.75
PEMS-SF,InterpretGN,144,FCN,15,0.0,0.0,0.5,euclidean,False,linear,1.0,0.2832369942196532,5959765,22.75
PEMS-SF,InterpretGN,144,FCN,15,0.0,0.0,0.5,euclidean,False,linear,0.75,0.21965317919075145,5959765,22.75
PEMS-SF,InterpretGN,144,FCN,15,0.0,0.0,0.5,euclidean,False,linear,0.5,0.24855491329479767,5959765,22.75
PEMS-SF,InterpretGN,144,FCN,10,1.0,1.0,2.0,euclidean,False,linear,1.0,0.8208092485549133,4390075,16.76
PEMS-SF,InterpretGN,144,FCN,10,1.0,1.0,2.0,euclidean,False,linear,0.75,0.8497109826589595,4390075,16.76
PEMS-SF,InterpretGN,144,FCN,10,1.0,1.0,2.0,euclidean,False,linear,0.5,0.8439306358381503,4390075,16.76
PEMS-SF,InterpretGN,144,FCN,10,1.0,1.0,1.0,euclidean,False,linear,1.0,0.32947976878612717,4390075,16.76
PEMS-SF,InterpretGN,144,FCN,10,1.0,1.0,1.0,euclidean,False,linear,0.75,0.4682080924855491,4390075,16.76
PEMS-SF,InterpretGN,144,FCN,10,1.0,1.0,1.0,euclidean,False,linear,0.5,0.653179190751445,4390075,16.76
PEMS-SF,InterpretGN,144,FCN,10,1.0,1.0,0.5,euclidean,False,linear,1.0,0.2947976878612717,4390075,16.76
PEMS-SF,InterpretGN,144,FCN,10,1.0,1.0,0.5,euclidean,False,linear,0.75,0.27167630057803466,4390075,16.76
PEMS-SF,InterpretGN,144,FCN,10,1.0,1.0,0.5,euclidean,False,linear,0.5,0.3236994219653179,4390075,16.76
PEMS-SF,InterpretGN,144,FCN,10,1.0,0.1,2.0,euclidean,False,linear,1.0,0.815028901734104,4390075,16.76
PEMS-SF,InterpretGN,144,FCN,10,1.0,0.1,2.0,euclidean,False,linear,0.75,0.8439306358381503,4390075,16.76
PEMS-SF,InterpretGN,144,FCN,10,1.0,0.1,2.0,euclidean,False,linear,0.5,0.8439306358381503,4390075,16.76
PEMS-SF,InterpretGN,144,FCN,10,1.0,0.1,1.0,euclidean,False,linear,1.0,0.6705202312138728,4390075,16.76
PEMS-SF,InterpretGN,144,FCN,10,1.0,0.1,1.0,euclidean,False,linear,0.75,0.30057803468208094,4390075,16.76
PEMS-SF,InterpretGN,144,FCN,10,1.0,0.1,1.0,euclidean,False,linear,0.5,0.26011560693641617,4390075,16.76
PEMS-SF,InterpretGN,144,FCN,10,1.0,0.1,0.5,euclidean,False,linear,1.0,0.17341040462427745,4390075,16.76
PEMS-SF,InterpretGN,144,FCN,10,1.0,0.1,0.5,euclidean,False,linear,0.75,0.26011560693641617,4390075,16.76
PEMS-SF,InterpretGN,144,FCN,10,1.0,0.1,0.5,euclidean,False,linear,0.5,0.2023121387283237,4390075,16.76
PEMS-SF,InterpretGN,144,FCN,10,1.0,0.0,2.0,euclidean,False,linear,1.0,0.8323699421965318,4390075,16.76
PEMS-SF,InterpretGN,144,FCN,10,1.0,0.0,2.0,euclidean,False,linear,0.75,0.8265895953757225,4390075,16.76
PEMS-SF,InterpretGN,144,FCN,10,1.0,0.0,2.0,euclidean,False,linear,0.5,0.8439306358381503,4390075,16.76
PEMS-SF,InterpretGN,144,FCN,10,1.0,0.0,1.0,euclidean,False,linear,1.0,0.3063583815028902,4390075,16.76
PEMS-SF,InterpretGN,144,FCN,10,1.0,0.0,1.0,euclidean,False,linear,0.75,0.5375722543352601,4390075,16.76
PEMS-SF,InterpretGN,144,FCN,10,1.0,0.0,1.0,euclidean,False,linear,0.5,0.5606936416184971,4390075,16.76
PEMS-SF,InterpretGN,144,FCN,10,1.0,0.0,0.5,euclidean,False,linear,1.0,0.3815028901734104,4390075,16.76
