data_name,model,seq_len,dnn_type,n_shapelets,lambda_div,lambda_reg,epsilon,distance,memory_efficient,sbm_classifier,gating_value,acc,model_params,model_size (MB)
SelfRegulationSCP2,InterpretGN,1152,FCN,15,1.0,1.0,2.0,euclidean,False,linear,1.0,0.5555555555555556,508511,1.95
SelfRegulationSCP2,InterpretGN,1152,FCN,15,1.0,1.0,2.0,euclidean,False,linear,0.75,0.5555555555555556,508511,1.95
SelfRegulationSCP2,InterpretGN,1152,FCN,15,1.0,1.0,2.0,euclidean,False,linear,0.5,0.5555555555555556,508511,1.95
SelfRegulationSCP2,InterpretGN,1152,FCN,15,1.0,1.0,1.0,euclidean,False,linear,1.0,0.5444444444444444,508511,1.95
SelfRegulationSCP2,InterpretGN,1152,FCN,15,1.0,1.0,1.0,euclidean,False,linear,0.75,0.5444444444444444,508511,1.95
SelfRegulationSCP2,InterpretGN,1152,FCN,15,1.0,1.0,1.0,euclidean,False,linear,0.5,0.5444444444444444,508511,1.95
SelfRegulationSCP2,InterpretGN,1152,FCN,15,1.0,1.0,0.5,euclidean,False,linear,1.0,0.5555555555555556,508511,1.95
SelfRegulationSCP2,InterpretGN,1152,FCN,15,1.0,1.0,0.5,euclidean,False,linear,0.75,0.5555555555555556,508511,1.95
SelfRegulationSCP2,InterpretGN,1152,FCN,15,1.0,1.0,0.5,euclidean,False,linear,0.5,0.5555555555555556,508511,1.95
SelfRegulationSCP2,InterpretGN,1152,FCN,15,1.0,0.1,2.0,euclidean,False,linear,1.0,0.5555555555555556,508511,1.95
SelfRegulationSCP2,InterpretGN,1152,FCN,15,1.0,0.1,2.0,euclidean,False,linear,0.75,0.5611111111111111,508511,1.95
SelfRegulationSCP2,InterpretGN,1152,FCN,15,1.0,0.1,2.0,euclidean,False,linear,0.5,0.5611111111111111,508511,1.95
SelfRegulationSCP2,InterpretGN,1152,FCN,15,1.0,0.1,1.0,euclidean,False,linear,1.0,0.5388888888888889,508511,1.95
SelfRegulationSCP2,InterpretGN,1152,FCN,15,1.0,0.1,1.0,euclidean,False,linear,0.75,0.5444444444444444,508511,1.95
SelfRegulationSCP2,InterpretGN,1152,FCN,15,1.0,0.1,1.0,euclidean,False,linear,0.5,0.5388888888888889,508511,1.95
SelfRegulationSCP2,InterpretGN,1152,FCN,15,1.0,0.1,0.5,euclidean,False,linear,1.0,0.5611111111111111,508511,1.95
SelfRegulationSCP2,InterpretGN,1152,FCN,15,1.0,0.1,0.5,euclidean,False,linear,0.75,0.5555555555555556,508511,1.95
SelfRegulationSCP2,InterpretGN,1152,FCN,15,1.0,0.1,0.5,euclidean,False,linear,0.5,0.5555555555555556,508511,1.95
SelfRegulationSCP2,InterpretGN,1152,FCN,15,1.0,0.0,2.0,euclidean,False,linear,1.0,0.55,508511,1.95
