data_name,model,seq_len,dnn_type,n_shapelets,lambda_div,lambda_reg,epsilon,distance,memory_efficient,sbm_classifier,gating_value,acc,model_params,model_size (MB)
UWaveGestureLibrary,InterpretGN,315,FCN,15,1.0,1.0,2.0,euclidean,False,linear,1.0,0.884375,297664,1.15
UWaveGestureLibrary,InterpretGN,315,FCN,15,1.0,1.0,2.0,euclidean,False,linear,0.75,0.86875,297664,1.15
UWaveGestureLibrary,InterpretGN,315,FCN,15,1.0,1.0,2.0,euclidean,False,linear,0.5,0.859375,297664,1.15
UWaveGestureLibrary,InterpretGN,315,FCN,15,1.0,1.0,1.0,euclidean,False,linear,1.0,0.86875,297664,1.15
UWaveGestureLibrary,InterpretGN,315,FCN,15,1.0,1.0,1.0,euclidean,False,linear,0.75,0.875,297664,1.15
UWaveGestureLibrary,InterpretGN,315,FCN,15,1.0,1.0,1.0,euclidean,False,linear,0.5,0.875,297664,1.15
UWaveGestureLibrary,InterpretGN,315,FCN,15,1.0,1.0,0.5,euclidean,False,linear,1.0,0.85625,297664,1.15
UWaveGestureLibrary,InterpretGN,315,FCN,15,1.0,1.0,0.5,euclidean,False,linear,0.75,0.884375,297664,1.15
UWaveGestureLibrary,InterpretGN,315,FCN,15,1.0,1.0,0.5,euclidean,False,linear,0.5,0.8625,297664,1.15
UWaveGestureLibrary,InterpretGN,315,FCN,15,1.0,0.1,2.0,euclidean,False,linear,1.0,0.878125,297664,1.15
UWaveGestureLibrary,InterpretGN,315,FCN,15,1.0,0.1,2.0,euclidean,False,linear,0.75,0.875,297664,1.15
UWaveGestureLibrary,InterpretGN,315,FCN,15,1.0,0.1,2.0,euclidean,False,linear,0.5,0.86875,297664,1.15
UWaveGestureLibrary,InterpretGN,315,FCN,15,1.0,0.1,1.0,euclidean,False,linear,1.0,0.85625,297664,1.15
UWaveGestureLibrary,InterpretGN,315,FCN,15,1.0,0.1,1.0,euclidean,False,linear,0.75,0.878125,297664,1.15
UWaveGestureLibrary,InterpretGN,315,FCN,15,1.0,0.1,1.0,euclidean,False,linear,0.5,0.878125,297664,1.15
UWaveGestureLibrary,InterpretGN,315,FCN,15,1.0,0.1,0.5,euclidean,False,linear,1.0,0.859375,297664,1.15
UWaveGestureLibrary,InterpretGN,315,FCN,15,1.0,0.1,0.5,euclidean,False,linear,0.75,0.86875,297664,1.15
UWaveGestureLibrary,InterpretGN,315,FCN,15,1.0,0.1,0.5,euclidean,False,linear,0.5,0.865625,297664,1.15
UWaveGestureLibrary,InterpretGN,315,FCN,15,1.0,0.0,2.0,euclidean,False,linear,1.0,0.875,297664,1.15
UWaveGestureLibrary,InterpretGN,315,FCN,15,1.0,0.0,2.0,euclidean,False,linear,0.75,0.875,297664,1.15
UWaveGestureLibrary,InterpretGN,315,FCN,15,1.0,0.0,2.0,euclidean,False,linear,0.5,0.859375,297664,1.15
UWaveGestureLibrary,InterpretGN,315,FCN,15,1.0,0.0,1.0,euclidean,False,linear,1.0,0.871875,297664,1.15
UWaveGestureLibrary,InterpretGN,315,FCN,15,1.0,0.0,1.0,euclidean,False,linear,0.75,0.8625,297664,1.15
UWaveGestureLibrary,InterpretGN,315,FCN,15,1.0,0.0,1.0,euclidean,False,linear,0.5,0.86875,297664,1.15
UWaveGestureLibrary,InterpretGN,315,FCN,15,1.0,0.0,0.5,euclidean,False,linear,1.0,0.865625,297664,1.15
UWaveGestureLibrary,InterpretGN,315,FCN,15,1.0,0.0,0.5,euclidean,False,linear,0.75,0.865625,297664,1.15
UWaveGestureLibrary,InterpretGN,315,FCN,15,1.0,0.0,0.5,euclidean,False,linear,0.5,0.875,297664,1.15
UWaveGestureLibrary,InterpretGN,315,FCN,15,0.1,1.0,2.0,euclidean,False,linear,1.0,0.859375,297664,1.15
UWaveGestureLibrary,InterpretGN,315,FCN,15,0.1,1.0,2.0,euclidean,False,linear,0.75,0.865625,297664,1.15
UWaveGestureLibrary,InterpretGN,315,FCN,15,0.1,1.0,2.0,euclidean,False,linear,0.5,0.875,297664,1.15
UWaveGestureLibrary,InterpretGN,315,FCN,15,0.1,1.0,1.0,euclidean,False,linear,1.0,0.875,297664,1.15
UWaveGestureLibrary,InterpretGN,315,FCN,15,0.1,1.0,1.0,euclidean,False,linear,0.75,0.875,297664,1.15
UWaveGestureLibrary,InterpretGN,315,FCN,15,0.1,1.0,1.0,euclidean,False,linear,0.5,0.875,297664,1.15
UWaveGestureLibrary,InterpretGN,315,FCN,15,0.1,1.0,0.5,euclidean,False,linear,1.0,0.875,297664,1.15
UWaveGestureLibrary,InterpretGN,315,FCN,15,0.1,1.0,0.5,euclidean,False,linear,0.75,0.86875,297664,1.15
UWaveGestureLibrary,InterpretGN,315,FCN,15,0.1,1.0,0.5,euclidean,False,linear,0.5,0.871875,297664,1.15
UWaveGestureLibrary,InterpretGN,315,FCN,15,0.1,0.1,2.0,euclidean,False,linear,1.0,0.859375,297664,1.15
