data_name,model,seq_len,d_model,chunk_size,chunk_num,acc,model_params,model_size (MB)
AtrialFibrillation,LightTS,640,512,320,2,0.4666666666666667,636827,2.44
AtrialFibrillation,LightTS,640,512,214,2,0.4666666666666667,610985,2.34
AtrialFibrillation,LightTS,640,512,160,4,0.4666666666666667,595899,2.28
AtrialFibrillation,LightTS,640,512,128,5,0.26666666666666666,587729,2.25
AtrialFibrillation,LightTS,640,512,107,5,0.3333333333333333,583659,2.24
AtrialFibrillation,LightTS,640,512,92,6,0.4666666666666667,581129,2.23
AtrialFibrillation,LightTS,640,512,80,8,0.4,575531,2.21
AtrialFibrillation,LightTS,640,512,72,8,0.5333333333333333,578641,2.22
AtrialFibrillation,LightTS,640,512,64,10,0.4,571515,2.19
AtrialFibrillation,LightTS,640,512,59,10,0.2,576041,2.21
AtrialFibrillation,LightTS,640,512,54,11,0.3333333333333333,574171,2.2
AtrialFibrillation,LightTS,640,512,50,12,0.4666666666666667,574481,2.2
AtrialFibrillation,LightTS,640,512,46,13,0.4666666666666667,569675,2.18
AtrialFibrillation,LightTS,640,512,43,14,0.4,569609,2.18
AtrialFibrillation,LightTS,640,512,40,16,0.26666666666666666,565707,2.17
AtrialFibrillation,LightTS,640,512,38,16,0.4,569105,2.18
AtrialFibrillation,LightTS,640,512,36,17,0.3333333333333333,569947,2.18
AtrialFibrillation,LightTS,640,512,34,18,0.5333333333333333,568233,2.18
AtrialFibrillation,LightTS,640,512,32,20,0.3333333333333333,563963,2.16
AtrialFibrillation,LightTS,640,512,31,20,0.4666666666666667,570833,2.19
AtrialFibrillation,LightTS,640,256,320,2,0.4,501211,1.92
AtrialFibrillation,LightTS,640,256,214,2,0.4666666666666667,488937,1.88
AtrialFibrillation,LightTS,640,256,160,4,0.6,480763,1.84
AtrialFibrillation,LightTS,640,256,128,5,0.6,476689,1.83
AtrialFibrillation,LightTS,640,256,107,5,0.3333333333333333,475307,1.82
AtrialFibrillation,LightTS,640,256,92,6,0.5333333333333333,474697,1.82
AtrialFibrillation,LightTS,640,256,80,8,0.6,470635,1.81
AtrialFibrillation,LightTS,640,256,72,8,0.4,474769,1.82
AtrialFibrillation,LightTS,640,256,64,10,0.4,468667,1.8
AtrialFibrillation,LightTS,640,256,59,10,0.4666666666666667,473833,1.82
AtrialFibrillation,LightTS,640,256,54,11,0.3333333333333333,472603,1.81
AtrialFibrillation,LightTS,640,256,50,12,0.26666666666666666,473425,1.82
AtrialFibrillation,LightTS,640,256,46,13,0.3333333333333333,469131,1.8
AtrialFibrillation,LightTS,640,256,43,14,0.26666666666666666,469449,1.8
AtrialFibrillation,LightTS,640,256,40,16,0.3333333333333333,465931,1.79
AtrialFibrillation,LightTS,640,256,38,16,0.4666666666666667,469585,1.8
AtrialFibrillation,LightTS,640,256,36,17,0.3333333333333333,470683,1.81
AtrialFibrillation,LightTS,640,256,34,18,0.3333333333333333,469225,1.8
AtrialFibrillation,LightTS,640,256,32,20,0.6,465211,1.79
AtrialFibrillation,LightTS,640,256,31,20,0.3333333333333333,472209,1.81
AtrialFibrillation,LightTS,640,128,320,2,0.5333333333333333,451835,1.73
AtrialFibrillation,LightTS,640,128,214,2,0.4666666666666667,446345,1.71
AtrialFibrillation,LightTS,640,128,160,4,0.3333333333333333,441627,1.7
AtrialFibrillation,LightTS,640,128,128,5,0.4,439601,1.69
AtrialFibrillation,LightTS,640,128,107,5,0.3333333333333333,439563,1.69
AtrialFibrillation,LightTS,640,128,92,6,0.3333333333333333,439913,1.69
AtrialFibrillation,LightTS,640,128,80,8,0.4666666666666667,436619,1.68
AtrialFibrillation,LightTS,640,128,72,8,0.4666666666666667,441265,1.69
AtrialFibrillation,LightTS,640,128,64,10,0.4,435675,1.67
AtrialFibrillation,LightTS,640,128,59,10,0.6666666666666666,441161,1.69
AtrialFibrillation,LightTS,640,128,54,11,0.6666666666666666,440251,1.69
AtrialFibrillation,LightTS,640,128,50,12,0.4,441329,1.69
AtrialFibrillation,LightTS,640,128,46,13,0.6,437291,1.68
AtrialFibrillation,LightTS,640,128,43,14,0.4,437801,1.68
AtrialFibrillation,LightTS,640,128,40,16,0.4666666666666667,434475,1.67
AtrialFibrillation,LightTS,640,128,38,16,0.4,438257,1.68
AtrialFibrillation,LightTS,640,128,36,17,0.4,439483,1.69
AtrialFibrillation,LightTS,640,128,34,18,0.5333333333333333,438153,1.68
AtrialFibrillation,LightTS,640,128,32,20,0.4,434267,1.67
AtrialFibrillation,LightTS,640,128,31,20,0.4666666666666667,441329,1.69
AtrialFibrillation,LightTS,640,64,320,2,0.4666666666666667,431755,1.66
AtrialFibrillation,LightTS,640,64,214,2,0.4666666666666667,429657,1.65
AtrialFibrillation,LightTS,640,64,160,4,0.7333333333333333,426667,1.64
AtrialFibrillation,LightTS,640,64,128,5,0.4666666666666667,425665,1.63
AtrialFibrillation,LightTS,640,64,107,5,0.3333333333333333,426299,1.64
AtrialFibrillation,LightTS,640,64,92,6,0.4666666666666667,427129,1.64
AtrialFibrillation,LightTS,640,64,80,8,0.4666666666666667,424219,1.63
AtrialFibrillation,LightTS,640,64,72,8,0.5333333333333333,429121,1.65
AtrialFibrillation,LightTS,640,64,64,10,0.6666666666666666,423787,1.63
AtrialFibrillation,LightTS,640,64,59,10,0.2,429433,1.65
AtrialFibrillation,LightTS,640,64,54,11,0.4,428683,1.65
AtrialFibrillation,LightTS,640,64,50,12,0.2,429889,1.65
AtrialFibrillation,LightTS,640,64,46,13,0.6,425979,1.64
AtrialFibrillation,LightTS,640,64,43,14,0.4666666666666667,426585,1.64
AtrialFibrillation,LightTS,640,64,40,16,0.26666666666666666,423355,1.63
AtrialFibrillation,LightTS,640,64,38,16,0.26666666666666666,427201,1.64
AtrialFibrillation,LightTS,640,64,36,17,0.4666666666666667,428491,1.65
AtrialFibrillation,LightTS,640,64,34,18,0.6,427225,1.64
AtrialFibrillation,LightTS,640,64,32,20,0.3333333333333333,423403,1.63
AtrialFibrillation,LightTS,640,64,31,20,0.3333333333333333,430497,1.65
AtrialFibrillation,LightTS,640,32,320,2,0.6666666666666666,422867,1.62
AtrialFibrillation,LightTS,640,32,214,2,0.26666666666666666,422465,1.62
AtrialFibrillation,LightTS,640,32,160,4,0.3333333333333333,420339,1.61
AtrialFibrillation,LightTS,640,32,128,5,0.5333333333333333,419849,1.61
AtrialFibrillation,LightTS,640,32,107,5,0.4666666666666667,420819,1.62
AtrialFibrillation,LightTS,640,32,92,6,0.4,421889,1.62
AtrialFibrillation,LightTS,640,32,80,8,0.5333333333333333,419171,1.61
AtrialFibrillation,LightTS,640,32,72,8,0.6,424201,1.63
AtrialFibrillation,LightTS,640,32,64,10,0.2,418995,1.61
AtrialFibrillation,LightTS,640,32,59,10,0.4666666666666667,424721,1.63
AtrialFibrillation,LightTS,640,32,54,11,0.3333333333333333,424051,1.63
AtrialFibrillation,LightTS,640,32,50,12,0.2,425321,1.63
