data_name,model,seq_len,d_model,chunk_size,chunk_num,acc,model_params,model_size (MB)
BasicMotions,LightTS,100,512,50,2,0.825,131064,0.51
BasicMotions,LightTS,100,512,34,2,1.0,127182,0.5
BasicMotions,LightTS,100,512,25,4,1.0,124696,0.49
BasicMotions,LightTS,100,512,20,5,0.85,123438,0.48
BasicMotions,LightTS,100,512,17,5,0.975,122896,0.48
BasicMotions,LightTS,100,512,15,6,0.975,122714,0.48
BasicMotions,LightTS,100,512,13,7,0.925,122136,0.48
BasicMotions,LightTS,100,512,12,8,0.925,122318,0.48
BasicMotions,LightTS,100,512,10,10,1.0,121048,0.47
BasicMotions,LightTS,100,512,9,11,1.0,121688,0.47
BasicMotions,LightTS,100,512,8,12,1.0,121086,0.47
BasicMotions,LightTS,100,512,7,14,0.925,121050,0.47
BasicMotions,LightTS,100,512,6,16,1.0,120630,0.47
BasicMotions,LightTS,100,512,5,20,0.8,120408,0.47
BasicMotions,LightTS,100,256,50,2,1.0,47288,0.19
BasicMotions,LightTS,100,256,34,2,1.0,45454,0.18
BasicMotions,LightTS,100,256,25,4,0.925,44120,0.18
BasicMotions,LightTS,100,256,20,5,1.0,43502,0.18
BasicMotions,LightTS,100,256,17,5,0.525,43344,0.18
BasicMotions,LightTS,100,256,15,6,1.0,43418,0.18
BasicMotions,LightTS,100,256,13,7,1.0,43096,0.18
BasicMotions,LightTS,100,256,12,8,0.975,43406,0.18
BasicMotions,LightTS,100,256,10,10,1.0,42392,0.17
BasicMotions,LightTS,100,256,9,11,0.925,43160,0.18
BasicMotions,LightTS,100,256,8,12,1.0,42686,0.17
BasicMotions,LightTS,100,256,7,14,1.0,42778,0.17
BasicMotions,LightTS,100,256,6,16,1.0,42486,0.17
BasicMotions,LightTS,100,256,5,20,0.975,42392,0.17
BasicMotions,LightTS,100,128,50,2,0.975,23832,0.1
BasicMotions,LightTS,100,128,34,2,0.925,23022,0.1
BasicMotions,LightTS,100,128,25,4,0.825,22264,0.1
BasicMotions,LightTS,100,128,20,5,0.975,21966,0.09
BasicMotions,LightTS,100,128,17,5,1.0,22000,0.09
BasicMotions,LightTS,100,128,15,6,1.0,22202,0.1
BasicMotions,LightTS,100,128,13,7,0.975,22008,0.09
BasicMotions,LightTS,100,128,12,8,1.0,22382,0.1
BasicMotions,LightTS,100,128,10,10,0.975,21496,0.09
BasicMotions,LightTS,100,128,9,11,0.85,22328,0.1
BasicMotions,LightTS,100,128,8,12,1.0,21918,0.09
BasicMotions,LightTS,100,128,7,14,1.0,22074,0.09
BasicMotions,LightTS,100,128,6,16,1.0,21846,0.09
BasicMotions,LightTS,100,128,5,20,1.0,21816,0.09
BasicMotions,LightTS,100,64,50,2,0.825,16712,0.07
BasicMotions,LightTS,100,64,34,2,0.85,16414,0.07
BasicMotions,LightTS,100,64,25,4,1.0,15944,0.07
BasicMotions,LightTS,100,64,20,5,0.9,15806,0.07
BasicMotions,LightTS,100,64,17,5,0.85,15936,0.07
BasicMotions,LightTS,100,64,15,6,0.9,16202,0.07
BasicMotions,LightTS,100,64,13,7,0.85,16072,0.07
BasicMotions,LightTS,100,64,12,8,0.8,16478,0.07
BasicMotions,LightTS,100,64,10,10,0.875,15656,0.07
BasicMotions,LightTS,100,64,9,11,0.825,16520,0.07
BasicMotions,LightTS,100,64,8,12,0.825,16142,0.07
BasicMotions,LightTS,100,64,7,14,0.85,16330,0.07
BasicMotions,LightTS,100,64,6,16,0.9,16134,0.07
BasicMotions,LightTS,100,64,5,20,1.0,16136,0.07
BasicMotions,LightTS,100,32,50,2,0.8,14304,0.07
BasicMotions,LightTS,100,32,34,2,0.85,14262,0.06
BasicMotions,LightTS,100,32,25,4,0.425,13936,0.06
BasicMotions,LightTS,100,32,20,5,0.825,13878,0.06
BasicMotions,LightTS,100,32,17,5,0.825,14056,0.06
BasicMotions,LightTS,100,32,15,6,0.825,14354,0.07
BasicMotions,LightTS,100,32,13,7,0.825,14256,0.06
BasicMotions,LightTS,100,32,12,8,0.775,14678,0.07
BasicMotions,LightTS,100,32,10,10,0.75,13888,0.06
BasicMotions,LightTS,100,32,9,11,0.8,14768,0.07
BasicMotions,LightTS,100,32,8,12,0.8,14406,0.07
BasicMotions,LightTS,100,32,7,14,0.85,14610,0.07
BasicMotions,LightTS,100,32,6,16,0.825,14430,0.07
BasicMotions,LightTS,100,32,5,20,1.0,14448,0.07
