data_name,model,seq_len,d_model,chunk_size,chunk_num,acc,model_params,model_size (MB)
Cricket,LightTS,1197,512,599,1,0.9027777777777778,1851808,7.07
Cricket,LightTS,1197,512,399,3,0.9166666666666666,1799425,6.87
Cricket,LightTS,1197,512,300,3,0.9027777777777778,1777690,6.79
Cricket,LightTS,1197,512,240,4,0.9166666666666666,1762352,6.73
Cricket,LightTS,1197,512,200,5,0.875,1752138,6.69
Cricket,LightTS,1197,512,171,7,0.9166666666666666,1741153,6.65
Cricket,LightTS,1197,512,150,7,0.9027777777777778,1739402,6.65
Cricket,LightTS,1197,512,133,9,0.8888888888888888,1731497,6.62
Cricket,LightTS,1197,512,120,9,0.9166666666666666,1731802,6.62
Cricket,LightTS,1197,512,109,10,0.9027777777777778,1727835,6.6
Cricket,LightTS,1197,512,100,11,0.8888888888888888,1726778,6.6
Cricket,LightTS,1197,512,93,12,0.9166666666666666,1735813,6.63
Cricket,LightTS,1197,512,86,13,0.9027777777777778,1728094,6.6
Cricket,LightTS,1197,512,80,14,0.9027777777777778,1721832,6.58
Cricket,LightTS,1197,512,75,15,0.9027777777777778,1720618,6.57
Cricket,LightTS,1197,512,71,16,0.8888888888888888,1728043,6.6
Cricket,LightTS,1197,512,67,17,0.9027777777777778,1725896,6.59
Cricket,LightTS,1197,512,63,19,0.9027777777777778,1714177,6.55
Cricket,LightTS,1197,512,60,19,0.9305555555555556,1717082,6.56
Cricket,LightTS,1197,512,57,21,0.9027777777777778,1712809,6.54
Cricket,LightTS,1197,256,599,1,0.9166666666666666,1662656,6.35
Cricket,LightTS,1197,256,399,3,0.8888888888888888,1635873,6.25
Cricket,LightTS,1197,256,300,3,0.9305555555555556,1626810,6.22
Cricket,LightTS,1197,256,240,4,0.875,1619152,6.19
Cricket,LightTS,1197,256,200,5,0.8888888888888888,1614058,6.17
Cricket,LightTS,1197,256,171,7,0.9166666666666666,1606785,6.14
Cricket,LightTS,1197,256,150,7,0.9166666666666666,1607722,6.14
Cricket,LightTS,1197,256,133,9,0.8888888888888888,1601993,6.12
Cricket,LightTS,1197,256,120,9,0.9027777777777778,1603962,6.13
Cricket,LightTS,1197,256,109,10,0.9027777777777778,1601403,6.12
Cricket,LightTS,1197,256,100,11,0.875,1601498,6.12
Cricket,LightTS,1197,256,93,12,0.8888888888888888,1611429,6.16
Cricket,LightTS,1197,256,86,13,0.9027777777777778,1604606,6.13
Cricket,LightTS,1197,256,80,14,0.9027777777777778,1599112,6.11
Cricket,LightTS,1197,256,75,15,0.8888888888888888,1598538,6.11
Cricket,LightTS,1197,256,71,16,0.9027777777777778,1606475,6.14
Cricket,LightTS,1197,256,67,17,0.8888888888888888,1604840,6.13
Cricket,LightTS,1197,256,63,19,0.9027777777777778,1593633,6.09
Cricket,LightTS,1197,256,60,19,0.8888888888888888,1596922,6.1
Cricket,LightTS,1197,256,57,21,0.8888888888888888,1593033,6.09
Cricket,LightTS,1197,128,599,1,0.9027777777777778,1586512,6.06
Cricket,LightTS,1197,128,399,3,0.9027777777777778,1572529,6.01
Cricket,LightTS,1197,128,300,3,0.8888888888888888,1569802,6.0
Cricket,LightTS,1197,128,240,4,0.9027777777777778,1565984,5.98
Cricket,LightTS,1197,128,200,5,0.9027777777777778,1563450,5.97
Cricket,LightTS,1197,128,171,7,0.9027777777777778,1558033,5.95
Cricket,LightTS,1197,128,150,7,0.9027777777777778,1560314,5.96
Cricket,LightTS,1197,128,133,9,0.9027777777777778,1555673,5.94
Cricket,LightTS,1197,128,120,9,0.9166666666666666,1558474,5.96
Cricket,LightTS,1197,128,109,10,0.8888888888888888,1556619,5.95
Cricket,LightTS,1197,128,100,11,0.9166666666666666,1557290,5.95
Cricket,LightTS,1197,128,93,12,0.8888888888888888,1567669,5.99
Cricket,LightTS,1197,128,86,13,0.9027777777777778,1561294,5.97
Cricket,LightTS,1197,128,80,14,0.9166666666666666,1556184,5.95
Cricket,LightTS,1197,128,75,15,0.9027777777777778,1555930,5.95
Cricket,LightTS,1197,128,71,16,0.9027777777777778,1564123,5.98
Cricket,LightTS,1197,128,67,17,0.9166666666666666,1562744,5.97
Cricket,LightTS,1197,128,63,19,0.8888888888888888,1551793,5.93
Cricket,LightTS,1197,128,60,19,0.9027777777777778,1555274,5.94
Cricket,LightTS,1197,128,57,21,0.9027777777777778,1551577,5.93
Cricket,LightTS,1197,64,599,1,0.875,1553048,5.93
Cricket,LightTS,1197,64,399,3,0.9166666666666666,1545465,5.91
Cricket,LightTS,1197,64,300,3,0.9027777777777778,1545906,5.91
Cricket,LightTS,1197,64,240,4,0.9027777777777778,1544008,5.9
Cricket,LightTS,1197,64,200,5,0.8888888888888888,1542754,5.9
Cricket,LightTS,1197,64,171,7,0.8888888888888888,1538265,5.88
Cricket,LightTS,1197,64,150,7,0.9027777777777778,1541218,5.89
Cricket,LightTS,1197,64,133,9,0.9027777777777778,1537121,5.87
Cricket,LightTS,1197,64,120,9,0.9166666666666666,1540338,5.89
Cricket,LightTS,1197,64,109,10,0.8888888888888888,1538835,5.88
Cricket,LightTS,1197,64,100,11,0.9027777777777778,1539794,5.88
Cricket,LightTS,1197,64,93,12,0.9027777777777778,1550397,5.92
Cricket,LightTS,1197,64,86,13,0.9027777777777778,1544246,5.9
Cricket,LightTS,1197,64,80,14,0.8888888888888888,1539328,5.88
Cricket,LightTS,1197,64,75,15,0.8888888888888888,1539234,5.88
Cricket,LightTS,1197,64,71,16,0.9027777777777778,1547555,5.91
Cricket,LightTS,1197,64,67,17,0.8888888888888888,1546304,5.91
Cricket,LightTS,1197,64,63,19,0.9166666666666666,1535481,5.87
Cricket,LightTS,1197,64,60,19,0.9027777777777778,1539058,5.88
Cricket,LightTS,1197,64,57,21,0.9166666666666666,1535457,5.87
Cricket,LightTS,1197,32,599,1,0.9027777777777778,1537468,5.88
Cricket,LightTS,1197,32,399,3,0.9027777777777778,1533085,5.86
Cricket,LightTS,1197,32,300,3,0.9166666666666666,1535110,5.87
Cricket,LightTS,1197,32,240,4,0.9166666666666666,1534172,5.86
Cricket,LightTS,1197,32,200,5,0.9166666666666666,1533558,5.86
Cricket,LightTS,1197,32,171,7,0.8888888888888888,1529533,5.84
Cricket,LightTS,1197,32,150,7,0.9027777777777778,1532822,5.86
Cricket,LightTS,1197,32,133,9,0.9305555555555556,1528997,5.84
Cricket,LightTS,1197,32,120,9,0.9027777777777778,1532422,5.86
Cricket,LightTS,1197,32,109,10,0.8888888888888888,1531095,5.85
Cricket,LightTS,1197,32,100,11,0.8888888888888888,1532198,5.86
Cricket,LightTS,1197,32,93,12,0.8888888888888888,1542913,5.9
Cricket,LightTS,1197,32,86,13,0.9027777777777778,1536874,5.87
Cricket,LightTS,1197,32,80,14,0.9166666666666666,1532052,5.85
Cricket,LightTS,1197,32,75,15,0.9166666666666666,1532038,5.85
Cricket,LightTS,1197,32,71,16,0.9166666666666666,1540423,5.89
Cricket,LightTS,1197,32,67,17,0.9166666666666666,1539236,5.88
Cricket,LightTS,1197,32,63,19,0.9027777777777778,1528477,5.84
Cricket,LightTS,1197,32,60,19,0.9166666666666666,1532102,5.85
Cricket,LightTS,1197,32,57,21,0.9166666666666666,1528549,5.84
