data_name,model,seq_len,d_model,chunk_size,chunk_num,acc,model_params,model_size (MB)
DuckDuckGeese,LightTS,270,512,135,2,0.54,3850623,14.7
DuckDuckGeese,LightTS,270,512,90,3,0.48,3839117,14.66
DuckDuckGeese,LightTS,270,512,68,3,0.5,3834043,14.64
DuckDuckGeese,LightTS,270,512,54,5,0.52,3829941,14.62
DuckDuckGeese,LightTS,270,512,45,6,0.48,3827663,14.61
DuckDuckGeese,LightTS,270,512,39,6,0.54,3826967,14.61
DuckDuckGeese,LightTS,270,512,34,7,0.54,3825451,14.6
DuckDuckGeese,LightTS,270,512,30,9,0.46,3823925,14.6
DuckDuckGeese,LightTS,270,512,27,10,0.52,3823199,14.59
DuckDuckGeese,LightTS,270,512,25,10,0.54,3824083,14.6
DuckDuckGeese,LightTS,270,512,23,11,0.48,3823891,14.6
DuckDuckGeese,LightTS,270,512,21,12,0.5,3822623,14.59
DuckDuckGeese,LightTS,270,512,20,13,0.52,3824315,14.6
DuckDuckGeese,LightTS,270,512,18,15,0.48,3821165,14.59
DuckDuckGeese,LightTS,270,512,17,15,0.5,3821515,14.59
DuckDuckGeese,LightTS,270,512,16,16,0.56,3821329,14.59
DuckDuckGeese,LightTS,270,512,15,18,0.42,3820607,14.59
DuckDuckGeese,LightTS,270,512,14,19,0.52,3823211,14.6
DuckDuckGeese,LightTS,270,512,13,20,0.52,3821151,14.59
DuckDuckGeese,LightTS,270,256,135,2,0.48,3750527,14.32
DuckDuckGeese,LightTS,270,256,90,3,0.5,3744781,14.3
DuckDuckGeese,LightTS,270,256,68,3,0.46,3742523,14.29
DuckDuckGeese,LightTS,270,256,54,5,0.52,3740213,14.28
DuckDuckGeese,LightTS,270,256,45,6,0.5,3739087,14.27
DuckDuckGeese,LightTS,270,256,39,6,0.54,3739159,14.27
DuckDuckGeese,LightTS,270,256,34,7,0.5,3738283,14.27
DuckDuckGeese,LightTS,270,256,30,9,0.52,3737269,14.27
DuckDuckGeese,LightTS,270,256,27,10,0.56,3736927,14.27
DuckDuckGeese,LightTS,270,256,25,10,0.52,3738067,14.27
DuckDuckGeese,LightTS,270,256,23,11,0.5,3738131,14.27
DuckDuckGeese,LightTS,270,256,21,12,0.5,3737119,14.27
DuckDuckGeese,LightTS,270,256,20,13,0.52,3738939,14.27
DuckDuckGeese,LightTS,270,256,18,15,0.48,3736045,14.26
DuckDuckGeese,LightTS,270,256,17,15,0.46,3736523,14.26
DuckDuckGeese,LightTS,270,256,16,16,0.54,3736465,14.26
DuckDuckGeese,LightTS,270,256,15,18,0.48,3735871,14.26
DuckDuckGeese,LightTS,270,256,14,19,0.44,3738603,14.27
DuckDuckGeese,LightTS,270,256,13,20,0.5,3736671,14.26
DuckDuckGeese,LightTS,270,128,135,2,0.52,3718911,14.2
DuckDuckGeese,LightTS,270,128,90,3,0.54,3716045,14.19
DuckDuckGeese,LightTS,270,128,68,3,0.52,3715195,14.18
DuckDuckGeese,LightTS,270,128,54,5,0.54,3713781,14.18
DuckDuckGeese,LightTS,270,128,45,6,0.48,3713231,14.18
DuckDuckGeese,LightTS,270,128,39,6,0.54,3713687,14.18
DuckDuckGeese,LightTS,270,128,34,7,0.44,3713131,14.17
DuckDuckGeese,LightTS,270,128,30,9,0.46,3712373,14.17
DuckDuckGeese,LightTS,270,128,27,10,0.48,3712223,14.17
DuckDuckGeese,LightTS,270,128,25,10,0.56,3713491,14.18
DuckDuckGeese,LightTS,270,128,23,11,0.44,3713683,14.18
DuckDuckGeese,LightTS,270,128,21,12,0.54,3712799,14.17
DuckDuckGeese,LightTS,270,128,20,13,0.52,3714683,14.18
DuckDuckGeese,LightTS,270,128,18,15,0.5,3711917,14.17
DuckDuckGeese,LightTS,270,128,17,15,0.5,3712459,14.17
DuckDuckGeese,LightTS,270,128,16,16,0.48,3712465,14.17
DuckDuckGeese,LightTS,270,128,15,18,0.46,3711935,14.17
DuckDuckGeese,LightTS,270,128,14,19,0.52,3714731,14.18
DuckDuckGeese,LightTS,270,128,13,20,0.54,3712863,14.17
DuckDuckGeese,LightTS,270,64,135,2,0.48,3707711,14.15
DuckDuckGeese,LightTS,270,64,90,3,0.48,3706285,14.15
DuckDuckGeese,LightTS,270,64,68,3,0.48,3706139,14.15
DuckDuckGeese,LightTS,270,64,54,5,0.54,3705173,14.14
DuckDuckGeese,LightTS,270,64,45,6,0.52,3704911,14.14
DuckDuckGeese,LightTS,270,64,39,6,0.54,3705559,14.15
DuckDuckGeese,LightTS,270,64,34,7,0.54,3705163,14.14
DuckDuckGeese,LightTS,270,64,30,9,0.52,3704533,14.14
DuckDuckGeese,LightTS,270,64,27,10,0.54,3704479,14.14
DuckDuckGeese,LightTS,270,64,25,10,0.52,3705811,14.15
DuckDuckGeese,LightTS,270,64,23,11,0.48,3706067,14.15
DuckDuckGeese,LightTS,270,64,21,12,0.52,3705247,14.14
DuckDuckGeese,LightTS,270,64,20,13,0.44,3707163,14.15
DuckDuckGeese,LightTS,270,64,18,15,0.54,3704461,14.14
DuckDuckGeese,LightTS,270,64,17,15,0.56,3705035,14.14
DuckDuckGeese,LightTS,270,64,16,16,0.46,3705073,14.14
DuckDuckGeese,LightTS,270,64,15,18,0.5,3704575,14.14
DuckDuckGeese,LightTS,270,64,14,19,0.5,3707403,14.15
DuckDuckGeese,LightTS,270,64,13,20,0.46,3705567,14.15
DuckDuckGeese,LightTS,270,32,135,2,0.5,3703263,14.14
DuckDuckGeese,LightTS,270,32,90,3,0.5,3702557,14.13
DuckDuckGeese,LightTS,270,32,68,3,0.5,3702763,14.14
DuckDuckGeese,LightTS,270,32,54,5,0.5,3702021,14.13
DuckDuckGeese,LightTS,270,32,45,6,0.52,3701903,14.13
DuckDuckGeese,LightTS,270,32,39,6,0.5,3702647,14.13
DuckDuckGeese,LightTS,270,32,34,7,0.5,3702331,14.13
DuckDuckGeese,LightTS,270,32,30,9,0.48,3701765,14.13
DuckDuckGeese,LightTS,270,32,27,10,0.48,3701759,14.13
DuckDuckGeese,LightTS,270,32,25,10,0.48,3703123,14.14
DuckDuckGeese,LightTS,270,32,23,11,0.5,3703411,14.14
DuckDuckGeese,LightTS,270,32,21,12,0.5,3702623,14.13
DuckDuckGeese,LightTS,270,32,20,13,0.5,3704555,14.14
DuckDuckGeese,LightTS,270,32,18,15,0.48,3701885,14.13
DuckDuckGeese,LightTS,270,32,17,15,0.48,3702475,14.13
DuckDuckGeese,LightTS,270,32,16,16,0.48,3702529,14.13
DuckDuckGeese,LightTS,270,32,15,18,0.48,3702047,14.13
DuckDuckGeese,LightTS,270,32,14,19,0.44,3704891,14.14
DuckDuckGeese,LightTS,270,32,13,20,0.52,3703071,14.14
