data_name,model,seq_len,d_model,chunk_size,chunk_num,acc,model_params,model_size (MB)
Epilepsy,LightTS,206,512,103,2,0.7101449275362319,184106,0.71
Epilepsy,LightTS,206,512,69,2,0.8985507246376812,175622,0.68
Epilepsy,LightTS,206,512,52,3,0.927536231884058,171494,0.66
Epilepsy,LightTS,206,512,42,4,0.927536231884058,169368,0.66
Epilepsy,LightTS,206,512,35,5,0.927536231884058,167602,0.65
Epilepsy,LightTS,206,512,30,6,0.9420289855072463,166352,0.65
Epilepsy,LightTS,206,512,26,7,0.8695652173913043,164950,0.64
Epilepsy,LightTS,206,512,23,8,0.927536231884058,164014,0.64
Epilepsy,LightTS,206,512,21,9,0.9202898550724637,164162,0.64
Epilepsy,LightTS,206,512,19,10,0.8913043478260869,163490,0.63
Epilepsy,LightTS,206,512,18,11,0.927536231884058,164726,0.64
Epilepsy,LightTS,206,512,16,12,0.927536231884058,162620,0.63
Epilepsy,LightTS,206,512,15,13,0.9710144927536232,162834,0.63
Epilepsy,LightTS,206,512,14,14,0.9347826086956522,162640,0.63
Epilepsy,LightTS,206,512,13,15,0.9130434782608695,162038,0.63
Epilepsy,LightTS,206,512,12,17,0.9130434782608695,163574,0.63
Epilepsy,LightTS,206,512,11,18,0.9420289855072463,161954,0.63
Epilepsy,LightTS,206,512,10,20,0.9347826086956522,162072,0.63
Epilepsy,LightTS,206,256,103,2,0.9057971014492754,90154,0.35
Epilepsy,LightTS,206,256,69,2,0.927536231884058,86022,0.34
Epilepsy,LightTS,206,256,52,3,0.8768115942028986,84070,0.33
Epilepsy,LightTS,206,256,42,4,0.8913043478260869,83224,0.33
Epilepsy,LightTS,206,256,35,5,0.9130434782608695,82354,0.32
Epilepsy,LightTS,206,256,30,6,0.8333333333333334,81744,0.32
Epilepsy,LightTS,206,256,26,7,0.9565217391304348,80854,0.32
Epilepsy,LightTS,206,256,23,8,0.9057971014492754,80302,0.32
Epilepsy,LightTS,206,256,21,9,0.927536231884058,80706,0.32
Epilepsy,LightTS,206,256,19,10,0.9420289855072463,80290,0.32
Epilepsy,LightTS,206,256,18,11,0.927536231884058,81654,0.32
Epilepsy,LightTS,206,256,16,12,0.9420289855072463,79804,0.31
Epilepsy,LightTS,206,256,15,13,0.9637681159420289,80146,0.32
Epilepsy,LightTS,206,256,14,14,0.927536231884058,80080,0.32
Epilepsy,LightTS,206,256,13,15,0.9492753623188406,79606,0.31
Epilepsy,LightTS,206,256,12,17,0.9492753623188406,81270,0.32
Epilepsy,LightTS,206,256,11,18,0.9492753623188406,79778,0.31
Epilepsy,LightTS,206,256,10,20,0.9492753623188406,80024,0.32
Epilepsy,LightTS,206,128,103,2,0.8768115942028986,61610,0.25
Epilepsy,LightTS,206,128,69,2,0.8405797101449275,59654,0.24
Epilepsy,LightTS,206,128,52,3,0.855072463768116,58790,0.23
Epilepsy,LightTS,206,128,42,4,0.8405797101449275,58584,0.23
