data_name,model,seq_len,d_model,chunk_size,chunk_num,acc,model_params,model_size (MB)
FaceDetection,LightTS,62,512,31,2,0.6651532349602725,153828,0.6
FaceDetection,LightTS,62,512,21,2,0.6702610669693531,151344,0.59
FaceDetection,LightTS,62,512,16,3,0.6611804767309876,150144,0.58
FaceDetection,LightTS,62,512,13,4,0.6583427922814983,149460,0.58
FaceDetection,LightTS,62,512,11,5,0.6654370034052214,149036,0.58
FaceDetection,LightTS,62,512,9,6,0.6705448354143019,148368,0.58
FaceDetection,LightTS,62,512,8,7,0.6756526674233825,148208,0.58
FaceDetection,LightTS,62,512,7,8,0.6677071509648127,147928,0.57
FaceDetection,LightTS,62,512,6,10,0.673950056753689,147946,0.57
FaceDetection,LightTS,62,512,5,12,0.6748013620885358,147732,0.57
FaceDetection,LightTS,62,512,4,15,0.6651532349602725,147600,0.57
FaceDetection,LightTS,62,512,3,20,0.6679909194097616,147672,0.57
FaceDetection,LightTS,62,256,31,2,0.6674233825198638,73700,0.29
FaceDetection,LightTS,62,256,21,2,0.6674233825198638,72496,0.29
FaceDetection,LightTS,62,256,16,3,0.684733257661748,71936,0.29
FaceDetection,LightTS,62,256,13,4,0.6625993189557321,71636,0.28
FaceDetection,LightTS,62,256,11,5,0.6651532349602725,71468,0.28
FaceDetection,LightTS,62,256,9,6,0.662883087400681,71056,0.28
FaceDetection,LightTS,62,256,8,7,0.6694097616345063,71024,0.28
FaceDetection,LightTS,62,256,7,8,0.6677071509648127,70872,0.28
FaceDetection,LightTS,62,256,6,10,0.6759364358683314,71018,0.28
FaceDetection,LightTS,62,256,5,12,0.6614642451759364,70932,0.28
FaceDetection,LightTS,62,256,4,15,0.66316685584563,70928,0.28
FaceDetection,LightTS,62,256,3,20,0.66316685584563,71128,0.28
FaceDetection,LightTS,62,128,31,2,0.656072644721907,52068,0.21
FaceDetection,LightTS,62,128,21,2,0.674233825198638,51504,0.21
FaceDetection,LightTS,62,128,16,3,0.6634506242905789,51264,0.21
FaceDetection,LightTS,62,128,13,4,0.6679909194097616,51156,0.21
FaceDetection,LightTS,62,128,11,5,0.6705448354143019,51116,0.21
FaceDetection,LightTS,62,128,9,6,0.6759364358683314,50832,0.2
FaceDetection,LightTS,62,128,8,7,0.6608967082860386,50864,0.2
FaceDetection,LightTS,62,128,7,8,0.6671396140749148,50776,0.2
FaceDetection,LightTS,62,128,6,10,0.6711123723041997,50986,0.2
FaceDetection,LightTS,62,128,5,12,0.6586265607264472,50964,0.2
FaceDetection,LightTS,62,128,4,15,0.6608967082860386,51024,0.21
FaceDetection,LightTS,62,128,3,20,0.6691259931895573,51288,0.21
FaceDetection,LightTS,62,64,31,2,0.6654370034052214,45860,0.19
FaceDetection,LightTS,62,64,21,2,0.6637343927355278,45616,0.18
FaceDetection,LightTS,62,64,16,3,0.6660045402951191,45536,0.18
FaceDetection,LightTS,62,64,13,4,0.6671396140749148,45524,0.18
FaceDetection,LightTS,62,64,11,5,0.6623155505107832,45548,0.18
FaceDetection,LightTS,62,64,9,6,0.6617480136208853,45328,0.18
FaceDetection,LightTS,62,64,8,7,0.6549375709421112,45392,0.18
FaceDetection,LightTS,62,64,7,8,0.6634506242905789,45336,0.18
FaceDetection,LightTS,62,64,6,10,0.6614642451759364,45578,0.18
FaceDetection,LightTS,62,64,5,12,0.6736662883087401,45588,0.18
FaceDetection,LightTS,62,64,4,15,0.6799091940976163,45680,0.18
FaceDetection,LightTS,62,64,3,20,0.6674233825198638,45976,0.19
FaceDetection,LightTS,62,32,31,2,0.6685584562996595,43908,0.18
FaceDetection,LightTS,62,32,21,2,0.6716799091940976,43824,0.18
FaceDetection,LightTS,62,32,16,3,0.6719636776390465,43824,0.18
FaceDetection,LightTS,62,32,13,4,0.6552213393870602,43860,0.18
FaceDetection,LightTS,62,32,11,5,0.6725312145289444,43916,0.18
FaceDetection,LightTS,62,32,9,6,0.6705448354143019,43728,0.18
FaceDetection,LightTS,62,32,8,7,0.6688422247446084,43808,0.18
FaceDetection,LightTS,62,32,7,8,0.6770715096481271,43768,0.18
FaceDetection,LightTS,62,32,6,10,0.6756526674233825,44026,0.18
FaceDetection,LightTS,62,32,5,12,0.6765039727582293,44052,0.18
FaceDetection,LightTS,62,32,4,15,0.6813280363223609,44160,0.18
FaceDetection,LightTS,62,32,3,20,0.6804767309875142,44472,0.18
