data_name,model,seq_len,d_model,chunk_size,chunk_num,acc,model_params,model_size (MB)
FingerMovements,LightTS,50,512,25,2,0.6,115032,0.45
FingerMovements,LightTS,50,512,17,2,0.55,113048,0.44
FingerMovements,LightTS,50,512,13,3,0.56,112092,0.44
FingerMovements,LightTS,50,512,10,5,0.58,111246,0.43
FingerMovements,LightTS,50,512,9,5,0.58,111216,0.43
FingerMovements,LightTS,50,512,8,6,0.55,111090,0.43
FingerMovements,LightTS,50,512,7,7,0.56,110868,0.43
FingerMovements,LightTS,50,512,6,8,0.52,110550,0.43
FingerMovements,LightTS,50,512,5,10,0.57,110136,0.43
FingerMovements,LightTS,50,512,4,12,0.54,110130,0.43
FingerMovements,LightTS,50,512,3,16,0.52,110080,0.43
FingerMovements,LightTS,50,256,25,2,0.49,36056,0.15
FingerMovements,LightTS,50,256,17,2,0.63,35096,0.14
FingerMovements,LightTS,50,256,13,3,0.57,34652,0.14
FingerMovements,LightTS,50,256,10,5,0.59,34190,0.14
FingerMovements,LightTS,50,256,9,5,0.58,34288,0.14
FingerMovements,LightTS,50,256,8,6,0.57,34290,0.14
FingerMovements,LightTS,50,256,7,7,0.61,34196,0.14
FingerMovements,LightTS,50,256,6,8,0.57,34006,0.14
FingerMovements,LightTS,50,256,5,10,0.57,33720,0.14
FingerMovements,LightTS,50,256,4,12,0.57,33842,0.14
FingerMovements,LightTS,50,256,3,16,0.6,33920,0.14
FingerMovements,LightTS,50,128,25,2,0.61,15000,0.07
FingerMovements,LightTS,50,128,17,2,0.59,14552,0.07
FingerMovements,LightTS,50,128,13,3,0.57,14364,0.07
FingerMovements,LightTS,50,128,10,5,0.54,14094,0.06
FingerMovements,LightTS,50,128,9,5,0.5,14256,0.06
FingerMovements,LightTS,50,128,8,6,0.62,14322,0.07
FingerMovements,LightTS,50,128,7,7,0.58,14292,0.07
FingerMovements,LightTS,50,128,6,8,0.56,14166,0.06
FingerMovements,LightTS,50,128,5,10,0.6,13944,0.06
FingerMovements,LightTS,50,128,4,12,0.56,14130,0.06
FingerMovements,LightTS,50,128,3,16,0.58,14272,0.07
FingerMovements,LightTS,50,64,25,2,0.62,9080,0.05
FingerMovements,LightTS,50,64,17,2,0.54,8888,0.04
FingerMovements,LightTS,50,64,13,3,0.62,8828,0.04
FingerMovements,LightTS,50,64,10,5,0.57,8654,0.04
FingerMovements,LightTS,50,64,9,5,0.56,8848,0.04
FingerMovements,LightTS,50,64,8,6,0.55,8946,0.04
FingerMovements,LightTS,50,64,7,7,0.58,8948,0.04
FingerMovements,LightTS,50,64,6,8,0.55,8854,0.04
FingerMovements,LightTS,50,64,5,10,0.54,8664,0.04
FingerMovements,LightTS,50,64,4,12,0.55,8882,0.04
FingerMovements,LightTS,50,64,3,16,0.59,9056,0.05
FingerMovements,LightTS,50,32,25,2,0.56,7272,0.04
FingerMovements,LightTS,50,32,17,2,0.57,7208,0.04
FingerMovements,LightTS,50,32,13,3,0.59,7212,0.04
FingerMovements,LightTS,50,32,10,5,0.57,7086,0.04
FingerMovements,LightTS,50,32,9,5,0.59,7296,0.04
FingerMovements,LightTS,50,32,8,6,0.61,7410,0.04
FingerMovements,LightTS,50,32,7,7,0.52,7428,0.04
FingerMovements,LightTS,50,32,6,8,0.56,7350,0.04
FingerMovements,LightTS,50,32,5,10,0.64,7176,0.04
FingerMovements,LightTS,50,32,4,12,0.53,7410,0.04
FingerMovements,LightTS,50,32,3,16,0.55,7600,0.04
