data_name,model,seq_len,d_model,chunk_size,chunk_num,acc,model_params,model_size (MB)
HandMovementDirection,LightTS,400,512,200,2,0.6081081081081081,352932,1.36
HandMovementDirection,LightTS,400,512,134,2,0.5540540540540541,336850,1.3
HandMovementDirection,LightTS,400,512,100,4,0.5945945945945946,327364,1.26
HandMovementDirection,LightTS,400,512,80,5,0.6216216216216216,322266,1.24
HandMovementDirection,LightTS,400,512,67,5,0.6081081081081081,319764,1.23
HandMovementDirection,LightTS,400,512,58,6,0.6351351351351351,319090,1.23
HandMovementDirection,LightTS,400,512,50,8,0.581081081081081,314676,1.21
HandMovementDirection,LightTS,400,512,45,8,0.5945945945945946,315434,1.21
HandMovementDirection,LightTS,400,512,40,10,0.5945945945945946,312196,1.2
HandMovementDirection,LightTS,400,512,37,10,0.581081081081081,314274,1.21
HandMovementDirection,LightTS,400,512,34,11,0.581081081081081,313956,1.21
HandMovementDirection,LightTS,400,512,31,12,0.5945945945945946,311242,1.2
HandMovementDirection,LightTS,400,512,29,13,0.5945945945945946,311988,1.2
HandMovementDirection,LightTS,400,512,27,14,0.6081081081081081,311138,1.2
HandMovementDirection,LightTS,400,512,25,16,0.581081081081081,308692,1.19
HandMovementDirection,LightTS,400,512,24,16,0.6081081081081081,311706,1.2
HandMovementDirection,LightTS,400,512,23,17,0.581081081081081,313924,1.21
HandMovementDirection,LightTS,400,512,22,18,0.5945945945945946,315346,1.21
HandMovementDirection,LightTS,400,512,20,20,0.6216216216216216,307716,1.18
HandMovementDirection,LightTS,400,256,200,2,0.6081081081081081,240356,0.93
HandMovementDirection,LightTS,400,256,134,2,0.5945945945945946,232722,0.9
HandMovementDirection,LightTS,400,256,100,4,0.6486486486486487,227588,0.88
HandMovementDirection,LightTS,400,256,80,5,0.5945945945945946,225050,0.87
HandMovementDirection,LightTS,400,256,67,5,0.6081081081081081,224212,0.87
HandMovementDirection,LightTS,400,256,58,6,0.5945945945945946,224690,0.87
HandMovementDirection,LightTS,400,256,50,8,0.5675675675675675,221300,0.85
HandMovementDirection,LightTS,400,256,45,8,0.5945945945945946,222698,0.86
HandMovementDirection,LightTS,400,256,40,10,0.5945945945945946,220100,0.85
HandMovementDirection,LightTS,400,256,37,10,0.5945945945945946,222562,0.86
HandMovementDirection,LightTS,400,256,34,11,0.6216216216216216,222628,0.86
HandMovementDirection,LightTS,400,256,31,12,0.5945945945945946,220298,0.85
HandMovementDirection,LightTS,400,256,29,13,0.6081081081081081,221300,0.85
HandMovementDirection,LightTS,400,256,27,14,0.6081081081081081,220706,0.85
HandMovementDirection,LightTS,400,256,25,16,0.581081081081081,218516,0.84
HandMovementDirection,LightTS,400,256,24,16,0.6351351351351351,221658,0.86
HandMovementDirection,LightTS,400,256,23,17,0.6216216216216216,224004,0.87
HandMovementDirection,LightTS,400,256,22,18,0.6351351351351351,225554,0.87
HandMovementDirection,LightTS,400,256,20,20,0.6216216216216216,218180,0.84
HandMovementDirection,LightTS,400,128,200,2,0.5540540540540541,202500,0.78
HandMovementDirection,LightTS,400,128,134,2,0.5945945945945946,199090,0.77
HandMovementDirection,LightTS,400,128,100,4,0.5945945945945946,196132,0.76
HandMovementDirection,LightTS,400,128,80,5,0.5945945945945946,194874,0.75
HandMovementDirection,LightTS,400,128,67,5,0.5540540540540541,194868,0.75
HandMovementDirection,LightTS,400,128,58,6,0.6081081081081081,195922,0.76
HandMovementDirection,LightTS,400,128,50,8,0.5945945945945946,193044,0.75
HandMovementDirection,LightTS,400,128,45,8,0.581081081081081,194762,0.75
HandMovementDirection,LightTS,400,128,40,10,0.6081081081081081,192484,0.74
HandMovementDirection,LightTS,400,128,37,10,0.5945945945945946,195138,0.75
HandMovementDirection,LightTS,400,128,34,11,0.6621621621621622,195396,0.76
HandMovementDirection,LightTS,400,128,31,12,0.6216216216216216,193258,0.75
HandMovementDirection,LightTS,400,128,29,13,0.5945945945945946,194388,0.75
HandMovementDirection,LightTS,400,128,27,14,0.5945945945945946,193922,0.75
HandMovementDirection,LightTS,400,128,25,16,0.5945945945945946,191860,0.74
HandMovementDirection,LightTS,400,128,24,16,0.6351351351351351,195066,0.75
HandMovementDirection,LightTS,400,128,23,17,0.581081081081081,197476,0.76
HandMovementDirection,LightTS,400,128,22,18,0.5540540540540541,199090,0.77
HandMovementDirection,LightTS,400,128,20,20,0.5945945945945946,191844,0.74
HandMovementDirection,LightTS,400,64,200,2,0.6351351351351351,188180,0.73
HandMovementDirection,LightTS,400,64,134,2,0.6081081081081081,186882,0.72
HandMovementDirection,LightTS,400,64,100,4,0.6351351351351351,185012,0.72
HandMovementDirection,LightTS,400,64,80,5,0.6216216216216216,184394,0.71
HandMovementDirection,LightTS,400,64,67,5,0.6081081081081081,184804,0.72
HandMovementDirection,LightTS,400,64,58,6,0.6216216216216216,186146,0.72
HandMovementDirection,LightTS,400,64,50,8,0.5945945945945946,183524,0.71
HandMovementDirection,LightTS,400,64,45,8,0.581081081081081,185402,0.72
HandMovementDirection,LightTS,400,64,40,10,0.6216216216216216,183284,0.71
HandMovementDirection,LightTS,400,64,37,10,0.5945945945945946,186034,0.72
HandMovementDirection,LightTS,400,64,34,11,0.581081081081081,186388,0.72
HandMovementDirection,LightTS,400,64,31,12,0.6216216216216216,184346,0.71
HandMovementDirection,LightTS,400,64,29,13,0.6081081081081081,185540,0.72
HandMovementDirection,LightTS,400,64,27,14,0.6081081081081081,185138,0.72
HandMovementDirection,LightTS,400,64,25,16,0.6081081081081081,183140,0.71
HandMovementDirection,LightTS,400,64,24,16,0.6081081081081081,186378,0.72
HandMovementDirection,LightTS,400,64,23,17,0.581081081081081,188820,0.73
HandMovementDirection,LightTS,400,64,22,18,0.6216216216216216,190466,0.74
HandMovementDirection,LightTS,400,64,20,20,0.6216216216216216,183284,0.71
HandMovementDirection,LightTS,400,32,200,2,0.5945945945945946,182172,0.71
HandMovementDirection,LightTS,400,32,134,2,0.5945945945945946,181930,0.7
HandMovementDirection,LightTS,400,32,100,4,0.5945945945945946,180604,0.7
HandMovementDirection,LightTS,400,32,80,5,0.6216216216216216,180306,0.7
HandMovementDirection,LightTS,400,32,67,5,0.581081081081081,180924,0.7
HandMovementDirection,LightTS,400,32,58,6,0.5675675675675675,182410,0.71
HandMovementDirection,LightTS,400,32,50,8,0.6351351351351351,179916,0.7
HandMovementDirection,LightTS,400,32,45,8,0.6351351351351351,181874,0.7
HandMovementDirection,LightTS,400,32,40,10,0.5945945945945946,179836,0.7
HandMovementDirection,LightTS,400,32,37,10,0.6351351351351351,182634,0.71
HandMovementDirection,LightTS,400,32,34,11,0.5945945945945946,183036,0.71
HandMovementDirection,LightTS,400,32,31,12,0.6081081081081081,181042,0.7
HandMovementDirection,LightTS,400,32,29,13,0.5945945945945946,182268,0.71
HandMovementDirection,LightTS,400,32,27,14,0.5945945945945946,181898,0.7
HandMovementDirection,LightTS,400,32,25,16,0.6216216216216216,179932,0.7
HandMovementDirection,LightTS,400,32,24,16,0.6351351351351351,183186,0.71
HandMovementDirection,LightTS,400,32,23,17,0.581081081081081,185644,0.72
HandMovementDirection,LightTS,400,32,22,18,0.6351351351351351,187306,0.73
HandMovementDirection,LightTS,400,32,20,20,0.6351351351351351,180156,0.7
