data_name,model,seq_len,d_model,chunk_size,chunk_num,acc,model_params,model_size (MB)
InsectWingbeat,LightTS,22,512,11,2,0.71284,188180,0.73
InsectWingbeat,LightTS,22,512,8,2,0.71092,187470,0.73
InsectWingbeat,LightTS,22,512,6,3,0.71084,186976,0.72
InsectWingbeat,LightTS,22,512,5,4,0.7088,186764,0.72
InsectWingbeat,LightTS,22,512,4,5,0.71096,186512,0.72
InsectWingbeat,LightTS,22,512,3,7,0.6984,186320,0.72
InsectWingbeat,LightTS,22,512,2,11,0.70112,186146,0.72
InsectWingbeat,LightTS,22,256,11,2,0.70512,111892,0.44
InsectWingbeat,LightTS,22,256,8,2,0.7132,111566,0.44
InsectWingbeat,LightTS,22,256,6,3,0.70872,111328,0.44
InsectWingbeat,LightTS,22,256,5,4,0.7122,111244,0.43
InsectWingbeat,LightTS,22,256,4,5,0.70712,111120,0.43
InsectWingbeat,LightTS,22,256,3,7,0.71588,111056,0.43
InsectWingbeat,LightTS,22,256,2,11,0.71104,111010,0.43
InsectWingbeat,LightTS,22,128,11,2,0.71092,92180,0.36
InsectWingbeat,LightTS,22,128,8,2,0.71148,92046,0.36
InsectWingbeat,LightTS,22,128,6,3,0.71676,91936,0.36
InsectWingbeat,LightTS,22,128,5,4,0.71336,91916,0.36
InsectWingbeat,LightTS,22,128,4,5,0.7122,91856,0.36
InsectWingbeat,LightTS,22,128,3,7,0.7136,91856,0.36
InsectWingbeat,LightTS,22,128,2,11,0.71008,91874,0.36
InsectWingbeat,LightTS,22,64,11,2,0.70916,86932,0.34
InsectWingbeat,LightTS,22,64,8,2,0.70468,86894,0.34
InsectWingbeat,LightTS,22,64,6,3,0.70828,86848,0.34
InsectWingbeat,LightTS,22,64,5,4,0.70976,86860,0.34
InsectWingbeat,LightTS,22,64,4,5,0.704,86832,0.34
InsectWingbeat,LightTS,22,64,3,7,0.71084,86864,0.34
InsectWingbeat,LightTS,22,64,2,11,0.70896,86914,0.34
InsectWingbeat,LightTS,22,32,11,2,0.71056,85460,0.34
InsectWingbeat,LightTS,22,32,8,2,0.7062,85470,0.34
InsectWingbeat,LightTS,22,32,6,3,0.70528,85456,0.34
InsectWingbeat,LightTS,22,32,5,4,0.70656,85484,0.34
InsectWingbeat,LightTS,22,32,4,5,0.69796,85472,0.34
InsectWingbeat,LightTS,22,32,3,7,0.70552,85520,0.34
InsectWingbeat,LightTS,22,32,2,11,0.71044,85586,0.34
