data_name,model,seq_len,d_model,chunk_size,chunk_num,acc,model_params,model_size (MB)
Libras,LightTS,45,512,23,1,0.8444444444444444,111517,0.44
Libras,LightTS,45,512,15,3,0.8166666666666667,109438,0.43
Libras,LightTS,45,512,12,3,0.8444444444444444,108823,0.43
Libras,LightTS,45,512,9,5,0.8222222222222222,107942,0.42
Libras,LightTS,45,512,8,5,0.8388888888888889,107847,0.42
Libras,LightTS,45,512,7,6,0.8222222222222222,107666,0.42
Libras,LightTS,45,512,6,7,0.8111111111111111,107399,0.42
Libras,LightTS,45,512,5,9,0.7944444444444444,107046,0.42
Libras,LightTS,45,512,4,11,0.8111111111111111,107063,0.42
Libras,LightTS,45,512,3,15,0.8388888888888889,106846,0.42
Libras,LightTS,45,256,23,1,0.8333333333333334,32957,0.14
Libras,LightTS,45,256,15,3,0.8111111111111111,31902,0.13
Libras,LightTS,45,256,12,3,0.8944444444444445,31671,0.13
Libras,LightTS,45,256,9,5,0.8277777777777777,31174,0.13
Libras,LightTS,45,256,8,5,0.8277777777777777,31207,0.13
Libras,LightTS,45,256,7,6,0.8388888888888889,31154,0.13
Libras,LightTS,45,256,6,7,0.8388888888888889,31015,0.13
Libras,LightTS,45,256,5,9,0.8333333333333334,30790,0.13
Libras,LightTS,45,256,4,11,0.7722222222222223,30935,0.13
Libras,LightTS,45,256,3,15,0.7777777777777778,30846,0.13
Libras,LightTS,45,128,23,1,0.8111111111111111,12109,0.06
Libras,LightTS,45,128,15,3,0.7555555555555555,11566,0.05
Libras,LightTS,45,128,12,3,0.8388888888888889,11527,0.05
Libras,LightTS,45,128,9,5,0.8166666666666667,11222,0.05
Libras,LightTS,45,128,8,5,0.7888888888888889,11319,0.05
Libras,LightTS,45,128,7,6,0.7888888888888889,11330,0.05
Libras,LightTS,45,128,6,7,0.8388888888888889,11255,0.05
Libras,LightTS,45,128,5,9,0.8166666666666667,11094,0.05
Libras,LightTS,45,128,4,11,0.7777777777777778,11303,0.05
Libras,LightTS,45,128,3,15,0.7944444444444444,11278,0.05
Libras,LightTS,45,64,23,1,0.7444444444444445,6293,0.03
Libras,LightTS,45,64,15,3,0.7666666666666667,6006,0.03
Libras,LightTS,45,64,12,3,0.7888888888888889,6063,0.03
Libras,LightTS,45,64,9,5,0.8166666666666667,5854,0.03
Libras,LightTS,45,64,8,5,0.7166666666666667,5983,0.03
Libras,LightTS,45,64,7,6,0.7888888888888889,6026,0.03
Libras,LightTS,45,64,6,7,0.7722222222222223,5983,0.03
Libras,LightTS,45,64,5,9,0.7611111111111111,5854,0.03
Libras,LightTS,45,64,4,11,0.8166666666666667,6095,0.03
Libras,LightTS,45,64,3,15,0.7777777777777778,6102,0.03
Libras,LightTS,45,32,23,1,0.75,4537,0.03
Libras,LightTS,45,32,15,3,0.7611111111111111,4378,0.03
Libras,LightTS,45,32,12,3,0.6,4483,0.03
Libras,LightTS,45,32,9,5,0.8222222222222222,4322,0.03
Libras,LightTS,45,32,8,5,0.8666666666666667,4467,0.03
Libras,LightTS,45,32,7,6,0.7944444444444444,4526,0.03
Libras,LightTS,45,32,6,7,0.7611111111111111,4499,0.03
Libras,LightTS,45,32,5,9,0.7888888888888889,4386,0.03
Libras,LightTS,45,32,4,11,0.75,4643,0.03
Libras,LightTS,45,32,3,15,0.8388888888888889,4666,0.03
