data_name,model,seq_len,d_model,chunk_size,chunk_num,acc,model_params,model_size (MB)
RacketSports,LightTS,30,512,15,2,0.7631578947368421,106704,0.42
RacketSports,LightTS,30,512,10,3,0.8092105263157895,105438,0.41
RacketSports,LightTS,30,512,8,3,0.743421052631579,105004,0.41
RacketSports,LightTS,30,512,6,5,0.7171052631578947,104454,0.41
RacketSports,LightTS,30,512,5,6,0.8092105263157895,104224,0.41
RacketSports,LightTS,30,512,4,7,0.7631578947368421,104092,0.41
RacketSports,LightTS,30,512,3,10,0.743421052631579,103856,0.41
RacketSports,LightTS,30,512,2,15,0.8026315789473685,103870,0.41
RacketSports,LightTS,30,256,15,2,0.6907894736842105,29648,0.12
RacketSports,LightTS,30,256,10,3,0.7236842105263158,29022,0.12
RacketSports,LightTS,30,256,8,3,0.6907894736842105,28844,0.12
RacketSports,LightTS,30,256,6,5,0.7697368421052632,28550,0.12
RacketSports,LightTS,30,256,5,6,0.8157894736842105,28448,0.12
RacketSports,LightTS,30,256,4,7,0.743421052631579,28444,0.12
RacketSports,LightTS,30,256,3,10,0.743421052631579,28336,0.12
RacketSports,LightTS,30,256,2,15,0.7368421052631579,28478,0.12
RacketSports,LightTS,30,128,15,2,0.7763157894736842,9552,0.05
RacketSports,LightTS,30,128,10,3,0.7105263157894737,9246,0.05
RacketSports,LightTS,30,128,8,3,0.7697368421052632,9196,0.05
RacketSports,LightTS,30,128,6,5,0.7828947368421053,9030,0.04
RacketSports,LightTS,30,128,5,6,0.75,8992,0.04
RacketSports,LightTS,30,128,4,7,0.8026315789473685,9052,0.05
RacketSports,LightTS,30,128,3,10,0.7697368421052632,9008,0.04
RacketSports,LightTS,30,128,2,15,0.7697368421052632,9214,0.05
RacketSports,LightTS,30,64,15,2,0.7039473684210527,4112,0.03
RacketSports,LightTS,30,64,10,3,0.7697368421052632,3966,0.03
RacketSports,LightTS,30,64,8,3,0.756578947368421,3980,0.03
RacketSports,LightTS,30,64,6,5,0.7894736842105263,3878,0.03
RacketSports,LightTS,30,64,5,6,0.6907894736842105,3872,0.03
RacketSports,LightTS,30,64,4,7,0.7763157894736842,3964,0.03
RacketSports,LightTS,30,64,3,10,0.7697368421052632,3952,0.03
RacketSports,LightTS,30,64,2,15,0.7236842105263158,4190,0.03
RacketSports,LightTS,30,32,15,2,0.7828947368421053,2544,0.02
RacketSports,LightTS,30,32,10,3,0.7631578947368421,2478,0.02
RacketSports,LightTS,30,32,8,3,0.75,2524,0.02
RacketSports,LightTS,30,32,6,5,0.8026315789473685,2454,0.02
RacketSports,LightTS,30,32,5,6,0.7960526315789473,2464,0.02
RacketSports,LightTS,30,32,4,7,0.8092105263157895,2572,0.02
RacketSports,LightTS,30,32,3,10,0.7828947368421053,2576,0.02
RacketSports,LightTS,30,32,2,15,0.6907894736842105,2830,0.02
