data_name,model,seq_len,d_model,chunk_size,chunk_num,acc,model_params,model_size (MB)
UWaveGestureLibrary,LightTS,315,512,158,1,0.8375,267576,1.03
UWaveGestureLibrary,LightTS,315,512,105,3,0.846875,253707,0.98
UWaveGestureLibrary,LightTS,315,512,79,3,0.85,247384,0.95
UWaveGestureLibrary,LightTS,315,512,63,5,0.85625,242995,0.94
UWaveGestureLibrary,LightTS,315,512,53,5,0.85,241406,0.93
UWaveGestureLibrary,LightTS,315,512,45,7,0.853125,238443,0.92
UWaveGestureLibrary,LightTS,315,512,40,7,0.865625,238772,0.92
UWaveGestureLibrary,LightTS,315,512,35,9,0.890625,235955,0.91
UWaveGestureLibrary,LightTS,315,512,32,9,0.84375,236804,0.91
UWaveGestureLibrary,LightTS,315,512,29,10,0.853125,235767,0.91
UWaveGestureLibrary,LightTS,315,512,27,11,0.853125,236880,0.91
UWaveGestureLibrary,LightTS,315,512,25,12,0.878125,236737,0.91
UWaveGestureLibrary,LightTS,315,512,23,13,0.884375,235338,0.91
UWaveGestureLibrary,LightTS,315,512,21,15,0.878125,232683,0.9
UWaveGestureLibrary,LightTS,315,512,20,15,0.859375,234068,0.9
UWaveGestureLibrary,LightTS,315,512,19,16,0.83125,234827,0.91
UWaveGestureLibrary,LightTS,315,512,18,17,0.85625,234960,0.91
UWaveGestureLibrary,LightTS,315,512,17,18,0.84375,234467,0.9
UWaveGestureLibrary,LightTS,315,512,16,19,0.85625,233348,0.9
UWaveGestureLibrary,LightTS,315,512,15,21,0.865625,231603,0.89
UWaveGestureLibrary,LightTS,315,256,158,1,0.8375,163096,0.63
UWaveGestureLibrary,LightTS,315,256,105,3,0.840625,156011,0.61
UWaveGestureLibrary,LightTS,315,256,79,3,0.84375,153016,0.59
UWaveGestureLibrary,LightTS,315,256,63,5,0.84375,150675,0.59
UWaveGestureLibrary,LightTS,315,256,53,5,0.8375,150366,0.58
UWaveGestureLibrary,LightTS,315,256,45,7,0.8375,148427,0.58
UWaveGestureLibrary,LightTS,315,256,40,7,0.846875,149396,0.58
UWaveGestureLibrary,LightTS,315,256,35,9,0.83125,147219,0.57
UWaveGestureLibrary,LightTS,315,256,32,9,0.834375,148452,0.58
UWaveGestureLibrary,LightTS,315,256,29,10,0.834375,147799,0.57
UWaveGestureLibrary,LightTS,315,256,27,11,0.840625,149168,0.58
UWaveGestureLibrary,LightTS,315,256,25,12,0.840625,149281,0.58
UWaveGestureLibrary,LightTS,315,256,23,13,0.846875,148138,0.58
UWaveGestureLibrary,LightTS,315,256,21,15,0.84375,145739,0.57
UWaveGestureLibrary,LightTS,315,256,20,15,0.828125,147252,0.57
UWaveGestureLibrary,LightTS,315,256,19,16,0.846875,148139,0.58
UWaveGestureLibrary,LightTS,315,256,18,17,0.8375,148400,0.58
UWaveGestureLibrary,LightTS,315,256,17,18,0.840625,148035,0.58
UWaveGestureLibrary,LightTS,315,256,16,19,0.846875,147044,0.57
UWaveGestureLibrary,LightTS,315,256,15,21,0.8375,145427,0.57
UWaveGestureLibrary,LightTS,315,128,158,1,0.8375,129288,0.5
UWaveGestureLibrary,LightTS,315,128,105,3,0.840625,125595,0.49
UWaveGestureLibrary,LightTS,315,128,79,3,0.83125,124264,0.48
UWaveGestureLibrary,LightTS,315,128,63,5,0.83125,122947,0.48
UWaveGestureLibrary,LightTS,315,128,53,5,0.840625,123278,0.48
UWaveGestureLibrary,LightTS,315,128,45,7,0.83125,121851,0.48
UWaveGestureLibrary,LightTS,315,128,40,7,0.828125,123140,0.48
UWaveGestureLibrary,LightTS,315,128,35,9,0.840625,121283,0.47
