data_name,model,seq_len,n_layers,d_model,use_temporal_interaction,temporal_factor_ratio,use_channel_interaction,channel_factor_dim,revIn,norm,individual,acc,model_params,model_size (MB)
Cricket,MTSMixer,1197,2,1024,True,150,True,4,False,True,False,0.9305555555555556,5298854,20.68
Cricket,MTSMixer,1197,2,1024,True,120,True,4,False,True,False,0.9444444444444444,5237414,20.35
Cricket,MTSMixer,1197,2,1024,True,90,True,4,False,True,False,0.9305555555555556,5175974,20.03
Cricket,MTSMixer,1197,2,1024,True,60,True,4,False,True,False,0.9166666666666666,5114534,19.7
Cricket,MTSMixer,1197,2,1024,True,36,True,4,False,True,False,0.9305555555555556,5065382,19.44
Cricket,MTSMixer,1197,2,1024,True,24,True,4,False,True,False,0.9305555555555556,5040806,19.31
Cricket,MTSMixer,1197,2,1024,True,12,True,4,False,True,False,0.9444444444444444,5016230,19.18
Cricket,MTSMixer,1197,2,1024,False,0,True,4,False,True,False,0.9444444444444444,4993702,19.06
Cricket,MTSMixer,1197,2,1024,True,150,True,2,False,True,False,0.9166666666666666,5298802,20.68
Cricket,MTSMixer,1197,2,1024,True,120,True,2,False,True,False,0.9444444444444444,5237362,20.35
Cricket,MTSMixer,1197,2,1024,True,90,True,2,False,True,False,0.9166666666666666,5175922,20.03
Cricket,MTSMixer,1197,2,1024,True,60,True,2,False,True,False,0.9444444444444444,5114482,19.7
Cricket,MTSMixer,1197,2,1024,True,36,True,2,False,True,False,0.9305555555555556,5065330,19.44
Cricket,MTSMixer,1197,2,1024,True,24,True,2,False,True,False,0.9305555555555556,5040754,19.31
Cricket,MTSMixer,1197,2,1024,True,12,True,2,False,True,False,0.9305555555555556,5016178,19.18
Cricket,MTSMixer,1197,2,1024,False,0,True,2,False,True,False,0.9583333333333334,4993650,19.06
Cricket,MTSMixer,1197,2,1024,True,150,False,0,False,True,False,0.9444444444444444,5298738,20.68
Cricket,MTSMixer,1197,2,1024,True,120,False,0,False,True,False,0.9444444444444444,5237298,20.35
Cricket,MTSMixer,1197,2,1024,True,90,False,0,False,True,False,0.9305555555555556,5175858,20.02
Cricket,MTSMixer,1197,2,1024,True,60,False,0,False,True,False,0.9583333333333334,5114418,19.7
Cricket,MTSMixer,1197,2,1024,True,36,False,0,False,True,False,0.9166666666666666,5065266,19.44
Cricket,MTSMixer,1197,2,1024,True,24,False,0,False,True,False,0.9166666666666666,5040690,19.31
Cricket,MTSMixer,1197,2,1024,True,12,False,0,False,True,False,0.9444444444444444,5016114,19.18
Cricket,MTSMixer,1197,2,1024,False,0,False,0,False,True,False,0.9305555555555556,4993586,19.05
Cricket,MTSMixer,1197,2,512,True,150,True,4,False,True,False,0.9444444444444444,2693798,10.75
Cricket,MTSMixer,1197,2,512,True,120,True,4,False,True,False,0.9027777777777778,2663078,10.53
Cricket,MTSMixer,1197,2,512,True,90,True,4,False,True,False,0.9444444444444444,2632358,10.32
Cricket,MTSMixer,1197,2,512,True,60,True,4,False,True,False,0.9444444444444444,2601638,10.12
Cricket,MTSMixer,1197,2,512,True,36,True,4,False,True,False,0.9305555555555556,2577062,9.95
Cricket,MTSMixer,1197,2,512,True,24,True,4,False,True,False,0.9444444444444444,2564774,9.86
Cricket,MTSMixer,1197,2,512,True,12,True,4,False,True,False,0.9166666666666666,2552486,9.78
Cricket,MTSMixer,1197,2,512,False,0,True,4,False,True,False,0.9305555555555556,2541222,9.7
Cricket,MTSMixer,1197,2,512,True,150,True,2,False,True,False,0.9027777777777778,2693746,10.75
Cricket,MTSMixer,1197,2,512,True,120,True,2,False,True,False,0.875,2663026,10.53
Cricket,MTSMixer,1197,2,512,True,90,True,2,False,True,False,0.9444444444444444,2632306,10.32
Cricket,MTSMixer,1197,2,512,True,60,True,2,False,True,False,0.9305555555555556,2601586,10.12
Cricket,MTSMixer,1197,2,512,True,36,True,2,False,True,False,0.9305555555555556,2577010,9.95
Cricket,MTSMixer,1197,2,512,True,24,True,2,False,True,False,0.9166666666666666,2564722,9.86
Cricket,MTSMixer,1197,2,512,True,12,True,2,False,True,False,0.9444444444444444,2552434,9.78
Cricket,MTSMixer,1197,2,512,False,0,True,2,False,True,False,0.9305555555555556,2541170,9.7
Cricket,MTSMixer,1197,2,512,True,150,False,0,False,True,False,0.9444444444444444,2693682,10.74
Cricket,MTSMixer,1197,2,512,True,120,False,0,False,True,False,0.9722222222222222,2662962,10.53
Cricket,MTSMixer,1197,2,512,True,90,False,0,False,True,False,0.9305555555555556,2632242,10.32
Cricket,MTSMixer,1197,2,512,True,60,False,0,False,True,False,0.9444444444444444,2601522,10.11
Cricket,MTSMixer,1197,2,512,True,36,False,0,False,True,False,0.9444444444444444,2576946,9.95
Cricket,MTSMixer,1197,2,512,True,24,False,0,False,True,False,0.9305555555555556,2564658,9.86
Cricket,MTSMixer,1197,2,512,True,12,False,0,False,True,False,0.9305555555555556,2552370,9.78
Cricket,MTSMixer,1197,2,512,False,0,False,0,False,True,False,0.9444444444444444,2541106,9.7
Cricket,MTSMixer,1197,2,256,True,150,True,4,False,True,False,0.9444444444444444,1391270,5.78
Cricket,MTSMixer,1197,2,256,True,120,True,4,False,True,False,0.9305555555555556,1375910,5.62
Cricket,MTSMixer,1197,2,256,True,90,True,4,False,True,False,0.9444444444444444,1360550,5.47
Cricket,MTSMixer,1197,2,256,True,60,True,4,False,True,False,0.9305555555555556,1345190,5.32
Cricket,MTSMixer,1197,2,256,True,36,True,4,False,True,False,0.9305555555555556,1332902,5.2
Cricket,MTSMixer,1197,2,256,True,24,True,4,False,True,False,0.9305555555555556,1326758,5.14
Cricket,MTSMixer,1197,2,256,True,12,True,4,False,True,False,0.9305555555555556,1320614,5.08
Cricket,MTSMixer,1197,2,256,False,0,True,4,False,True,False,0.9583333333333334,1314982,5.02
Cricket,MTSMixer,1197,2,256,True,150,True,2,False,True,False,0.9583333333333334,1391218,5.78
Cricket,MTSMixer,1197,2,256,True,120,True,2,False,True,False,0.9305555555555556,1375858,5.62
