data_name,model,seq_len,n_layers,d_model,use_temporal_interaction,temporal_factor_ratio,use_channel_interaction,channel_factor_dim,revIn,norm,individual,acc,model_params,model_size (MB)
DuckDuckGeese,MTSMixer,270,2,1024,True,34,True,128,False,True,False,0.58,3691503,14.19
DuckDuckGeese,MTSMixer,270,2,1024,True,27,True,128,False,True,False,0.6,3677167,14.12
DuckDuckGeese,MTSMixer,270,2,1024,True,21,True,128,False,True,False,0.48,3664879,14.05
DuckDuckGeese,MTSMixer,270,2,1024,True,14,True,128,False,True,False,0.6,3650543,13.98
DuckDuckGeese,MTSMixer,270,2,1024,True,9,True,128,False,True,False,0.6,3640303,13.92
DuckDuckGeese,MTSMixer,270,2,1024,True,6,True,128,False,True,False,0.56,3634159,13.89
DuckDuckGeese,MTSMixer,270,2,1024,True,3,True,128,False,True,False,0.54,3628015,13.86
DuckDuckGeese,MTSMixer,270,2,1024,False,0,True,128,False,True,False,0.56,3623919,13.83
DuckDuckGeese,MTSMixer,270,2,1024,True,34,True,64,False,True,False,0.5,3347055,12.88
DuckDuckGeese,MTSMixer,270,2,1024,True,27,True,64,False,True,False,0.54,3332719,12.8
DuckDuckGeese,MTSMixer,270,2,1024,True,21,True,64,False,True,False,0.56,3320431,12.74
DuckDuckGeese,MTSMixer,270,2,1024,True,14,True,64,False,True,False,0.56,3306095,12.66
DuckDuckGeese,MTSMixer,270,2,1024,True,9,True,64,False,True,False,0.5,3295855,12.61
DuckDuckGeese,MTSMixer,270,2,1024,True,6,True,64,False,True,False,0.54,3289711,12.57
DuckDuckGeese,MTSMixer,270,2,1024,True,3,True,64,False,True,False,0.64,3283567,12.54
DuckDuckGeese,MTSMixer,270,2,1024,False,0,True,64,False,True,False,0.58,3279471,12.52
DuckDuckGeese,MTSMixer,270,2,1024,True,34,True,32,False,True,False,0.44,3174831,12.22
DuckDuckGeese,MTSMixer,270,2,1024,True,27,True,32,False,True,False,0.54,3160495,12.15
DuckDuckGeese,MTSMixer,270,2,1024,True,21,True,32,False,True,False,0.64,3148207,12.08
DuckDuckGeese,MTSMixer,270,2,1024,True,14,True,32,False,True,False,0.58,3133871,12.0
DuckDuckGeese,MTSMixer,270,2,1024,True,9,True,32,False,True,False,0.54,3123631,11.95
DuckDuckGeese,MTSMixer,270,2,1024,True,6,True,32,False,True,False,0.56,3117487,11.92
DuckDuckGeese,MTSMixer,270,2,1024,True,3,True,32,False,True,False,0.56,3111343,11.88
DuckDuckGeese,MTSMixer,270,2,1024,False,0,True,32,False,True,False,0.52,3107247,11.86
DuckDuckGeese,MTSMixer,270,2,1024,True,34,True,16,False,True,False,0.5,3088719,11.89
DuckDuckGeese,MTSMixer,270,2,1024,True,27,True,16,False,True,False,0.52,3074383,11.82
DuckDuckGeese,MTSMixer,270,2,1024,True,21,True,16,False,True,False,0.54,3062095,11.75
DuckDuckGeese,MTSMixer,270,2,1024,True,14,True,16,False,True,False,0.54,3047759,11.68
DuckDuckGeese,MTSMixer,270,2,1024,True,9,True,16,False,True,False,0.58,3037519,11.62
DuckDuckGeese,MTSMixer,270,2,1024,True,6,True,16,False,True,False,0.58,3031375,11.59
DuckDuckGeese,MTSMixer,270,2,1024,True,3,True,16,False,True,False,0.6,3025231,11.56
DuckDuckGeese,MTSMixer,270,2,1024,False,0,True,16,False,True,False,0.54,3021135,11.53
DuckDuckGeese,MTSMixer,270,2,1024,True,34,True,8,False,True,False,0.58,3045663,11.73
DuckDuckGeese,MTSMixer,270,2,1024,True,27,True,8,False,True,False,0.54,3031327,11.65
DuckDuckGeese,MTSMixer,270,2,1024,True,21,True,8,False,True,False,0.64,3019039,11.59
DuckDuckGeese,MTSMixer,270,2,1024,True,14,True,8,False,True,False,0.6,3004703,11.51
DuckDuckGeese,MTSMixer,270,2,1024,True,9,True,8,False,True,False,0.54,2994463,11.46
DuckDuckGeese,MTSMixer,270,2,1024,True,6,True,8,False,True,False,0.58,2988319,11.42
DuckDuckGeese,MTSMixer,270,2,1024,True,3,True,8,False,True,False,0.62,2982175,11.39
DuckDuckGeese,MTSMixer,270,2,1024,False,0,True,8,False,True,False,0.58,2978079,11.37
DuckDuckGeese,MTSMixer,270,2,1024,True,34,True,4,False,True,False,0.6,3024135,11.65
DuckDuckGeese,MTSMixer,270,2,1024,True,27,True,4,False,True,False,0.52,3009799,11.57
DuckDuckGeese,MTSMixer,270,2,1024,True,21,True,4,False,True,False,0.58,2997511,11.5
DuckDuckGeese,MTSMixer,270,2,1024,True,14,True,4,False,True,False,0.48,2983175,11.43
DuckDuckGeese,MTSMixer,270,2,1024,True,9,True,4,False,True,False,0.62,2972935,11.37
DuckDuckGeese,MTSMixer,270,2,1024,True,6,True,4,False,True,False,0.6,2966791,11.34
DuckDuckGeese,MTSMixer,270,2,1024,True,3,True,4,False,True,False,0.5,2960647,11.31
DuckDuckGeese,MTSMixer,270,2,1024,False,0,True,4,False,True,False,0.6,2956551,11.29
DuckDuckGeese,MTSMixer,270,2,1024,True,34,True,2,False,True,False,0.5,3013371,11.61
DuckDuckGeese,MTSMixer,270,2,1024,True,27,True,2,False,True,False,0.6,2999035,11.53
DuckDuckGeese,MTSMixer,270,2,1024,True,21,True,2,False,True,False,0.54,2986747,11.46
DuckDuckGeese,MTSMixer,270,2,1024,True,14,True,2,False,True,False,0.56,2972411,11.39
DuckDuckGeese,MTSMixer,270,2,1024,True,9,True,2,False,True,False,0.46,2962171,11.33
DuckDuckGeese,MTSMixer,270,2,1024,True,6,True,2,False,True,False,0.58,2956027,11.3
DuckDuckGeese,MTSMixer,270,2,1024,True,3,True,2,False,True,False,0.54,2949883,11.27
DuckDuckGeese,MTSMixer,270,2,1024,False,0,True,2,False,True,False,0.54,2945787,11.25
DuckDuckGeese,MTSMixer,270,2,1024,True,34,False,0,False,True,False,0.56,2999917,11.55
DuckDuckGeese,MTSMixer,270,2,1024,True,27,False,0,False,True,False,0.58,2985581,11.48
DuckDuckGeese,MTSMixer,270,2,1024,True,21,False,0,False,True,False,0.5,2973293,11.41
DuckDuckGeese,MTSMixer,270,2,1024,True,14,False,0,False,True,False,0.52,2958957,11.33
DuckDuckGeese,MTSMixer,270,2,1024,True,9,False,0,False,True,False,0.52,2948717,11.28
DuckDuckGeese,MTSMixer,270,2,1024,True,6,False,0,False,True,False,0.62,2942573,11.25
DuckDuckGeese,MTSMixer,270,2,1024,True,3,False,0,False,True,False,0.58,2936429,11.21
DuckDuckGeese,MTSMixer,270,2,1024,False,0,False,0,False,True,False,0.54,2932333,11.19
DuckDuckGeese,MTSMixer,270,2,512,True,34,True,128,False,True,False,0.6,3103727,11.95
