data_name,model,seq_len,n_layers,d_model,use_temporal_interaction,temporal_factor_ratio,use_channel_interaction,channel_factor_dim,revIn,norm,individual,acc,model_params,model_size (MB)
FaceDetection,MTSMixer,62,2,1024,True,8,True,128,False,True,False,0.6589103291713961,363454,1.42
FaceDetection,MTSMixer,62,2,1024,True,7,True,128,False,True,False,0.6608967082860386,361406,1.41
FaceDetection,MTSMixer,62,2,1024,True,5,True,128,False,True,False,0.6850170261066969,357310,1.38
FaceDetection,MTSMixer,62,2,1024,True,4,True,128,False,True,False,0.6679909194097616,355262,1.37
FaceDetection,MTSMixer,62,2,1024,True,2,True,128,False,True,False,0.6767877412031782,351166,1.35
FaceDetection,MTSMixer,62,2,1024,True,1,True,128,False,True,False,0.6759364358683314,349118,1.34
FaceDetection,MTSMixer,62,2,1024,False,0,True,128,False,True,False,0.6759364358683314,349118,1.34
FaceDetection,MTSMixer,62,2,1024,True,8,True,64,False,True,False,0.6657207718501703,326462,1.28
FaceDetection,MTSMixer,62,2,1024,True,7,True,64,False,True,False,0.6614642451759364,324414,1.27
FaceDetection,MTSMixer,62,2,1024,True,5,True,64,False,True,False,0.6611804767309876,320318,1.24
FaceDetection,MTSMixer,62,2,1024,True,4,True,64,False,True,False,0.6728149829738933,318270,1.23
FaceDetection,MTSMixer,62,2,1024,True,2,True,64,False,True,False,0.6691259931895573,314174,1.21
FaceDetection,MTSMixer,62,2,1024,True,1,True,64,False,True,False,0.6804767309875142,312126,1.2
FaceDetection,MTSMixer,62,2,1024,False,0,True,64,False,True,False,0.6804767309875142,312126,1.2
FaceDetection,MTSMixer,62,2,1024,True,8,True,32,False,True,False,0.6694097616345063,307966,1.21
FaceDetection,MTSMixer,62,2,1024,True,7,True,32,False,True,False,0.6529511918274687,305918,1.19
FaceDetection,MTSMixer,62,2,1024,True,5,True,32,False,True,False,0.6651532349602725,301822,1.17
FaceDetection,MTSMixer,62,2,1024,True,4,True,32,False,True,False,0.6674233825198638,299774,1.16
FaceDetection,MTSMixer,62,2,1024,True,2,True,32,False,True,False,0.6668558456299659,295678,1.14
FaceDetection,MTSMixer,62,2,1024,True,1,True,32,False,True,False,0.6671396140749148,293630,1.13
FaceDetection,MTSMixer,62,2,1024,False,0,True,32,False,True,False,0.6671396140749148,293630,1.13
FaceDetection,MTSMixer,62,2,1024,True,8,True,16,False,True,False,0.6623155505107832,298718,1.17
FaceDetection,MTSMixer,62,2,1024,True,7,True,16,False,True,False,0.6660045402951191,296670,1.16
FaceDetection,MTSMixer,62,2,1024,True,5,True,16,False,True,False,0.6796254256526674,292574,1.14
FaceDetection,MTSMixer,62,2,1024,True,4,True,16,False,True,False,0.6648694665153235,290526,1.13
FaceDetection,MTSMixer,62,2,1024,True,2,True,16,False,True,False,0.6767877412031782,286430,1.1
FaceDetection,MTSMixer,62,2,1024,True,1,True,16,False,True,False,0.6711123723041997,284382,1.09
FaceDetection,MTSMixer,62,2,1024,False,0,True,16,False,True,False,0.6711123723041997,284382,1.09
FaceDetection,MTSMixer,62,2,1024,True,8,True,8,False,True,False,0.6580590238365494,294094,1.15
FaceDetection,MTSMixer,62,2,1024,True,7,True,8,False,True,False,0.6625993189557321,292046,1.14
