data_name,model,seq_len,n_layers,d_model,use_temporal_interaction,temporal_factor_ratio,use_channel_interaction,channel_factor_dim,revIn,norm,individual,acc,model_params,model_size (MB)
FingerMovements,MTSMixer,50,2,1024,True,7,True,16,False,True,False,0.56,224086,0.88
FingerMovements,MTSMixer,50,2,1024,True,5,True,16,False,True,False,0.54,219990,0.86
FingerMovements,MTSMixer,50,2,1024,True,4,True,16,False,True,False,0.58,217942,0.85
FingerMovements,MTSMixer,50,2,1024,True,3,True,16,False,True,False,0.58,215894,0.84
FingerMovements,MTSMixer,50,2,1024,True,2,True,16,False,True,False,0.56,213846,0.83
FingerMovements,MTSMixer,50,2,1024,True,1,True,16,False,True,False,0.56,211798,0.82
FingerMovements,MTSMixer,50,2,1024,False,0,True,16,False,True,False,0.56,211798,0.82
FingerMovements,MTSMixer,50,2,1024,True,7,True,8,False,True,False,0.6,223174,0.88
FingerMovements,MTSMixer,50,2,1024,True,5,True,8,False,True,False,0.56,219078,0.86
FingerMovements,MTSMixer,50,2,1024,True,4,True,8,False,True,False,0.59,217030,0.85
FingerMovements,MTSMixer,50,2,1024,True,3,True,8,False,True,False,0.59,214982,0.84
FingerMovements,MTSMixer,50,2,1024,True,2,True,8,False,True,False,0.58,212934,0.82
FingerMovements,MTSMixer,50,2,1024,True,1,True,8,False,True,False,0.55,210886,0.81
FingerMovements,MTSMixer,50,2,1024,False,0,True,8,False,True,False,0.55,210886,0.81
FingerMovements,MTSMixer,50,2,1024,True,7,True,4,False,True,False,0.57,222718,0.88
FingerMovements,MTSMixer,50,2,1024,True,5,True,4,False,True,False,0.54,218622,0.86
FingerMovements,MTSMixer,50,2,1024,True,4,True,4,False,True,False,0.6,216574,0.84
FingerMovements,MTSMixer,50,2,1024,True,3,True,4,False,True,False,0.59,214526,0.83
FingerMovements,MTSMixer,50,2,1024,True,2,True,4,False,True,False,0.57,212478,0.82
FingerMovements,MTSMixer,50,2,1024,True,1,True,4,False,True,False,0.57,210430,0.81
FingerMovements,MTSMixer,50,2,1024,False,0,True,4,False,True,False,0.57,210430,0.81
FingerMovements,MTSMixer,50,2,1024,True,7,True,2,False,True,False,0.54,222490,0.88
FingerMovements,MTSMixer,50,2,1024,True,5,True,2,False,True,False,0.56,218394,0.85
FingerMovements,MTSMixer,50,2,1024,True,4,True,2,False,True,False,0.58,216346,0.84
FingerMovements,MTSMixer,50,2,1024,True,3,True,2,False,True,False,0.56,214298,0.83
FingerMovements,MTSMixer,50,2,1024,True,2,True,2,False,True,False,0.58,212250,0.82
FingerMovements,MTSMixer,50,2,1024,True,1,True,2,False,True,False,0.6,210202,0.81
FingerMovements,MTSMixer,50,2,1024,False,0,True,2,False,True,False,0.6,210202,0.81
FingerMovements,MTSMixer,50,2,1024,True,7,False,0,False,True,False,0.55,222206,0.87
FingerMovements,MTSMixer,50,2,1024,True,5,False,0,False,True,False,0.58,218110,0.85
FingerMovements,MTSMixer,50,2,1024,True,4,False,0,False,True,False,0.56,216062,0.84
FingerMovements,MTSMixer,50,2,1024,True,3,False,0,False,True,False,0.56,214014,0.83
FingerMovements,MTSMixer,50,2,1024,True,2,False,0,False,True,False,0.56,211966,0.82
FingerMovements,MTSMixer,50,2,1024,True,1,False,0,False,True,False,0.56,209918,0.81
FingerMovements,MTSMixer,50,2,1024,False,0,False,0,False,True,False,0.56,209918,0.81
FingerMovements,MTSMixer,50,2,512,True,7,True,16,False,True,False,0.58,114518,0.46
FingerMovements,MTSMixer,50,2,512,True,5,True,16,False,True,False,0.57,112470,0.45
FingerMovements,MTSMixer,50,2,512,True,4,True,16,False,True,False,0.6,111446,0.44
FingerMovements,MTSMixer,50,2,512,True,3,True,16,False,True,False,0.58,110422,0.44
FingerMovements,MTSMixer,50,2,512,True,2,True,16,False,True,False,0.62,109398,0.43
FingerMovements,MTSMixer,50,2,512,True,1,True,16,False,True,False,0.59,108374,0.42
FingerMovements,MTSMixer,50,2,512,False,0,True,16,False,True,False,0.59,108374,0.42
FingerMovements,MTSMixer,50,2,512,True,7,True,8,False,True,False,0.55,113606,0.46
FingerMovements,MTSMixer,50,2,512,True,5,True,8,False,True,False,0.55,111558,0.45
FingerMovements,MTSMixer,50,2,512,True,4,True,8,False,True,False,0.59,110534,0.44
FingerMovements,MTSMixer,50,2,512,True,3,True,8,False,True,False,0.57,109510,0.43
FingerMovements,MTSMixer,50,2,512,True,2,True,8,False,True,False,0.58,108486,0.43
FingerMovements,MTSMixer,50,2,512,True,1,True,8,False,True,False,0.52,107462,0.42
FingerMovements,MTSMixer,50,2,512,False,0,True,8,False,True,False,0.52,107462,0.42
FingerMovements,MTSMixer,50,2,512,True,7,True,4,False,True,False,0.57,113150,0.46
FingerMovements,MTSMixer,50,2,512,True,5,True,4,False,True,False,0.58,111102,0.44
FingerMovements,MTSMixer,50,2,512,True,4,True,4,False,True,False,0.58,110078,0.44
FingerMovements,MTSMixer,50,2,512,True,3,True,4,False,True,False,0.63,109054,0.43
FingerMovements,MTSMixer,50,2,512,True,2,True,4,False,True,False,0.58,108030,0.42
FingerMovements,MTSMixer,50,2,512,True,1,True,4,False,True,False,0.6,107006,0.42
FingerMovements,MTSMixer,50,2,512,False,0,True,4,False,True,False,0.6,107006,0.42
FingerMovements,MTSMixer,50,2,512,True,7,True,2,False,True,False,0.54,112922,0.46
FingerMovements,MTSMixer,50,2,512,True,5,True,2,False,True,False,0.59,110874,0.44
FingerMovements,MTSMixer,50,2,512,True,4,True,2,False,True,False,0.58,109850,0.44
FingerMovements,MTSMixer,50,2,512,True,3,True,2,False,True,False,0.53,108826,0.43
FingerMovements,MTSMixer,50,2,512,True,2,True,2,False,True,False,0.59,107802,0.42
FingerMovements,MTSMixer,50,2,512,True,1,True,2,False,True,False,0.57,106778,0.42
FingerMovements,MTSMixer,50,2,512,False,0,True,2,False,True,False,0.57,106778,0.42
FingerMovements,MTSMixer,50,2,512,True,7,False,0,False,True,False,0.56,112638,0.45
FingerMovements,MTSMixer,50,2,512,True,5,False,0,False,True,False,0.57,110590,0.44
FingerMovements,MTSMixer,50,2,512,True,4,False,0,False,True,False,0.52,109566,0.43
FingerMovements,MTSMixer,50,2,512,True,3,False,0,False,True,False,0.56,108542,0.43
FingerMovements,MTSMixer,50,2,512,True,2,False,0,False,True,False,0.55,107518,0.42
FingerMovements,MTSMixer,50,2,512,True,1,False,0,False,True,False,0.57,106494,0.41
FingerMovements,MTSMixer,50,2,512,False,0,False,0,False,True,False,0.57,106494,0.41
FingerMovements,MTSMixer,50,2,256,True,7,True,16,False,True,False,0.53,59734,0.26
FingerMovements,MTSMixer,50,2,256,True,5,True,16,False,True,False,0.58,58710,0.25
FingerMovements,MTSMixer,50,2,256,True,4,True,16,False,True,False,0.56,58198,0.24
FingerMovements,MTSMixer,50,2,256,True,3,True,16,False,True,False,0.57,57686,0.24
FingerMovements,MTSMixer,50,2,256,True,2,True,16,False,True,False,0.58,57174,0.23
FingerMovements,MTSMixer,50,2,256,True,1,True,16,False,True,False,0.61,56662,0.23
FingerMovements,MTSMixer,50,2,256,False,0,True,16,False,True,False,0.61,56662,0.22
FingerMovements,MTSMixer,50,2,256,True,7,True,8,False,True,False,0.58,58822,0.25
FingerMovements,MTSMixer,50,2,256,True,5,True,8,False,True,False,0.55,57798,0.24
FingerMovements,MTSMixer,50,2,256,True,4,True,8,False,True,False,0.58,57286,0.24
FingerMovements,MTSMixer,50,2,256,True,3,True,8,False,True,False,0.57,56774,0.23
FingerMovements,MTSMixer,50,2,256,True,2,True,8,False,True,False,0.56,56262,0.23
FingerMovements,MTSMixer,50,2,256,True,1,True,8,False,True,False,0.59,55750,0.22
FingerMovements,MTSMixer,50,2,256,False,0,True,8,False,True,False,0.59,55750,0.22
FingerMovements,MTSMixer,50,2,256,True,7,True,4,False,True,False,0.58,58366,0.25
FingerMovements,MTSMixer,50,2,256,True,5,True,4,False,True,False,0.55,57342,0.24
FingerMovements,MTSMixer,50,2,256,True,4,True,4,False,True,False,0.55,56830,0.23
FingerMovements,MTSMixer,50,2,256,True,3,True,4,False,True,False,0.56,56318,0.23
FingerMovements,MTSMixer,50,2,256,True,2,True,4,False,True,False,0.57,55806,0.22
FingerMovements,MTSMixer,50,2,256,True,1,True,4,False,True,False,0.56,55294,0.22
FingerMovements,MTSMixer,50,2,256,False,0,True,4,False,True,False,0.56,55294,0.22
FingerMovements,MTSMixer,50,2,256,True,7,True,2,False,True,False,0.58,58138,0.25
FingerMovements,MTSMixer,50,2,256,True,5,True,2,False,True,False,0.56,57114,0.24
FingerMovements,MTSMixer,50,2,256,True,4,True,2,False,True,False,0.56,56602,0.23
FingerMovements,MTSMixer,50,2,256,True,3,True,2,False,True,False,0.52,56090,0.23
FingerMovements,MTSMixer,50,2,256,True,2,True,2,False,True,False,0.58,55578,0.22
FingerMovements,MTSMixer,50,2,256,True,1,True,2,False,True,False,0.55,55066,0.22
FingerMovements,MTSMixer,50,2,256,False,0,True,2,False,True,False,0.55,55066,0.22
FingerMovements,MTSMixer,50,2,256,True,7,False,0,False,True,False,0.53,57854,0.24
FingerMovements,MTSMixer,50,2,256,True,5,False,0,False,True,False,0.53,56830,0.23
FingerMovements,MTSMixer,50,2,256,True,4,False,0,False,True,False,0.52,56318,0.23
FingerMovements,MTSMixer,50,2,256,True,3,False,0,False,True,False,0.58,55806,0.23
FingerMovements,MTSMixer,50,2,256,True,2,False,0,False,True,False,0.56,55294,0.22
FingerMovements,MTSMixer,50,2,256,True,1,False,0,False,True,False,0.58,54782,0.21
FingerMovements,MTSMixer,50,2,256,False,0,False,0,False,True,False,0.58,54782,0.21
FingerMovements,MTSMixer,50,2,128,True,7,True,16,False,True,False,0.56,32342,0.15
FingerMovements,MTSMixer,50,2,128,True,5,True,16,False,True,False,0.57,31830,0.14
FingerMovements,MTSMixer,50,2,128,True,4,True,16,False,True,False,0.58,31574,0.14
FingerMovements,MTSMixer,50,2,128,True,3,True,16,False,True,False,0.56,31318,0.13
FingerMovements,MTSMixer,50,2,128,True,2,True,16,False,True,False,0.61,31062,0.13
FingerMovements,MTSMixer,50,2,128,True,1,True,16,False,True,False,0.6,30806,0.13
FingerMovements,MTSMixer,50,2,128,False,0,True,16,False,True,False,0.6,30806,0.13
FingerMovements,MTSMixer,50,2,128,True,7,True,8,False,True,False,0.55,31430,0.15
FingerMovements,MTSMixer,50,2,128,True,5,True,8,False,True,False,0.54,30918,0.14
FingerMovements,MTSMixer,50,2,128,True,4,True,8,False,True,False,0.58,30662,0.13
FingerMovements,MTSMixer,50,2,128,True,3,True,8,False,True,False,0.6,30406,0.13
FingerMovements,MTSMixer,50,2,128,True,2,True,8,False,True,False,0.56,30150,0.13
FingerMovements,MTSMixer,50,2,128,True,1,True,8,False,True,False,0.57,29894,0.12
FingerMovements,MTSMixer,50,2,128,False,0,True,8,False,True,False,0.57,29894,0.12
FingerMovements,MTSMixer,50,2,128,True,7,True,4,False,True,False,0.55,30974,0.15
FingerMovements,MTSMixer,50,2,128,True,5,True,4,False,True,False,0.61,30462,0.14
FingerMovements,MTSMixer,50,2,128,True,4,True,4,False,True,False,0.56,30206,0.13
FingerMovements,MTSMixer,50,2,128,True,3,True,4,False,True,False,0.59,29950,0.13
FingerMovements,MTSMixer,50,2,128,True,2,True,4,False,True,False,0.56,29694,0.13
FingerMovements,MTSMixer,50,2,128,True,1,True,4,False,True,False,0.57,29438,0.12
FingerMovements,MTSMixer,50,2,128,False,0,True,4,False,True,False,0.57,29438,0.12
FingerMovements,MTSMixer,50,2,128,True,7,True,2,False,True,False,0.57,30746,0.14
FingerMovements,MTSMixer,50,2,128,True,5,True,2,False,True,False,0.57,30234,0.14
FingerMovements,MTSMixer,50,2,128,True,4,True,2,False,True,False,0.59,29978,0.13
FingerMovements,MTSMixer,50,2,128,True,3,True,2,False,True,False,0.6,29722,0.13
FingerMovements,MTSMixer,50,2,128,True,2,True,2,False,True,False,0.59,29466,0.12
FingerMovements,MTSMixer,50,2,128,True,1,True,2,False,True,False,0.6,29210,0.12
FingerMovements,MTSMixer,50,2,128,False,0,True,2,False,True,False,0.6,29210,0.12
FingerMovements,MTSMixer,50,2,128,True,7,False,0,False,True,False,0.53,30462,0.14
FingerMovements,MTSMixer,50,2,128,True,5,False,0,False,True,False,0.55,29950,0.13
FingerMovements,MTSMixer,50,2,128,True,4,False,0,False,True,False,0.58,29694,0.13
FingerMovements,MTSMixer,50,2,128,True,3,False,0,False,True,False,0.58,29438,0.12
FingerMovements,MTSMixer,50,2,128,True,2,False,0,False,True,False,0.58,29182,0.12
FingerMovements,MTSMixer,50,2,128,True,1,False,0,False,True,False,0.58,28926,0.12
FingerMovements,MTSMixer,50,2,128,False,0,False,0,False,True,False,0.58,28926,0.12
