data_name,model,seq_len,n_layers,d_model,use_temporal_interaction,temporal_factor_ratio,use_channel_interaction,channel_factor_dim,revIn,norm,individual,acc,model_params,model_size (MB)
InsectWingbeat,MTSMixer,22,2,1024,True,10,True,128,False,True,False,0.68892,258902,1.02
InsectWingbeat,MTSMixer,22,2,1024,True,8,True,128,False,True,False,0.70592,254806,1.0
InsectWingbeat,MTSMixer,22,2,1024,True,6,True,128,False,True,False,0.70184,250710,0.98
InsectWingbeat,MTSMixer,22,2,1024,True,4,True,128,False,True,False,0.7012,246614,0.96
InsectWingbeat,MTSMixer,22,2,1024,True,3,True,128,False,True,False,0.7036,244566,0.95
InsectWingbeat,MTSMixer,22,2,1024,True,2,True,128,False,True,False,0.70944,242518,0.94
InsectWingbeat,MTSMixer,22,2,1024,True,1,True,128,False,True,False,0.72128,240470,0.93
InsectWingbeat,MTSMixer,22,2,1024,False,0,True,128,False,True,False,0.72128,240470,0.93
InsectWingbeat,MTSMixer,22,2,1024,True,10,True,64,False,True,False,0.69696,207574,0.83
InsectWingbeat,MTSMixer,22,2,1024,True,8,True,64,False,True,False,0.7028,203478,0.81
InsectWingbeat,MTSMixer,22,2,1024,True,6,True,64,False,True,False,0.69696,199382,0.79
InsectWingbeat,MTSMixer,22,2,1024,True,4,True,64,False,True,False,0.69492,195286,0.76
InsectWingbeat,MTSMixer,22,2,1024,True,3,True,64,False,True,False,0.70196,193238,0.75
InsectWingbeat,MTSMixer,22,2,1024,True,2,True,64,False,True,False,0.70936,191190,0.74
InsectWingbeat,MTSMixer,22,2,1024,True,1,True,64,False,True,False,0.71312,189142,0.73
InsectWingbeat,MTSMixer,22,2,1024,False,0,True,64,False,True,False,0.71312,189142,0.73
InsectWingbeat,MTSMixer,22,2,1024,True,10,True,32,False,True,False,0.69152,181910,0.73
InsectWingbeat,MTSMixer,22,2,1024,True,8,True,32,False,True,False,0.6902,177814,0.71
InsectWingbeat,MTSMixer,22,2,1024,True,6,True,32,False,True,False,0.70084,173718,0.69
InsectWingbeat,MTSMixer,22,2,1024,True,4,True,32,False,True,False,0.69496,169622,0.67
InsectWingbeat,MTSMixer,22,2,1024,True,3,True,32,False,True,False,0.70456,167574,0.65
InsectWingbeat,MTSMixer,22,2,1024,True,2,True,32,False,True,False,0.71332,165526,0.64
InsectWingbeat,MTSMixer,22,2,1024,True,1,True,32,False,True,False,0.722,163478,0.63
InsectWingbeat,MTSMixer,22,2,1024,False,0,True,32,False,True,False,0.722,163478,0.63
InsectWingbeat,MTSMixer,22,2,1024,True,10,True,16,False,True,False,0.68464,169078,0.68
InsectWingbeat,MTSMixer,22,2,1024,True,8,True,16,False,True,False,0.69196,164982,0.66
InsectWingbeat,MTSMixer,22,2,1024,True,6,True,16,False,True,False,0.687,160886,0.64
InsectWingbeat,MTSMixer,22,2,1024,True,4,True,16,False,True,False,0.67964,156790,0.62
InsectWingbeat,MTSMixer,22,2,1024,True,3,True,16,False,True,False,0.69632,154742,0.61
