data_name,model,seq_len,n_layers,d_model,use_temporal_interaction,temporal_factor_ratio,use_channel_interaction,channel_factor_dim,revIn,norm,individual,acc,model_params,model_size (MB)
MotorImagery,MTSMixer,3000,2,1024,True,375,True,32,False,True,False,0.59,13454770,52.5
MotorImagery,MTSMixer,3000,2,1024,True,300,True,32,False,True,False,0.59,13301170,51.68
MotorImagery,MTSMixer,3000,2,1024,True,225,True,32,False,True,False,0.56,13147570,50.85
MotorImagery,MTSMixer,3000,2,1024,True,150,True,32,False,True,False,0.56,12993970,50.04
MotorImagery,MTSMixer,3000,2,1024,True,90,True,32,False,True,False,0.61,12871090,49.39
MotorImagery,MTSMixer,3000,2,1024,True,60,True,32,False,True,False,0.59,12809650,49.06
MotorImagery,MTSMixer,3000,2,1024,True,30,True,32,False,True,False,0.58,12748210,48.73
MotorImagery,MTSMixer,3000,2,1024,False,0,True,32,False,True,False,0.61,12688818,48.41
MotorImagery,MTSMixer,3000,2,1024,True,375,True,16,False,True,False,0.59,13450642,52.49
MotorImagery,MTSMixer,3000,2,1024,True,300,True,16,False,True,False,0.56,13297042,51.66
MotorImagery,MTSMixer,3000,2,1024,True,225,True,16,False,True,False,0.55,13143442,50.84
MotorImagery,MTSMixer,3000,2,1024,True,150,True,16,False,True,False,0.59,12989842,50.03
MotorImagery,MTSMixer,3000,2,1024,True,90,True,16,False,True,False,0.64,12866962,49.37
MotorImagery,MTSMixer,3000,2,1024,True,60,True,16,False,True,False,0.58,12805522,49.04
MotorImagery,MTSMixer,3000,2,1024,True,30,True,16,False,True,False,0.59,12744082,48.71
MotorImagery,MTSMixer,3000,2,1024,False,0,True,16,False,True,False,0.56,12684690,48.4
MotorImagery,MTSMixer,3000,2,1024,True,375,True,8,False,True,False,0.58,13448578,52.48
MotorImagery,MTSMixer,3000,2,1024,True,300,True,8,False,True,False,0.6,13294978,51.65
MotorImagery,MTSMixer,3000,2,1024,True,225,True,8,False,True,False,0.6,13141378,50.83
MotorImagery,MTSMixer,3000,2,1024,True,150,True,8,False,True,False,0.58,12987778,50.02
MotorImagery,MTSMixer,3000,2,1024,True,90,True,8,False,True,False,0.61,12864898,49.36
MotorImagery,MTSMixer,3000,2,1024,True,60,True,8,False,True,False,0.66,12803458,49.04
MotorImagery,MTSMixer,3000,2,1024,True,30,True,8,False,True,False,0.61,12742018,48.71
MotorImagery,MTSMixer,3000,2,1024,False,0,True,8,False,True,False,0.65,12682626,48.39
MotorImagery,MTSMixer,3000,2,1024,True,375,True,4,False,True,False,0.58,13447546,52.47
MotorImagery,MTSMixer,3000,2,1024,True,300,True,4,False,True,False,0.61,13293946,51.65
