data_name,model,seq_len,n_layers,d_model,use_temporal_interaction,temporal_factor_ratio,use_channel_interaction,channel_factor_dim,revIn,norm,individual,acc,model_params,model_size (MB)
NATOPS,MTSMixer,51,2,1024,True,7,True,16,False,True,False,0.9388888888888889,232444,0.91
NATOPS,MTSMixer,51,2,1024,True,6,True,16,False,True,False,0.9222222222222223,230396,0.9
NATOPS,MTSMixer,51,2,1024,True,4,True,16,False,True,False,0.9333333333333333,226300,0.88
NATOPS,MTSMixer,51,2,1024,True,3,True,16,False,True,False,0.9333333333333333,224252,0.87
NATOPS,MTSMixer,51,2,1024,True,2,True,16,False,True,False,0.9388888888888889,222204,0.86
NATOPS,MTSMixer,51,2,1024,True,1,True,16,False,True,False,0.9222222222222223,220156,0.85
NATOPS,MTSMixer,51,2,1024,False,0,True,16,False,True,False,0.9222222222222223,220156,0.85
NATOPS,MTSMixer,51,2,1024,True,7,True,8,False,True,False,0.9277777777777778,231660,0.91
NATOPS,MTSMixer,51,2,1024,True,6,True,8,False,True,False,0.9222222222222223,229612,0.9
NATOPS,MTSMixer,51,2,1024,True,4,True,8,False,True,False,0.9111111111111111,225516,0.88
NATOPS,MTSMixer,51,2,1024,True,3,True,8,False,True,False,0.8944444444444445,223468,0.87
NATOPS,MTSMixer,51,2,1024,True,2,True,8,False,True,False,0.9055555555555556,221420,0.86
NATOPS,MTSMixer,51,2,1024,True,1,True,8,False,True,False,0.9,219372,0.85
NATOPS,MTSMixer,51,2,1024,False,0,True,8,False,True,False,0.9,219372,0.85
NATOPS,MTSMixer,51,2,1024,True,7,True,4,False,True,False,0.9111111111111111,231268,0.91
NATOPS,MTSMixer,51,2,1024,True,6,True,4,False,True,False,0.9055555555555556,229220,0.9
NATOPS,MTSMixer,51,2,1024,True,4,True,4,False,True,False,0.9111111111111111,225124,0.88
NATOPS,MTSMixer,51,2,1024,True,3,True,4,False,True,False,0.9222222222222223,223076,0.87
