data_name,model,seq_len,n_layers,d_model,use_temporal_interaction,temporal_factor_ratio,use_channel_interaction,channel_factor_dim,revIn,norm,individual,acc,model_params,model_size (MB)
PEMS-SF,MTSMixer,144,2,1024,True,18,True,128,False,True,False,0.7398843930635838,2098703,8.07
PEMS-SF,MTSMixer,144,2,1024,True,15,True,128,False,True,False,0.7861271676300579,2092559,8.03
PEMS-SF,MTSMixer,144,2,1024,True,11,True,128,False,True,False,0.7630057803468208,2084367,7.99
PEMS-SF,MTSMixer,144,2,1024,True,8,True,128,False,True,False,0.7745664739884393,2078223,7.96
PEMS-SF,MTSMixer,144,2,1024,True,5,True,128,False,True,False,0.7803468208092486,2072079,7.93
PEMS-SF,MTSMixer,144,2,1024,True,3,True,128,False,True,False,0.7976878612716763,2067983,7.9
PEMS-SF,MTSMixer,144,2,1024,True,2,True,128,False,True,False,0.7398843930635838,2065935,7.89
PEMS-SF,MTSMixer,144,2,1024,False,0,True,128,False,True,False,0.7803468208092486,2063887,7.88
PEMS-SF,MTSMixer,144,2,1024,True,18,True,64,False,True,False,0.8034682080924855,1852047,7.13
PEMS-SF,MTSMixer,144,2,1024,True,15,True,64,False,True,False,0.791907514450867,1845903,7.09
PEMS-SF,MTSMixer,144,2,1024,True,11,True,64,False,True,False,0.7803468208092486,1837711,7.05
PEMS-SF,MTSMixer,144,2,1024,True,8,True,64,False,True,False,0.7630057803468208,1831567,7.02
PEMS-SF,MTSMixer,144,2,1024,True,5,True,64,False,True,False,0.8034682080924855,1825423,6.98
PEMS-SF,MTSMixer,144,2,1024,True,3,True,64,False,True,False,0.7861271676300579,1821327,6.96
PEMS-SF,MTSMixer,144,2,1024,True,2,True,64,False,True,False,0.8034682080924855,1819279,6.95
PEMS-SF,MTSMixer,144,2,1024,False,0,True,64,False,True,False,0.8092485549132948,1817231,6.94
PEMS-SF,MTSMixer,144,2,1024,True,18,True,32,False,True,False,0.7976878612716763,1728719,6.66
PEMS-SF,MTSMixer,144,2,1024,True,15,True,32,False,True,False,0.7976878612716763,1722575,6.62
PEMS-SF,MTSMixer,144,2,1024,True,11,True,32,False,True,False,0.7861271676300579,1714383,6.58
PEMS-SF,MTSMixer,144,2,1024,True,8,True,32,False,True,False,0.7398843930635838,1708239,6.55
PEMS-SF,MTSMixer,144,2,1024,True,5,True,32,False,True,False,0.7745664739884393,1702095,6.51
PEMS-SF,MTSMixer,144,2,1024,True,3,True,32,False,True,False,0.7861271676300579,1697999,6.49
PEMS-SF,MTSMixer,144,2,1024,True,2,True,32,False,True,False,0.7630057803468208,1695951,6.48
PEMS-SF,MTSMixer,144,2,1024,False,0,True,32,False,True,False,0.7861271676300579,1693903,6.47
PEMS-SF,MTSMixer,144,2,1024,True,18,True,16,False,True,False,0.7976878612716763,1667055,6.42
PEMS-SF,MTSMixer,144,2,1024,True,15,True,16,False,True,False,0.7572254335260116,1660911,6.39
PEMS-SF,MTSMixer,144,2,1024,True,11,True,16,False,True,False,0.7745664739884393,1652719,6.34
PEMS-SF,MTSMixer,144,2,1024,True,8,True,16,False,True,False,0.7803468208092486,1646575,6.31
PEMS-SF,MTSMixer,144,2,1024,True,5,True,16,False,True,False,0.7803468208092486,1640431,6.28
PEMS-SF,MTSMixer,144,2,1024,True,3,True,16,False,True,False,0.7745664739884393,1636335,6.26
PEMS-SF,MTSMixer,144,2,1024,True,2,True,16,False,True,False,0.7745664739884393,1634287,6.25
PEMS-SF,MTSMixer,144,2,1024,False,0,True,16,False,True,False,0.7745664739884393,1632239,6.24
PEMS-SF,MTSMixer,144,2,1024,True,18,True,8,False,True,False,0.791907514450867,1636223,6.3
PEMS-SF,MTSMixer,144,2,1024,True,15,True,8,False,True,False,0.7572254335260116,1630079,6.27
PEMS-SF,MTSMixer,144,2,1024,True,11,True,8,False,True,False,0.7861271676300579,1621887,6.23
PEMS-SF,MTSMixer,144,2,1024,True,8,True,8,False,True,False,0.7572254335260116,1615743,6.19
PEMS-SF,MTSMixer,144,2,1024,True,5,True,8,False,True,False,0.8034682080924855,1609599,6.16
