data_name,model,seq_len,n_layers,d_model,use_temporal_interaction,temporal_factor_ratio,use_channel_interaction,channel_factor_dim,revIn,norm,individual,acc,model_params,model_size (MB)
SelfRegulationSCP1,MTSMixer,896,2,1024,True,112,True,4,False,True,False,0.7303754266211604,3912090,15.28
SelfRegulationSCP1,MTSMixer,896,2,1024,True,90,True,4,False,True,False,0.7781569965870307,3867034,15.03
SelfRegulationSCP1,MTSMixer,896,2,1024,True,68,True,4,False,True,False,0.6245733788395904,3821978,14.79
SelfRegulationSCP1,MTSMixer,896,2,1024,True,45,True,4,False,True,False,0.658703071672355,3774874,14.55
SelfRegulationSCP1,MTSMixer,896,2,1024,True,27,True,4,False,True,False,0.7406143344709898,3738010,14.35
SelfRegulationSCP1,MTSMixer,896,2,1024,True,18,True,4,False,True,False,0.726962457337884,3719578,14.25
SelfRegulationSCP1,MTSMixer,896,2,1024,True,9,True,4,False,True,False,0.7815699658703071,3701146,14.15
SelfRegulationSCP1,MTSMixer,896,2,1024,False,0,True,4,False,True,False,0.7406143344709898,3684762,14.06
SelfRegulationSCP1,MTSMixer,896,2,1024,True,112,True,2,False,True,False,0.7508532423208191,3912038,15.28
SelfRegulationSCP1,MTSMixer,896,2,1024,True,90,True,2,False,True,False,0.6928327645051194,3866982,15.03
SelfRegulationSCP1,MTSMixer,896,2,1024,True,68,True,2,False,True,False,0.7064846416382252,3821926,14.79
SelfRegulationSCP1,MTSMixer,896,2,1024,True,45,True,2,False,True,False,0.757679180887372,3774822,14.55
SelfRegulationSCP1,MTSMixer,896,2,1024,True,27,True,2,False,True,False,0.7508532423208191,3737958,14.35
SelfRegulationSCP1,MTSMixer,896,2,1024,True,18,True,2,False,True,False,0.7406143344709898,3719526,14.25
SelfRegulationSCP1,MTSMixer,896,2,1024,True,9,True,2,False,True,False,0.7713310580204779,3701094,14.15
SelfRegulationSCP1,MTSMixer,896,2,1024,False,0,True,2,False,True,False,0.7235494880546075,3684710,14.06
SelfRegulationSCP1,MTSMixer,896,2,1024,True,112,False,0,False,True,False,0.6825938566552902,3911974,15.27
SelfRegulationSCP1,MTSMixer,896,2,1024,True,90,False,0,False,True,False,0.6996587030716723,3866918,15.03
SelfRegulationSCP1,MTSMixer,896,2,1024,True,68,False,0,False,True,False,0.6996587030716723,3821862,14.79
SelfRegulationSCP1,MTSMixer,896,2,1024,True,45,False,0,False,True,False,0.7406143344709898,3774758,14.54
SelfRegulationSCP1,MTSMixer,896,2,1024,True,27,False,0,False,True,False,0.6996587030716723,3737894,14.35
SelfRegulationSCP1,MTSMixer,896,2,1024,True,18,False,0,False,True,False,0.6996587030716723,3719462,14.25
SelfRegulationSCP1,MTSMixer,896,2,1024,True,9,False,0,False,True,False,0.7167235494880546,3701030,14.15
SelfRegulationSCP1,MTSMixer,896,2,1024,False,0,False,0,False,True,False,0.7030716723549488,3684646,14.06
SelfRegulationSCP1,MTSMixer,896,2,512,True,112,True,4,False,True,False,0.7030716723549488,1962394,7.84
SelfRegulationSCP1,MTSMixer,896,2,512,True,90,True,4,False,True,False,0.7201365187713311,1939866,7.68
SelfRegulationSCP1,MTSMixer,896,2,512,True,68,True,4,False,True,False,0.7303754266211604,1917338,7.53
SelfRegulationSCP1,MTSMixer,896,2,512,True,45,True,4,False,True,False,0.764505119453925,1893786,7.37
SelfRegulationSCP1,MTSMixer,896,2,512,True,27,True,4,False,True,False,0.6621160409556314,1875354,7.24
SelfRegulationSCP1,MTSMixer,896,2,512,True,18,True,4,False,True,False,0.6518771331058021,1866138,7.18
SelfRegulationSCP1,MTSMixer,896,2,512,True,9,True,4,False,True,False,0.7679180887372014,1856922,7.12
SelfRegulationSCP1,MTSMixer,896,2,512,False,0,True,4,False,True,False,0.726962457337884,1848730,7.06
SelfRegulationSCP1,MTSMixer,896,2,512,True,112,True,2,False,True,False,0.7679180887372014,1962342,7.84
SelfRegulationSCP1,MTSMixer,896,2,512,True,90,True,2,False,True,False,0.7815699658703071,1939814,7.68
SelfRegulationSCP1,MTSMixer,896,2,512,True,68,True,2,False,True,False,0.7713310580204779,1917286,7.53
SelfRegulationSCP1,MTSMixer,896,2,512,True,45,True,2,False,True,False,0.7713310580204779,1893734,7.37
SelfRegulationSCP1,MTSMixer,896,2,512,True,27,True,2,False,True,False,0.7372013651877133,1875302,7.24
SelfRegulationSCP1,MTSMixer,896,2,512,True,18,True,2,False,True,False,0.7372013651877133,1866086,7.18
SelfRegulationSCP1,MTSMixer,896,2,512,True,9,True,2,False,True,False,0.7508532423208191,1856870,7.12
SelfRegulationSCP1,MTSMixer,896,2,512,False,0,True,2,False,True,False,0.7542662116040956,1848678,7.06
SelfRegulationSCP1,MTSMixer,896,2,512,True,112,False,0,False,True,False,0.7235494880546075,1962278,7.84
SelfRegulationSCP1,MTSMixer,896,2,512,True,90,False,0,False,True,False,0.6996587030716723,1939750,7.68
SelfRegulationSCP1,MTSMixer,896,2,512,True,68,False,0,False,True,False,0.6962457337883959,1917222,7.52
SelfRegulationSCP1,MTSMixer,896,2,512,True,45,False,0,False,True,False,0.7440273037542662,1893670,7.37
SelfRegulationSCP1,MTSMixer,896,2,512,True,27,False,0,False,True,False,0.7337883959044369,1875238,7.24
SelfRegulationSCP1,MTSMixer,896,2,512,True,18,False,0,False,True,False,0.7133105802047781,1866022,7.18
SelfRegulationSCP1,MTSMixer,896,2,512,True,9,False,0,False,True,False,0.7303754266211604,1856806,7.11
SelfRegulationSCP1,MTSMixer,896,2,512,False,0,False,0,False,True,False,0.757679180887372,1848614,7.06
SelfRegulationSCP1,MTSMixer,896,2,256,True,112,True,4,False,True,False,0.757679180887372,987546,4.12
SelfRegulationSCP1,MTSMixer,896,2,256,True,90,True,4,False,True,False,0.6450511945392492,976282,4.01
SelfRegulationSCP1,MTSMixer,896,2,256,True,68,True,4,False,True,False,0.726962457337884,965018,3.89
SelfRegulationSCP1,MTSMixer,896,2,256,True,45,True,4,False,True,False,0.7098976109215017,953242,3.78
SelfRegulationSCP1,MTSMixer,896,2,256,True,27,True,4,False,True,False,0.6791808873720137,944026,3.69
SelfRegulationSCP1,MTSMixer,896,2,256,True,18,True,4,False,True,False,0.7372013651877133,939418,3.65
SelfRegulationSCP1,MTSMixer,896,2,256,True,9,True,4,False,True,False,0.7679180887372014,934810,3.6
SelfRegulationSCP1,MTSMixer,896,2,256,False,0,True,4,False,True,False,0.7474402730375427,930714,3.56
SelfRegulationSCP1,MTSMixer,896,2,256,True,112,True,2,False,True,False,0.6996587030716723,987494,4.12
