data_name,model,seq_len,e_layers,d_model,d_state,expand,d_conv,exp,acc,model_params,model_size (MB),ckpt
ArticularyWordRecognition,Mamba,144,4,1024,16,2,4,Exp,0.9233333333333333,30391296,135.48,classification_CLS_ArticularyWordRecognition_Mamba_UEA_ftM_sl144_ll0_pl0_el4_dm1024_ds16_expand2_dc4_Exp_0
ArticularyWordRecognition,Mamba,144,4,512,16,2,4,Exp,0.9633333333333334,8642048,42.75,classification_CLS_ArticularyWordRecognition_Mamba_UEA_ftM_sl144_ll0_pl0_el4_dm512_ds16_expand2_dc4_Exp_0
ArticularyWordRecognition,Mamba,144,4,256,16,2,4,Exp,0.9866666666666667,2682624,15.13,classification_CLS_ArticularyWordRecognition_Mamba_UEA_ftM_sl144_ll0_pl0_el4_dm256_ds16_expand2_dc4_Exp_0
ArticularyWordRecognition,Mamba,144,4,128,16,2,4,Exp,0.98,931712,6.01,classification_CLS_ArticularyWordRecognition_Mamba_UEA_ftM_sl144_ll0_pl0_el4_dm128_ds16_expand2_dc4_Exp_0
ArticularyWordRecognition,Mamba,144,4,64,16,2,4,Exp,0.9833333333333333,363456,2.62,classification_CLS_ArticularyWordRecognition_Mamba_UEA_ftM_sl144_ll0_pl0_el4_dm64_ds16_expand2_dc4_Exp_0
ArticularyWordRecognition,Mamba,144,4,32,16,2,4,Exp,0.9833333333333333,156128,1.22,classification_CLS_ArticularyWordRecognition_Mamba_UEA_ftM_sl144_ll0_pl0_el4_dm32_ds16_expand2_dc4_Exp_0
ArticularyWordRecognition,Mamba,144,4,1024,8,2,4,Exp,0.9566666666666667,30194688,134.73,classification_CLS_ArticularyWordRecognition_Mamba_UEA_ftM_sl144_ll0_pl0_el4_dm1024_ds8_expand2_dc4_Exp_0
ArticularyWordRecognition,Mamba,144,4,512,8,2,4,Exp,0.9866666666666667,8543744,42.37,classification_CLS_ArticularyWordRecognition_Mamba_UEA_ftM_sl144_ll0_pl0_el4_dm512_ds8_expand2_dc4_Exp_0
ArticularyWordRecognition,Mamba,144,4,256,8,2,4,Exp,0.98,2633472,14.94,classification_CLS_ArticularyWordRecognition_Mamba_UEA_ftM_sl144_ll0_pl0_el4_dm256_ds8_expand2_dc4_Exp_0
ArticularyWordRecognition,Mamba,144,4,128,8,2,4,Exp,0.9866666666666667,907136,5.92,classification_CLS_ArticularyWordRecognition_Mamba_UEA_ftM_sl144_ll0_pl0_el4_dm128_ds8_expand2_dc4_Exp_0
ArticularyWordRecognition,Mamba,144,4,64,8,2,4,Exp,0.9866666666666667,351168,2.58,classification_CLS_ArticularyWordRecognition_Mamba_UEA_ftM_sl144_ll0_pl0_el4_dm64_ds8_expand2_dc4_Exp_0
ArticularyWordRecognition,Mamba,144,4,32,8,2,4,Exp,0.96,149984,1.2,classification_CLS_ArticularyWordRecognition_Mamba_UEA_ftM_sl144_ll0_pl0_el4_dm32_ds8_expand2_dc4_Exp_0
ArticularyWordRecognition,Mamba,144,4,1024,4,2,4,Exp,0.97,30096384,134.36,classification_CLS_ArticularyWordRecognition_Mamba_UEA_ftM_sl144_ll0_pl0_el4_dm1024_ds4_expand2_dc4_Exp_0
ArticularyWordRecognition,Mamba,144,4,512,4,2,4,Exp,0.9766666666666667,8494592,42.19,classification_CLS_ArticularyWordRecognition_Mamba_UEA_ftM_sl144_ll0_pl0_el4_dm512_ds4_expand2_dc4_Exp_0
ArticularyWordRecognition,Mamba,144,4,256,4,2,4,Exp,0.98,2608896,14.85,classification_CLS_ArticularyWordRecognition_Mamba_UEA_ftM_sl144_ll0_pl0_el4_dm256_ds4_expand2_dc4_Exp_0
ArticularyWordRecognition,Mamba,144,4,128,4,2,4,Exp,0.98,894848,5.87,classification_CLS_ArticularyWordRecognition_Mamba_UEA_ftM_sl144_ll0_pl0_el4_dm128_ds4_expand2_dc4_Exp_0
ArticularyWordRecognition,Mamba,144,4,64,4,2,4,Exp,0.98,345024,2.55,classification_CLS_ArticularyWordRecognition_Mamba_UEA_ftM_sl144_ll0_pl0_el4_dm64_ds4_expand2_dc4_Exp_0
ArticularyWordRecognition,Mamba,144,4,32,4,2,4,Exp,0.9666666666666667,146912,1.19,classification_CLS_ArticularyWordRecognition_Mamba_UEA_ftM_sl144_ll0_pl0_el4_dm32_ds4_expand2_dc4_Exp_0
ArticularyWordRecognition,Mamba,144,4,1024,2,2,4,Exp,0.9766666666666667,30047232,134.17,classification_CLS_ArticularyWordRecognition_Mamba_UEA_ftM_sl144_ll0_pl0_el4_dm1024_ds2_expand2_dc4_Exp_0
ArticularyWordRecognition,Mamba,144,4,512,2,2,4,Exp,0.97,8470016,42.09,classification_CLS_ArticularyWordRecognition_Mamba_UEA_ftM_sl144_ll0_pl0_el4_dm512_ds2_expand2_dc4_Exp_0
ArticularyWordRecognition,Mamba,144,4,256,2,2,4,Exp,0.98,2596608,14.8,classification_CLS_ArticularyWordRecognition_Mamba_UEA_ftM_sl144_ll0_pl0_el4_dm256_ds2_expand2_dc4_Exp_0
ArticularyWordRecognition,Mamba,144,4,128,2,2,4,Exp,0.9766666666666667,888704,5.85,classification_CLS_ArticularyWordRecognition_Mamba_UEA_ftM_sl144_ll0_pl0_el4_dm128_ds2_expand2_dc4_Exp_0
ArticularyWordRecognition,Mamba,144,4,64,2,2,4,Exp,0.9766666666666667,341952,2.54,classification_CLS_ArticularyWordRecognition_Mamba_UEA_ftM_sl144_ll0_pl0_el4_dm64_ds2_expand2_dc4_Exp_0
