data_name,model,seq_len,e_layers,d_model,d_state,expand,d_conv,exp,acc,model_params,model_size (MB),ckpt
AtrialFibrillation,Mamba,640,4,1024,16,2,4,Exp,0.4,28649472,128.84,classification_CLS_AtrialFibrillation_Mamba_UEA_ftM_sl640_ll0_pl0_el4_dm1024_ds16_expand2_dc4_Exp_0
AtrialFibrillation,Mamba,640,4,512,16,2,4,Exp,0.4,7771136,39.43,classification_CLS_AtrialFibrillation_Mamba_UEA_ftM_sl640_ll0_pl0_el4_dm512_ds16_expand2_dc4_Exp_0
AtrialFibrillation,Mamba,640,4,256,16,2,4,Exp,0.4666666666666667,2247168,13.47,classification_CLS_AtrialFibrillation_Mamba_UEA_ftM_sl640_ll0_pl0_el4_dm256_ds16_expand2_dc4_Exp_0
AtrialFibrillation,Mamba,640,4,128,16,2,4,Exp,0.3333333333333333,713984,5.18,classification_CLS_AtrialFibrillation_Mamba_UEA_ftM_sl640_ll0_pl0_el4_dm128_ds16_expand2_dc4_Exp_0
AtrialFibrillation,Mamba,640,4,64,16,2,4,Exp,0.26666666666666666,254592,2.21,classification_CLS_AtrialFibrillation_Mamba_UEA_ftM_sl640_ll0_pl0_el4_dm64_ds16_expand2_dc4_Exp_0
AtrialFibrillation,Mamba,640,4,32,16,2,4,Exp,0.4666666666666667,101696,1.01,classification_CLS_AtrialFibrillation_Mamba_UEA_ftM_sl640_ll0_pl0_el4_dm32_ds16_expand2_dc4_Exp_0
AtrialFibrillation,Mamba,640,4,1024,8,2,4,Exp,0.4666666666666667,28452864,128.09,classification_CLS_AtrialFibrillation_Mamba_UEA_ftM_sl640_ll0_pl0_el4_dm1024_ds8_expand2_dc4_Exp_0
AtrialFibrillation,Mamba,640,4,512,8,2,4,Exp,0.3333333333333333,7672832,39.05,classification_CLS_AtrialFibrillation_Mamba_UEA_ftM_sl640_ll0_pl0_el4_dm512_ds8_expand2_dc4_Exp_0
AtrialFibrillation,Mamba,640,4,256,8,2,4,Exp,0.3333333333333333,2198016,13.28,classification_CLS_AtrialFibrillation_Mamba_UEA_ftM_sl640_ll0_pl0_el4_dm256_ds8_expand2_dc4_Exp_0
AtrialFibrillation,Mamba,640,4,128,8,2,4,Exp,0.5333333333333333,689408,5.09,classification_CLS_AtrialFibrillation_Mamba_UEA_ftM_sl640_ll0_pl0_el4_dm128_ds8_expand2_dc4_Exp_0
AtrialFibrillation,Mamba,640,4,64,8,2,4,Exp,0.5333333333333333,242304,2.16,classification_CLS_AtrialFibrillation_Mamba_UEA_ftM_sl640_ll0_pl0_el4_dm64_ds8_expand2_dc4_Exp_0
AtrialFibrillation,Mamba,640,4,32,8,2,4,Exp,0.2,95552,0.99,classification_CLS_AtrialFibrillation_Mamba_UEA_ftM_sl640_ll0_pl0_el4_dm32_ds8_expand2_dc4_Exp_0
AtrialFibrillation,Mamba,640,4,1024,4,2,4,Exp,0.4666666666666667,28354560,127.71,classification_CLS_AtrialFibrillation_Mamba_UEA_ftM_sl640_ll0_pl0_el4_dm1024_ds4_expand2_dc4_Exp_0
AtrialFibrillation,Mamba,640,4,512,4,2,4,Exp,0.4666666666666667,7623680,38.86,classification_CLS_AtrialFibrillation_Mamba_UEA_ftM_sl640_ll0_pl0_el4_dm512_ds4_expand2_dc4_Exp_0
AtrialFibrillation,Mamba,640,4,256,4,2,4,Exp,0.4,2173440,13.19,classification_CLS_AtrialFibrillation_Mamba_UEA_ftM_sl640_ll0_pl0_el4_dm256_ds4_expand2_dc4_Exp_0
AtrialFibrillation,Mamba,640,4,128,4,2,4,Exp,0.4,677120,5.04,classification_CLS_AtrialFibrillation_Mamba_UEA_ftM_sl640_ll0_pl0_el4_dm128_ds4_expand2_dc4_Exp_0
AtrialFibrillation,Mamba,640,4,64,4,2,4,Exp,0.3333333333333333,236160,2.14,classification_CLS_AtrialFibrillation_Mamba_UEA_ftM_sl640_ll0_pl0_el4_dm64_ds4_expand2_dc4_Exp_0
AtrialFibrillation,Mamba,640,4,32,4,2,4,Exp,0.26666666666666666,92480,0.98,classification_CLS_AtrialFibrillation_Mamba_UEA_ftM_sl640_ll0_pl0_el4_dm32_ds4_expand2_dc4_Exp_0
AtrialFibrillation,Mamba,640,4,1024,2,2,4,Exp,0.3333333333333333,28305408,127.52,classification_CLS_AtrialFibrillation_Mamba_UEA_ftM_sl640_ll0_pl0_el4_dm1024_ds2_expand2_dc4_Exp_0
AtrialFibrillation,Mamba,640,4,512,2,2,4,Exp,0.4,7599104,38.77,classification_CLS_AtrialFibrillation_Mamba_UEA_ftM_sl640_ll0_pl0_el4_dm512_ds2_expand2_dc4_Exp_0
AtrialFibrillation,Mamba,640,4,256,2,2,4,Exp,0.4666666666666667,2161152,13.14,classification_CLS_AtrialFibrillation_Mamba_UEA_ftM_sl640_ll0_pl0_el4_dm256_ds2_expand2_dc4_Exp_0
AtrialFibrillation,Mamba,640,4,128,2,2,4,Exp,0.4666666666666667,670976,5.02,classification_CLS_AtrialFibrillation_Mamba_UEA_ftM_sl640_ll0_pl0_el4_dm128_ds2_expand2_dc4_Exp_0
AtrialFibrillation,Mamba,640,4,64,2,2,4,Exp,0.4666666666666667,233088,2.13,classification_CLS_AtrialFibrillation_Mamba_UEA_ftM_sl640_ll0_pl0_el4_dm64_ds2_expand2_dc4_Exp_0
AtrialFibrillation,Mamba,640,4,32,2,2,4,Exp,0.2,90944,0.97,classification_CLS_AtrialFibrillation_Mamba_UEA_ftM_sl640_ll0_pl0_el4_dm32_ds2_expand2_dc4_Exp_0
AtrialFibrillation,Mamba,640,4,1024,1,2,4,Exp,0.3333333333333333,28280832,127.43,classification_CLS_AtrialFibrillation_Mamba_UEA_ftM_sl640_ll0_pl0_el4_dm1024_ds1_expand2_dc4_Exp_0
AtrialFibrillation,Mamba,640,4,512,1,2,4,Exp,0.3333333333333333,7586816,38.72,classification_CLS_AtrialFibrillation_Mamba_UEA_ftM_sl640_ll0_pl0_el4_dm512_ds1_expand2_dc4_Exp_0
AtrialFibrillation,Mamba,640,4,256,1,2,4,Exp,0.5333333333333333,2155008,13.12,classification_CLS_AtrialFibrillation_Mamba_UEA_ftM_sl640_ll0_pl0_el4_dm256_ds1_expand2_dc4_Exp_0
AtrialFibrillation,Mamba,640,4,128,1,2,4,Exp,0.26666666666666666,667904,5.01,classification_CLS_AtrialFibrillation_Mamba_UEA_ftM_sl640_ll0_pl0_el4_dm128_ds1_expand2_dc4_Exp_0
AtrialFibrillation,Mamba,640,4,64,1,2,4,Exp,0.3333333333333333,231552,2.12,classification_CLS_AtrialFibrillation_Mamba_UEA_ftM_sl640_ll0_pl0_el4_dm64_ds1_expand2_dc4_Exp_0
AtrialFibrillation,Mamba,640,4,32,1,2,4,Exp,0.4666666666666667,90176,0.97,classification_CLS_AtrialFibrillation_Mamba_UEA_ftM_sl640_ll0_pl0_el4_dm32_ds1_expand2_dc4_Exp_0
AtrialFibrillation,Mamba,640,4,1024,16,1,4,Exp,0.4,15316992,77.98,classification_CLS_AtrialFibrillation_Mamba_UEA_ftM_sl640_ll0_pl0_el4_dm1024_ds16_expand1_dc4_Exp_0
AtrialFibrillation,Mamba,640,4,512,16,1,4,Exp,0.5333333333333333,4381696,26.5,classification_CLS_AtrialFibrillation_Mamba_UEA_ftM_sl640_ll0_pl0_el4_dm512_ds16_expand1_dc4_Exp_0
AtrialFibrillation,Mamba,640,4,256,16,1,4,Exp,0.5333333333333333,1371648,10.13,classification_CLS_AtrialFibrillation_Mamba_UEA_ftM_sl640_ll0_pl0_el4_dm256_ds16_expand1_dc4_Exp_0
AtrialFibrillation,Mamba,640,4,128,16,1,4,Exp,0.4,481024,4.29,classification_CLS_AtrialFibrillation_Mamba_UEA_ftM_sl640_ll0_pl0_el4_dm128_ds16_expand1_dc4_Exp_0
AtrialFibrillation,Mamba,640,4,64,16,1,4,Exp,0.4,189312,1.96,classification_CLS_AtrialFibrillation_Mamba_UEA_ftM_sl640_ll0_pl0_el4_dm64_ds16_expand1_dc4_Exp_0
AtrialFibrillation,Mamba,640,4,32,16,1,4,Exp,0.4666666666666667,81856,0.94,classification_CLS_AtrialFibrillation_Mamba_UEA_ftM_sl640_ll0_pl0_el4_dm32_ds16_expand1_dc4_Exp_0
AtrialFibrillation,Mamba,640,4,1024,8,1,4,Exp,0.3333333333333333,15218688,77.6,classification_CLS_AtrialFibrillation_Mamba_UEA_ftM_sl640_ll0_pl0_el4_dm1024_ds8_expand1_dc4_Exp_0
AtrialFibrillation,Mamba,640,4,512,8,1,4,Exp,0.5333333333333333,4332544,26.31,classification_CLS_AtrialFibrillation_Mamba_UEA_ftM_sl640_ll0_pl0_el4_dm512_ds8_expand1_dc4_Exp_0
AtrialFibrillation,Mamba,640,4,256,8,1,4,Exp,0.5333333333333333,1347072,10.04,classification_CLS_AtrialFibrillation_Mamba_UEA_ftM_sl640_ll0_pl0_el4_dm256_ds8_expand1_dc4_Exp_0
AtrialFibrillation,Mamba,640,4,128,8,1,4,Exp,0.4666666666666667,468736,4.25,classification_CLS_AtrialFibrillation_Mamba_UEA_ftM_sl640_ll0_pl0_el4_dm128_ds8_expand1_dc4_Exp_0
AtrialFibrillation,Mamba,640,4,64,8,1,4,Exp,0.4,183168,1.94,classification_CLS_AtrialFibrillation_Mamba_UEA_ftM_sl640_ll0_pl0_el4_dm64_ds8_expand1_dc4_Exp_0
AtrialFibrillation,Mamba,640,4,32,8,1,4,Exp,0.3333333333333333,78784,0.93,classification_CLS_AtrialFibrillation_Mamba_UEA_ftM_sl640_ll0_pl0_el4_dm32_ds8_expand1_dc4_Exp_0
AtrialFibrillation,Mamba,640,4,1024,4,1,4,Exp,0.4,15169536,77.41,classification_CLS_AtrialFibrillation_Mamba_UEA_ftM_sl640_ll0_pl0_el4_dm1024_ds4_expand1_dc4_Exp_0
AtrialFibrillation,Mamba,640,4,512,4,1,4,Exp,0.4,4307968,26.22,classification_CLS_AtrialFibrillation_Mamba_UEA_ftM_sl640_ll0_pl0_el4_dm512_ds4_expand1_dc4_Exp_0
AtrialFibrillation,Mamba,640,4,256,4,1,4,Exp,0.4,1334784,9.99,classification_CLS_AtrialFibrillation_Mamba_UEA_ftM_sl640_ll0_pl0_el4_dm256_ds4_expand1_dc4_Exp_0
AtrialFibrillation,Mamba,640,4,128,4,1,4,Exp,0.4,462592,4.22,classification_CLS_AtrialFibrillation_Mamba_UEA_ftM_sl640_ll0_pl0_el4_dm128_ds4_expand1_dc4_Exp_0
AtrialFibrillation,Mamba,640,4,64,4,1,4,Exp,0.4666666666666667,180096,1.92,classification_CLS_AtrialFibrillation_Mamba_UEA_ftM_sl640_ll0_pl0_el4_dm64_ds4_expand1_dc4_Exp_0
AtrialFibrillation,Mamba,640,4,32,4,1,4,Exp,0.4,77248,0.92,classification_CLS_AtrialFibrillation_Mamba_UEA_ftM_sl640_ll0_pl0_el4_dm32_ds4_expand1_dc4_Exp_0
AtrialFibrillation,Mamba,640,4,1024,2,1,4,Exp,0.4,15144960,77.32,classification_CLS_AtrialFibrillation_Mamba_UEA_ftM_sl640_ll0_pl0_el4_dm1024_ds2_expand1_dc4_Exp_0
AtrialFibrillation,Mamba,640,4,512,2,1,4,Exp,0.4,4295680,26.17,classification_CLS_AtrialFibrillation_Mamba_UEA_ftM_sl640_ll0_pl0_el4_dm512_ds2_expand1_dc4_Exp_0
AtrialFibrillation,Mamba,640,4,256,2,1,4,Exp,0.4666666666666667,1328640,9.97,classification_CLS_AtrialFibrillation_Mamba_UEA_ftM_sl640_ll0_pl0_el4_dm256_ds2_expand1_dc4_Exp_0
AtrialFibrillation,Mamba,640,4,128,2,1,4,Exp,0.3333333333333333,459520,4.21,classification_CLS_AtrialFibrillation_Mamba_UEA_ftM_sl640_ll0_pl0_el4_dm128_ds2_expand1_dc4_Exp_0
AtrialFibrillation,Mamba,640,4,64,2,1,4,Exp,0.3333333333333333,178560,1.92,classification_CLS_AtrialFibrillation_Mamba_UEA_ftM_sl640_ll0_pl0_el4_dm64_ds2_expand1_dc4_Exp_0
AtrialFibrillation,Mamba,640,4,32,2,1,4,Exp,0.3333333333333333,76480,0.92,classification_CLS_AtrialFibrillation_Mamba_UEA_ftM_sl640_ll0_pl0_el4_dm32_ds2_expand1_dc4_Exp_0
AtrialFibrillation,Mamba,640,4,1024,1,1,4,Exp,0.4,15132672,77.27,classification_CLS_AtrialFibrillation_Mamba_UEA_ftM_sl640_ll0_pl0_el4_dm1024_ds1_expand1_dc4_Exp_0
AtrialFibrillation,Mamba,640,4,512,1,1,4,Exp,0.4666666666666667,4289536,26.14,classification_CLS_AtrialFibrillation_Mamba_UEA_ftM_sl640_ll0_pl0_el4_dm512_ds1_expand1_dc4_Exp_0
AtrialFibrillation,Mamba,640,4,256,1,1,4,Exp,0.3333333333333333,1325568,9.96,classification_CLS_AtrialFibrillation_Mamba_UEA_ftM_sl640_ll0_pl0_el4_dm256_ds1_expand1_dc4_Exp_0
AtrialFibrillation,Mamba,640,4,128,1,1,4,Exp,0.4666666666666667,457984,4.2,classification_CLS_AtrialFibrillation_Mamba_UEA_ftM_sl640_ll0_pl0_el4_dm128_ds1_expand1_dc4_Exp_0
AtrialFibrillation,Mamba,640,4,64,1,1,4,Exp,0.4666666666666667,177792,1.91,classification_CLS_AtrialFibrillation_Mamba_UEA_ftM_sl640_ll0_pl0_el4_dm64_ds1_expand1_dc4_Exp_0
AtrialFibrillation,Mamba,640,4,32,1,1,4,Exp,0.3333333333333333,76096,0.92,classification_CLS_AtrialFibrillation_Mamba_UEA_ftM_sl640_ll0_pl0_el4_dm32_ds1_expand1_dc4_Exp_0
AtrialFibrillation,Mamba,640,3,1024,16,2,4,Exp,0.3333333333333333,21981184,103.4,classification_CLS_AtrialFibrillation_Mamba_UEA_ftM_sl640_ll0_pl0_el3_dm1024_ds16_expand2_dc4_Exp_0
AtrialFibrillation,Mamba,640,3,512,16,2,4,Exp,0.3333333333333333,6075392,32.95,classification_CLS_AtrialFibrillation_Mamba_UEA_ftM_sl640_ll0_pl0_el3_dm512_ds16_expand2_dc4_Exp_0
AtrialFibrillation,Mamba,640,3,256,16,2,4,Exp,0.4,1808896,11.8,classification_CLS_AtrialFibrillation_Mamba_UEA_ftM_sl640_ll0_pl0_el3_dm256_ds16_expand2_dc4_Exp_0
AtrialFibrillation,Mamba,640,3,128,16,2,4,Exp,0.3333333333333333,597248,4.73,classification_CLS_AtrialFibrillation_Mamba_UEA_ftM_sl640_ll0_pl0_el3_dm128_ds16_expand2_dc4_Exp_0
AtrialFibrillation,Mamba,640,3,64,16,2,4,Exp,0.4666666666666667,221824,2.08,classification_CLS_AtrialFibrillation_Mamba_UEA_ftM_sl640_ll0_pl0_el3_dm64_ds16_expand2_dc4_Exp_0
AtrialFibrillation,Mamba,640,3,32,16,2,4,Exp,0.6666666666666666,91712,0.97,classification_CLS_AtrialFibrillation_Mamba_UEA_ftM_sl640_ll0_pl0_el3_dm32_ds16_expand2_dc4_Exp_0
AtrialFibrillation,Mamba,640,3,1024,8,2,4,Exp,0.4666666666666667,21833728,102.83,classification_CLS_AtrialFibrillation_Mamba_UEA_ftM_sl640_ll0_pl0_el3_dm1024_ds8_expand2_dc4_Exp_0
AtrialFibrillation,Mamba,640,3,512,8,2,4,Exp,0.3333333333333333,6001664,32.67,classification_CLS_AtrialFibrillation_Mamba_UEA_ftM_sl640_ll0_pl0_el3_dm512_ds8_expand2_dc4_Exp_0
AtrialFibrillation,Mamba,640,3,256,8,2,4,Exp,0.5333333333333333,1772032,11.66,classification_CLS_AtrialFibrillation_Mamba_UEA_ftM_sl640_ll0_pl0_el3_dm256_ds8_expand2_dc4_Exp_0
AtrialFibrillation,Mamba,640,3,128,8,2,4,Exp,0.5333333333333333,578816,4.66,classification_CLS_AtrialFibrillation_Mamba_UEA_ftM_sl640_ll0_pl0_el3_dm128_ds8_expand2_dc4_Exp_0
AtrialFibrillation,Mamba,640,3,64,8,2,4,Exp,0.5333333333333333,212608,2.04,classification_CLS_AtrialFibrillation_Mamba_UEA_ftM_sl640_ll0_pl0_el3_dm64_ds8_expand2_dc4_Exp_0
AtrialFibrillation,Mamba,640,3,32,8,2,4,Exp,0.3333333333333333,87104,0.96,classification_CLS_AtrialFibrillation_Mamba_UEA_ftM_sl640_ll0_pl0_el3_dm32_ds8_expand2_dc4_Exp_0
AtrialFibrillation,Mamba,640,3,1024,4,2,4,Exp,0.4,21760000,102.55,classification_CLS_AtrialFibrillation_Mamba_UEA_ftM_sl640_ll0_pl0_el3_dm1024_ds4_expand2_dc4_Exp_0
AtrialFibrillation,Mamba,640,3,512,4,2,4,Exp,0.3333333333333333,5964800,32.53,classification_CLS_AtrialFibrillation_Mamba_UEA_ftM_sl640_ll0_pl0_el3_dm512_ds4_expand2_dc4_Exp_0
AtrialFibrillation,Mamba,640,3,256,4,2,4,Exp,0.5333333333333333,1753600,11.58,classification_CLS_AtrialFibrillation_Mamba_UEA_ftM_sl640_ll0_pl0_el3_dm256_ds4_expand2_dc4_Exp_0
AtrialFibrillation,Mamba,640,3,128,4,2,4,Exp,0.4,569600,4.63,classification_CLS_AtrialFibrillation_Mamba_UEA_ftM_sl640_ll0_pl0_el3_dm128_ds4_expand2_dc4_Exp_0
AtrialFibrillation,Mamba,640,3,64,4,2,4,Exp,0.4,208000,2.03,classification_CLS_AtrialFibrillation_Mamba_UEA_ftM_sl640_ll0_pl0_el3_dm64_ds4_expand2_dc4_Exp_0
AtrialFibrillation,Mamba,640,3,32,4,2,4,Exp,0.4666666666666667,84800,0.95,classification_CLS_AtrialFibrillation_Mamba_UEA_ftM_sl640_ll0_pl0_el3_dm32_ds4_expand2_dc4_Exp_0
AtrialFibrillation,Mamba,640,3,1024,2,2,4,Exp,0.3333333333333333,21723136,102.41,classification_CLS_AtrialFibrillation_Mamba_UEA_ftM_sl640_ll0_pl0_el3_dm1024_ds2_expand2_dc4_Exp_0
AtrialFibrillation,Mamba,640,3,512,2,2,4,Exp,0.5333333333333333,5946368,32.46,classification_CLS_AtrialFibrillation_Mamba_UEA_ftM_sl640_ll0_pl0_el3_dm512_ds2_expand2_dc4_Exp_0
AtrialFibrillation,Mamba,640,3,256,2,2,4,Exp,0.6,1744384,11.55,classification_CLS_AtrialFibrillation_Mamba_UEA_ftM_sl640_ll0_pl0_el3_dm256_ds2_expand2_dc4_Exp_0
AtrialFibrillation,Mamba,640,3,128,2,2,4,Exp,0.4,564992,4.61,classification_CLS_AtrialFibrillation_Mamba_UEA_ftM_sl640_ll0_pl0_el3_dm128_ds2_expand2_dc4_Exp_0
AtrialFibrillation,Mamba,640,3,64,2,2,4,Exp,0.4666666666666667,205696,2.02,classification_CLS_AtrialFibrillation_Mamba_UEA_ftM_sl640_ll0_pl0_el3_dm64_ds2_expand2_dc4_Exp_0
AtrialFibrillation,Mamba,640,3,32,2,2,4,Exp,0.4666666666666667,83648,0.94,classification_CLS_AtrialFibrillation_Mamba_UEA_ftM_sl640_ll0_pl0_el3_dm32_ds2_expand2_dc4_Exp_0
AtrialFibrillation,Mamba,640,3,1024,1,2,4,Exp,0.4,21704704,102.34,classification_CLS_AtrialFibrillation_Mamba_UEA_ftM_sl640_ll0_pl0_el3_dm1024_ds1_expand2_dc4_Exp_0
AtrialFibrillation,Mamba,640,3,512,1,2,4,Exp,0.4,5937152,32.43,classification_CLS_AtrialFibrillation_Mamba_UEA_ftM_sl640_ll0_pl0_el3_dm512_ds1_expand2_dc4_Exp_0
AtrialFibrillation,Mamba,640,3,256,1,2,4,Exp,0.4,1739776,11.53,classification_CLS_AtrialFibrillation_Mamba_UEA_ftM_sl640_ll0_pl0_el3_dm256_ds1_expand2_dc4_Exp_0
AtrialFibrillation,Mamba,640,3,128,1,2,4,Exp,0.4666666666666667,562688,4.6,classification_CLS_AtrialFibrillation_Mamba_UEA_ftM_sl640_ll0_pl0_el3_dm128_ds1_expand2_dc4_Exp_0
AtrialFibrillation,Mamba,640,3,64,1,2,4,Exp,0.4,204544,2.01,classification_CLS_AtrialFibrillation_Mamba_UEA_ftM_sl640_ll0_pl0_el3_dm64_ds1_expand2_dc4_Exp_0
AtrialFibrillation,Mamba,640,3,32,1,2,4,Exp,0.4666666666666667,83072,0.94,classification_CLS_AtrialFibrillation_Mamba_UEA_ftM_sl640_ll0_pl0_el3_dm32_ds1_expand2_dc4_Exp_0
AtrialFibrillation,Mamba,640,3,1024,16,1,4,Exp,0.4,11981824,65.25,classification_CLS_AtrialFibrillation_Mamba_UEA_ftM_sl640_ll0_pl0_el3_dm1024_ds16_expand1_dc4_Exp_0
AtrialFibrillation,Mamba,640,3,512,16,1,4,Exp,0.3333333333333333,3533312,23.26,classification_CLS_AtrialFibrillation_Mamba_UEA_ftM_sl640_ll0_pl0_el3_dm512_ds16_expand1_dc4_Exp_0
AtrialFibrillation,Mamba,640,3,256,16,1,4,Exp,0.3333333333333333,1152256,9.29,classification_CLS_AtrialFibrillation_Mamba_UEA_ftM_sl640_ll0_pl0_el3_dm256_ds16_expand1_dc4_Exp_0
AtrialFibrillation,Mamba,640,3,128,16,1,4,Exp,0.4666666666666667,422528,4.07,classification_CLS_AtrialFibrillation_Mamba_UEA_ftM_sl640_ll0_pl0_el3_dm128_ds16_expand1_dc4_Exp_0
AtrialFibrillation,Mamba,640,3,64,16,1,4,Exp,0.26666666666666666,172864,1.89,classification_CLS_AtrialFibrillation_Mamba_UEA_ftM_sl640_ll0_pl0_el3_dm64_ds16_expand1_dc4_Exp_0
AtrialFibrillation,Mamba,640,3,32,16,1,4,Exp,0.3333333333333333,76832,0.92,classification_CLS_AtrialFibrillation_Mamba_UEA_ftM_sl640_ll0_pl0_el3_dm32_ds16_expand1_dc4_Exp_0
AtrialFibrillation,Mamba,640,3,1024,8,1,4,Exp,0.5333333333333333,11908096,64.97,classification_CLS_AtrialFibrillation_Mamba_UEA_ftM_sl640_ll0_pl0_el3_dm1024_ds8_expand1_dc4_Exp_0
