data_name,model,seq_len,e_layers,d_model,d_state,expand,d_conv,exp,acc,model_params,model_size (MB),ckpt
CharacterTrajectories,Mamba,182,4,1024,16,2,4,Exp,0.8837047353760445,30413824,135.57,classification_CLS_CharacterTrajectories_Mamba_UEA_ftM_sl182_ll0_pl0_el4_dm1024_ds16_expand2_dc4_Exp_0
CharacterTrajectories,Mamba,182,4,512,16,2,4,Exp,0.9380222841225627,8653312,42.79,classification_CLS_CharacterTrajectories_Mamba_UEA_ftM_sl182_ll0_pl0_el4_dm512_ds16_expand2_dc4_Exp_0
CharacterTrajectories,Mamba,182,4,256,16,2,4,Exp,0.9616991643454039,2688256,15.15,classification_CLS_CharacterTrajectories_Mamba_UEA_ftM_sl182_ll0_pl0_el4_dm256_ds16_expand2_dc4_Exp_0
CharacterTrajectories,Mamba,182,4,128,16,2,4,Exp,0.9637883008356546,934528,6.02,classification_CLS_CharacterTrajectories_Mamba_UEA_ftM_sl182_ll0_pl0_el4_dm128_ds16_expand2_dc4_Exp_0
CharacterTrajectories,Mamba,182,4,64,16,2,4,Exp,0.9763231197771588,364864,2.63,classification_CLS_CharacterTrajectories_Mamba_UEA_ftM_sl182_ll0_pl0_el4_dm64_ds16_expand2_dc4_Exp_0
CharacterTrajectories,Mamba,182,4,32,16,2,4,Exp,0.9777158774373259,156832,1.22,classification_CLS_CharacterTrajectories_Mamba_UEA_ftM_sl182_ll0_pl0_el4_dm32_ds16_expand2_dc4_Exp_0
CharacterTrajectories,Mamba,182,4,1024,8,2,4,Exp,0.8370473537604457,30217216,134.82,classification_CLS_CharacterTrajectories_Mamba_UEA_ftM_sl182_ll0_pl0_el4_dm1024_ds8_expand2_dc4_Exp_0
CharacterTrajectories,Mamba,182,4,512,8,2,4,Exp,0.9275766016713092,8555008,42.42,classification_CLS_CharacterTrajectories_Mamba_UEA_ftM_sl182_ll0_pl0_el4_dm512_ds8_expand2_dc4_Exp_0
CharacterTrajectories,Mamba,182,4,256,8,2,4,Exp,0.9596100278551533,2639104,14.97,classification_CLS_CharacterTrajectories_Mamba_UEA_ftM_sl182_ll0_pl0_el4_dm256_ds8_expand2_dc4_Exp_0
CharacterTrajectories,Mamba,182,4,128,8,2,4,Exp,0.9651810584958217,909952,5.93,classification_CLS_CharacterTrajectories_Mamba_UEA_ftM_sl182_ll0_pl0_el4_dm128_ds8_expand2_dc4_Exp_0
CharacterTrajectories,Mamba,182,4,64,8,2,4,Exp,0.9721448467966574,352576,2.58,classification_CLS_CharacterTrajectories_Mamba_UEA_ftM_sl182_ll0_pl0_el4_dm64_ds8_expand2_dc4_Exp_0
CharacterTrajectories,Mamba,182,4,32,8,2,4,Exp,0.9811977715877437,150688,1.2,classification_CLS_CharacterTrajectories_Mamba_UEA_ftM_sl182_ll0_pl0_el4_dm32_ds8_expand2_dc4_Exp_0
CharacterTrajectories,Mamba,182,4,1024,4,2,4,Exp,0.8384401114206128,30118912,134.44,classification_CLS_CharacterTrajectories_Mamba_UEA_ftM_sl182_ll0_pl0_el4_dm1024_ds4_expand2_dc4_Exp_0
