data_name,model,seq_len,e_layers,d_model,d_state,expand,d_conv,exp,acc,model_params,model_size (MB),ckpt
Cricket,Mamba,1197,4,1024,16,2,4,Exp,0.875,41404416,177.49,classification_CLS_Cricket_Mamba_UEA_ftM_sl1197_ll0_pl0_el4_dm1024_ds16_expand2_dc4_Exp_0
Cricket,Mamba,1197,4,512,16,2,4,Exp,0.9722222222222222,14148608,63.75,classification_CLS_Cricket_Mamba_UEA_ftM_sl1197_ll0_pl0_el4_dm512_ds16_expand2_dc4_Exp_0
Cricket,Mamba,1197,4,256,16,2,4,Exp,0.9583333333333334,5435904,25.64,classification_CLS_Cricket_Mamba_UEA_ftM_sl1197_ll0_pl0_el4_dm256_ds16_expand2_dc4_Exp_0
Cricket,Mamba,1197,4,128,16,2,4,Exp,0.9583333333333334,2308352,11.26,classification_CLS_Cricket_Mamba_UEA_ftM_sl1197_ll0_pl0_el4_dm128_ds16_expand2_dc4_Exp_0
Cricket,Mamba,1197,4,64,16,2,4,Exp,0.9305555555555556,1051776,5.25,classification_CLS_Cricket_Mamba_UEA_ftM_sl1197_ll0_pl0_el4_dm64_ds16_expand2_dc4_Exp_0
Cricket,Mamba,1197,4,32,16,2,4,Exp,0.9444444444444444,500288,2.53,classification_CLS_Cricket_Mamba_UEA_ftM_sl1197_ll0_pl0_el4_dm32_ds16_expand2_dc4_Exp_0
Cricket,Mamba,1197,4,1024,8,2,4,Exp,0.9444444444444444,41207808,176.74,classification_CLS_Cricket_Mamba_UEA_ftM_sl1197_ll0_pl0_el4_dm1024_ds8_expand2_dc4_Exp_0
Cricket,Mamba,1197,4,512,8,2,4,Exp,0.8888888888888888,14050304,63.38,classification_CLS_Cricket_Mamba_UEA_ftM_sl1197_ll0_pl0_el4_dm512_ds8_expand2_dc4_Exp_0
Cricket,Mamba,1197,4,256,8,2,4,Exp,0.9444444444444444,5386752,25.45,classification_CLS_Cricket_Mamba_UEA_ftM_sl1197_ll0_pl0_el4_dm256_ds8_expand2_dc4_Exp_0
Cricket,Mamba,1197,4,128,8,2,4,Exp,0.9861111111111112,2283776,11.17,classification_CLS_Cricket_Mamba_UEA_ftM_sl1197_ll0_pl0_el4_dm128_ds8_expand2_dc4_Exp_0
Cricket,Mamba,1197,4,64,8,2,4,Exp,0.8888888888888888,1039488,5.2,classification_CLS_Cricket_Mamba_UEA_ftM_sl1197_ll0_pl0_el4_dm64_ds8_expand2_dc4_Exp_0
Cricket,Mamba,1197,4,32,8,2,4,Exp,0.9444444444444444,494144,2.51,classification_CLS_Cricket_Mamba_UEA_ftM_sl1197_ll0_pl0_el4_dm32_ds8_expand2_dc4_Exp_0
