data_name,model,seq_len,e_layers,d_model,d_state,expand,d_conv,exp,acc,model_params,model_size (MB),ckpt
ERing,Mamba,65,4,1024,16,2,4,Exp,0.937037037037037,27088896,122.88,classification_CLS_ERing_Mamba_UEA_ftM_sl65_ll0_pl0_el4_dm1024_ds16_expand2_dc4_Exp_0
ERing,Mamba,65,4,512,16,2,4,Exp,0.9444444444444444,6990848,36.45,classification_CLS_ERing_Mamba_UEA_ftM_sl65_ll0_pl0_el4_dm512_ds16_expand2_dc4_Exp_0
ERing,Mamba,65,4,256,16,2,4,Exp,0.9481481481481482,1857024,11.98,classification_CLS_ERing_Mamba_UEA_ftM_sl65_ll0_pl0_el4_dm256_ds16_expand2_dc4_Exp_0
ERing,Mamba,65,4,128,16,2,4,Exp,0.9296296296296296,518912,4.44,classification_CLS_ERing_Mamba_UEA_ftM_sl65_ll0_pl0_el4_dm128_ds16_expand2_dc4_Exp_0
ERing,Mamba,65,4,64,16,2,4,Exp,0.9111111111111111,157056,1.84,classification_CLS_ERing_Mamba_UEA_ftM_sl65_ll0_pl0_el4_dm64_ds16_expand2_dc4_Exp_0
ERing,Mamba,65,4,32,16,2,4,Exp,0.9037037037037037,52928,0.83,classification_CLS_ERing_Mamba_UEA_ftM_sl65_ll0_pl0_el4_dm32_ds16_expand2_dc4_Exp_0
ERing,Mamba,65,4,1024,8,2,4,Exp,0.9333333333333333,26892288,122.13,classification_CLS_ERing_Mamba_UEA_ftM_sl65_ll0_pl0_el4_dm1024_ds8_expand2_dc4_Exp_0
ERing,Mamba,65,4,512,8,2,4,Exp,0.9481481481481482,6892544,36.07,classification_CLS_ERing_Mamba_UEA_ftM_sl65_ll0_pl0_el4_dm512_ds8_expand2_dc4_Exp_0
ERing,Mamba,65,4,256,8,2,4,Exp,0.937037037037037,1807872,11.8,classification_CLS_ERing_Mamba_UEA_ftM_sl65_ll0_pl0_el4_dm256_ds8_expand2_dc4_Exp_0
ERing,Mamba,65,4,128,8,2,4,Exp,0.9148148148148149,494336,4.34,classification_CLS_ERing_Mamba_UEA_ftM_sl65_ll0_pl0_el4_dm128_ds8_expand2_dc4_Exp_0
ERing,Mamba,65,4,64,8,2,4,Exp,0.9111111111111111,144768,1.79,classification_CLS_ERing_Mamba_UEA_ftM_sl65_ll0_pl0_el4_dm64_ds8_expand2_dc4_Exp_0
ERing,Mamba,65,4,32,8,2,4,Exp,0.9111111111111111,46784,0.8,classification_CLS_ERing_Mamba_UEA_ftM_sl65_ll0_pl0_el4_dm32_ds8_expand2_dc4_Exp_0
ERing,Mamba,65,4,1024,4,2,4,Exp,0.9592592592592593,26793984,121.76,classification_CLS_ERing_Mamba_UEA_ftM_sl65_ll0_pl0_el4_dm1024_ds4_expand2_dc4_Exp_0
ERing,Mamba,65,4,512,4,2,4,Exp,0.937037037037037,6843392,35.89,classification_CLS_ERing_Mamba_UEA_ftM_sl65_ll0_pl0_el4_dm512_ds4_expand2_dc4_Exp_0
ERing,Mamba,65,4,256,4,2,4,Exp,0.937037037037037,1783296,11.7,classification_CLS_ERing_Mamba_UEA_ftM_sl65_ll0_pl0_el4_dm256_ds4_expand2_dc4_Exp_0
ERing,Mamba,65,4,128,4,2,4,Exp,0.9407407407407408,482048,4.3,classification_CLS_ERing_Mamba_UEA_ftM_sl65_ll0_pl0_el4_dm128_ds4_expand2_dc4_Exp_0
ERing,Mamba,65,4,64,4,2,4,Exp,0.9296296296296296,138624,1.77,classification_CLS_ERing_Mamba_UEA_ftM_sl65_ll0_pl0_el4_dm64_ds4_expand2_dc4_Exp_0
ERing,Mamba,65,4,32,4,2,4,Exp,0.9222222222222223,43712,0.79,classification_CLS_ERing_Mamba_UEA_ftM_sl65_ll0_pl0_el4_dm32_ds4_expand2_dc4_Exp_0
ERing,Mamba,65,4,1024,2,2,4,Exp,0.9444444444444444,26744832,121.57,classification_CLS_ERing_Mamba_UEA_ftM_sl65_ll0_pl0_el4_dm1024_ds2_expand2_dc4_Exp_0
ERing,Mamba,65,4,512,2,2,4,Exp,0.9296296296296296,6818816,35.79,classification_CLS_ERing_Mamba_UEA_ftM_sl65_ll0_pl0_el4_dm512_ds2_expand2_dc4_Exp_0
ERing,Mamba,65,4,256,2,2,4,Exp,0.9481481481481482,1771008,11.65,classification_CLS_ERing_Mamba_UEA_ftM_sl65_ll0_pl0_el4_dm256_ds2_expand2_dc4_Exp_0
ERing,Mamba,65,4,128,2,2,4,Exp,0.9444444444444444,475904,4.27,classification_CLS_ERing_Mamba_UEA_ftM_sl65_ll0_pl0_el4_dm128_ds2_expand2_dc4_Exp_0
ERing,Mamba,65,4,64,2,2,4,Exp,0.9222222222222223,135552,1.75,classification_CLS_ERing_Mamba_UEA_ftM_sl65_ll0_pl0_el4_dm64_ds2_expand2_dc4_Exp_0
ERing,Mamba,65,4,32,2,2,4,Exp,0.9074074074074074,42176,0.79,classification_CLS_ERing_Mamba_UEA_ftM_sl65_ll0_pl0_el4_dm32_ds2_expand2_dc4_Exp_0
ERing,Mamba,65,4,1024,1,2,4,Exp,0.9481481481481482,26720256,121.48,classification_CLS_ERing_Mamba_UEA_ftM_sl65_ll0_pl0_el4_dm1024_ds1_expand2_dc4_Exp_0
ERing,Mamba,65,4,512,1,2,4,Exp,0.9259259259259259,6806528,35.75,classification_CLS_ERing_Mamba_UEA_ftM_sl65_ll0_pl0_el4_dm512_ds1_expand2_dc4_Exp_0
ERing,Mamba,65,4,256,1,2,4,Exp,0.9185185185185185,1764864,11.63,classification_CLS_ERing_Mamba_UEA_ftM_sl65_ll0_pl0_el4_dm256_ds1_expand2_dc4_Exp_0
ERing,Mamba,65,4,128,1,2,4,Exp,0.9407407407407408,472832,4.26,classification_CLS_ERing_Mamba_UEA_ftM_sl65_ll0_pl0_el4_dm128_ds1_expand2_dc4_Exp_0
ERing,Mamba,65,4,64,1,2,4,Exp,0.9185185185185185,134016,1.75,classification_CLS_ERing_Mamba_UEA_ftM_sl65_ll0_pl0_el4_dm64_ds1_expand2_dc4_Exp_0
ERing,Mamba,65,4,32,1,2,4,Exp,0.9074074074074074,41408,0.78,classification_CLS_ERing_Mamba_UEA_ftM_sl65_ll0_pl0_el4_dm32_ds1_expand2_dc4_Exp_0
ERing,Mamba,65,4,1024,16,1,4,Exp,0.9407407407407408,13756416,72.02,classification_CLS_ERing_Mamba_UEA_ftM_sl65_ll0_pl0_el4_dm1024_ds16_expand1_dc4_Exp_0
ERing,Mamba,65,4,512,16,1,4,Exp,0.937037037037037,3601408,23.52,classification_CLS_ERing_Mamba_UEA_ftM_sl65_ll0_pl0_el4_dm512_ds16_expand1_dc4_Exp_0
ERing,Mamba,65,4,256,16,1,4,Exp,0.9222222222222223,981504,8.64,classification_CLS_ERing_Mamba_UEA_ftM_sl65_ll0_pl0_el4_dm256_ds16_expand1_dc4_Exp_0
ERing,Mamba,65,4,128,16,1,4,Exp,0.9185185185185185,285952,3.55,classification_CLS_ERing_Mamba_UEA_ftM_sl65_ll0_pl0_el4_dm128_ds16_expand1_dc4_Exp_0
ERing,Mamba,65,4,64,16,1,4,Exp,0.9148148148148149,91776,1.59,classification_CLS_ERing_Mamba_UEA_ftM_sl65_ll0_pl0_el4_dm64_ds16_expand1_dc4_Exp_0
ERing,Mamba,65,4,32,16,1,4,Exp,0.9296296296296296,33088,0.75,classification_CLS_ERing_Mamba_UEA_ftM_sl65_ll0_pl0_el4_dm32_ds16_expand1_dc4_Exp_0
ERing,Mamba,65,4,1024,8,1,4,Exp,0.9518518518518518,13658112,71.65,classification_CLS_ERing_Mamba_UEA_ftM_sl65_ll0_pl0_el4_dm1024_ds8_expand1_dc4_Exp_0
ERing,Mamba,65,4,512,8,1,4,Exp,0.9629629629629629,3552256,23.33,classification_CLS_ERing_Mamba_UEA_ftM_sl65_ll0_pl0_el4_dm512_ds8_expand1_dc4_Exp_0
ERing,Mamba,65,4,256,8,1,4,Exp,0.937037037037037,956928,8.55,classification_CLS_ERing_Mamba_UEA_ftM_sl65_ll0_pl0_el4_dm256_ds8_expand1_dc4_Exp_0
ERing,Mamba,65,4,128,8,1,4,Exp,0.9333333333333333,273664,3.5,classification_CLS_ERing_Mamba_UEA_ftM_sl65_ll0_pl0_el4_dm128_ds8_expand1_dc4_Exp_0
ERing,Mamba,65,4,64,8,1,4,Exp,0.9185185185185185,85632,1.56,classification_CLS_ERing_Mamba_UEA_ftM_sl65_ll0_pl0_el4_dm64_ds8_expand1_dc4_Exp_0
ERing,Mamba,65,4,32,8,1,4,Exp,0.9259259259259259,30016,0.74,classification_CLS_ERing_Mamba_UEA_ftM_sl65_ll0_pl0_el4_dm32_ds8_expand1_dc4_Exp_0
ERing,Mamba,65,4,1024,4,1,4,Exp,0.9555555555555556,13608960,71.46,classification_CLS_ERing_Mamba_UEA_ftM_sl65_ll0_pl0_el4_dm1024_ds4_expand1_dc4_Exp_0
ERing,Mamba,65,4,512,4,1,4,Exp,0.9407407407407408,3527680,23.24,classification_CLS_ERing_Mamba_UEA_ftM_sl65_ll0_pl0_el4_dm512_ds4_expand1_dc4_Exp_0
ERing,Mamba,65,4,256,4,1,4,Exp,0.9259259259259259,944640,8.5,classification_CLS_ERing_Mamba_UEA_ftM_sl65_ll0_pl0_el4_dm256_ds4_expand1_dc4_Exp_0
ERing,Mamba,65,4,128,4,1,4,Exp,0.937037037037037,267520,3.48,classification_CLS_ERing_Mamba_UEA_ftM_sl65_ll0_pl0_el4_dm128_ds4_expand1_dc4_Exp_0
ERing,Mamba,65,4,64,4,1,4,Exp,0.9185185185185185,82560,1.55,classification_CLS_ERing_Mamba_UEA_ftM_sl65_ll0_pl0_el4_dm64_ds4_expand1_dc4_Exp_0
ERing,Mamba,65,4,32,4,1,4,Exp,0.9,28480,0.73,classification_CLS_ERing_Mamba_UEA_ftM_sl65_ll0_pl0_el4_dm32_ds4_expand1_dc4_Exp_0
ERing,Mamba,65,4,1024,2,1,4,Exp,0.9444444444444444,13584384,71.37,classification_CLS_ERing_Mamba_UEA_ftM_sl65_ll0_pl0_el4_dm1024_ds2_expand1_dc4_Exp_0
ERing,Mamba,65,4,512,2,1,4,Exp,0.9407407407407408,3515392,23.19,classification_CLS_ERing_Mamba_UEA_ftM_sl65_ll0_pl0_el4_dm512_ds2_expand1_dc4_Exp_0
ERing,Mamba,65,4,256,2,1,4,Exp,0.9296296296296296,938496,8.48,classification_CLS_ERing_Mamba_UEA_ftM_sl65_ll0_pl0_el4_dm256_ds2_expand1_dc4_Exp_0
ERing,Mamba,65,4,128,2,1,4,Exp,0.9296296296296296,264448,3.47,classification_CLS_ERing_Mamba_UEA_ftM_sl65_ll0_pl0_el4_dm128_ds2_expand1_dc4_Exp_0
ERing,Mamba,65,4,64,2,1,4,Exp,0.9037037037037037,81024,1.55,classification_CLS_ERing_Mamba_UEA_ftM_sl65_ll0_pl0_el4_dm64_ds2_expand1_dc4_Exp_0
ERing,Mamba,65,4,32,2,1,4,Exp,0.9,27712,0.73,classification_CLS_ERing_Mamba_UEA_ftM_sl65_ll0_pl0_el4_dm32_ds2_expand1_dc4_Exp_0
ERing,Mamba,65,4,1024,1,1,4,Exp,0.9333333333333333,13572096,71.32,classification_CLS_ERing_Mamba_UEA_ftM_sl65_ll0_pl0_el4_dm1024_ds1_expand1_dc4_Exp_0
ERing,Mamba,65,4,512,1,1,4,Exp,0.9481481481481482,3509248,23.17,classification_CLS_ERing_Mamba_UEA_ftM_sl65_ll0_pl0_el4_dm512_ds1_expand1_dc4_Exp_0
ERing,Mamba,65,4,256,1,1,4,Exp,0.9259259259259259,935424,8.47,classification_CLS_ERing_Mamba_UEA_ftM_sl65_ll0_pl0_el4_dm256_ds1_expand1_dc4_Exp_0
