data_name,model,seq_len,e_layers,d_model,d_state,expand,d_conv,exp,acc,model_params,model_size (MB),ckpt
EigenWorms,Mamba,17984,4,512,16,2,4,Exp,0.5954198473282443,52833280,236.68,classification_CLS_EigenWorms_Mamba_UEA_ftM_sl17984_ll0_pl0_el4_dm512_ds16_expand2_dc4_Exp_0
EigenWorms,Mamba,17984,4,256,16,2,4,Exp,0.5648854961832062,24778240,112.1,classification_CLS_EigenWorms_Mamba_UEA_ftM_sl17984_ll0_pl0_el4_dm256_ds16_expand2_dc4_Exp_0
EigenWorms,Mamba,17984,4,128,16,2,4,Exp,0.6183206106870229,11979520,54.5,classification_CLS_EigenWorms_Mamba_UEA_ftM_sl17984_ll0_pl0_el4_dm128_ds16_expand2_dc4_Exp_0
EigenWorms,Mamba,17984,4,64,16,2,4,Exp,0.6106870229007634,5887360,26.87,classification_CLS_EigenWorms_Mamba_UEA_ftM_sl17984_ll0_pl0_el4_dm64_ds16_expand2_dc4_Exp_0
EigenWorms,Mamba,17984,4,32,16,2,4,Exp,0.6030534351145038,2918080,13.34,classification_CLS_EigenWorms_Mamba_UEA_ftM_sl17984_ll0_pl0_el4_dm32_ds16_expand2_dc4_Exp_0
EigenWorms,Mamba,17984,4,512,8,2,4,Exp,0.5038167938931297,52734976,236.31,classification_CLS_EigenWorms_Mamba_UEA_ftM_sl17984_ll0_pl0_el4_dm512_ds8_expand2_dc4_Exp_0
EigenWorms,Mamba,17984,4,256,8,2,4,Exp,0.5954198473282443,24729088,111.91,classification_CLS_EigenWorms_Mamba_UEA_ftM_sl17984_ll0_pl0_el4_dm256_ds8_expand2_dc4_Exp_0
EigenWorms,Mamba,17984,4,128,8,2,4,Exp,0.6335877862595419,11954944,54.4,classification_CLS_EigenWorms_Mamba_UEA_ftM_sl17984_ll0_pl0_el4_dm128_ds8_expand2_dc4_Exp_0
EigenWorms,Mamba,17984,4,64,8,2,4,Exp,0.6030534351145038,5875072,26.82,classification_CLS_EigenWorms_Mamba_UEA_ftM_sl17984_ll0_pl0_el4_dm64_ds8_expand2_dc4_Exp_0
EigenWorms,Mamba,17984,4,32,8,2,4,Exp,0.6259541984732825,2911936,13.32,classification_CLS_EigenWorms_Mamba_UEA_ftM_sl17984_ll0_pl0_el4_dm32_ds8_expand2_dc4_Exp_0
