data_name,model,seq_len,e_layers,d_model,d_state,expand,d_conv,exp,acc,model_params,model_size (MB),ckpt
Handwriting,Mamba,152,4,1024,16,2,4,Exp,0.2529411764705882,30733312,136.79,classification_CLS_Handwriting_Mamba_UEA_ftM_sl152_ll0_pl0_el4_dm1024_ds16_expand2_dc4_Exp_0
Handwriting,Mamba,152,4,512,16,2,4,Exp,0.3352941176470588,8813056,43.4,classification_CLS_Handwriting_Mamba_UEA_ftM_sl152_ll0_pl0_el4_dm512_ds16_expand2_dc4_Exp_0
Handwriting,Mamba,152,4,256,16,2,4,Exp,0.31176470588235294,2768128,15.46,classification_CLS_Handwriting_Mamba_UEA_ftM_sl152_ll0_pl0_el4_dm256_ds16_expand2_dc4_Exp_0
Handwriting,Mamba,152,4,128,16,2,4,Exp,0.31176470588235294,974464,6.17,classification_CLS_Handwriting_Mamba_UEA_ftM_sl152_ll0_pl0_el4_dm128_ds16_expand2_dc4_Exp_0
Handwriting,Mamba,152,4,64,16,2,4,Exp,0.3164705882352941,384832,2.7,classification_CLS_Handwriting_Mamba_UEA_ftM_sl152_ll0_pl0_el4_dm64_ds16_expand2_dc4_Exp_0
Handwriting,Mamba,152,4,32,16,2,4,Exp,0.28823529411764703,166816,1.26,classification_CLS_Handwriting_Mamba_UEA_ftM_sl152_ll0_pl0_el4_dm32_ds16_expand2_dc4_Exp_0
Handwriting,Mamba,152,4,1024,8,2,4,Exp,0.24352941176470588,30536704,136.04,classification_CLS_Handwriting_Mamba_UEA_ftM_sl152_ll0_pl0_el4_dm1024_ds8_expand2_dc4_Exp_0
Handwriting,Mamba,152,4,512,8,2,4,Exp,0.3270588235294118,8714752,43.03,classification_CLS_Handwriting_Mamba_UEA_ftM_sl152_ll0_pl0_el4_dm512_ds8_expand2_dc4_Exp_0
Handwriting,Mamba,152,4,256,8,2,4,Exp,0.32941176470588235,2718976,15.27,classification_CLS_Handwriting_Mamba_UEA_ftM_sl152_ll0_pl0_el4_dm256_ds8_expand2_dc4_Exp_0
Handwriting,Mamba,152,4,128,8,2,4,Exp,0.30470588235294116,949888,6.08,classification_CLS_Handwriting_Mamba_UEA_ftM_sl152_ll0_pl0_el4_dm128_ds8_expand2_dc4_Exp_0
Handwriting,Mamba,152,4,64,8,2,4,Exp,0.30941176470588233,372544,2.66,classification_CLS_Handwriting_Mamba_UEA_ftM_sl152_ll0_pl0_el4_dm64_ds8_expand2_dc4_Exp_0
Handwriting,Mamba,152,4,32,8,2,4,Exp,0.2823529411764706,160672,1.24,classification_CLS_Handwriting_Mamba_UEA_ftM_sl152_ll0_pl0_el4_dm32_ds8_expand2_dc4_Exp_0
Handwriting,Mamba,152,4,1024,4,2,4,Exp,0.23058823529411765,30438400,135.66,classification_CLS_Handwriting_Mamba_UEA_ftM_sl152_ll0_pl0_el4_dm1024_ds4_expand2_dc4_Exp_0
Handwriting,Mamba,152,4,512,4,2,4,Exp,0.3247058823529412,8665600,42.84,classification_CLS_Handwriting_Mamba_UEA_ftM_sl152_ll0_pl0_el4_dm512_ds4_expand2_dc4_Exp_0
Handwriting,Mamba,152,4,256,4,2,4,Exp,0.3235294117647059,2694400,15.18,classification_CLS_Handwriting_Mamba_UEA_ftM_sl152_ll0_pl0_el4_dm256_ds4_expand2_dc4_Exp_0
Handwriting,Mamba,152,4,128,4,2,4,Exp,0.32823529411764707,937600,6.03,classification_CLS_Handwriting_Mamba_UEA_ftM_sl152_ll0_pl0_el4_dm128_ds4_expand2_dc4_Exp_0
Handwriting,Mamba,152,4,64,4,2,4,Exp,0.32941176470588235,366400,2.63,classification_CLS_Handwriting_Mamba_UEA_ftM_sl152_ll0_pl0_el4_dm64_ds4_expand2_dc4_Exp_0
Handwriting,Mamba,152,4,32,4,2,4,Exp,0.2952941176470588,157600,1.23,classification_CLS_Handwriting_Mamba_UEA_ftM_sl152_ll0_pl0_el4_dm32_ds4_expand2_dc4_Exp_0
Handwriting,Mamba,152,4,1024,2,2,4,Exp,0.26235294117647057,30389248,135.47,classification_CLS_Handwriting_Mamba_UEA_ftM_sl152_ll0_pl0_el4_dm1024_ds2_expand2_dc4_Exp_0
Handwriting,Mamba,152,4,512,2,2,4,Exp,0.3270588235294118,8641024,42.74,classification_CLS_Handwriting_Mamba_UEA_ftM_sl152_ll0_pl0_el4_dm512_ds2_expand2_dc4_Exp_0
Handwriting,Mamba,152,4,256,2,2,4,Exp,0.3058823529411765,2682112,15.13,classification_CLS_Handwriting_Mamba_UEA_ftM_sl152_ll0_pl0_el4_dm256_ds2_expand2_dc4_Exp_0
Handwriting,Mamba,152,4,128,2,2,4,Exp,0.31058823529411766,931456,6.01,classification_CLS_Handwriting_Mamba_UEA_ftM_sl152_ll0_pl0_el4_dm128_ds2_expand2_dc4_Exp_0
Handwriting,Mamba,152,4,64,2,2,4,Exp,0.3211764705882353,363328,2.62,classification_CLS_Handwriting_Mamba_UEA_ftM_sl152_ll0_pl0_el4_dm64_ds2_expand2_dc4_Exp_0
Handwriting,Mamba,152,4,32,2,2,4,Exp,0.2776470588235294,156064,1.22,classification_CLS_Handwriting_Mamba_UEA_ftM_sl152_ll0_pl0_el4_dm32_ds2_expand2_dc4_Exp_0
Handwriting,Mamba,152,4,1024,1,2,4,Exp,0.2752941176470588,30364672,135.38,classification_CLS_Handwriting_Mamba_UEA_ftM_sl152_ll0_pl0_el4_dm1024_ds1_expand2_dc4_Exp_0
Handwriting,Mamba,152,4,512,1,2,4,Exp,0.3423529411764706,8628736,42.7,classification_CLS_Handwriting_Mamba_UEA_ftM_sl152_ll0_pl0_el4_dm512_ds1_expand2_dc4_Exp_0
Handwriting,Mamba,152,4,256,1,2,4,Exp,0.32,2675968,15.11,classification_CLS_Handwriting_Mamba_UEA_ftM_sl152_ll0_pl0_el4_dm256_ds1_expand2_dc4_Exp_0
Handwriting,Mamba,152,4,128,1,2,4,Exp,0.30941176470588233,928384,6.0,classification_CLS_Handwriting_Mamba_UEA_ftM_sl152_ll0_pl0_el4_dm128_ds1_expand2_dc4_Exp_0
