data_name,model,seq_len,e_layers,d_model,d_state,expand,d_conv,exp,acc,model_params,model_size (MB),ckpt
Heartbeat,Mamba,405,4,1024,16,2,4,Exp,0.7560975609756098,27694080,125.19,classification_CLS_Heartbeat_Mamba_UEA_ftM_sl405_ll0_pl0_el4_dm1024_ds16_expand2_dc4_Exp_0
Heartbeat,Mamba,405,4,512,16,2,4,Exp,0.7804878048780488,7293440,37.6,classification_CLS_Heartbeat_Mamba_UEA_ftM_sl405_ll0_pl0_el4_dm512_ds16_expand2_dc4_Exp_0
Heartbeat,Mamba,405,4,256,16,2,4,Exp,0.7902439024390244,2008320,12.56,classification_CLS_Heartbeat_Mamba_UEA_ftM_sl405_ll0_pl0_el4_dm256_ds16_expand2_dc4_Exp_0
Heartbeat,Mamba,405,4,128,16,2,4,Exp,0.7707317073170732,594560,4.73,classification_CLS_Heartbeat_Mamba_UEA_ftM_sl405_ll0_pl0_el4_dm128_ds16_expand2_dc4_Exp_0
Heartbeat,Mamba,405,4,64,16,2,4,Exp,0.7853658536585366,194880,1.98,classification_CLS_Heartbeat_Mamba_UEA_ftM_sl405_ll0_pl0_el4_dm64_ds16_expand2_dc4_Exp_0
Heartbeat,Mamba,405,4,32,16,2,4,Exp,0.7853658536585366,71840,0.9,classification_CLS_Heartbeat_Mamba_UEA_ftM_sl405_ll0_pl0_el4_dm32_ds16_expand2_dc4_Exp_0
Heartbeat,Mamba,405,4,1024,8,2,4,Exp,0.7414634146341463,27497472,124.44,classification_CLS_Heartbeat_Mamba_UEA_ftM_sl405_ll0_pl0_el4_dm1024_ds8_expand2_dc4_Exp_0
Heartbeat,Mamba,405,4,512,8,2,4,Exp,0.7658536585365854,7195136,37.23,classification_CLS_Heartbeat_Mamba_UEA_ftM_sl405_ll0_pl0_el4_dm512_ds8_expand2_dc4_Exp_0
Heartbeat,Mamba,405,4,256,8,2,4,Exp,0.7609756097560976,1959168,12.37,classification_CLS_Heartbeat_Mamba_UEA_ftM_sl405_ll0_pl0_el4_dm256_ds8_expand2_dc4_Exp_0
Heartbeat,Mamba,405,4,128,8,2,4,Exp,0.775609756097561,569984,4.63,classification_CLS_Heartbeat_Mamba_UEA_ftM_sl405_ll0_pl0_el4_dm128_ds8_expand2_dc4_Exp_0
