data_name,model,seq_len,e_layers,d_model,d_state,expand,d_conv,exp,acc,model_params,model_size (MB),ckpt
InsectWingbeat,Mamba,22,4,1024,16,2,4,Exp,0.15212,27516928,124.52,classification_CLS_InsectWingbeat_Mamba_UEA_ftM_sl22_ll0_pl0_el4_dm1024_ds16_expand2_dc4_Exp_0
InsectWingbeat,Mamba,22,4,512,16,2,4,Exp,0.15348,7204864,37.27,classification_CLS_InsectWingbeat_Mamba_UEA_ftM_sl22_ll0_pl0_el4_dm512_ds16_expand2_dc4_Exp_0
InsectWingbeat,Mamba,22,4,256,16,2,4,Exp,0.63592,1964032,12.39,classification_CLS_InsectWingbeat_Mamba_UEA_ftM_sl22_ll0_pl0_el4_dm256_ds16_expand2_dc4_Exp_0
InsectWingbeat,Mamba,22,4,128,16,2,4,Exp,0.6436,572416,4.64,classification_CLS_InsectWingbeat_Mamba_UEA_ftM_sl22_ll0_pl0_el4_dm128_ds16_expand2_dc4_Exp_0
InsectWingbeat,Mamba,22,4,64,16,2,4,Exp,0.64632,183808,1.94,classification_CLS_InsectWingbeat_Mamba_UEA_ftM_sl22_ll0_pl0_el4_dm64_ds16_expand2_dc4_Exp_0
InsectWingbeat,Mamba,22,4,32,16,2,4,Exp,0.64148,66304,0.88,classification_CLS_InsectWingbeat_Mamba_UEA_ftM_sl22_ll0_pl0_el4_dm32_ds16_expand2_dc4_Exp_0
InsectWingbeat,Mamba,22,4,1024,8,2,4,Exp,0.54908,27320320,123.77,classification_CLS_InsectWingbeat_Mamba_UEA_ftM_sl22_ll0_pl0_el4_dm1024_ds8_expand2_dc4_Exp_0
InsectWingbeat,Mamba,22,4,512,8,2,4,Exp,0.58856,7106560,36.89,classification_CLS_InsectWingbeat_Mamba_UEA_ftM_sl22_ll0_pl0_el4_dm512_ds8_expand2_dc4_Exp_0
InsectWingbeat,Mamba,22,4,256,8,2,4,Exp,0.638,1914880,12.2,classification_CLS_InsectWingbeat_Mamba_UEA_ftM_sl22_ll0_pl0_el4_dm256_ds8_expand2_dc4_Exp_0
InsectWingbeat,Mamba,22,4,128,8,2,4,Exp,0.63988,547840,4.55,classification_CLS_InsectWingbeat_Mamba_UEA_ftM_sl22_ll0_pl0_el4_dm128_ds8_expand2_dc4_Exp_0
