data_name,model,seq_len,e_layers,d_model,d_state,expand,d_conv,exp,acc,model_params,model_size (MB),ckpt
MotorImagery,Mamba,3000,4,1024,16,2,4,Exp,0.6,33017856,145.5,classification_CLS_MotorImagery_Mamba_UEA_ftM_sl3000_ll0_pl0_el4_dm1024_ds16_expand2_dc4_Exp_0
MotorImagery,Mamba,3000,4,512,16,2,4,Exp,0.67,9955328,47.76,classification_CLS_MotorImagery_Mamba_UEA_ftM_sl3000_ll0_pl0_el4_dm512_ds16_expand2_dc4_Exp_0
MotorImagery,Mamba,3000,4,256,16,2,4,Exp,0.59,3339264,17.64,classification_CLS_MotorImagery_Mamba_UEA_ftM_sl3000_ll0_pl0_el4_dm256_ds16_expand2_dc4_Exp_0
MotorImagery,Mamba,3000,4,128,16,2,4,Exp,0.57,1260032,7.26,classification_CLS_MotorImagery_Mamba_UEA_ftM_sl3000_ll0_pl0_el4_dm128_ds16_expand2_dc4_Exp_0
MotorImagery,Mamba,3000,4,64,16,2,4,Exp,0.64,527616,3.25,classification_CLS_MotorImagery_Mamba_UEA_ftM_sl3000_ll0_pl0_el4_dm64_ds16_expand2_dc4_Exp_0
MotorImagery,Mamba,3000,4,32,16,2,4,Exp,0.57,238208,1.54,classification_CLS_MotorImagery_Mamba_UEA_ftM_sl3000_ll0_pl0_el4_dm32_ds16_expand2_dc4_Exp_0
MotorImagery,Mamba,3000,4,1024,8,2,4,Exp,0.59,32821248,144.75,classification_CLS_MotorImagery_Mamba_UEA_ftM_sl3000_ll0_pl0_el4_dm1024_ds8_expand2_dc4_Exp_0
MotorImagery,Mamba,3000,4,512,8,2,4,Exp,0.57,9857024,47.38,classification_CLS_MotorImagery_Mamba_UEA_ftM_sl3000_ll0_pl0_el4_dm512_ds8_expand2_dc4_Exp_0
MotorImagery,Mamba,3000,4,256,8,2,4,Exp,0.58,3290112,17.45,classification_CLS_MotorImagery_Mamba_UEA_ftM_sl3000_ll0_pl0_el4_dm256_ds8_expand2_dc4_Exp_0
MotorImagery,Mamba,3000,4,128,8,2,4,Exp,0.6,1235456,7.17,classification_CLS_MotorImagery_Mamba_UEA_ftM_sl3000_ll0_pl0_el4_dm128_ds8_expand2_dc4_Exp_0
