data_name,model,seq_len,e_layers,d_model,d_state,expand,d_conv,exp,acc,model_params,model_size (MB),ckpt
PenDigits,Mamba,8,4,1024,16,2,4,Exp,0.9774156660949114,26765312,121.65,classification_CLS_PenDigits_Mamba_UEA_ftM_sl8_ll0_pl0_el4_dm1024_ds16_expand2_dc4_Exp_0
PenDigits,Mamba,8,4,512,16,2,4,Exp,0.9742710120068611,6829056,35.83,classification_CLS_PenDigits_Mamba_UEA_ftM_sl8_ll0_pl0_el4_dm512_ds16_expand2_dc4_Exp_0
PenDigits,Mamba,8,4,256,16,2,4,Exp,0.9817038307604345,1776128,11.67,classification_CLS_PenDigits_Mamba_UEA_ftM_sl8_ll0_pl0_el4_dm256_ds16_expand2_dc4_Exp_0
PenDigits,Mamba,8,4,128,16,2,4,Exp,0.98084619782733,478464,4.28,classification_CLS_PenDigits_Mamba_UEA_ftM_sl8_ll0_pl0_el4_dm128_ds16_expand2_dc4_Exp_0
PenDigits,Mamba,8,4,64,16,2,4,Exp,0.9799885648942253,136832,1.76,classification_CLS_PenDigits_Mamba_UEA_ftM_sl8_ll0_pl0_el4_dm64_ds16_expand2_dc4_Exp_0
PenDigits,Mamba,8,4,32,16,2,4,Exp,0.982275586049171,42816,0.79,classification_CLS_PenDigits_Mamba_UEA_ftM_sl8_ll0_pl0_el4_dm32_ds16_expand2_dc4_Exp_0
PenDigits,Mamba,8,4,1024,8,2,4,Exp,0.97284162378502,26568704,120.9,classification_CLS_PenDigits_Mamba_UEA_ftM_sl8_ll0_pl0_el4_dm1024_ds8_expand2_dc4_Exp_0
PenDigits,Mamba,8,4,512,8,2,4,Exp,0.9765580331618068,6730752,35.46,classification_CLS_PenDigits_Mamba_UEA_ftM_sl8_ll0_pl0_el4_dm512_ds8_expand2_dc4_Exp_0
PenDigits,Mamba,8,4,256,8,2,4,Exp,0.9797026872498571,1726976,11.49,classification_CLS_PenDigits_Mamba_UEA_ftM_sl8_ll0_pl0_el4_dm256_ds8_expand2_dc4_Exp_0
PenDigits,Mamba,8,4,128,8,2,4,Exp,0.9751286449399656,453888,4.19,classification_CLS_PenDigits_Mamba_UEA_ftM_sl8_ll0_pl0_el4_dm128_ds8_expand2_dc4_Exp_0
PenDigits,Mamba,8,4,64,8,2,4,Exp,0.9831332189822756,124544,1.71,classification_CLS_PenDigits_Mamba_UEA_ftM_sl8_ll0_pl0_el4_dm64_ds8_expand2_dc4_Exp_0
PenDigits,Mamba,8,4,32,8,2,4,Exp,0.9817038307604345,36672,0.77,classification_CLS_PenDigits_Mamba_UEA_ftM_sl8_ll0_pl0_el4_dm32_ds8_expand2_dc4_Exp_0
PenDigits,Mamba,8,4,1024,4,2,4,Exp,0.9762721555174385,26470400,120.52,classification_CLS_PenDigits_Mamba_UEA_ftM_sl8_ll0_pl0_el4_dm1024_ds4_expand2_dc4_Exp_0
PenDigits,Mamba,8,4,512,4,2,4,Exp,0.97284162378502,6681600,35.27,classification_CLS_PenDigits_Mamba_UEA_ftM_sl8_ll0_pl0_el4_dm512_ds4_expand2_dc4_Exp_0
PenDigits,Mamba,8,4,256,4,2,4,Exp,0.98084619782733,1702400,11.39,classification_CLS_PenDigits_Mamba_UEA_ftM_sl8_ll0_pl0_el4_dm256_ds4_expand2_dc4_Exp_0
PenDigits,Mamba,8,4,128,4,2,4,Exp,0.9765580331618068,441600,4.14,classification_CLS_PenDigits_Mamba_UEA_ftM_sl8_ll0_pl0_el4_dm128_ds4_expand2_dc4_Exp_0
PenDigits,Mamba,8,4,64,4,2,4,Exp,0.9817038307604345,118400,1.69,classification_CLS_PenDigits_Mamba_UEA_ftM_sl8_ll0_pl0_el4_dm64_ds4_expand2_dc4_Exp_0
PenDigits,Mamba,8,4,32,4,2,4,Exp,0.989136649514008,33600,0.75,classification_CLS_PenDigits_Mamba_UEA_ftM_sl8_ll0_pl0_el4_dm32_ds4_expand2_dc4_Exp_0
PenDigits,Mamba,8,4,1024,2,2,4,Exp,0.9757004002287021,26421248,120.34,classification_CLS_PenDigits_Mamba_UEA_ftM_sl8_ll0_pl0_el4_dm1024_ds2_expand2_dc4_Exp_0
PenDigits,Mamba,8,4,512,2,2,4,Exp,0.9722698684962836,6657024,35.18,classification_CLS_PenDigits_Mamba_UEA_ftM_sl8_ll0_pl0_el4_dm512_ds2_expand2_dc4_Exp_0
PenDigits,Mamba,8,4,256,2,2,4,Exp,0.978273299028016,1690112,11.35,classification_CLS_PenDigits_Mamba_UEA_ftM_sl8_ll0_pl0_el4_dm256_ds2_expand2_dc4_Exp_0
PenDigits,Mamba,8,4,128,2,2,4,Exp,0.9802744425385935,435456,4.12,classification_CLS_PenDigits_Mamba_UEA_ftM_sl8_ll0_pl0_el4_dm128_ds2_expand2_dc4_Exp_0
PenDigits,Mamba,8,4,64,2,2,4,Exp,0.9805603201829617,115328,1.68,classification_CLS_PenDigits_Mamba_UEA_ftM_sl8_ll0_pl0_el4_dm64_ds2_expand2_dc4_Exp_0
PenDigits,Mamba,8,4,32,2,2,4,Exp,0.9765580331618068,32064,0.75,classification_CLS_PenDigits_Mamba_UEA_ftM_sl8_ll0_pl0_el4_dm32_ds2_expand2_dc4_Exp_0
PenDigits,Mamba,8,4,1024,1,2,4,Exp,0.9779874213836478,26396672,120.24,classification_CLS_PenDigits_Mamba_UEA_ftM_sl8_ll0_pl0_el4_dm1024_ds1_expand2_dc4_Exp_0
PenDigits,Mamba,8,4,512,1,2,4,Exp,0.9545454545454546,6644736,35.13,classification_CLS_PenDigits_Mamba_UEA_ftM_sl8_ll0_pl0_el4_dm512_ds1_expand2_dc4_Exp_0
PenDigits,Mamba,8,4,256,1,2,4,Exp,0.9785591766723842,1683968,11.32,classification_CLS_PenDigits_Mamba_UEA_ftM_sl8_ll0_pl0_el4_dm256_ds1_expand2_dc4_Exp_0
PenDigits,Mamba,8,4,128,1,2,4,Exp,0.9774156660949114,432384,4.11,classification_CLS_PenDigits_Mamba_UEA_ftM_sl8_ll0_pl0_el4_dm128_ds1_expand2_dc4_Exp_0
PenDigits,Mamba,8,4,64,1,2,4,Exp,0.9819897084048027,113792,1.67,classification_CLS_PenDigits_Mamba_UEA_ftM_sl8_ll0_pl0_el4_dm64_ds1_expand2_dc4_Exp_0
PenDigits,Mamba,8,4,32,1,2,4,Exp,0.9811320754716981,31296,0.75,classification_CLS_PenDigits_Mamba_UEA_ftM_sl8_ll0_pl0_el4_dm32_ds1_expand2_dc4_Exp_0
PenDigits,Mamba,8,4,1024,16,1,4,Exp,0.9762721555174385,13432832,70.79,classification_CLS_PenDigits_Mamba_UEA_ftM_sl8_ll0_pl0_el4_dm1024_ds16_expand1_dc4_Exp_0
PenDigits,Mamba,8,4,512,16,1,4,Exp,0.9716981132075472,3439616,22.9,classification_CLS_PenDigits_Mamba_UEA_ftM_sl8_ll0_pl0_el4_dm512_ds16_expand1_dc4_Exp_0
PenDigits,Mamba,8,4,256,16,1,4,Exp,0.9765580331618068,900608,8.33,classification_CLS_PenDigits_Mamba_UEA_ftM_sl8_ll0_pl0_el4_dm256_ds16_expand1_dc4_Exp_0
PenDigits,Mamba,8,4,128,16,1,4,Exp,0.9797026872498571,245504,3.39,classification_CLS_PenDigits_Mamba_UEA_ftM_sl8_ll0_pl0_el4_dm128_ds16_expand1_dc4_Exp_0
PenDigits,Mamba,8,4,64,16,1,4,Exp,0.983704974271012,71552,1.51,classification_CLS_PenDigits_Mamba_UEA_ftM_sl8_ll0_pl0_el4_dm64_ds16_expand1_dc4_Exp_0
PenDigits,Mamba,8,4,32,16,1,4,Exp,0.9871355060034306,22976,0.71,classification_CLS_PenDigits_Mamba_UEA_ftM_sl8_ll0_pl0_el4_dm32_ds16_expand1_dc4_Exp_0
PenDigits,Mamba,8,4,1024,8,1,4,Exp,0.9696969696969697,13334528,70.41,classification_CLS_PenDigits_Mamba_UEA_ftM_sl8_ll0_pl0_el4_dm1024_ds8_expand1_dc4_Exp_0
PenDigits,Mamba,8,4,512,8,1,4,Exp,0.9345340194396798,3390464,22.72,classification_CLS_PenDigits_Mamba_UEA_ftM_sl8_ll0_pl0_el4_dm512_ds8_expand1_dc4_Exp_0
PenDigits,Mamba,8,4,256,8,1,4,Exp,0.9762721555174385,876032,8.24,classification_CLS_PenDigits_Mamba_UEA_ftM_sl8_ll0_pl0_el4_dm256_ds8_expand1_dc4_Exp_0
PenDigits,Mamba,8,4,128,8,1,4,Exp,0.9797026872498571,233216,3.35,classification_CLS_PenDigits_Mamba_UEA_ftM_sl8_ll0_pl0_el4_dm128_ds8_expand1_dc4_Exp_0
