data_name,model,seq_len,e_layers,d_model,d_state,expand,d_conv,exp,acc,model_params,model_size (MB),ckpt
PhonemeSpectra,Mamba,217,4,1024,16,2,4,Exp,0.041157172681181034,35377152,154.5,classification_CLS_PhonemeSpectra_Mamba_UEA_ftM_sl217_ll0_pl0_el4_dm1024_ds16_expand2_dc4_Exp_0
PhonemeSpectra,Mamba,217,4,512,16,2,4,Exp,0.06710408589322994,11134976,52.26,classification_CLS_PhonemeSpectra_Mamba_UEA_ftM_sl217_ll0_pl0_el4_dm512_ds16_expand2_dc4_Exp_0
PhonemeSpectra,Mamba,217,4,256,16,2,4,Exp,0.113033104682374,3929088,19.89,classification_CLS_PhonemeSpectra_Mamba_UEA_ftM_sl217_ll0_pl0_el4_dm256_ds16_expand2_dc4_Exp_0
PhonemeSpectra,Mamba,217,4,128,16,2,4,Exp,0.12436623918878616,1554944,8.39,classification_CLS_PhonemeSpectra_Mamba_UEA_ftM_sl217_ll0_pl0_el4_dm128_ds16_expand2_dc4_Exp_0
PhonemeSpectra,Mamba,217,4,64,16,2,4,Exp,0.1306292872054876,675072,3.81,classification_CLS_PhonemeSpectra_Mamba_UEA_ftM_sl217_ll0_pl0_el4_dm64_ds16_expand2_dc4_Exp_0
PhonemeSpectra,Mamba,217,4,32,16,2,4,Exp,0.12317327766179541,311936,1.82,classification_CLS_PhonemeSpectra_Mamba_UEA_ftM_sl217_ll0_pl0_el4_dm32_ds16_expand2_dc4_Exp_0
PhonemeSpectra,Mamba,217,4,1024,8,2,4,Exp,0.03966597077244259,35180544,153.75,classification_CLS_PhonemeSpectra_Mamba_UEA_ftM_sl217_ll0_pl0_el4_dm1024_ds8_expand2_dc4_Exp_0
PhonemeSpectra,Mamba,217,4,512,8,2,4,Exp,0.06173575902177155,11036672,51.88,classification_CLS_PhonemeSpectra_Mamba_UEA_ftM_sl217_ll0_pl0_el4_dm512_ds8_expand2_dc4_Exp_0
PhonemeSpectra,Mamba,217,4,256,8,2,4,Exp,0.11362958544586937,3879936,19.7,classification_CLS_PhonemeSpectra_Mamba_UEA_ftM_sl217_ll0_pl0_el4_dm256_ds8_expand2_dc4_Exp_0
PhonemeSpectra,Mamba,217,4,128,8,2,4,Exp,0.12048911422606622,1530368,8.3,classification_CLS_PhonemeSpectra_Mamba_UEA_ftM_sl217_ll0_pl0_el4_dm128_ds8_expand2_dc4_Exp_0
PhonemeSpectra,Mamba,217,4,64,8,2,4,Exp,0.12257679689830003,662784,3.76,classification_CLS_PhonemeSpectra_Mamba_UEA_ftM_sl217_ll0_pl0_el4_dm64_ds8_expand2_dc4_Exp_0
PhonemeSpectra,Mamba,217,4,32,8,2,4,Exp,0.1306292872054876,305792,1.79,classification_CLS_PhonemeSpectra_Mamba_UEA_ftM_sl217_ll0_pl0_el4_dm32_ds8_expand2_dc4_Exp_0
PhonemeSpectra,Mamba,217,4,1024,4,2,4,Exp,0.04592901878914405,35082240,153.38,classification_CLS_PhonemeSpectra_Mamba_UEA_ftM_sl217_ll0_pl0_el4_dm1024_ds4_expand2_dc4_Exp_0
PhonemeSpectra,Mamba,217,4,512,4,2,4,Exp,0.07217417238294065,10987520,51.7,classification_CLS_PhonemeSpectra_Mamba_UEA_ftM_sl217_ll0_pl0_el4_dm512_ds4_expand2_dc4_Exp_0
PhonemeSpectra,Mamba,217,4,256,4,2,4,Exp,0.1154190277363555,3855360,19.61,classification_CLS_PhonemeSpectra_Mamba_UEA_ftM_sl217_ll0_pl0_el4_dm256_ds4_expand2_dc4_Exp_0
PhonemeSpectra,Mamba,217,4,128,4,2,4,Exp,0.12406799880703848,1518080,8.25,classification_CLS_PhonemeSpectra_Mamba_UEA_ftM_sl217_ll0_pl0_el4_dm128_ds4_expand2_dc4_Exp_0
PhonemeSpectra,Mamba,217,4,64,4,2,4,Exp,0.12168207575305696,656640,3.74,classification_CLS_PhonemeSpectra_Mamba_UEA_ftM_sl217_ll0_pl0_el4_dm64_ds4_expand2_dc4_Exp_0
PhonemeSpectra,Mamba,217,4,32,4,2,4,Exp,0.12764688338801072,302720,1.78,classification_CLS_PhonemeSpectra_Mamba_UEA_ftM_sl217_ll0_pl0_el4_dm32_ds4_expand2_dc4_Exp_0
PhonemeSpectra,Mamba,217,4,1024,2,2,4,Exp,0.0867879510885774,35033088,153.19,classification_CLS_PhonemeSpectra_Mamba_UEA_ftM_sl217_ll0_pl0_el4_dm1024_ds2_expand2_dc4_Exp_0
PhonemeSpectra,Mamba,217,4,512,2,2,4,Exp,0.07247241276468834,10962944,51.6,classification_CLS_PhonemeSpectra_Mamba_UEA_ftM_sl217_ll0_pl0_el4_dm512_ds2_expand2_dc4_Exp_0
PhonemeSpectra,Mamba,217,4,256,2,2,4,Exp,0.11243662391887861,3843072,19.56,classification_CLS_PhonemeSpectra_Mamba_UEA_ftM_sl217_ll0_pl0_el4_dm256_ds2_expand2_dc4_Exp_0
PhonemeSpectra,Mamba,217,4,128,2,2,4,Exp,0.11601550849985089,1511936,8.23,classification_CLS_PhonemeSpectra_Mamba_UEA_ftM_sl217_ll0_pl0_el4_dm128_ds2_expand2_dc4_Exp_0
PhonemeSpectra,Mamba,217,4,64,2,2,4,Exp,0.12257679689830003,653568,3.73,classification_CLS_PhonemeSpectra_Mamba_UEA_ftM_sl217_ll0_pl0_el4_dm64_ds2_expand2_dc4_Exp_0
PhonemeSpectra,Mamba,217,4,32,2,2,4,Exp,0.11929615269907545,301184,1.78,classification_CLS_PhonemeSpectra_Mamba_UEA_ftM_sl217_ll0_pl0_el4_dm32_ds2_expand2_dc4_Exp_0
PhonemeSpectra,Mamba,217,4,1024,1,2,4,Exp,0.04801670146137787,35008512,153.09,classification_CLS_PhonemeSpectra_Mamba_UEA_ftM_sl217_ll0_pl0_el4_dm1024_ds1_expand2_dc4_Exp_0
PhonemeSpectra,Mamba,217,4,512,1,2,4,Exp,0.07366537429167909,10950656,51.56,classification_CLS_PhonemeSpectra_Mamba_UEA_ftM_sl217_ll0_pl0_el4_dm512_ds1_expand2_dc4_Exp_0
PhonemeSpectra,Mamba,217,4,256,1,2,4,Exp,0.10885773933790635,3836928,19.54,classification_CLS_PhonemeSpectra_Mamba_UEA_ftM_sl217_ll0_pl0_el4_dm256_ds1_expand2_dc4_Exp_0
PhonemeSpectra,Mamba,217,4,128,1,2,4,Exp,0.12526096033402923,1508864,8.21,classification_CLS_PhonemeSpectra_Mamba_UEA_ftM_sl217_ll0_pl0_el4_dm128_ds1_expand2_dc4_Exp_0
PhonemeSpectra,Mamba,217,4,64,1,2,4,Exp,0.12734864300626306,652032,3.72,classification_CLS_PhonemeSpectra_Mamba_UEA_ftM_sl217_ll0_pl0_el4_dm64_ds1_expand2_dc4_Exp_0
PhonemeSpectra,Mamba,217,4,32,1,2,4,Exp,0.1282433641515061,300416,1.77,classification_CLS_PhonemeSpectra_Mamba_UEA_ftM_sl217_ll0_pl0_el4_dm32_ds1_expand2_dc4_Exp_0
PhonemeSpectra,Mamba,217,4,1024,16,1,4,Exp,0.08231434536236207,22044672,103.64,classification_CLS_PhonemeSpectra_Mamba_UEA_ftM_sl217_ll0_pl0_el4_dm1024_ds16_expand1_dc4_Exp_0
PhonemeSpectra,Mamba,217,4,512,16,1,4,Exp,0.07813898001789442,7745536,39.33,classification_CLS_PhonemeSpectra_Mamba_UEA_ftM_sl217_ll0_pl0_el4_dm512_ds16_expand1_dc4_Exp_0
