data_name,model,seq_len,e_layers,d_model,d_state,expand,d_conv,exp,acc,model_params,model_size (MB),ckpt
RacketSports,Mamba,30,4,1024,16,2,4,Exp,0.8881578947368421,26818560,121.85,classification_CLS_RacketSports_Mamba_UEA_ftM_sl30_ll0_pl0_el4_dm1024_ds16_expand2_dc4_Exp_0
RacketSports,Mamba,30,4,512,16,2,4,Exp,0.8947368421052632,6855680,35.93,classification_CLS_RacketSports_Mamba_UEA_ftM_sl30_ll0_pl0_el4_dm512_ds16_expand2_dc4_Exp_0
RacketSports,Mamba,30,4,256,16,2,4,Exp,0.8947368421052632,1789440,11.73,classification_CLS_RacketSports_Mamba_UEA_ftM_sl30_ll0_pl0_el4_dm256_ds16_expand2_dc4_Exp_0
RacketSports,Mamba,30,4,128,16,2,4,Exp,0.9013157894736842,485120,4.31,classification_CLS_RacketSports_Mamba_UEA_ftM_sl30_ll0_pl0_el4_dm128_ds16_expand2_dc4_Exp_0
RacketSports,Mamba,30,4,64,16,2,4,Exp,0.9013157894736842,140160,1.77,classification_CLS_RacketSports_Mamba_UEA_ftM_sl30_ll0_pl0_el4_dm64_ds16_expand2_dc4_Exp_0
RacketSports,Mamba,30,4,32,16,2,4,Exp,0.9078947368421053,44480,0.8,classification_CLS_RacketSports_Mamba_UEA_ftM_sl30_ll0_pl0_el4_dm32_ds16_expand2_dc4_Exp_0
RacketSports,Mamba,30,4,1024,8,2,4,Exp,0.9013157894736842,26621952,121.1,classification_CLS_RacketSports_Mamba_UEA_ftM_sl30_ll0_pl0_el4_dm1024_ds8_expand2_dc4_Exp_0
RacketSports,Mamba,30,4,512,8,2,4,Exp,0.9013157894736842,6757376,35.56,classification_CLS_RacketSports_Mamba_UEA_ftM_sl30_ll0_pl0_el4_dm512_ds8_expand2_dc4_Exp_0
RacketSports,Mamba,30,4,256,8,2,4,Exp,0.8881578947368421,1740288,11.54,classification_CLS_RacketSports_Mamba_UEA_ftM_sl30_ll0_pl0_el4_dm256_ds8_expand2_dc4_Exp_0
RacketSports,Mamba,30,4,128,8,2,4,Exp,0.8881578947368421,460544,4.21,classification_CLS_RacketSports_Mamba_UEA_ftM_sl30_ll0_pl0_el4_dm128_ds8_expand2_dc4_Exp_0
RacketSports,Mamba,30,4,64,8,2,4,Exp,0.8947368421052632,127872,1.72,classification_CLS_RacketSports_Mamba_UEA_ftM_sl30_ll0_pl0_el4_dm64_ds8_expand2_dc4_Exp_0
RacketSports,Mamba,30,4,32,8,2,4,Exp,0.8947368421052632,38336,0.77,classification_CLS_RacketSports_Mamba_UEA_ftM_sl30_ll0_pl0_el4_dm32_ds8_expand2_dc4_Exp_0
RacketSports,Mamba,30,4,1024,4,2,4,Exp,0.875,26523648,120.73,classification_CLS_RacketSports_Mamba_UEA_ftM_sl30_ll0_pl0_el4_dm1024_ds4_expand2_dc4_Exp_0
RacketSports,Mamba,30,4,512,4,2,4,Exp,0.9078947368421053,6708224,35.37,classification_CLS_RacketSports_Mamba_UEA_ftM_sl30_ll0_pl0_el4_dm512_ds4_expand2_dc4_Exp_0
RacketSports,Mamba,30,4,256,4,2,4,Exp,0.9013157894736842,1715712,11.44,classification_CLS_RacketSports_Mamba_UEA_ftM_sl30_ll0_pl0_el4_dm256_ds4_expand2_dc4_Exp_0
RacketSports,Mamba,30,4,128,4,2,4,Exp,0.9144736842105263,448256,4.17,classification_CLS_RacketSports_Mamba_UEA_ftM_sl30_ll0_pl0_el4_dm128_ds4_expand2_dc4_Exp_0
RacketSports,Mamba,30,4,64,4,2,4,Exp,0.868421052631579,121728,1.7,classification_CLS_RacketSports_Mamba_UEA_ftM_sl30_ll0_pl0_el4_dm64_ds4_expand2_dc4_Exp_0
RacketSports,Mamba,30,4,32,4,2,4,Exp,0.881578947368421,35264,0.76,classification_CLS_RacketSports_Mamba_UEA_ftM_sl30_ll0_pl0_el4_dm32_ds4_expand2_dc4_Exp_0
RacketSports,Mamba,30,4,1024,2,2,4,Exp,0.9013157894736842,26474496,120.54,classification_CLS_RacketSports_Mamba_UEA_ftM_sl30_ll0_pl0_el4_dm1024_ds2_expand2_dc4_Exp_0
RacketSports,Mamba,30,4,512,2,2,4,Exp,0.9013157894736842,6683648,35.28,classification_CLS_RacketSports_Mamba_UEA_ftM_sl30_ll0_pl0_el4_dm512_ds2_expand2_dc4_Exp_0
RacketSports,Mamba,30,4,256,2,2,4,Exp,0.8881578947368421,1703424,11.4,classification_CLS_RacketSports_Mamba_UEA_ftM_sl30_ll0_pl0_el4_dm256_ds2_expand2_dc4_Exp_0
RacketSports,Mamba,30,4,128,2,2,4,Exp,0.8947368421052632,442112,4.14,classification_CLS_RacketSports_Mamba_UEA_ftM_sl30_ll0_pl0_el4_dm128_ds2_expand2_dc4_Exp_0
RacketSports,Mamba,30,4,64,2,2,4,Exp,0.8618421052631579,118656,1.69,classification_CLS_RacketSports_Mamba_UEA_ftM_sl30_ll0_pl0_el4_dm64_ds2_expand2_dc4_Exp_0
