data_name,model,seq_len,e_layers,d_model,d_state,expand,d_conv,exp,acc,model_params,model_size (MB),ckpt
SelfRegulationSCP2,Mamba,1152,4,1024,16,2,4,Exp,0.5666666666666667,29058048,130.39,classification_CLS_SelfRegulationSCP2_Mamba_UEA_ftM_sl1152_ll0_pl0_el4_dm1024_ds16_expand2_dc4_Exp_0
SelfRegulationSCP2,Mamba,1152,4,512,16,2,4,Exp,0.5444444444444444,7975424,40.21,classification_CLS_SelfRegulationSCP2_Mamba_UEA_ftM_sl1152_ll0_pl0_el4_dm512_ds16_expand2_dc4_Exp_0
SelfRegulationSCP2,Mamba,1152,4,256,16,2,4,Exp,0.5611111111111111,2349312,13.86,classification_CLS_SelfRegulationSCP2_Mamba_UEA_ftM_sl1152_ll0_pl0_el4_dm256_ds16_expand2_dc4_Exp_0
SelfRegulationSCP2,Mamba,1152,4,128,16,2,4,Exp,0.5555555555555556,765056,5.38,classification_CLS_SelfRegulationSCP2_Mamba_UEA_ftM_sl1152_ll0_pl0_el4_dm128_ds16_expand2_dc4_Exp_0
SelfRegulationSCP2,Mamba,1152,4,64,16,2,4,Exp,0.5111111111111111,280128,2.31,classification_CLS_SelfRegulationSCP2_Mamba_UEA_ftM_sl1152_ll0_pl0_el4_dm64_ds16_expand2_dc4_Exp_0
SelfRegulationSCP2,Mamba,1152,4,32,16,2,4,Exp,0.5555555555555556,114464,1.06,classification_CLS_SelfRegulationSCP2_Mamba_UEA_ftM_sl1152_ll0_pl0_el4_dm32_ds16_expand2_dc4_Exp_0
SelfRegulationSCP2,Mamba,1152,4,1024,8,2,4,Exp,0.5666666666666667,28861440,129.64,classification_CLS_SelfRegulationSCP2_Mamba_UEA_ftM_sl1152_ll0_pl0_el4_dm1024_ds8_expand2_dc4_Exp_0
SelfRegulationSCP2,Mamba,1152,4,512,8,2,4,Exp,0.5722222222222222,7877120,39.83,classification_CLS_SelfRegulationSCP2_Mamba_UEA_ftM_sl1152_ll0_pl0_el4_dm512_ds8_expand2_dc4_Exp_0
SelfRegulationSCP2,Mamba,1152,4,256,8,2,4,Exp,0.5388888888888889,2300160,13.67,classification_CLS_SelfRegulationSCP2_Mamba_UEA_ftM_sl1152_ll0_pl0_el4_dm256_ds8_expand2_dc4_Exp_0
SelfRegulationSCP2,Mamba,1152,4,128,8,2,4,Exp,0.5111111111111111,740480,5.28,classification_CLS_SelfRegulationSCP2_Mamba_UEA_ftM_sl1152_ll0_pl0_el4_dm128_ds8_expand2_dc4_Exp_0
SelfRegulationSCP2,Mamba,1152,4,64,8,2,4,Exp,0.5277777777777778,267840,2.26,classification_CLS_SelfRegulationSCP2_Mamba_UEA_ftM_sl1152_ll0_pl0_el4_dm64_ds8_expand2_dc4_Exp_0
