data_name,model,seq_len,e_layers,d_model,d_state,expand,d_conv,exp,acc,model_params,model_size (MB),ckpt
StandWalkJump,Mamba,2500,4,1024,16,2,4,Exp,0.4666666666666667,34369536,150.66,classification_CLS_StandWalkJump_Mamba_UEA_ftM_sl2500_ll0_pl0_el4_dm1024_ds16_expand2_dc4_Exp_0
StandWalkJump,Mamba,2500,4,512,16,2,4,Exp,0.6,10631168,50.34,classification_CLS_StandWalkJump_Mamba_UEA_ftM_sl2500_ll0_pl0_el4_dm512_ds16_expand2_dc4_Exp_0
StandWalkJump,Mamba,2500,4,256,16,2,4,Exp,0.6,3677184,18.93,classification_CLS_StandWalkJump_Mamba_UEA_ftM_sl2500_ll0_pl0_el4_dm256_ds16_expand2_dc4_Exp_0
StandWalkJump,Mamba,2500,4,128,16,2,4,Exp,0.5333333333333333,1428992,7.91,classification_CLS_StandWalkJump_Mamba_UEA_ftM_sl2500_ll0_pl0_el4_dm128_ds16_expand2_dc4_Exp_0
StandWalkJump,Mamba,2500,4,64,16,2,4,Exp,0.5333333333333333,612096,3.57,classification_CLS_StandWalkJump_Mamba_UEA_ftM_sl2500_ll0_pl0_el4_dm64_ds16_expand2_dc4_Exp_0
StandWalkJump,Mamba,2500,4,32,16,2,4,Exp,0.5333333333333333,280448,1.7,classification_CLS_StandWalkJump_Mamba_UEA_ftM_sl2500_ll0_pl0_el4_dm32_ds16_expand2_dc4_Exp_0
StandWalkJump,Mamba,2500,4,1024,8,2,4,Exp,0.4,34172928,149.91,classification_CLS_StandWalkJump_Mamba_UEA_ftM_sl2500_ll0_pl0_el4_dm1024_ds8_expand2_dc4_Exp_0
StandWalkJump,Mamba,2500,4,512,8,2,4,Exp,0.5333333333333333,10532864,49.96,classification_CLS_StandWalkJump_Mamba_UEA_ftM_sl2500_ll0_pl0_el4_dm512_ds8_expand2_dc4_Exp_0
StandWalkJump,Mamba,2500,4,256,8,2,4,Exp,0.6666666666666666,3628032,18.74,classification_CLS_StandWalkJump_Mamba_UEA_ftM_sl2500_ll0_pl0_el4_dm256_ds8_expand2_dc4_Exp_0
StandWalkJump,Mamba,2500,4,128,8,2,4,Exp,0.5333333333333333,1404416,7.81,classification_CLS_StandWalkJump_Mamba_UEA_ftM_sl2500_ll0_pl0_el4_dm128_ds8_expand2_dc4_Exp_0
StandWalkJump,Mamba,2500,4,64,8,2,4,Exp,0.4666666666666667,599808,3.52,classification_CLS_StandWalkJump_Mamba_UEA_ftM_sl2500_ll0_pl0_el4_dm64_ds8_expand2_dc4_Exp_0
StandWalkJump,Mamba,2500,4,32,8,2,4,Exp,0.4666666666666667,274304,1.67,classification_CLS_StandWalkJump_Mamba_UEA_ftM_sl2500_ll0_pl0_el4_dm32_ds8_expand2_dc4_Exp_0
StandWalkJump,Mamba,2500,4,1024,4,2,4,Exp,0.5333333333333333,34074624,149.53,classification_CLS_StandWalkJump_Mamba_UEA_ftM_sl2500_ll0_pl0_el4_dm1024_ds4_expand2_dc4_Exp_0
StandWalkJump,Mamba,2500,4,512,4,2,4,Exp,0.5333333333333333,10483712,49.77,classification_CLS_StandWalkJump_Mamba_UEA_ftM_sl2500_ll0_pl0_el4_dm512_ds4_expand2_dc4_Exp_0
StandWalkJump,Mamba,2500,4,256,4,2,4,Exp,0.5333333333333333,3603456,18.64,classification_CLS_StandWalkJump_Mamba_UEA_ftM_sl2500_ll0_pl0_el4_dm256_ds4_expand2_dc4_Exp_0
