data_name,model,seq_len,e_layers,d_model,d_state,expand,d_conv,exp,acc,model_params,model_size (MB),ckpt
UWaveGestureLibrary,Mamba,315,4,1024,16,2,4,Exp,0.8125,29266944,131.19,classification_CLS_UWaveGestureLibrary_Mamba_UEA_ftM_sl315_ll0_pl0_el4_dm1024_ds16_expand2_dc4_Exp_0
UWaveGestureLibrary,Mamba,315,4,512,16,2,4,Exp,0.840625,8079872,40.6,classification_CLS_UWaveGestureLibrary_Mamba_UEA_ftM_sl315_ll0_pl0_el4_dm512_ds16_expand2_dc4_Exp_0
UWaveGestureLibrary,Mamba,315,4,256,16,2,4,Exp,0.871875,2401536,14.06,classification_CLS_UWaveGestureLibrary_Mamba_UEA_ftM_sl315_ll0_pl0_el4_dm256_ds16_expand2_dc4_Exp_0
UWaveGestureLibrary,Mamba,315,4,128,16,2,4,Exp,0.86875,791168,5.48,classification_CLS_UWaveGestureLibrary_Mamba_UEA_ftM_sl315_ll0_pl0_el4_dm128_ds16_expand2_dc4_Exp_0
UWaveGestureLibrary,Mamba,315,4,64,16,2,4,Exp,0.846875,293184,2.36,classification_CLS_UWaveGestureLibrary_Mamba_UEA_ftM_sl315_ll0_pl0_el4_dm64_ds16_expand2_dc4_Exp_0
UWaveGestureLibrary,Mamba,315,4,32,16,2,4,Exp,0.859375,120992,1.09,classification_CLS_UWaveGestureLibrary_Mamba_UEA_ftM_sl315_ll0_pl0_el4_dm32_ds16_expand2_dc4_Exp_0
UWaveGestureLibrary,Mamba,315,4,1024,8,2,4,Exp,0.83125,29070336,130.44,classification_CLS_UWaveGestureLibrary_Mamba_UEA_ftM_sl315_ll0_pl0_el4_dm1024_ds8_expand2_dc4_Exp_0
UWaveGestureLibrary,Mamba,315,4,512,8,2,4,Exp,0.8625,7981568,40.23,classification_CLS_UWaveGestureLibrary_Mamba_UEA_ftM_sl315_ll0_pl0_el4_dm512_ds8_expand2_dc4_Exp_0
UWaveGestureLibrary,Mamba,315,4,256,8,2,4,Exp,0.85625,2352384,13.87,classification_CLS_UWaveGestureLibrary_Mamba_UEA_ftM_sl315_ll0_pl0_el4_dm256_ds8_expand2_dc4_Exp_0
UWaveGestureLibrary,Mamba,315,4,128,8,2,4,Exp,0.8625,766592,5.38,classification_CLS_UWaveGestureLibrary_Mamba_UEA_ftM_sl315_ll0_pl0_el4_dm128_ds8_expand2_dc4_Exp_0
