data_name,model,seq_len,d_model,d_state,expand,d_conv,num_kernel,tv_dt,tv_B,tv_C,use_D,exp,acc,model_params,model_size (MB),ckpt
BasicMotions,MambaSingleLayer,100,1024,16,1,4,3,True,True,True,False,gating4proposed,1.0,3364872,32.37,classification_CLS_BasicMotions_MambaSingleLayer_UEA_ftM_sl100_ll0_pl0_dm1024_ds16_expand1_dc4_nk3_tvdt1_tvB1_tvC1_useD0_gating4proposed_0
BasicMotions,MambaSingleLayer,100,1024,16,1,4,3,True,True,False,False,gating4proposed,1.0,3364872,32.37,classification_CLS_BasicMotions_MambaSingleLayer_UEA_ftM_sl100_ll0_pl0_dm1024_ds16_expand1_dc4_nk3_tvdt1_tvB1_tvC0_useD0_gating4proposed_0
BasicMotions,MambaSingleLayer,100,1024,16,1,4,3,True,False,True,False,gating4proposed,1.0,3364872,32.37,classification_CLS_BasicMotions_MambaSingleLayer_UEA_ftM_sl100_ll0_pl0_dm1024_ds16_expand1_dc4_nk3_tvdt1_tvB0_tvC1_useD0_gating4proposed_0
BasicMotions,MambaSingleLayer,100,1024,16,1,4,3,True,False,False,False,gating4proposed,1.0,3364872,32.37,classification_CLS_BasicMotions_MambaSingleLayer_UEA_ftM_sl100_ll0_pl0_dm1024_ds16_expand1_dc4_nk3_tvdt1_tvB0_tvC0_useD0_gating4proposed_0
BasicMotions,MambaSingleLayer,100,1024,16,1,4,3,False,True,True,False,gating4proposed,1.0,3299336,32.12,classification_CLS_BasicMotions_MambaSingleLayer_UEA_ftM_sl100_ll0_pl0_dm1024_ds16_expand1_dc4_nk3_tvdt0_tvB1_tvC1_useD0_gating4proposed_0
BasicMotions,MambaSingleLayer,100,1024,16,1,4,3,False,True,False,False,gating4proposed,1.0,3299336,32.12,classification_CLS_BasicMotions_MambaSingleLayer_UEA_ftM_sl100_ll0_pl0_dm1024_ds16_expand1_dc4_nk3_tvdt0_tvB1_tvC0_useD0_gating4proposed_0
BasicMotions,MambaSingleLayer,100,1024,16,1,4,3,False,False,True,False,gating4proposed,1.0,3299336,32.12,classification_CLS_BasicMotions_MambaSingleLayer_UEA_ftM_sl100_ll0_pl0_dm1024_ds16_expand1_dc4_nk3_tvdt0_tvB0_tvC1_useD0_gating4proposed_0
BasicMotions,MambaSingleLayer,100,1024,16,1,4,3,False,False,False,False,gating4proposed,1.0,3299336,32.12,classification_CLS_BasicMotions_MambaSingleLayer_UEA_ftM_sl100_ll0_pl0_dm1024_ds16_expand1_dc4_nk3_tvdt0_tvB0_tvC0_useD0_gating4proposed_0
BasicMotions,MambaSingleLayer,100,1024,8,1,4,3,True,True,True,False,gating4proposed,1.0,3340296,32.28,classification_CLS_BasicMotions_MambaSingleLayer_UEA_ftM_sl100_ll0_pl0_dm1024_ds8_expand1_dc4_nk3_tvdt1_tvB1_tvC1_useD0_gating4proposed_0
BasicMotions,MambaSingleLayer,100,1024,8,1,4,3,True,True,False,False,gating4proposed,1.0,3340296,32.28,classification_CLS_BasicMotions_MambaSingleLayer_UEA_ftM_sl100_ll0_pl0_dm1024_ds8_expand1_dc4_nk3_tvdt1_tvB1_tvC0_useD0_gating4proposed_0
BasicMotions,MambaSingleLayer,100,1024,8,1,4,3,True,False,True,False,gating4proposed,1.0,3340296,32.28,classification_CLS_BasicMotions_MambaSingleLayer_UEA_ftM_sl100_ll0_pl0_dm1024_ds8_expand1_dc4_nk3_tvdt1_tvB0_tvC1_useD0_gating4proposed_0
BasicMotions,MambaSingleLayer,100,1024,8,1,4,3,True,False,False,False,gating4proposed,1.0,3340296,32.28,classification_CLS_BasicMotions_MambaSingleLayer_UEA_ftM_sl100_ll0_pl0_dm1024_ds8_expand1_dc4_nk3_tvdt1_tvB0_tvC0_useD0_gating4proposed_0
BasicMotions,MambaSingleLayer,100,1024,8,1,4,3,False,True,True,False,gating4proposed,1.0,3274760,32.03,classification_CLS_BasicMotions_MambaSingleLayer_UEA_ftM_sl100_ll0_pl0_dm1024_ds8_expand1_dc4_nk3_tvdt0_tvB1_tvC1_useD0_gating4proposed_0
BasicMotions,MambaSingleLayer,100,1024,8,1,4,3,False,True,False,False,gating4proposed,1.0,3274760,32.03,classification_CLS_BasicMotions_MambaSingleLayer_UEA_ftM_sl100_ll0_pl0_dm1024_ds8_expand1_dc4_nk3_tvdt0_tvB1_tvC0_useD0_gating4proposed_0
BasicMotions,MambaSingleLayer,100,1024,8,1,4,3,False,False,True,False,gating4proposed,1.0,3274760,32.03,classification_CLS_BasicMotions_MambaSingleLayer_UEA_ftM_sl100_ll0_pl0_dm1024_ds8_expand1_dc4_nk3_tvdt0_tvB0_tvC1_useD0_gating4proposed_0
BasicMotions,MambaSingleLayer,100,1024,8,1,4,3,False,False,False,False,gating4proposed,1.0,3274760,32.03,classification_CLS_BasicMotions_MambaSingleLayer_UEA_ftM_sl100_ll0_pl0_dm1024_ds8_expand1_dc4_nk3_tvdt0_tvB0_tvC0_useD0_gating4proposed_0
BasicMotions,MambaSingleLayer,100,1024,4,1,4,3,True,True,True,False,gating4proposed,1.0,3328008,32.23,classification_CLS_BasicMotions_MambaSingleLayer_UEA_ftM_sl100_ll0_pl0_dm1024_ds4_expand1_dc4_nk3_tvdt1_tvB1_tvC1_useD0_gating4proposed_0
BasicMotions,MambaSingleLayer,100,1024,4,1,4,3,True,True,False,False,gating4proposed,1.0,3328008,32.23,classification_CLS_BasicMotions_MambaSingleLayer_UEA_ftM_sl100_ll0_pl0_dm1024_ds4_expand1_dc4_nk3_tvdt1_tvB1_tvC0_useD0_gating4proposed_0
BasicMotions,MambaSingleLayer,100,1024,4,1,4,3,True,False,True,False,gating4proposed,1.0,3328008,32.23,classification_CLS_BasicMotions_MambaSingleLayer_UEA_ftM_sl100_ll0_pl0_dm1024_ds4_expand1_dc4_nk3_tvdt1_tvB0_tvC1_useD0_gating4proposed_0
BasicMotions,MambaSingleLayer,100,1024,4,1,4,3,True,False,False,False,gating4proposed,1.0,3328008,32.23,classification_CLS_BasicMotions_MambaSingleLayer_UEA_ftM_sl100_ll0_pl0_dm1024_ds4_expand1_dc4_nk3_tvdt1_tvB0_tvC0_useD0_gating4proposed_0
BasicMotions,MambaSingleLayer,100,1024,4,1,4,3,False,True,True,False,gating4proposed,1.0,3262472,31.98,classification_CLS_BasicMotions_MambaSingleLayer_UEA_ftM_sl100_ll0_pl0_dm1024_ds4_expand1_dc4_nk3_tvdt0_tvB1_tvC1_useD0_gating4proposed_0
BasicMotions,MambaSingleLayer,100,1024,4,1,4,3,False,True,False,False,gating4proposed,1.0,3262472,31.98,classification_CLS_BasicMotions_MambaSingleLayer_UEA_ftM_sl100_ll0_pl0_dm1024_ds4_expand1_dc4_nk3_tvdt0_tvB1_tvC0_useD0_gating4proposed_0
BasicMotions,MambaSingleLayer,100,1024,4,1,4,3,False,False,True,False,gating4proposed,1.0,3262472,31.98,classification_CLS_BasicMotions_MambaSingleLayer_UEA_ftM_sl100_ll0_pl0_dm1024_ds4_expand1_dc4_nk3_tvdt0_tvB0_tvC1_useD0_gating4proposed_0
BasicMotions,MambaSingleLayer,100,1024,4,1,4,3,False,False,False,False,gating4proposed,1.0,3262472,31.98,classification_CLS_BasicMotions_MambaSingleLayer_UEA_ftM_sl100_ll0_pl0_dm1024_ds4_expand1_dc4_nk3_tvdt0_tvB0_tvC0_useD0_gating4proposed_0
BasicMotions,MambaSingleLayer,100,1024,2,1,4,3,True,True,True,False,gating4proposed,1.0,3321864,32.21,classification_CLS_BasicMotions_MambaSingleLayer_UEA_ftM_sl100_ll0_pl0_dm1024_ds2_expand1_dc4_nk3_tvdt1_tvB1_tvC1_useD0_gating4proposed_0
BasicMotions,MambaSingleLayer,100,1024,2,1,4,3,True,True,False,False,gating4proposed,1.0,3321864,32.21,classification_CLS_BasicMotions_MambaSingleLayer_UEA_ftM_sl100_ll0_pl0_dm1024_ds2_expand1_dc4_nk3_tvdt1_tvB1_tvC0_useD0_gating4proposed_0
BasicMotions,MambaSingleLayer,100,1024,2,1,4,3,True,False,True,False,gating4proposed,1.0,3321864,32.21,classification_CLS_BasicMotions_MambaSingleLayer_UEA_ftM_sl100_ll0_pl0_dm1024_ds2_expand1_dc4_nk3_tvdt1_tvB0_tvC1_useD0_gating4proposed_0
BasicMotions,MambaSingleLayer,100,1024,2,1,4,3,True,False,False,False,gating4proposed,1.0,3321864,32.21,classification_CLS_BasicMotions_MambaSingleLayer_UEA_ftM_sl100_ll0_pl0_dm1024_ds2_expand1_dc4_nk3_tvdt1_tvB0_tvC0_useD0_gating4proposed_0
BasicMotions,MambaSingleLayer,100,1024,2,1,4,3,False,True,True,False,gating4proposed,1.0,3256328,31.96,classification_CLS_BasicMotions_MambaSingleLayer_UEA_ftM_sl100_ll0_pl0_dm1024_ds2_expand1_dc4_nk3_tvdt0_tvB1_tvC1_useD0_gating4proposed_0
BasicMotions,MambaSingleLayer,100,1024,2,1,4,3,False,True,False,False,gating4proposed,1.0,3256328,31.96,classification_CLS_BasicMotions_MambaSingleLayer_UEA_ftM_sl100_ll0_pl0_dm1024_ds2_expand1_dc4_nk3_tvdt0_tvB1_tvC0_useD0_gating4proposed_0
BasicMotions,MambaSingleLayer,100,1024,2,1,4,3,False,False,True,False,gating4proposed,1.0,3256328,31.96,classification_CLS_BasicMotions_MambaSingleLayer_UEA_ftM_sl100_ll0_pl0_dm1024_ds2_expand1_dc4_nk3_tvdt0_tvB0_tvC1_useD0_gating4proposed_0
BasicMotions,MambaSingleLayer,100,1024,2,1,4,3,False,False,False,False,gating4proposed,1.0,3256328,31.96,classification_CLS_BasicMotions_MambaSingleLayer_UEA_ftM_sl100_ll0_pl0_dm1024_ds2_expand1_dc4_nk3_tvdt0_tvB0_tvC0_useD0_gating4proposed_0
BasicMotions,MambaSingleLayer,100,1024,1,1,4,3,True,True,True,False,gating4proposed,1.0,3318792,32.2,classification_CLS_BasicMotions_MambaSingleLayer_UEA_ftM_sl100_ll0_pl0_dm1024_ds1_expand1_dc4_nk3_tvdt1_tvB1_tvC1_useD0_gating4proposed_0
BasicMotions,MambaSingleLayer,100,1024,1,1,4,3,True,True,False,False,gating4proposed,1.0,3318792,32.2,classification_CLS_BasicMotions_MambaSingleLayer_UEA_ftM_sl100_ll0_pl0_dm1024_ds1_expand1_dc4_nk3_tvdt1_tvB1_tvC0_useD0_gating4proposed_0
BasicMotions,MambaSingleLayer,100,1024,1,1,4,3,True,False,True,False,gating4proposed,1.0,3318792,32.2,classification_CLS_BasicMotions_MambaSingleLayer_UEA_ftM_sl100_ll0_pl0_dm1024_ds1_expand1_dc4_nk3_tvdt1_tvB0_tvC1_useD0_gating4proposed_0
BasicMotions,MambaSingleLayer,100,1024,1,1,4,3,True,False,False,False,gating4proposed,1.0,3318792,32.2,classification_CLS_BasicMotions_MambaSingleLayer_UEA_ftM_sl100_ll0_pl0_dm1024_ds1_expand1_dc4_nk3_tvdt1_tvB0_tvC0_useD0_gating4proposed_0
BasicMotions,MambaSingleLayer,100,1024,1,1,4,3,False,True,True,False,gating4proposed,1.0,3253256,31.95,classification_CLS_BasicMotions_MambaSingleLayer_UEA_ftM_sl100_ll0_pl0_dm1024_ds1_expand1_dc4_nk3_tvdt0_tvB1_tvC1_useD0_gating4proposed_0
BasicMotions,MambaSingleLayer,100,1024,1,1,4,3,False,True,False,False,gating4proposed,1.0,3253256,31.95,classification_CLS_BasicMotions_MambaSingleLayer_UEA_ftM_sl100_ll0_pl0_dm1024_ds1_expand1_dc4_nk3_tvdt0_tvB1_tvC0_useD0_gating4proposed_0
BasicMotions,MambaSingleLayer,100,1024,1,1,4,3,False,False,True,False,gating4proposed,1.0,3253256,31.95,classification_CLS_BasicMotions_MambaSingleLayer_UEA_ftM_sl100_ll0_pl0_dm1024_ds1_expand1_dc4_nk3_tvdt0_tvB0_tvC1_useD0_gating4proposed_0
BasicMotions,MambaSingleLayer,100,1024,1,1,4,3,False,False,False,False,gating4proposed,1.0,3253256,31.95,classification_CLS_BasicMotions_MambaSingleLayer_UEA_ftM_sl100_ll0_pl0_dm1024_ds1_expand1_dc4_nk3_tvdt0_tvB0_tvC0_useD0_gating4proposed_0
BasicMotions,MambaSingleLayer,100,512,16,1,4,3,True,True,True,False,gating4proposed,1.0,863240,13.06,classification_CLS_BasicMotions_MambaSingleLayer_UEA_ftM_sl100_ll0_pl0_dm512_ds16_expand1_dc4_nk3_tvdt1_tvB1_tvC1_useD0_gating4proposed_0
BasicMotions,MambaSingleLayer,100,512,16,1,4,3,True,True,False,False,gating4proposed,1.0,863240,13.06,classification_CLS_BasicMotions_MambaSingleLayer_UEA_ftM_sl100_ll0_pl0_dm512_ds16_expand1_dc4_nk3_tvdt1_tvB1_tvC0_useD0_gating4proposed_0
BasicMotions,MambaSingleLayer,100,512,16,1,4,3,True,False,True,False,gating4proposed,1.0,863240,13.06,classification_CLS_BasicMotions_MambaSingleLayer_UEA_ftM_sl100_ll0_pl0_dm512_ds16_expand1_dc4_nk3_tvdt1_tvB0_tvC1_useD0_gating4proposed_0
BasicMotions,MambaSingleLayer,100,512,16,1,4,3,True,False,False,False,gating4proposed,1.0,863240,13.06,classification_CLS_BasicMotions_MambaSingleLayer_UEA_ftM_sl100_ll0_pl0_dm512_ds16_expand1_dc4_nk3_tvdt1_tvB0_tvC0_useD0_gating4proposed_0
BasicMotions,MambaSingleLayer,100,512,16,1,4,3,False,True,True,False,gating4proposed,1.0,846856,13.0,classification_CLS_BasicMotions_MambaSingleLayer_UEA_ftM_sl100_ll0_pl0_dm512_ds16_expand1_dc4_nk3_tvdt0_tvB1_tvC1_useD0_gating4proposed_0
