data_name,model,seq_len,d_model,d_state,expand,d_conv,num_kernel,tv_dt,tv_B,tv_C,use_D,exp,acc,model_params,model_size (MB),ckpt
ERing,MambaSingleLayer,65,1024,16,1,4,3,True,True,True,False,gating4proposed,0.8851851851851852,3360776,32.36,classification_CLS_ERing_MambaSingleLayer_UEA_ftM_sl65_ll0_pl0_dm1024_ds16_expand1_dc4_nk3_tvdt1_tvB1_tvC1_useD0_gating4proposed_0
ERing,MambaSingleLayer,65,1024,16,1,4,3,True,True,False,False,gating4proposed,0.8925925925925926,3360776,32.36,classification_CLS_ERing_MambaSingleLayer_UEA_ftM_sl65_ll0_pl0_dm1024_ds16_expand1_dc4_nk3_tvdt1_tvB1_tvC0_useD0_gating4proposed_0
ERing,MambaSingleLayer,65,1024,16,1,4,3,True,False,True,False,gating4proposed,0.9148148148148149,3360776,32.36,classification_CLS_ERing_MambaSingleLayer_UEA_ftM_sl65_ll0_pl0_dm1024_ds16_expand1_dc4_nk3_tvdt1_tvB0_tvC1_useD0_gating4proposed_0
ERing,MambaSingleLayer,65,1024,16,1,4,3,True,False,False,False,gating4proposed,0.9296296296296296,3360776,32.36,classification_CLS_ERing_MambaSingleLayer_UEA_ftM_sl65_ll0_pl0_dm1024_ds16_expand1_dc4_nk3_tvdt1_tvB0_tvC0_useD0_gating4proposed_0
ERing,MambaSingleLayer,65,1024,16,1,4,3,False,True,True,False,gating4proposed,0.8925925925925926,3295240,32.11,classification_CLS_ERing_MambaSingleLayer_UEA_ftM_sl65_ll0_pl0_dm1024_ds16_expand1_dc4_nk3_tvdt0_tvB1_tvC1_useD0_gating4proposed_0
ERing,MambaSingleLayer,65,1024,16,1,4,3,False,True,False,False,gating4proposed,0.9185185185185185,3295240,32.11,classification_CLS_ERing_MambaSingleLayer_UEA_ftM_sl65_ll0_pl0_dm1024_ds16_expand1_dc4_nk3_tvdt0_tvB1_tvC0_useD0_gating4proposed_0
ERing,MambaSingleLayer,65,1024,16,1,4,3,False,False,True,False,gating4proposed,0.9185185185185185,3295240,32.11,classification_CLS_ERing_MambaSingleLayer_UEA_ftM_sl65_ll0_pl0_dm1024_ds16_expand1_dc4_nk3_tvdt0_tvB0_tvC1_useD0_gating4proposed_0
ERing,MambaSingleLayer,65,1024,16,1,4,3,False,False,False,False,gating4proposed,0.9222222222222223,3295240,32.11,classification_CLS_ERing_MambaSingleLayer_UEA_ftM_sl65_ll0_pl0_dm1024_ds16_expand1_dc4_nk3_tvdt0_tvB0_tvC0_useD0_gating4proposed_0
ERing,MambaSingleLayer,65,1024,8,1,4,3,True,True,True,False,gating4proposed,0.8740740740740741,3336200,32.26,classification_CLS_ERing_MambaSingleLayer_UEA_ftM_sl65_ll0_pl0_dm1024_ds8_expand1_dc4_nk3_tvdt1_tvB1_tvC1_useD0_gating4proposed_0
ERing,MambaSingleLayer,65,1024,8,1,4,3,True,True,False,False,gating4proposed,0.8814814814814815,3336200,32.26,classification_CLS_ERing_MambaSingleLayer_UEA_ftM_sl65_ll0_pl0_dm1024_ds8_expand1_dc4_nk3_tvdt1_tvB1_tvC0_useD0_gating4proposed_0
ERing,MambaSingleLayer,65,1024,8,1,4,3,True,False,True,False,gating4proposed,0.9037037037037037,3336200,32.26,classification_CLS_ERing_MambaSingleLayer_UEA_ftM_sl65_ll0_pl0_dm1024_ds8_expand1_dc4_nk3_tvdt1_tvB0_tvC1_useD0_gating4proposed_0
ERing,MambaSingleLayer,65,1024,8,1,4,3,True,False,False,False,gating4proposed,0.9259259259259259,3336200,32.26,classification_CLS_ERing_MambaSingleLayer_UEA_ftM_sl65_ll0_pl0_dm1024_ds8_expand1_dc4_nk3_tvdt1_tvB0_tvC0_useD0_gating4proposed_0
ERing,MambaSingleLayer,65,1024,8,1,4,3,False,True,True,False,gating4proposed,0.8851851851851852,3270664,32.01,classification_CLS_ERing_MambaSingleLayer_UEA_ftM_sl65_ll0_pl0_dm1024_ds8_expand1_dc4_nk3_tvdt0_tvB1_tvC1_useD0_gating4proposed_0
ERing,MambaSingleLayer,65,1024,8,1,4,3,False,True,False,False,gating4proposed,0.9037037037037037,3270664,32.01,classification_CLS_ERing_MambaSingleLayer_UEA_ftM_sl65_ll0_pl0_dm1024_ds8_expand1_dc4_nk3_tvdt0_tvB1_tvC0_useD0_gating4proposed_0
ERing,MambaSingleLayer,65,1024,8,1,4,3,False,False,True,False,gating4proposed,0.9148148148148149,3270664,32.01,classification_CLS_ERing_MambaSingleLayer_UEA_ftM_sl65_ll0_pl0_dm1024_ds8_expand1_dc4_nk3_tvdt0_tvB0_tvC1_useD0_gating4proposed_0
ERing,MambaSingleLayer,65,1024,8,1,4,3,False,False,False,False,gating4proposed,0.9222222222222223,3270664,32.01,classification_CLS_ERing_MambaSingleLayer_UEA_ftM_sl65_ll0_pl0_dm1024_ds8_expand1_dc4_nk3_tvdt0_tvB0_tvC0_useD0_gating4proposed_0
ERing,MambaSingleLayer,65,1024,4,1,4,3,True,True,True,False,gating4proposed,0.9074074074074074,3323912,32.22,classification_CLS_ERing_MambaSingleLayer_UEA_ftM_sl65_ll0_pl0_dm1024_ds4_expand1_dc4_nk3_tvdt1_tvB1_tvC1_useD0_gating4proposed_0
ERing,MambaSingleLayer,65,1024,4,1,4,3,True,True,False,False,gating4proposed,0.8777777777777778,3323912,32.22,classification_CLS_ERing_MambaSingleLayer_UEA_ftM_sl65_ll0_pl0_dm1024_ds4_expand1_dc4_nk3_tvdt1_tvB1_tvC0_useD0_gating4proposed_0
ERing,MambaSingleLayer,65,1024,4,1,4,3,True,False,True,False,gating4proposed,0.9037037037037037,3323912,32.22,classification_CLS_ERing_MambaSingleLayer_UEA_ftM_sl65_ll0_pl0_dm1024_ds4_expand1_dc4_nk3_tvdt1_tvB0_tvC1_useD0_gating4proposed_0
ERing,MambaSingleLayer,65,1024,4,1,4,3,True,False,False,False,gating4proposed,0.9222222222222223,3323912,32.22,classification_CLS_ERing_MambaSingleLayer_UEA_ftM_sl65_ll0_pl0_dm1024_ds4_expand1_dc4_nk3_tvdt1_tvB0_tvC0_useD0_gating4proposed_0
ERing,MambaSingleLayer,65,1024,4,1,4,3,False,True,True,False,gating4proposed,0.8777777777777778,3258376,31.97,classification_CLS_ERing_MambaSingleLayer_UEA_ftM_sl65_ll0_pl0_dm1024_ds4_expand1_dc4_nk3_tvdt0_tvB1_tvC1_useD0_gating4proposed_0
ERing,MambaSingleLayer,65,1024,4,1,4,3,False,True,False,False,gating4proposed,0.8925925925925926,3258376,31.97,classification_CLS_ERing_MambaSingleLayer_UEA_ftM_sl65_ll0_pl0_dm1024_ds4_expand1_dc4_nk3_tvdt0_tvB1_tvC0_useD0_gating4proposed_0
ERing,MambaSingleLayer,65,1024,4,1,4,3,False,False,True,False,gating4proposed,0.9148148148148149,3258376,31.97,classification_CLS_ERing_MambaSingleLayer_UEA_ftM_sl65_ll0_pl0_dm1024_ds4_expand1_dc4_nk3_tvdt0_tvB0_tvC1_useD0_gating4proposed_0
ERing,MambaSingleLayer,65,1024,4,1,4,3,False,False,False,False,gating4proposed,0.9259259259259259,3258376,31.97,classification_CLS_ERing_MambaSingleLayer_UEA_ftM_sl65_ll0_pl0_dm1024_ds4_expand1_dc4_nk3_tvdt0_tvB0_tvC0_useD0_gating4proposed_0
ERing,MambaSingleLayer,65,1024,2,1,4,3,True,True,True,False,gating4proposed,0.8851851851851852,3317768,32.19,classification_CLS_ERing_MambaSingleLayer_UEA_ftM_sl65_ll0_pl0_dm1024_ds2_expand1_dc4_nk3_tvdt1_tvB1_tvC1_useD0_gating4proposed_0
ERing,MambaSingleLayer,65,1024,2,1,4,3,True,True,False,False,gating4proposed,0.8703703703703703,3317768,32.19,classification_CLS_ERing_MambaSingleLayer_UEA_ftM_sl65_ll0_pl0_dm1024_ds2_expand1_dc4_nk3_tvdt1_tvB1_tvC0_useD0_gating4proposed_0
ERing,MambaSingleLayer,65,1024,2,1,4,3,True,False,True,False,gating4proposed,0.9148148148148149,3317768,32.19,classification_CLS_ERing_MambaSingleLayer_UEA_ftM_sl65_ll0_pl0_dm1024_ds2_expand1_dc4_nk3_tvdt1_tvB0_tvC1_useD0_gating4proposed_0
ERing,MambaSingleLayer,65,1024,2,1,4,3,True,False,False,False,gating4proposed,0.9222222222222223,3317768,32.19,classification_CLS_ERing_MambaSingleLayer_UEA_ftM_sl65_ll0_pl0_dm1024_ds2_expand1_dc4_nk3_tvdt1_tvB0_tvC0_useD0_gating4proposed_0
ERing,MambaSingleLayer,65,1024,2,1,4,3,False,True,True,False,gating4proposed,0.8666666666666667,3252232,31.94,classification_CLS_ERing_MambaSingleLayer_UEA_ftM_sl65_ll0_pl0_dm1024_ds2_expand1_dc4_nk3_tvdt0_tvB1_tvC1_useD0_gating4proposed_0
ERing,MambaSingleLayer,65,1024,2,1,4,3,False,True,False,False,gating4proposed,0.9037037037037037,3252232,31.94,classification_CLS_ERing_MambaSingleLayer_UEA_ftM_sl65_ll0_pl0_dm1024_ds2_expand1_dc4_nk3_tvdt0_tvB1_tvC0_useD0_gating4proposed_0
ERing,MambaSingleLayer,65,1024,2,1,4,3,False,False,True,False,gating4proposed,0.9111111111111111,3252232,31.94,classification_CLS_ERing_MambaSingleLayer_UEA_ftM_sl65_ll0_pl0_dm1024_ds2_expand1_dc4_nk3_tvdt0_tvB0_tvC1_useD0_gating4proposed_0
ERing,MambaSingleLayer,65,1024,2,1,4,3,False,False,False,False,gating4proposed,0.9222222222222223,3252232,31.94,classification_CLS_ERing_MambaSingleLayer_UEA_ftM_sl65_ll0_pl0_dm1024_ds2_expand1_dc4_nk3_tvdt0_tvB0_tvC0_useD0_gating4proposed_0
ERing,MambaSingleLayer,65,1024,1,1,4,3,True,True,True,False,gating4proposed,0.8518518518518519,3314696,32.18,classification_CLS_ERing_MambaSingleLayer_UEA_ftM_sl65_ll0_pl0_dm1024_ds1_expand1_dc4_nk3_tvdt1_tvB1_tvC1_useD0_gating4proposed_0
