data_name,model,seq_len,d_model,d_state,expand,d_conv,num_kernel,tv_dt,tv_B,tv_C,use_D,exp,acc,model_params,model_size (MB),ckpt
LSST,MambaSingleLayer,36,1024,16,1,4,3,True,True,True,False,gating4proposed,0.4095701540957015,3375112,32.41,classification_CLS_LSST_MambaSingleLayer_UEA_ftM_sl36_ll0_pl0_dm1024_ds16_expand1_dc4_nk3_tvdt1_tvB1_tvC1_useD0_gating4proposed_0
LSST,MambaSingleLayer,36,1024,16,1,4,3,True,True,False,False,gating4proposed,0.4180859691808597,3375112,32.41,classification_CLS_LSST_MambaSingleLayer_UEA_ftM_sl36_ll0_pl0_dm1024_ds16_expand1_dc4_nk3_tvdt1_tvB1_tvC0_useD0_gating4proposed_0
LSST,MambaSingleLayer,36,1024,16,1,4,3,True,False,True,False,gating4proposed,0.41362530413625304,3375112,32.41,classification_CLS_LSST_MambaSingleLayer_UEA_ftM_sl36_ll0_pl0_dm1024_ds16_expand1_dc4_nk3_tvdt1_tvB0_tvC1_useD0_gating4proposed_0
LSST,MambaSingleLayer,36,1024,16,1,4,3,True,False,False,False,gating4proposed,0.41889699918897,3375112,32.41,classification_CLS_LSST_MambaSingleLayer_UEA_ftM_sl36_ll0_pl0_dm1024_ds16_expand1_dc4_nk3_tvdt1_tvB0_tvC0_useD0_gating4proposed_0
LSST,MambaSingleLayer,36,1024,16,1,4,3,False,True,True,False,gating4proposed,0.3957826439578264,3309576,32.16,classification_CLS_LSST_MambaSingleLayer_UEA_ftM_sl36_ll0_pl0_dm1024_ds16_expand1_dc4_nk3_tvdt0_tvB1_tvC1_useD0_gating4proposed_0
LSST,MambaSingleLayer,36,1024,16,1,4,3,False,True,False,False,gating4proposed,0.38767234387672345,3309576,32.16,classification_CLS_LSST_MambaSingleLayer_UEA_ftM_sl36_ll0_pl0_dm1024_ds16_expand1_dc4_nk3_tvdt0_tvB1_tvC0_useD0_gating4proposed_0
LSST,MambaSingleLayer,36,1024,16,1,4,3,False,False,True,False,gating4proposed,0.4047039740470397,3309576,32.16,classification_CLS_LSST_MambaSingleLayer_UEA_ftM_sl36_ll0_pl0_dm1024_ds16_expand1_dc4_nk3_tvdt0_tvB0_tvC1_useD0_gating4proposed_0
LSST,MambaSingleLayer,36,1024,16,1,4,3,False,False,False,False,gating4proposed,0.37631792376317924,3309576,32.16,classification_CLS_LSST_MambaSingleLayer_UEA_ftM_sl36_ll0_pl0_dm1024_ds16_expand1_dc4_nk3_tvdt0_tvB0_tvC0_useD0_gating4proposed_0
LSST,MambaSingleLayer,36,1024,8,1,4,3,True,True,True,False,gating4proposed,0.41849148418491483,3350536,32.32,classification_CLS_LSST_MambaSingleLayer_UEA_ftM_sl36_ll0_pl0_dm1024_ds8_expand1_dc4_nk3_tvdt1_tvB1_tvC1_useD0_gating4proposed_0
LSST,MambaSingleLayer,36,1024,8,1,4,3,True,True,False,False,gating4proposed,0.42660178426601786,3350536,32.32,classification_CLS_LSST_MambaSingleLayer_UEA_ftM_sl36_ll0_pl0_dm1024_ds8_expand1_dc4_nk3_tvdt1_tvB1_tvC0_useD0_gating4proposed_0
LSST,MambaSingleLayer,36,1024,8,1,4,3,True,False,True,False,gating4proposed,0.4148418491484185,3350536,32.32,classification_CLS_LSST_MambaSingleLayer_UEA_ftM_sl36_ll0_pl0_dm1024_ds8_expand1_dc4_nk3_tvdt1_tvB0_tvC1_useD0_gating4proposed_0
LSST,MambaSingleLayer,36,1024,8,1,4,3,True,False,False,False,gating4proposed,0.4140308191403082,3350536,32.32,classification_CLS_LSST_MambaSingleLayer_UEA_ftM_sl36_ll0_pl0_dm1024_ds8_expand1_dc4_nk3_tvdt1_tvB0_tvC0_useD0_gating4proposed_0
LSST,MambaSingleLayer,36,1024,8,1,4,3,False,True,True,False,gating4proposed,0.4124087591240876,3285000,32.07,classification_CLS_LSST_MambaSingleLayer_UEA_ftM_sl36_ll0_pl0_dm1024_ds8_expand1_dc4_nk3_tvdt0_tvB1_tvC1_useD0_gating4proposed_0
LSST,MambaSingleLayer,36,1024,8,1,4,3,False,True,False,False,gating4proposed,0.41930251419302517,3285000,32.07,classification_CLS_LSST_MambaSingleLayer_UEA_ftM_sl36_ll0_pl0_dm1024_ds8_expand1_dc4_nk3_tvdt0_tvB1_tvC0_useD0_gating4proposed_0
LSST,MambaSingleLayer,36,1024,8,1,4,3,False,False,True,False,gating4proposed,0.40794809407948096,3285000,32.07,classification_CLS_LSST_MambaSingleLayer_UEA_ftM_sl36_ll0_pl0_dm1024_ds8_expand1_dc4_nk3_tvdt0_tvB0_tvC1_useD0_gating4proposed_0
LSST,MambaSingleLayer,36,1024,8,1,4,3,False,False,False,False,gating4proposed,0.41565287915652877,3285000,32.07,classification_CLS_LSST_MambaSingleLayer_UEA_ftM_sl36_ll0_pl0_dm1024_ds8_expand1_dc4_nk3_tvdt0_tvB0_tvC0_useD0_gating4proposed_0
LSST,MambaSingleLayer,36,1024,4,1,4,3,True,True,True,False,gating4proposed,0.4557988645579886,3338248,32.27,classification_CLS_LSST_MambaSingleLayer_UEA_ftM_sl36_ll0_pl0_dm1024_ds4_expand1_dc4_nk3_tvdt1_tvB1_tvC1_useD0_gating4proposed_0
LSST,MambaSingleLayer,36,1024,4,1,4,3,True,True,False,False,gating4proposed,0.41524736415247365,3338248,32.27,classification_CLS_LSST_MambaSingleLayer_UEA_ftM_sl36_ll0_pl0_dm1024_ds4_expand1_dc4_nk3_tvdt1_tvB1_tvC0_useD0_gating4proposed_0
LSST,MambaSingleLayer,36,1024,4,1,4,3,True,False,True,False,gating4proposed,0.39253852392538524,3338248,32.27,classification_CLS_LSST_MambaSingleLayer_UEA_ftM_sl36_ll0_pl0_dm1024_ds4_expand1_dc4_nk3_tvdt1_tvB0_tvC1_useD0_gating4proposed_0
LSST,MambaSingleLayer,36,1024,4,1,4,3,True,False,False,False,gating4proposed,0.43309002433090027,3338248,32.27,classification_CLS_LSST_MambaSingleLayer_UEA_ftM_sl36_ll0_pl0_dm1024_ds4_expand1_dc4_nk3_tvdt1_tvB0_tvC0_useD0_gating4proposed_0
LSST,MambaSingleLayer,36,1024,4,1,4,3,False,True,True,False,gating4proposed,0.38686131386861317,3272712,32.02,classification_CLS_LSST_MambaSingleLayer_UEA_ftM_sl36_ll0_pl0_dm1024_ds4_expand1_dc4_nk3_tvdt0_tvB1_tvC1_useD0_gating4proposed_0
LSST,MambaSingleLayer,36,1024,4,1,4,3,False,True,False,False,gating4proposed,0.4237631792376318,3272712,32.02,classification_CLS_LSST_MambaSingleLayer_UEA_ftM_sl36_ll0_pl0_dm1024_ds4_expand1_dc4_nk3_tvdt0_tvB1_tvC0_useD0_gating4proposed_0
LSST,MambaSingleLayer,36,1024,4,1,4,3,False,False,True,False,gating4proposed,0.41565287915652877,3272712,32.02,classification_CLS_LSST_MambaSingleLayer_UEA_ftM_sl36_ll0_pl0_dm1024_ds4_expand1_dc4_nk3_tvdt0_tvB0_tvC1_useD0_gating4proposed_0
LSST,MambaSingleLayer,36,1024,4,1,4,3,False,False,False,False,gating4proposed,0.42416869424168696,3272712,32.02,classification_CLS_LSST_MambaSingleLayer_UEA_ftM_sl36_ll0_pl0_dm1024_ds4_expand1_dc4_nk3_tvdt0_tvB0_tvC0_useD0_gating4proposed_0
LSST,MambaSingleLayer,36,1024,2,1,4,3,True,True,True,False,gating4proposed,0.44282238442822386,3332104,32.25,classification_CLS_LSST_MambaSingleLayer_UEA_ftM_sl36_ll0_pl0_dm1024_ds2_expand1_dc4_nk3_tvdt1_tvB1_tvC1_useD0_gating4proposed_0
