data_name,model,seq_len,d_model,d_state,expand,d_conv,num_kernel,tv_dt,tv_B,tv_C,use_D,exp,acc,model_params,model_size (MB),ckpt
NATOPS,MambaSingleLayer,51,1024,16,1,4,3,True,True,True,False,gating4proposed,0.9277777777777778,3422216,32.59,classification_CLS_NATOPS_MambaSingleLayer_UEA_ftM_sl51_ll0_pl0_dm1024_ds16_expand1_dc4_nk3_tvdt1_tvB1_tvC1_useD0_gating4proposed_0
NATOPS,MambaSingleLayer,51,1024,16,1,4,3,True,True,False,False,gating4proposed,0.9722222222222222,3422216,32.59,classification_CLS_NATOPS_MambaSingleLayer_UEA_ftM_sl51_ll0_pl0_dm1024_ds16_expand1_dc4_nk3_tvdt1_tvB1_tvC0_useD0_gating4proposed_0
NATOPS,MambaSingleLayer,51,1024,16,1,4,3,True,False,True,False,gating4proposed,0.9722222222222222,3422216,32.59,classification_CLS_NATOPS_MambaSingleLayer_UEA_ftM_sl51_ll0_pl0_dm1024_ds16_expand1_dc4_nk3_tvdt1_tvB0_tvC1_useD0_gating4proposed_0
NATOPS,MambaSingleLayer,51,1024,16,1,4,3,True,False,False,False,gating4proposed,0.95,3422216,32.59,classification_CLS_NATOPS_MambaSingleLayer_UEA_ftM_sl51_ll0_pl0_dm1024_ds16_expand1_dc4_nk3_tvdt1_tvB0_tvC0_useD0_gating4proposed_0
NATOPS,MambaSingleLayer,51,1024,16,1,4,3,False,True,True,False,gating4proposed,0.9611111111111111,3356680,32.34,classification_CLS_NATOPS_MambaSingleLayer_UEA_ftM_sl51_ll0_pl0_dm1024_ds16_expand1_dc4_nk3_tvdt0_tvB1_tvC1_useD0_gating4proposed_0
NATOPS,MambaSingleLayer,51,1024,16,1,4,3,False,True,False,False,gating4proposed,0.95,3356680,32.34,classification_CLS_NATOPS_MambaSingleLayer_UEA_ftM_sl51_ll0_pl0_dm1024_ds16_expand1_dc4_nk3_tvdt0_tvB1_tvC0_useD0_gating4proposed_0
NATOPS,MambaSingleLayer,51,1024,16,1,4,3,False,False,True,False,gating4proposed,0.9777777777777777,3356680,32.34,classification_CLS_NATOPS_MambaSingleLayer_UEA_ftM_sl51_ll0_pl0_dm1024_ds16_expand1_dc4_nk3_tvdt0_tvB0_tvC1_useD0_gating4proposed_0
NATOPS,MambaSingleLayer,51,1024,16,1,4,3,False,False,False,False,gating4proposed,0.9555555555555556,3356680,32.34,classification_CLS_NATOPS_MambaSingleLayer_UEA_ftM_sl51_ll0_pl0_dm1024_ds16_expand1_dc4_nk3_tvdt0_tvB0_tvC0_useD0_gating4proposed_0
NATOPS,MambaSingleLayer,51,1024,8,1,4,3,True,True,True,False,gating4proposed,0.95,3397640,32.5,classification_CLS_NATOPS_MambaSingleLayer_UEA_ftM_sl51_ll0_pl0_dm1024_ds8_expand1_dc4_nk3_tvdt1_tvB1_tvC1_useD0_gating4proposed_0
NATOPS,MambaSingleLayer,51,1024,8,1,4,3,True,True,False,False,gating4proposed,0.9555555555555556,3397640,32.5,classification_CLS_NATOPS_MambaSingleLayer_UEA_ftM_sl51_ll0_pl0_dm1024_ds8_expand1_dc4_nk3_tvdt1_tvB1_tvC0_useD0_gating4proposed_0
NATOPS,MambaSingleLayer,51,1024,8,1,4,3,True,False,True,False,gating4proposed,0.95,3397640,32.5,classification_CLS_NATOPS_MambaSingleLayer_UEA_ftM_sl51_ll0_pl0_dm1024_ds8_expand1_dc4_nk3_tvdt1_tvB0_tvC1_useD0_gating4proposed_0
NATOPS,MambaSingleLayer,51,1024,8,1,4,3,True,False,False,False,gating4proposed,0.9555555555555556,3397640,32.5,classification_CLS_NATOPS_MambaSingleLayer_UEA_ftM_sl51_ll0_pl0_dm1024_ds8_expand1_dc4_nk3_tvdt1_tvB0_tvC0_useD0_gating4proposed_0
NATOPS,MambaSingleLayer,51,1024,8,1,4,3,False,True,True,False,gating4proposed,0.9666666666666667,3332104,32.25,classification_CLS_NATOPS_MambaSingleLayer_UEA_ftM_sl51_ll0_pl0_dm1024_ds8_expand1_dc4_nk3_tvdt0_tvB1_tvC1_useD0_gating4proposed_0
NATOPS,MambaSingleLayer,51,1024,8,1,4,3,False,True,False,False,gating4proposed,0.9666666666666667,3332104,32.25,classification_CLS_NATOPS_MambaSingleLayer_UEA_ftM_sl51_ll0_pl0_dm1024_ds8_expand1_dc4_nk3_tvdt0_tvB1_tvC0_useD0_gating4proposed_0
NATOPS,MambaSingleLayer,51,1024,8,1,4,3,False,False,True,False,gating4proposed,0.9611111111111111,3332104,32.25,classification_CLS_NATOPS_MambaSingleLayer_UEA_ftM_sl51_ll0_pl0_dm1024_ds8_expand1_dc4_nk3_tvdt0_tvB0_tvC1_useD0_gating4proposed_0
NATOPS,MambaSingleLayer,51,1024,8,1,4,3,False,False,False,False,gating4proposed,0.9555555555555556,3332104,32.25,classification_CLS_NATOPS_MambaSingleLayer_UEA_ftM_sl51_ll0_pl0_dm1024_ds8_expand1_dc4_nk3_tvdt0_tvB0_tvC0_useD0_gating4proposed_0
NATOPS,MambaSingleLayer,51,1024,4,1,4,3,True,True,True,False,gating4proposed,0.9611111111111111,3385352,32.45,classification_CLS_NATOPS_MambaSingleLayer_UEA_ftM_sl51_ll0_pl0_dm1024_ds4_expand1_dc4_nk3_tvdt1_tvB1_tvC1_useD0_gating4proposed_0
NATOPS,MambaSingleLayer,51,1024,4,1,4,3,True,True,False,False,gating4proposed,0.9555555555555556,3385352,32.45,classification_CLS_NATOPS_MambaSingleLayer_UEA_ftM_sl51_ll0_pl0_dm1024_ds4_expand1_dc4_nk3_tvdt1_tvB1_tvC0_useD0_gating4proposed_0
NATOPS,MambaSingleLayer,51,1024,4,1,4,3,True,False,True,False,gating4proposed,0.9666666666666667,3385352,32.45,classification_CLS_NATOPS_MambaSingleLayer_UEA_ftM_sl51_ll0_pl0_dm1024_ds4_expand1_dc4_nk3_tvdt1_tvB0_tvC1_useD0_gating4proposed_0
NATOPS,MambaSingleLayer,51,1024,4,1,4,3,True,False,False,False,gating4proposed,0.9388888888888889,3385352,32.45,classification_CLS_NATOPS_MambaSingleLayer_UEA_ftM_sl51_ll0_pl0_dm1024_ds4_expand1_dc4_nk3_tvdt1_tvB0_tvC0_useD0_gating4proposed_0
