data_name,model,seq_len,d_model,d_state,expand,d_conv,num_kernel,tv_dt,tv_B,tv_C,use_D,exp,acc,model_params,model_size (MB),ckpt
UWaveGestureLibrary,MambaSingleLayer,315,1024,16,1,4,7,True,True,True,False,gating4proposed,0.9125,3372040,32.4,classification_CLS_UWaveGestureLibrary_MambaSingleLayer_UEA_ftM_sl315_ll0_pl0_dm1024_ds16_expand1_dc4_nk7_tvdt1_tvB1_tvC1_useD0_gating4proposed_0
UWaveGestureLibrary,MambaSingleLayer,315,1024,16,1,4,7,True,True,False,False,gating4proposed,0.9125,3372040,32.4,classification_CLS_UWaveGestureLibrary_MambaSingleLayer_UEA_ftM_sl315_ll0_pl0_dm1024_ds16_expand1_dc4_nk7_tvdt1_tvB1_tvC0_useD0_gating4proposed_0
UWaveGestureLibrary,MambaSingleLayer,315,1024,16,1,4,7,True,False,True,False,gating4proposed,0.90625,3372040,32.4,classification_CLS_UWaveGestureLibrary_MambaSingleLayer_UEA_ftM_sl315_ll0_pl0_dm1024_ds16_expand1_dc4_nk7_tvdt1_tvB0_tvC1_useD0_gating4proposed_0
UWaveGestureLibrary,MambaSingleLayer,315,1024,16,1,4,7,True,False,False,False,gating4proposed,0.925,3372040,32.4,classification_CLS_UWaveGestureLibrary_MambaSingleLayer_UEA_ftM_sl315_ll0_pl0_dm1024_ds16_expand1_dc4_nk7_tvdt1_tvB0_tvC0_useD0_gating4proposed_0
UWaveGestureLibrary,MambaSingleLayer,315,1024,16,1,4,7,False,True,True,False,gating4proposed,0.9125,3306504,32.15,classification_CLS_UWaveGestureLibrary_MambaSingleLayer_UEA_ftM_sl315_ll0_pl0_dm1024_ds16_expand1_dc4_nk7_tvdt0_tvB1_tvC1_useD0_gating4proposed_0
UWaveGestureLibrary,MambaSingleLayer,315,1024,16,1,4,7,False,True,False,False,gating4proposed,0.909375,3306504,32.15,classification_CLS_UWaveGestureLibrary_MambaSingleLayer_UEA_ftM_sl315_ll0_pl0_dm1024_ds16_expand1_dc4_nk7_tvdt0_tvB1_tvC0_useD0_gating4proposed_0
UWaveGestureLibrary,MambaSingleLayer,315,1024,16,1,4,7,False,False,True,False,gating4proposed,0.91875,3306504,32.15,classification_CLS_UWaveGestureLibrary_MambaSingleLayer_UEA_ftM_sl315_ll0_pl0_dm1024_ds16_expand1_dc4_nk7_tvdt0_tvB0_tvC1_useD0_gating4proposed_0
UWaveGestureLibrary,MambaSingleLayer,315,1024,16,1,4,7,False,False,False,False,gating4proposed,0.921875,3306504,32.15,classification_CLS_UWaveGestureLibrary_MambaSingleLayer_UEA_ftM_sl315_ll0_pl0_dm1024_ds16_expand1_dc4_nk7_tvdt0_tvB0_tvC0_useD0_gating4proposed_0
UWaveGestureLibrary,MambaSingleLayer,315,1024,8,1,4,7,True,True,True,False,gating4proposed,0.90625,3347464,32.31,classification_CLS_UWaveGestureLibrary_MambaSingleLayer_UEA_ftM_sl315_ll0_pl0_dm1024_ds8_expand1_dc4_nk7_tvdt1_tvB1_tvC1_useD0_gating4proposed_0
UWaveGestureLibrary,MambaSingleLayer,315,1024,8,1,4,7,True,True,False,False,gating4proposed,0.9,3347464,32.31,classification_CLS_UWaveGestureLibrary_MambaSingleLayer_UEA_ftM_sl315_ll0_pl0_dm1024_ds8_expand1_dc4_nk7_tvdt1_tvB1_tvC0_useD0_gating4proposed_0
UWaveGestureLibrary,MambaSingleLayer,315,1024,8,1,4,7,True,False,True,False,gating4proposed,0.928125,3347464,32.31,classification_CLS_UWaveGestureLibrary_MambaSingleLayer_UEA_ftM_sl315_ll0_pl0_dm1024_ds8_expand1_dc4_nk7_tvdt1_tvB0_tvC1_useD0_gating4proposed_0
UWaveGestureLibrary,MambaSingleLayer,315,1024,8,1,4,7,True,False,False,False,gating4proposed,0.921875,3347464,32.31,classification_CLS_UWaveGestureLibrary_MambaSingleLayer_UEA_ftM_sl315_ll0_pl0_dm1024_ds8_expand1_dc4_nk7_tvdt1_tvB0_tvC0_useD0_gating4proposed_0
UWaveGestureLibrary,MambaSingleLayer,315,1024,8,1,4,7,False,True,True,False,gating4proposed,0.909375,3281928,32.06,classification_CLS_UWaveGestureLibrary_MambaSingleLayer_UEA_ftM_sl315_ll0_pl0_dm1024_ds8_expand1_dc4_nk7_tvdt0_tvB1_tvC1_useD0_gating4proposed_0
UWaveGestureLibrary,MambaSingleLayer,315,1024,8,1,4,7,False,True,False,False,gating4proposed,0.903125,3281928,32.06,classification_CLS_UWaveGestureLibrary_MambaSingleLayer_UEA_ftM_sl315_ll0_pl0_dm1024_ds8_expand1_dc4_nk7_tvdt0_tvB1_tvC0_useD0_gating4proposed_0
UWaveGestureLibrary,MambaSingleLayer,315,1024,8,1,4,7,False,False,True,False,gating4proposed,0.925,3281928,32.06,classification_CLS_UWaveGestureLibrary_MambaSingleLayer_UEA_ftM_sl315_ll0_pl0_dm1024_ds8_expand1_dc4_nk7_tvdt0_tvB0_tvC1_useD0_gating4proposed_0
UWaveGestureLibrary,MambaSingleLayer,315,1024,8,1,4,7,False,False,False,False,gating4proposed,0.93125,3281928,32.06,classification_CLS_UWaveGestureLibrary_MambaSingleLayer_UEA_ftM_sl315_ll0_pl0_dm1024_ds8_expand1_dc4_nk7_tvdt0_tvB0_tvC0_useD0_gating4proposed_0
UWaveGestureLibrary,MambaSingleLayer,315,1024,4,1,4,7,True,True,True,False,gating4proposed,0.9125,3335176,32.26,classification_CLS_UWaveGestureLibrary_MambaSingleLayer_UEA_ftM_sl315_ll0_pl0_dm1024_ds4_expand1_dc4_nk7_tvdt1_tvB1_tvC1_useD0_gating4proposed_0
UWaveGestureLibrary,MambaSingleLayer,315,1024,4,1,4,7,True,True,False,False,gating4proposed,0.90625,3335176,32.26,classification_CLS_UWaveGestureLibrary_MambaSingleLayer_UEA_ftM_sl315_ll0_pl0_dm1024_ds4_expand1_dc4_nk7_tvdt1_tvB1_tvC0_useD0_gating4proposed_0
UWaveGestureLibrary,MambaSingleLayer,315,1024,4,1,4,7,True,False,True,False,gating4proposed,0.921875,3335176,32.26,classification_CLS_UWaveGestureLibrary_MambaSingleLayer_UEA_ftM_sl315_ll0_pl0_dm1024_ds4_expand1_dc4_nk7_tvdt1_tvB0_tvC1_useD0_gating4proposed_0
UWaveGestureLibrary,MambaSingleLayer,315,1024,4,1,4,7,True,False,False,False,gating4proposed,0.91875,3335176,32.26,classification_CLS_UWaveGestureLibrary_MambaSingleLayer_UEA_ftM_sl315_ll0_pl0_dm1024_ds4_expand1_dc4_nk7_tvdt1_tvB0_tvC0_useD0_gating4proposed_0
