data_name,model,seq_len,d_model,n_layers,large_kernel_size,small_kernel_size,ffn_ratio,patch_size,patch_stride,acc,model_params,model_size (MB)
AtrialFibrillation,ModernTCN,640,128,3,13,5,4,16,8,0.3333333333333333,402851,1.58
AtrialFibrillation,ModernTCN,640,128,3,13,5,4,32,16,0.3333333333333333,395683,1.55
AtrialFibrillation,ModernTCN,640,128,3,13,5,4,48,24,0.3333333333333333,393891,1.55
AtrialFibrillation,ModernTCN,640,128,3,13,5,4,64,32,0.6666666666666666,392867,1.54
AtrialFibrillation,ModernTCN,640,128,3,13,5,4,96,48,0.4,393123,1.54
AtrialFibrillation,ModernTCN,640,128,3,13,5,4,128,64,0.26666666666666666,393379,1.55
AtrialFibrillation,ModernTCN,640,128,3,13,5,4,160,80,0.3333333333333333,393635,1.55
AtrialFibrillation,ModernTCN,640,128,3,9,5,4,16,8,0.4,401059,1.58
AtrialFibrillation,ModernTCN,640,128,3,9,5,4,32,16,0.4,393891,1.55
AtrialFibrillation,ModernTCN,640,128,3,9,5,4,48,24,0.4666666666666667,392099,1.54
AtrialFibrillation,ModernTCN,640,128,3,9,5,4,64,32,0.26666666666666666,391075,1.54
AtrialFibrillation,ModernTCN,640,128,3,9,5,4,96,48,0.4,391331,1.54
AtrialFibrillation,ModernTCN,640,128,3,9,5,4,128,64,0.4666666666666667,391587,1.54
AtrialFibrillation,ModernTCN,640,128,3,9,5,4,160,80,0.4,391843,1.54
AtrialFibrillation,ModernTCN,640,256,2,13,5,4,16,8,0.3333333333333333,1478275,5.68
AtrialFibrillation,ModernTCN,640,256,2,13,5,4,32,16,0.26666666666666666,1449603,5.57
AtrialFibrillation,ModernTCN,640,256,2,13,5,4,48,24,0.5333333333333333,1440899,5.54
AtrialFibrillation,ModernTCN,640,256,2,13,5,4,64,32,0.4,1438339,5.53
AtrialFibrillation,ModernTCN,640,256,2,13,5,4,96,48,0.4666666666666667,1437827,5.53
AtrialFibrillation,ModernTCN,640,256,2,13,5,4,128,64,0.13333333333333333,1438851,5.53
AtrialFibrillation,ModernTCN,640,256,2,13,5,4,160,80,0.0,1441411,5.54
AtrialFibrillation,ModernTCN,640,128,2,13,5,4,16,8,0.6,395075,1.54
AtrialFibrillation,ModernTCN,640,128,2,13,5,4,32,16,0.4666666666666667,380739,1.49
AtrialFibrillation,ModernTCN,640,128,2,13,5,4,48,24,0.4666666666666667,376387,1.47
AtrialFibrillation,ModernTCN,640,128,2,13,5,4,64,32,0.06666666666666667,375107,1.46
AtrialFibrillation,ModernTCN,640,128,2,13,5,4,96,48,0.4666666666666667,374851,1.46
AtrialFibrillation,ModernTCN,640,128,2,13,5,4,128,64,0.26666666666666666,375363,1.46
AtrialFibrillation,ModernTCN,640,128,2,13,5,4,160,80,0.5333333333333333,376643,1.47
AtrialFibrillation,ModernTCN,640,64,2,13,5,4,16,8,0.5333333333333333,111523,0.45
AtrialFibrillation,ModernTCN,640,64,2,13,5,4,32,16,0.4,104355,0.43
AtrialFibrillation,ModernTCN,640,64,2,13,5,4,48,24,0.3333333333333333,102179,0.42
AtrialFibrillation,ModernTCN,640,64,2,13,5,4,64,32,0.4,101539,0.42
AtrialFibrillation,ModernTCN,640,64,2,13,5,4,96,48,0.26666666666666666,101411,0.42
AtrialFibrillation,ModernTCN,640,64,2,13,5,4,128,64,0.4,101667,0.42
AtrialFibrillation,ModernTCN,640,64,2,13,5,4,160,80,0.4666666666666667,102307,0.42
AtrialFibrillation,ModernTCN,640,256,2,9,5,4,16,8,0.3333333333333333,1475203,5.67
AtrialFibrillation,ModernTCN,640,256,2,9,5,4,32,16,0.13333333333333333,1446531,5.56
AtrialFibrillation,ModernTCN,640,256,2,9,5,4,48,24,0.26666666666666666,1437827,5.53
AtrialFibrillation,ModernTCN,640,256,2,9,5,4,64,32,0.3333333333333333,1435267,5.52
AtrialFibrillation,ModernTCN,640,256,2,9,5,4,96,48,0.3333333333333333,1434755,5.51
AtrialFibrillation,ModernTCN,640,256,2,9,5,4,128,64,0.3333333333333333,1435779,5.52
AtrialFibrillation,ModernTCN,640,256,2,9,5,4,160,80,0.4,1438339,5.53
AtrialFibrillation,ModernTCN,640,128,2,9,5,4,16,8,0.26666666666666666,393539,1.53
AtrialFibrillation,ModernTCN,640,128,2,9,5,4,32,16,0.3333333333333333,379203,1.48
AtrialFibrillation,ModernTCN,640,128,2,9,5,4,48,24,0.5333333333333333,374851,1.46
AtrialFibrillation,ModernTCN,640,128,2,9,5,4,64,32,0.2,373571,1.46
