data_name,model,seq_len,d_model,n_layers,large_kernel_size,small_kernel_size,ffn_ratio,patch_size,patch_stride,acc,model_params,model_size (MB)
Cricket,ModernTCN,1197,128,3,13,5,4,30,15,0.9583333333333334,1346412,5.2
Cricket,ModernTCN,1197,128,3,13,5,4,60,30,0.9444444444444444,1255212,4.85
Cricket,ModernTCN,1197,128,3,13,5,4,90,45,0.9583333333333334,1228524,4.75
Cricket,ModernTCN,1197,128,3,13,5,4,120,60,0.9444444444444444,1211052,4.68
Cricket,ModernTCN,1197,128,3,13,5,4,180,90,0.9722222222222222,1203756,4.65
Cricket,ModernTCN,1197,128,3,13,5,4,240,120,0.9305555555555556,1196460,4.62
Cricket,ModernTCN,1197,128,3,13,5,4,300,150,0.9444444444444444,1189164,4.6
Cricket,ModernTCN,1197,128,3,9,5,4,30,15,0.9583333333333334,1341036,5.17
Cricket,ModernTCN,1197,128,3,9,5,4,60,30,0.9583333333333334,1249836,4.83
Cricket,ModernTCN,1197,128,3,9,5,4,90,45,0.9444444444444444,1223148,4.72
Cricket,ModernTCN,1197,128,3,9,5,4,120,60,0.9305555555555556,1205676,4.66
Cricket,ModernTCN,1197,128,3,9,5,4,180,90,0.9583333333333334,1198380,4.63
Cricket,ModernTCN,1197,128,3,9,5,4,240,120,0.9305555555555556,1191084,4.6
Cricket,ModernTCN,1197,128,3,9,5,4,300,150,0.9027777777777778,1183788,4.57
Cricket,ModernTCN,1197,256,2,13,5,4,30,15,0.9444444444444444,4924812,18.85
Cricket,ModernTCN,1197,256,2,13,5,4,60,30,0.9444444444444444,4560012,17.46
Cricket,ModernTCN,1197,256,2,13,5,4,90,45,0.9305555555555556,4434828,16.98
Cricket,ModernTCN,1197,256,2,13,5,4,120,60,0.9305555555555556,4383372,16.79
Cricket,ModernTCN,1197,256,2,13,5,4,180,90,0.9722222222222222,4335756,16.6
Cricket,ModernTCN,1197,256,2,13,5,4,240,120,0.9305555555555556,4306572,16.49
