data_name,model,seq_len,d_model,n_layers,large_kernel_size,small_kernel_size,ffn_ratio,patch_size,patch_stride,acc,model_params,model_size (MB)
DuckDuckGeese,ModernTCN,270,64,2,13,5,4,7,4,0.52,1463192581,5583.63
DuckDuckGeese,ModernTCN,270,64,2,13,5,4,14,7,0.54,1456736805,5559.01
DuckDuckGeese,ModernTCN,270,64,2,13,5,4,21,11,0.52,1453724229,5547.51
DuckDuckGeese,ModernTCN,270,64,2,13,5,4,27,14,0.54,1452863621,5544.23
DuckDuckGeese,ModernTCN,270,64,2,13,5,4,41,21,0.56,1451142469,5537.67
DuckDuckGeese,ModernTCN,270,64,2,13,5,4,54,27,0.58,1450712485,5536.02
DuckDuckGeese,ModernTCN,270,64,2,13,5,4,68,34,0.52,1450282533,5534.38
DuckDuckGeese,ModernTCN,270,64,2,9,5,4,7,4,0.5,1462676101,5581.66
DuckDuckGeese,ModernTCN,270,64,2,9,5,4,14,7,0.56,1456220325,5557.04
DuckDuckGeese,ModernTCN,270,64,2,9,5,4,21,11,0.46,1453207749,5545.54
DuckDuckGeese,ModernTCN,270,64,2,9,5,4,27,14,0.6,1452347141,5542.26
DuckDuckGeese,ModernTCN,270,64,2,9,5,4,41,21,0.54,1450625989,5535.7
DuckDuckGeese,ModernTCN,270,64,2,9,5,4,54,27,0.56,1450196005,5534.05
DuckDuckGeese,ModernTCN,270,64,2,9,5,4,68,34,0.6,1449766053,5532.41
DuckDuckGeese,ModernTCN,270,128,1,13,5,4,21,11,0.54,2054905093,7841.48
DuckDuckGeese,ModernTCN,270,128,1,13,5,4,27,14,0.48,2050601861,7825.07
DuckDuckGeese,ModernTCN,270,128,1,13,5,4,41,21,0.5,2044578053,7802.09
DuckDuckGeese,ModernTCN,270,128,1,13,5,4,54,27,0.48,2042858117,7795.53
DuckDuckGeese,ModernTCN,270,128,1,13,5,4,68,34,0.54,2040277509,7785.68
DuckDuckGeese,ModernTCN,270,64,1,13,5,4,7,4,0.52,1001885893,3823.22
