data_name,model,seq_len,d_model,n_layers,large_kernel_size,small_kernel_size,ffn_ratio,patch_size,patch_stride,acc,model_params,model_size (MB)
EigenWorms,ModernTCN,17984,128,3,13,5,4,450,225,0.5190839694656488,1252325,4.84
EigenWorms,ModernTCN,17984,128,3,13,5,4,900,450,0.5648854961832062,1228325,4.74
EigenWorms,ModernTCN,17984,128,3,13,5,4,1349,675,0.5801526717557252,1231173,4.76
EigenWorms,ModernTCN,17984,128,3,13,5,4,1799,900,0.6030534351145038,1237893,4.78
EigenWorms,ModernTCN,17984,128,3,13,5,4,2698,1349,0.5267175572519084,1262821,4.88
EigenWorms,ModernTCN,17984,128,3,13,5,4,3597,1799,0.5419847328244275,1287749,4.97
EigenWorms,ModernTCN,17984,128,3,13,5,4,4496,2248,0.5038167938931297,1312677,5.07
EigenWorms,ModernTCN,17984,128,3,9,5,4,450,225,0.549618320610687,1246949,4.82
EigenWorms,ModernTCN,17984,128,3,9,5,4,900,450,0.5725190839694656,1222949,4.72
EigenWorms,ModernTCN,17984,128,3,9,5,4,1349,675,0.5648854961832062,1225797,4.73
EigenWorms,ModernTCN,17984,128,3,9,5,4,1799,900,0.5648854961832062,1232517,4.76
EigenWorms,ModernTCN,17984,128,3,9,5,4,2698,1349,0.5038167938931297,1257445,4.86
EigenWorms,ModernTCN,17984,128,3,9,5,4,3597,1799,0.549618320610687,1282373,4.95
EigenWorms,ModernTCN,17984,128,3,9,5,4,4496,2248,0.48091603053435117,1307301,5.05
EigenWorms,ModernTCN,17984,256,2,13,5,4,450,225,0.5725190839694656,4548485,17.42
EigenWorms,ModernTCN,17984,256,2,13,5,4,900,450,0.5877862595419847,4452485,17.05
EigenWorms,ModernTCN,17984,256,2,13,5,4,1349,675,0.5877862595419847,4456197,17.06
EigenWorms,ModernTCN,17984,256,2,13,5,4,1799,900,0.5801526717557252,4490757,17.2
EigenWorms,ModernTCN,17984,256,2,13,5,4,2698,1349,0.5343511450381679,4582789,17.55
EigenWorms,ModernTCN,17984,256,2,13,5,4,3597,1799,0.5954198473282443,4682501,17.93
EigenWorms,ModernTCN,17984,256,2,13,5,4,4496,2248,0.5114503816793893,4789893,18.34
EigenWorms,ModernTCN,17984,128,2,13,5,4,450,225,0.5419847328244275,1274821,4.91
EigenWorms,ModernTCN,17984,128,2,13,5,4,900,450,0.549618320610687,1226821,4.72
EigenWorms,ModernTCN,17984,128,2,13,5,4,1349,675,0.5648854961832062,1228677,4.73
EigenWorms,ModernTCN,17984,128,2,13,5,4,1799,900,0.6106870229007634,1245957,4.8
EigenWorms,ModernTCN,17984,128,2,13,5,4,2698,1349,0.5343511450381679,1291973,4.97
EigenWorms,ModernTCN,17984,128,2,13,5,4,3597,1799,0.5419847328244275,1341829,5.16
EigenWorms,ModernTCN,17984,128,2,13,5,4,4496,2248,0.4732824427480916,1395525,5.37
EigenWorms,ModernTCN,17984,64,2,13,5,4,450,225,0.5419847328244275,387557,1.51
