data_name,model,seq_len,d_model,n_layers,large_kernel_size,small_kernel_size,ffn_ratio,patch_size,patch_stride,acc,model_params,model_size (MB)
Epilepsy,ModernTCN,206,128,3,13,5,4,6,3,0.9420289855072463,601444,2.34
Epilepsy,ModernTCN,206,128,3,13,5,4,11,6,0.9420289855072463,589316,2.3
Epilepsy,ModernTCN,206,128,3,13,5,4,16,8,0.9347826086956522,586404,2.29
Epilepsy,ModernTCN,206,128,3,13,5,4,21,11,0.8985507246376812,583492,2.27
Epilepsy,ModernTCN,206,128,3,13,5,4,31,16,0.855072463768116,580740,2.26
Epilepsy,ModernTCN,206,128,3,13,5,4,42,21,0.8913043478260869,581092,2.27
Epilepsy,ModernTCN,206,128,3,13,5,4,52,26,0.8043478260869565,579876,2.26
Epilepsy,ModernTCN,206,128,3,9,5,4,6,3,0.9492753623188406,598756,2.33
Epilepsy,ModernTCN,206,128,3,9,5,4,11,6,0.9565217391304348,586628,2.29
Epilepsy,ModernTCN,206,128,3,9,5,4,16,8,0.9202898550724637,583716,2.28
Epilepsy,ModernTCN,206,128,3,9,5,4,21,11,0.8913043478260869,580804,2.26
Epilepsy,ModernTCN,206,128,3,9,5,4,31,16,0.8840579710144928,578052,2.25
Epilepsy,ModernTCN,206,128,3,9,5,4,42,21,0.8913043478260869,578404,2.26
Epilepsy,ModernTCN,206,128,3,9,5,4,52,26,0.8333333333333334,577188,2.25
Epilepsy,ModernTCN,206,256,2,13,5,4,6,3,0.9420289855072463,2203012,8.45
Epilepsy,ModernTCN,206,256,2,13,5,4,11,6,0.9347826086956522,2151428,8.25
Epilepsy,ModernTCN,206,256,2,13,5,4,16,8,0.9130434782608695,2139780,8.21
Epilepsy,ModernTCN,206,256,2,13,5,4,21,11,0.9202898550724637,2128132,8.17
Epilepsy,ModernTCN,206,256,2,13,5,4,31,16,0.8985507246376812,2120196,8.13
Epilepsy,ModernTCN,206,256,2,13,5,4,42,21,0.8840579710144928,2118532,8.13
Epilepsy,ModernTCN,206,256,2,13,5,4,52,26,0.8478260869565217,2116740,8.12
Epilepsy,ModernTCN,206,128,2,13,5,4,6,3,0.9347826086956522,593604,2.3
Epilepsy,ModernTCN,206,128,2,13,5,4,11,6,0.9347826086956522,567812,2.2
Epilepsy,ModernTCN,206,128,2,13,5,4,16,8,0.927536231884058,561988,2.18
Epilepsy,ModernTCN,206,128,2,13,5,4,21,11,0.9347826086956522,556164,2.16
Epilepsy,ModernTCN,206,128,2,13,5,4,31,16,0.9130434782608695,552196,2.14
