data_name,model,seq_len,d_model,n_layers,large_kernel_size,small_kernel_size,ffn_ratio,patch_size,patch_stride,acc,model_params,model_size (MB)
EthanolConcentration,ModernTCN,1751,128,3,13,5,4,44,22,0.3041825095057034,607268,2.37
EthanolConcentration,ModernTCN,1751,128,3,13,5,4,88,44,0.2965779467680608,593316,2.31
EthanolConcentration,ModernTCN,1751,128,3,13,5,4,132,66,0.28517110266159695,590116,2.3
EthanolConcentration,ModernTCN,1751,128,3,13,5,4,176,88,0.28517110266159695,588452,2.29
EthanolConcentration,ModernTCN,1751,128,3,13,5,4,263,132,0.2737642585551331,589700,2.3
EthanolConcentration,ModernTCN,1751,128,3,13,5,4,351,176,0.27756653992395436,590980,2.3
EthanolConcentration,ModernTCN,1751,128,3,13,5,4,438,219,0.27756653992395436,592228,2.31
EthanolConcentration,ModernTCN,1751,128,3,9,5,4,44,22,0.3041825095057034,604580,2.35
EthanolConcentration,ModernTCN,1751,128,3,9,5,4,88,44,0.2889733840304182,590628,2.3
EthanolConcentration,ModernTCN,1751,128,3,9,5,4,132,66,0.30798479087452474,587428,2.29
EthanolConcentration,ModernTCN,1751,128,3,9,5,4,176,88,0.26996197718631176,585764,2.28
EthanolConcentration,ModernTCN,1751,128,3,9,5,4,263,132,0.28517110266159695,587012,2.29
EthanolConcentration,ModernTCN,1751,128,3,9,5,4,351,176,0.2661596958174905,588292,2.29
EthanolConcentration,ModernTCN,1751,128,3,9,5,4,438,219,0.2661596958174905,589540,2.3
EthanolConcentration,ModernTCN,1751,256,2,13,5,4,44,22,0.28517110266159695,2226308,8.54
EthanolConcentration,ModernTCN,1751,256,2,13,5,4,88,44,0.26996197718631176,2170500,8.33
EthanolConcentration,ModernTCN,1751,256,2,13,5,4,132,66,0.28517110266159695,2154628,8.27
EthanolConcentration,ModernTCN,1751,256,2,13,5,4,176,88,0.2585551330798479,2151044,8.25
EthanolConcentration,ModernTCN,1751,256,2,13,5,4,263,132,0.2737642585551331,2152964,8.26
EthanolConcentration,ModernTCN,1751,256,2,13,5,4,351,176,0.28517110266159695,2158084,8.28
EthanolConcentration,ModernTCN,1751,256,2,13,5,4,438,219,0.2737642585551331,2166148,8.31
EthanolConcentration,ModernTCN,1751,128,2,13,5,4,44,22,0.3041825095057034,605252,2.34
EthanolConcentration,ModernTCN,1751,128,2,13,5,4,88,44,0.29277566539923955,577348,2.24
EthanolConcentration,ModernTCN,1751,128,2,13,5,4,132,66,0.2889733840304182,569412,2.21
EthanolConcentration,ModernTCN,1751,128,2,13,5,4,176,88,0.3193916349809886,567620,2.2
EthanolConcentration,ModernTCN,1751,128,2,13,5,4,263,132,0.2813688212927757,568580,2.2
EthanolConcentration,ModernTCN,1751,128,2,13,5,4,351,176,0.2813688212927757,571140,2.21
EthanolConcentration,ModernTCN,1751,128,2,13,5,4,438,219,0.2737642585551331,575172,2.23
EthanolConcentration,ModernTCN,1751,64,2,13,5,4,44,22,0.3041825095057034,175652,0.7
EthanolConcentration,ModernTCN,1751,64,2,13,5,4,88,44,0.29277566539923955,161700,0.65
EthanolConcentration,ModernTCN,1751,64,2,13,5,4,132,66,0.2737642585551331,157732,0.63
EthanolConcentration,ModernTCN,1751,64,2,13,5,4,176,88,0.30038022813688214,156836,0.63
EthanolConcentration,ModernTCN,1751,64,2,13,5,4,263,132,0.26996197718631176,157316,0.63
EthanolConcentration,ModernTCN,1751,64,2,13,5,4,351,176,0.2813688212927757,158596,0.63
EthanolConcentration,ModernTCN,1751,64,2,13,5,4,438,219,0.2889733840304182,160612,0.64
EthanolConcentration,ModernTCN,1751,256,2,9,5,4,44,22,0.27756653992395436,2221700,8.52
EthanolConcentration,ModernTCN,1751,256,2,9,5,4,88,44,0.2737642585551331,2165892,8.31
EthanolConcentration,ModernTCN,1751,256,2,9,5,4,132,66,0.2737642585551331,2150020,8.25
EthanolConcentration,ModernTCN,1751,256,2,9,5,4,176,88,0.28517110266159695,2146436,8.23
EthanolConcentration,ModernTCN,1751,256,2,9,5,4,263,132,0.27756653992395436,2148356,8.24
EthanolConcentration,ModernTCN,1751,256,2,9,5,4,351,176,0.28517110266159695,2153476,8.26
EthanolConcentration,ModernTCN,1751,256,2,9,5,4,438,219,0.28517110266159695,2161540,8.29
EthanolConcentration,ModernTCN,1751,128,2,9,5,4,44,22,0.30038022813688214,602948,2.34
EthanolConcentration,ModernTCN,1751,128,2,9,5,4,88,44,0.28517110266159695,575044,2.23
EthanolConcentration,ModernTCN,1751,128,2,9,5,4,132,66,0.2737642585551331,567108,2.2
EthanolConcentration,ModernTCN,1751,128,2,9,5,4,176,88,0.30038022813688214,565316,2.19
EthanolConcentration,ModernTCN,1751,128,2,9,5,4,263,132,0.28517110266159695,566276,2.2
EthanolConcentration,ModernTCN,1751,128,2,9,5,4,351,176,0.29277566539923955,568836,2.21
EthanolConcentration,ModernTCN,1751,128,2,9,5,4,438,219,0.2737642585551331,572868,2.22
EthanolConcentration,ModernTCN,1751,64,2,9,5,4,44,22,0.3155893536121673,174500,0.7
EthanolConcentration,ModernTCN,1751,64,2,9,5,4,88,44,0.2737642585551331,160548,0.64
EthanolConcentration,ModernTCN,1751,64,2,9,5,4,132,66,0.3155893536121673,156580,0.63
EthanolConcentration,ModernTCN,1751,64,2,9,5,4,176,88,0.27756653992395436,155684,0.62
EthanolConcentration,ModernTCN,1751,64,2,9,5,4,263,132,0.30038022813688214,156164,0.63
EthanolConcentration,ModernTCN,1751,64,2,9,5,4,351,176,0.311787072243346,157444,0.63
EthanolConcentration,ModernTCN,1751,64,2,9,5,4,438,219,0.311787072243346,159460,0.64
EthanolConcentration,ModernTCN,1751,256,1,13,5,4,44,22,0.28517110266159695,1871108,7.17
EthanolConcentration,ModernTCN,1751,256,1,13,5,4,88,44,0.2813688212927757,1759492,6.74
EthanolConcentration,ModernTCN,1751,256,1,13,5,4,132,66,0.2737642585551331,1730820,6.63
EthanolConcentration,ModernTCN,1751,256,1,13,5,4,176,88,0.27756653992395436,1720580,6.59
EthanolConcentration,ModernTCN,1751,256,1,13,5,4,263,132,0.2813688212927757,1724420,6.61
EthanolConcentration,ModernTCN,1751,256,1,13,5,4,351,176,0.25475285171102663,1734660,6.65
EthanolConcentration,ModernTCN,1751,256,1,13,5,4,438,219,0.28517110266159695,1750788,6.71
EthanolConcentration,ModernTCN,1751,128,1,13,5,4,44,22,0.27756653992395436,542340,2.09
EthanolConcentration,ModernTCN,1751,128,1,13,5,4,88,44,0.2889733840304182,486532,1.88
EthanolConcentration,ModernTCN,1751,128,1,13,5,4,132,66,0.26996197718631176,472196,1.82
EthanolConcentration,ModernTCN,1751,128,1,13,5,4,176,88,0.27756653992395436,467076,1.8
