data_name,model,seq_len,d_model,n_layers,large_kernel_size,small_kernel_size,ffn_ratio,patch_size,patch_stride,acc,model_params,model_size (MB)
FaceDetection,ModernTCN,62,128,3,13,5,4,2,1,0.6441543700340522,63575010,243.05
FaceDetection,ModernTCN,62,128,3,13,5,4,4,2,0.6356413166855845,63280162,241.93
FaceDetection,ModernTCN,62,128,3,13,5,4,5,3,0.6580590238365494,63169602,241.5
FaceDetection,ModernTCN,62,128,3,13,5,4,7,4,0.6472758229284904,63132802,241.36
FaceDetection,ModernTCN,62,128,3,13,5,4,10,5,0.6455732122587968,63096034,241.22
FaceDetection,ModernTCN,62,128,3,13,5,4,13,7,0.6489784335981839,63059266,241.08
FaceDetection,ModernTCN,62,128,3,13,5,4,16,8,0.6501135073779796,63059362,241.08
FaceDetection,ModernTCN,62,128,3,9,5,4,2,1,0.6506810442678774,63445986,242.56
FaceDetection,ModernTCN,62,128,3,9,5,4,4,2,0.6478433598183881,63151138,241.43
FaceDetection,ModernTCN,62,128,3,9,5,4,5,3,0.6461407491486947,63040578,241.01
FaceDetection,ModernTCN,62,128,3,9,5,4,7,4,0.6444381384790011,63003778,240.87
FaceDetection,ModernTCN,62,128,3,9,5,4,10,5,0.6580590238365494,62967010,240.73
FaceDetection,ModernTCN,62,128,3,9,5,4,13,7,0.6532349602724177,62930242,240.59
FaceDetection,ModernTCN,62,128,3,9,5,4,16,8,0.6512485811577753,62930338,240.59
FaceDetection,ModernTCN,62,256,2,13,5,4,2,1,0.656072644721907,162195330,619.6
FaceDetection,ModernTCN,62,256,2,13,5,4,4,2,0.6418842224744609,161089666,615.38
FaceDetection,ModernTCN,62,256,2,13,5,4,5,3,0.6438706015891033,160647426,613.69
FaceDetection,ModernTCN,62,256,2,13,5,4,7,4,0.6515323496027242,160500226,613.13
FaceDetection,ModernTCN,62,256,2,13,5,4,10,5,0.6433030646992054,160353154,612.57
FaceDetection,ModernTCN,62,256,2,13,5,4,13,7,0.6421679909194098,160206082,612.01
FaceDetection,ModernTCN,62,256,2,13,5,4,16,8,0.6478433598183881,160206466,612.01
FaceDetection,ModernTCN,62,128,2,13,5,4,2,1,0.6586265607264472,57488322,219.75
FaceDetection,ModernTCN,62,128,2,13,5,4,4,2,0.6498297389330306,56935490,217.64
FaceDetection,ModernTCN,62,128,2,13,5,4,5,3,0.641316685584563,56714370,216.8
FaceDetection,ModernTCN,62,128,2,13,5,4,7,4,0.6492622020431328,56640770,216.52
FaceDetection,ModernTCN,62,128,2,13,5,4,10,5,0.6410329171396141,56567234,216.24
FaceDetection,ModernTCN,62,128,2,13,5,4,13,7,0.6509648127128264,56493698,215.96
FaceDetection,ModernTCN,62,128,2,13,5,4,16,8,0.6520998864926221,56493890,215.96
FaceDetection,ModernTCN,62,64,2,13,5,4,2,1,0.6427355278093076,22841826,87.37
FaceDetection,ModernTCN,62,64,2,13,5,4,4,2,0.6435868331441543,22565410,86.32
FaceDetection,ModernTCN,62,64,2,13,5,4,5,3,0.6472758229284904,22454850,85.89
FaceDetection,ModernTCN,62,64,2,13,5,4,7,4,0.6467082860385925,22418050,85.75
FaceDetection,ModernTCN,62,64,2,13,5,4,10,5,0.6498297389330306,22381282,85.61
FaceDetection,ModernTCN,62,64,2,13,5,4,13,7,0.6526674233825198,22344514,85.47
FaceDetection,ModernTCN,62,64,2,13,5,4,16,8,0.6543700340522134,22344610,85.47
FaceDetection,ModernTCN,62,256,2,9,5,4,2,1,0.6515323496027242,161974146,618.76
FaceDetection,ModernTCN,62,256,2,9,5,4,4,2,0.6424517593643587,160868482,614.54
FaceDetection,ModernTCN,62,256,2,9,5,4,5,3,0.6421679909194098,160426242,612.85
FaceDetection,ModernTCN,62,256,2,9,5,4,7,4,0.6489784335981839,160279042,612.29
FaceDetection,ModernTCN,62,256,2,9,5,4,10,5,0.6390465380249716,160131970,611.73
FaceDetection,ModernTCN,62,256,2,9,5,4,13,7,0.6364926220204313,159984898,611.17
FaceDetection,ModernTCN,62,256,2,9,5,4,16,8,0.641316685584563,159985282,611.17
FaceDetection,ModernTCN,62,128,2,9,5,4,2,1,0.6441543700340522,57377730,219.33
FaceDetection,ModernTCN,62,128,2,9,5,4,4,2,0.6589103291713961,56824898,217.22
FaceDetection,ModernTCN,62,128,2,9,5,4,5,3,0.6356413166855845,56603778,216.38
FaceDetection,ModernTCN,62,128,2,9,5,4,7,4,0.6461407491486947,56530178,216.09
FaceDetection,ModernTCN,62,128,2,9,5,4,10,5,0.637911464245176,56456642,215.81
FaceDetection,ModernTCN,62,128,2,9,5,4,13,7,0.6347900113507378,56383106,215.53
FaceDetection,ModernTCN,62,128,2,9,5,4,16,8,0.6489784335981839,56383298,215.53
FaceDetection,ModernTCN,62,64,2,9,5,4,2,1,0.6461407491486947,22786530,87.16
FaceDetection,ModernTCN,62,64,2,9,5,4,4,2,0.6492622020431328,22510114,86.11
FaceDetection,ModernTCN,62,64,2,9,5,4,5,3,0.6555051078320091,22399554,85.68
FaceDetection,ModernTCN,62,64,2,9,5,4,7,4,0.6464245175936436,22362754,85.54
FaceDetection,ModernTCN,62,64,2,9,5,4,10,5,0.6461407491486947,22325986,85.4
FaceDetection,ModernTCN,62,64,2,9,5,4,13,7,0.6390465380249716,22289218,85.26
FaceDetection,ModernTCN,62,64,2,9,5,4,16,8,0.6464245175936436,22289314,85.26
FaceDetection,ModernTCN,62,256,1,13,5,4,2,1,0.6308172531214529,123717378,472.52
FaceDetection,ModernTCN,62,256,1,13,5,4,4,2,0.6467082860385925,121432322,463.81
FaceDetection,ModernTCN,62,256,1,13,5,4,5,3,0.6464245175936436,120621570,460.71
FaceDetection,ModernTCN,62,256,1,13,5,4,7,4,0.6398978433598184,120253442,459.31
FaceDetection,ModernTCN,62,256,1,13,5,4,10,5,0.6481271282633371,120033026,458.47
FaceDetection,ModernTCN,62,256,1,13,5,4,13,7,0.6552213393870602,119738882,457.35
FaceDetection,ModernTCN,62,256,1,13,5,4,16,8,0.6532349602724177,119665922,457.07
FaceDetection,ModernTCN,62,128,1,13,5,4,2,1,0.6467082860385925,42984322,164.27
FaceDetection,ModernTCN,62,128,1,13,5,4,4,2,0.6461407491486947,41841794,159.91
FaceDetection,ModernTCN,62,128,1,13,5,4,5,3,0.6416004540295119,41436418,158.36
FaceDetection,ModernTCN,62,128,1,13,5,4,7,4,0.6501135073779796,41252354,157.66
FaceDetection,ModernTCN,62,128,1,13,5,4,10,5,0.6461407491486947,41142146,157.24
FaceDetection,ModernTCN,62,128,1,13,5,4,13,7,0.6342224744608399,40995074,156.68
FaceDetection,ModernTCN,62,128,1,13,5,4,16,8,0.6481271282633371,40958594,156.54
FaceDetection,ModernTCN,62,64,1,13,5,4,2,1,0.6336549375709422,16773570,64.14
FaceDetection,ModernTCN,62,64,1,13,5,4,4,2,0.641316685584563,16202306,61.96
FaceDetection,ModernTCN,62,64,1,13,5,4,5,3,0.645005675368899,15999618,61.19
FaceDetection,ModernTCN,62,64,1,13,5,4,7,4,0.64472190692395,15907586,60.84
FaceDetection,ModernTCN,62,64,1,13,5,4,10,5,0.6401816118047673,15852482,60.63
FaceDetection,ModernTCN,62,64,1,13,5,4,13,7,0.637627695800227,15778946,60.35
FaceDetection,ModernTCN,62,64,1,13,5,4,16,8,0.6475595913734393,15760706,60.28
FaceDetection,ModernTCN,62,32,1,13,5,4,2,1,0.6495459704880817,7207138,27.58
FaceDetection,ModernTCN,62,32,1,13,5,4,4,2,0.6441543700340522,6921506,26.49
FaceDetection,ModernTCN,62,32,1,13,5,4,5,3,0.6393303064699205,6820162,26.1
FaceDetection,ModernTCN,62,32,1,13,5,4,7,4,0.6433030646992054,6774146,25.93
FaceDetection,ModernTCN,62,32,1,13,5,4,10,5,0.6520998864926221,6746594,25.82
FaceDetection,ModernTCN,62,32,1,13,5,4,13,7,0.64472190692395,6709826,25.68
FaceDetection,ModernTCN,62,32,1,13,5,4,16,8,0.645005675368899,6700706,25.64
FaceDetection,ModernTCN,62,128,3,13,5,2,2,1,0.6472758229284904,32480226,124.43
FaceDetection,ModernTCN,62,128,3,13,5,2,4,2,0.6404653802497162,32185378,123.31
FaceDetection,ModernTCN,62,128,3,13,5,2,5,3,0.6467082860385925,32074818,122.89
FaceDetection,ModernTCN,62,128,3,13,5,2,7,4,0.6433030646992054,32038018,122.75
FaceDetection,ModernTCN,62,128,3,13,5,2,10,5,0.6538024971623155,32001250,122.61
FaceDetection,ModernTCN,62,128,3,13,5,2,13,7,0.6591940976163451,31964482,122.47
FaceDetection,ModernTCN,62,128,3,13,5,2,16,8,0.656072644721907,31964578,122.47
FaceDetection,ModernTCN,62,128,3,9,5,2,2,1,0.637911464245176,32351202,123.94
FaceDetection,ModernTCN,62,128,3,9,5,2,4,2,0.6427355278093076,32056354,122.82
FaceDetection,ModernTCN,62,128,3,9,5,2,5,3,0.6543700340522134,31945794,122.39
FaceDetection,ModernTCN,62,128,3,9,5,2,7,4,0.6495459704880817,31908994,122.25
FaceDetection,ModernTCN,62,128,3,9,5,2,10,5,0.6569239500567536,31872226,122.11
