data_name,model,seq_len,d_model,n_layers,large_kernel_size,small_kernel_size,ffn_ratio,patch_size,patch_stride,acc,model_params,model_size (MB)
HandMovementDirection,ModernTCN,400,128,3,13,5,4,10,5,0.5405405405405406,2095332,8.07
HandMovementDirection,ModernTCN,400,128,3,13,5,4,20,10,0.5540540540540541,2044452,7.87
HandMovementDirection,ModernTCN,400,128,3,13,5,4,30,15,0.5675675675675675,2029412,7.81
HandMovementDirection,ModernTCN,400,128,3,13,5,4,40,20,0.5135135135135135,2019492,7.78
HandMovementDirection,ModernTCN,400,128,3,13,5,4,60,30,0.5540540540540541,2015012,7.76
HandMovementDirection,ModernTCN,400,128,3,13,5,4,80,40,0.581081081081081,2010532,7.74
HandMovementDirection,ModernTCN,400,128,3,13,5,4,100,50,0.527027027027027,2006052,7.73
HandMovementDirection,ModernTCN,400,128,3,9,5,4,10,5,0.5540540540540541,2086372,8.03
HandMovementDirection,ModernTCN,400,128,3,9,5,4,20,10,0.527027027027027,2035492,7.84
HandMovementDirection,ModernTCN,400,128,3,9,5,4,30,15,0.5675675675675675,2020452,7.78
HandMovementDirection,ModernTCN,400,128,3,9,5,4,40,20,0.527027027027027,2010532,7.74
HandMovementDirection,ModernTCN,400,128,3,9,5,4,60,30,0.5675675675675675,2006052,7.73
HandMovementDirection,ModernTCN,400,128,3,9,5,4,80,40,0.527027027027027,2001572,7.71
HandMovementDirection,ModernTCN,400,128,3,9,5,4,100,50,0.5135135135135135,1997092,7.69
HandMovementDirection,ModernTCN,400,256,2,13,5,4,10,5,0.5405405405405406,7461764,28.55
HandMovementDirection,ModernTCN,400,256,2,13,5,4,20,10,0.5945945945945946,7258244,27.78
HandMovementDirection,ModernTCN,400,256,2,13,5,4,30,15,0.581081081081081,7187844,27.51
HandMovementDirection,ModernTCN,400,256,2,13,5,4,40,20,0.5675675675675675,7158404,27.39
HandMovementDirection,ModernTCN,400,256,2,13,5,4,60,30,0.581081081081081,7130244,27.29
HandMovementDirection,ModernTCN,400,256,2,13,5,4,80,40,0.581081081081081,7112324,27.22
HandMovementDirection,ModernTCN,400,256,2,13,5,4,100,50,0.5540540540540541,7104644,27.19
HandMovementDirection,ModernTCN,400,128,2,13,5,4,10,5,0.581081081081081,2076100,7.98
HandMovementDirection,ModernTCN,400,128,2,13,5,4,20,10,0.581081081081081,1974340,7.59
HandMovementDirection,ModernTCN,400,128,2,13,5,4,30,15,0.5540540540540541,1939140,7.45
HandMovementDirection,ModernTCN,400,128,2,13,5,4,40,20,0.5540540540540541,1924420,7.4
HandMovementDirection,ModernTCN,400,128,2,13,5,4,60,30,0.6486486486486487,1910340,7.34
HandMovementDirection,ModernTCN,400,128,2,13,5,4,80,40,0.5405405405405406,1901380,7.31
HandMovementDirection,ModernTCN,400,128,2,13,5,4,100,50,0.5540540540540541,1897540,7.29
HandMovementDirection,ModernTCN,400,64,2,13,5,4,10,5,0.581081081081081,624356,2.42
HandMovementDirection,ModernTCN,400,64,2,13,5,4,20,10,0.5945945945945946,573476,2.23
HandMovementDirection,ModernTCN,400,64,2,13,5,4,30,15,0.5945945945945946,555876,2.16
HandMovementDirection,ModernTCN,400,64,2,13,5,4,40,20,0.5945945945945946,548516,2.13
HandMovementDirection,ModernTCN,400,64,2,13,5,4,60,30,0.5675675675675675,541476,2.11
HandMovementDirection,ModernTCN,400,64,2,13,5,4,80,40,0.5,536996,2.09
HandMovementDirection,ModernTCN,400,64,2,13,5,4,100,50,0.4864864864864865,535076,2.08
HandMovementDirection,ModernTCN,400,256,2,9,5,4,10,5,0.5540540540540541,7446404,28.49
HandMovementDirection,ModernTCN,400,256,2,9,5,4,20,10,0.581081081081081,7242884,27.72
HandMovementDirection,ModernTCN,400,256,2,9,5,4,30,15,0.581081081081081,7172484,27.45
HandMovementDirection,ModernTCN,400,256,2,9,5,4,40,20,0.5945945945945946,7143044,27.34
HandMovementDirection,ModernTCN,400,256,2,9,5,4,60,30,0.5945945945945946,7114884,27.23
HandMovementDirection,ModernTCN,400,256,2,9,5,4,80,40,0.6216216216216216,7096964,27.16
HandMovementDirection,ModernTCN,400,256,2,9,5,4,100,50,0.5540540540540541,7089284,27.13
HandMovementDirection,ModernTCN,400,128,2,9,5,4,10,5,0.5540540540540541,2068420,7.95
HandMovementDirection,ModernTCN,400,128,2,9,5,4,20,10,0.5675675675675675,1966660,7.56
HandMovementDirection,ModernTCN,400,128,2,9,5,4,30,15,0.581081081081081,1931460,7.42
HandMovementDirection,ModernTCN,400,128,2,9,5,4,40,20,0.5405405405405406,1916740,7.37
HandMovementDirection,ModernTCN,400,128,2,9,5,4,60,30,0.6486486486486487,1902660,7.31
HandMovementDirection,ModernTCN,400,128,2,9,5,4,80,40,0.581081081081081,1893700,7.28
HandMovementDirection,ModernTCN,400,128,2,9,5,4,100,50,0.6081081081081081,1889860,7.27
HandMovementDirection,ModernTCN,400,64,2,9,5,4,10,5,0.5675675675675675,620516,2.41
HandMovementDirection,ModernTCN,400,64,2,9,5,4,20,10,0.6216216216216216,569636,2.21
HandMovementDirection,ModernTCN,400,64,2,9,5,4,30,15,0.5945945945945946,552036,2.15
HandMovementDirection,ModernTCN,400,64,2,9,5,4,40,20,0.581081081081081,544676,2.12
HandMovementDirection,ModernTCN,400,64,2,9,5,4,60,30,0.5945945945945946,537636,2.09
HandMovementDirection,ModernTCN,400,64,2,9,5,4,80,40,0.5675675675675675,533156,2.07
HandMovementDirection,ModernTCN,400,64,2,9,5,4,100,50,0.581081081081081,531236,2.07
HandMovementDirection,ModernTCN,400,256,1,13,5,4,10,5,0.5540540540540541,6352644,24.29
HandMovementDirection,ModernTCN,400,256,1,13,5,4,20,10,0.581081081081081,5945604,22.74
HandMovementDirection,ModernTCN,400,256,1,13,5,4,30,15,0.6081081081081081,5804804,22.2
HandMovementDirection,ModernTCN,400,256,1,13,5,4,40,20,0.581081081081081,5745924,21.97
HandMovementDirection,ModernTCN,400,256,1,13,5,4,60,30,0.6081081081081081,5679364,21.72
HandMovementDirection,ModernTCN,400,256,1,13,5,4,80,40,0.5405405405405406,5653764,21.62
HandMovementDirection,ModernTCN,400,256,1,13,5,4,100,50,0.5405405405405406,5638404,21.56
HandMovementDirection,ModernTCN,400,128,1,13,5,4,10,5,0.5675675675675675,1865604,7.15
HandMovementDirection,ModernTCN,400,128,1,13,5,4,20,10,0.5540540540540541,1662084,6.37
HandMovementDirection,ModernTCN,400,128,1,13,5,4,30,15,0.6081081081081081,1591684,6.11
HandMovementDirection,ModernTCN,400,128,1,13,5,4,40,20,0.5945945945945946,1562244,5.99
HandMovementDirection,ModernTCN,400,128,1,13,5,4,60,30,0.5945945945945946,1528964,5.87
HandMovementDirection,ModernTCN,400,128,1,13,5,4,80,40,0.581081081081081,1516164,5.82
HandMovementDirection,ModernTCN,400,128,1,13,5,4,100,50,0.5540540540540541,1508484,5.79
HandMovementDirection,ModernTCN,400,64,1,13,5,4,10,5,0.5540540540540541,605124,2.33
HandMovementDirection,ModernTCN,400,64,1,13,5,4,20,10,0.5405405405405406,503364,1.94
HandMovementDirection,ModernTCN,400,64,1,13,5,4,30,15,0.5675675675675675,468164,1.81
HandMovementDirection,ModernTCN,400,64,1,13,5,4,40,20,0.5405405405405406,453444,1.75
HandMovementDirection,ModernTCN,400,64,1,13,5,4,60,30,0.6081081081081081,436804,1.69
HandMovementDirection,ModernTCN,400,64,1,13,5,4,80,40,0.5945945945945946,430404,1.67
HandMovementDirection,ModernTCN,400,64,1,13,5,4,100,50,0.527027027027027,426564,1.65
HandMovementDirection,ModernTCN,400,32,1,13,5,4,10,5,0.5540540540540541,220644,0.86
HandMovementDirection,ModernTCN,400,32,1,13,5,4,20,10,0.5540540540540541,169764,0.67
HandMovementDirection,ModernTCN,400,32,1,13,5,4,30,15,0.5675675675675675,152164,0.6
HandMovementDirection,ModernTCN,400,32,1,13,5,4,40,20,0.527027027027027,144804,0.57
HandMovementDirection,ModernTCN,400,32,1,13,5,4,60,30,0.5945945945945946,136484,0.54
HandMovementDirection,ModernTCN,400,32,1,13,5,4,80,40,0.5405405405405406,133284,0.53
HandMovementDirection,ModernTCN,400,32,1,13,5,4,100,50,0.5540540540540541,131364,0.52
HandMovementDirection,ModernTCN,400,128,3,13,5,2,10,5,0.5405405405405406,1136612,4.41
HandMovementDirection,ModernTCN,400,128,3,13,5,2,20,10,0.5675675675675675,1085732,4.21
HandMovementDirection,ModernTCN,400,128,3,13,5,2,30,15,0.5540540540540541,1070692,4.16
HandMovementDirection,ModernTCN,400,128,3,13,5,2,40,20,0.527027027027027,1060772,4.12
HandMovementDirection,ModernTCN,400,128,3,13,5,2,60,30,0.581081081081081,1056292,4.1
HandMovementDirection,ModernTCN,400,128,3,13,5,2,80,40,0.43243243243243246,1051812,4.08
HandMovementDirection,ModernTCN,400,128,3,13,5,2,100,50,0.5135135135135135,1047332,4.07
HandMovementDirection,ModernTCN,400,128,3,9,5,2,10,5,0.5540540540540541,1127652,4.37
HandMovementDirection,ModernTCN,400,128,3,9,5,2,20,10,0.5675675675675675,1076772,4.18
HandMovementDirection,ModernTCN,400,128,3,9,5,2,30,15,0.6081081081081081,1061732,4.12
HandMovementDirection,ModernTCN,400,128,3,9,5,2,40,20,0.527027027027027,1051812,4.08
HandMovementDirection,ModernTCN,400,128,3,9,5,2,60,30,0.5540540540540541,1047332,4.07
HandMovementDirection,ModernTCN,400,128,3,9,5,2,80,40,0.5135135135135135,1042852,4.05
HandMovementDirection,ModernTCN,400,128,3,9,5,2,100,50,0.47297297297297297,1038372,4.03
HandMovementDirection,ModernTCN,400,256,2,13,5,2,10,5,0.581081081081081,4016004,15.41
HandMovementDirection,ModernTCN,400,256,2,13,5,2,20,10,0.581081081081081,3812484,14.63
HandMovementDirection,ModernTCN,400,256,2,13,5,2,30,15,0.581081081081081,3742084,14.36
HandMovementDirection,ModernTCN,400,256,2,13,5,2,40,20,0.581081081081081,3712644,14.25
HandMovementDirection,ModernTCN,400,256,2,13,5,2,60,30,0.5945945945945946,3684484,14.14
HandMovementDirection,ModernTCN,400,256,2,13,5,2,80,40,0.6081081081081081,3666564,14.07
HandMovementDirection,ModernTCN,400,256,2,13,5,2,100,50,0.5540540540540541,3658884,14.05
HandMovementDirection,ModernTCN,400,128,2,13,5,2,10,5,0.5540540540540541,1172420,4.53
HandMovementDirection,ModernTCN,400,128,2,13,5,2,20,10,0.5540540540540541,1070660,4.14
HandMovementDirection,ModernTCN,400,128,2,13,5,2,30,15,0.5675675675675675,1035460,4.01
HandMovementDirection,ModernTCN,400,128,2,13,5,2,40,20,0.5405405405405406,1020740,3.95
HandMovementDirection,ModernTCN,400,128,2,13,5,2,60,30,0.6621621621621622,1006660,3.9
HandMovementDirection,ModernTCN,400,128,2,13,5,2,80,40,0.5405405405405406,997700,3.86
HandMovementDirection,ModernTCN,400,128,2,13,5,2,100,50,0.527027027027027,993860,3.85
HandMovementDirection,ModernTCN,400,64,2,13,5,2,10,5,0.5675675675675675,377316,1.48
HandMovementDirection,ModernTCN,400,64,2,13,5,2,20,10,0.5945945945945946,326436,1.29
HandMovementDirection,ModernTCN,400,64,2,13,5,2,30,15,0.5945945945945946,308836,1.22
HandMovementDirection,ModernTCN,400,64,2,13,5,2,40,20,0.5945945945945946,301476,1.19
HandMovementDirection,ModernTCN,400,64,2,13,5,2,60,30,0.5945945945945946,294436,1.16
HandMovementDirection,ModernTCN,400,64,2,13,5,2,80,40,0.5135135135135135,289956,1.15
HandMovementDirection,ModernTCN,400,64,2,13,5,2,100,50,0.5540540540540541,288036,1.14
HandMovementDirection,ModernTCN,400,256,2,9,5,2,10,5,0.5540540540540541,4000644,15.35
HandMovementDirection,ModernTCN,400,256,2,9,5,2,20,10,0.5405405405405406,3797124,14.57
HandMovementDirection,ModernTCN,400,256,2,9,5,2,30,15,0.581081081081081,3726724,14.3
HandMovementDirection,ModernTCN,400,256,2,9,5,2,40,20,0.581081081081081,3697284,14.19
HandMovementDirection,ModernTCN,400,256,2,9,5,2,60,30,0.6081081081081081,3669124,14.08
HandMovementDirection,ModernTCN,400,256,2,9,5,2,80,40,0.5675675675675675,3651204,14.02
HandMovementDirection,ModernTCN,400,256,2,9,5,2,100,50,0.5945945945945946,3643524,13.99
HandMovementDirection,ModernTCN,400,128,2,9,5,2,10,5,0.5945945945945946,1164740,4.5
HandMovementDirection,ModernTCN,400,128,2,9,5,2,20,10,0.5675675675675675,1062980,4.11
HandMovementDirection,ModernTCN,400,128,2,9,5,2,30,15,0.581081081081081,1027780,3.98
HandMovementDirection,ModernTCN,400,128,2,9,5,2,40,20,0.5405405405405406,1013060,3.92
HandMovementDirection,ModernTCN,400,128,2,9,5,2,60,30,0.6216216216216216,998980,3.87
HandMovementDirection,ModernTCN,400,128,2,9,5,2,80,40,0.5135135135135135,990020,3.83
HandMovementDirection,ModernTCN,400,128,2,9,5,2,100,50,0.5540540540540541,986180,3.82
HandMovementDirection,ModernTCN,400,64,2,9,5,2,10,5,0.581081081081081,373476,1.46
HandMovementDirection,ModernTCN,400,64,2,9,5,2,20,10,0.581081081081081,322596,1.27
HandMovementDirection,ModernTCN,400,64,2,9,5,2,30,15,0.581081081081081,304996,1.2
HandMovementDirection,ModernTCN,400,64,2,9,5,2,40,20,0.6216216216216216,297636,1.18
