data_name,model,seq_len,d_model,n_layers,large_kernel_size,small_kernel_size,ffn_ratio,patch_size,patch_stride,acc,model_params,model_size (MB)
Handwriting,ModernTCN,152,128,3,13,5,4,4,2,0.27647058823529413,764986,2.97
Handwriting,ModernTCN,152,128,3,13,5,4,8,4,0.2788235294117647,675258,2.62
Handwriting,ModernTCN,152,128,3,13,5,4,12,6,0.2541176470588235,645434,2.51
Handwriting,ModernTCN,152,128,3,13,5,4,16,8,0.24705882352941178,625594,2.44
Handwriting,ModernTCN,152,128,3,13,5,4,23,12,0.23647058823529413,605850,2.36
Handwriting,ModernTCN,152,128,3,13,5,4,31,16,0.24235294117647058,606106,2.36
Handwriting,ModernTCN,152,128,3,13,5,4,38,19,0.23294117647058823,596346,2.32
Handwriting,ModernTCN,152,128,3,9,5,4,4,2,0.26588235294117646,762298,2.96
Handwriting,ModernTCN,152,128,3,9,5,4,8,4,0.27294117647058824,672570,2.61
Handwriting,ModernTCN,152,128,3,9,5,4,12,6,0.24823529411764705,642746,2.5
Handwriting,ModernTCN,152,128,3,9,5,4,16,8,0.26235294117647057,622906,2.42
Handwriting,ModernTCN,152,128,3,9,5,4,23,12,0.24588235294117647,603162,2.35
Handwriting,ModernTCN,152,128,3,9,5,4,31,16,0.26,603418,2.35
Handwriting,ModernTCN,152,128,3,9,5,4,38,19,0.23647058823529413,593658,2.31
Handwriting,ModernTCN,152,256,2,13,5,4,4,2,0.2776470588235294,2857114,10.95
Handwriting,ModernTCN,152,256,2,13,5,4,8,4,0.28,2478234,9.5
Handwriting,ModernTCN,152,256,2,13,5,4,12,6,0.2564705882352941,2358938,9.05
Handwriting,ModernTCN,152,256,2,13,5,4,16,8,0.28823529411764703,2299546,8.82
Handwriting,ModernTCN,152,256,2,13,5,4,23,12,0.28705882352941176,2220570,8.52
Handwriting,ModernTCN,152,256,2,13,5,4,31,16,0.2917647058823529,2201626,8.45
Handwriting,ModernTCN,152,256,2,13,5,4,38,19,0.28941176470588237,2182554,8.37
Handwriting,ModernTCN,152,128,2,13,5,4,4,2,0.26588235294117646,920666,3.55
Handwriting,ModernTCN,152,128,2,13,5,4,8,4,0.27176470588235296,731226,2.82
Handwriting,ModernTCN,152,128,2,13,5,4,12,6,0.27294117647058824,671578,2.6
Handwriting,ModernTCN,152,128,2,13,5,4,16,8,0.2776470588235294,641882,2.48
Handwriting,ModernTCN,152,128,2,13,5,4,23,12,0.2752941176470588,602394,2.33
Handwriting,ModernTCN,152,128,2,13,5,4,31,16,0.26823529411764707,592922,2.3
Handwriting,ModernTCN,152,128,2,13,5,4,38,19,0.27058823529411763,583386,2.26
Handwriting,ModernTCN,152,64,2,13,5,4,4,2,0.2847058823529412,333370,1.3
Handwriting,ModernTCN,152,64,2,13,5,4,8,4,0.2752941176470588,238650,0.94
Handwriting,ModernTCN,152,64,2,13,5,4,12,6,0.2541176470588235,208826,0.83
Handwriting,ModernTCN,152,64,2,13,5,4,16,8,0.28705882352941176,193978,0.77
Handwriting,ModernTCN,152,64,2,13,5,4,23,12,0.2576470588235294,174234,0.69
Handwriting,ModernTCN,152,64,2,13,5,4,31,16,0.2541176470588235,169498,0.68
Handwriting,ModernTCN,152,64,2,13,5,4,38,19,0.25882352941176473,164730,0.66
Handwriting,ModernTCN,152,256,2,9,5,4,4,2,0.28352941176470586,2852506,10.93
Handwriting,ModernTCN,152,256,2,9,5,4,8,4,0.2776470588235294,2473626,9.48
Handwriting,ModernTCN,152,256,2,9,5,4,12,6,0.26,2354330,9.03
Handwriting,ModernTCN,152,256,2,9,5,4,16,8,0.28705882352941176,2294938,8.8
Handwriting,ModernTCN,152,256,2,9,5,4,23,12,0.28705882352941176,2215962,8.5
Handwriting,ModernTCN,152,256,2,9,5,4,31,16,0.28352941176470586,2197018,8.43
Handwriting,ModernTCN,152,256,2,9,5,4,38,19,0.28705882352941176,2177946,8.36
Handwriting,ModernTCN,152,128,2,9,5,4,4,2,0.2647058823529412,918362,3.54
Handwriting,ModernTCN,152,128,2,9,5,4,8,4,0.27058823529411763,728922,2.82
Handwriting,ModernTCN,152,128,2,9,5,4,12,6,0.27176470588235296,669274,2.59
Handwriting,ModernTCN,152,128,2,9,5,4,16,8,0.27647058823529413,639578,2.48
Handwriting,ModernTCN,152,128,2,9,5,4,23,12,0.2858823529411765,600090,2.32
Handwriting,ModernTCN,152,128,2,9,5,4,31,16,0.2741176470588235,590618,2.29
Handwriting,ModernTCN,152,128,2,9,5,4,38,19,0.2741176470588235,581082,2.25
Handwriting,ModernTCN,152,64,2,9,5,4,4,2,0.2823529411764706,332218,1.3
Handwriting,ModernTCN,152,64,2,9,5,4,8,4,0.2752941176470588,237498,0.94
Handwriting,ModernTCN,152,64,2,9,5,4,12,6,0.26,207674,0.82
Handwriting,ModernTCN,152,64,2,9,5,4,16,8,0.28,192826,0.77
Handwriting,ModernTCN,152,64,2,9,5,4,23,12,0.2447058823529412,173082,0.69
Handwriting,ModernTCN,152,64,2,9,5,4,31,16,0.25058823529411767,168346,0.67
Handwriting,ModernTCN,152,64,2,9,5,4,38,19,0.25529411764705884,163578,0.65
Handwriting,ModernTCN,152,256,1,13,5,4,4,2,0.2776470588235294,3135770,11.99
Handwriting,ModernTCN,152,256,1,13,5,4,8,4,0.2752941176470588,2378010,9.1
Handwriting,ModernTCN,152,256,1,13,5,4,12,6,0.2811764705882353,2119450,8.11
Handwriting,ModernTCN,152,256,1,13,5,4,16,8,0.28352941176470586,2000666,7.66
Handwriting,ModernTCN,152,256,1,13,5,4,23,12,0.29058823529411765,1862682,7.13
Handwriting,ModernTCN,152,256,1,13,5,4,31,16,0.2858823529411765,1804826,6.91
Handwriting,ModernTCN,152,256,1,13,5,4,38,19,0.2776470588235294,1786650,6.84
Handwriting,ModernTCN,152,128,1,13,5,4,4,2,0.26823529411764707,1174682,4.5
Handwriting,ModernTCN,152,128,1,13,5,4,8,4,0.26235294117647057,795802,3.06
Handwriting,ModernTCN,152,128,1,13,5,4,12,6,0.2788235294117647,666522,2.56
Handwriting,ModernTCN,152,128,1,13,5,4,16,8,0.27176470588235296,607130,2.34
Handwriting,ModernTCN,152,128,1,13,5,4,23,12,0.2811764705882353,538138,2.07
Handwriting,ModernTCN,152,128,1,13,5,4,31,16,0.2811764705882353,509210,1.96
Handwriting,ModernTCN,152,128,1,13,5,4,38,19,0.2811764705882353,500122,1.93
Handwriting,ModernTCN,152,64,1,13,5,4,4,2,0.26941176470588235,489050,1.88
Handwriting,ModernTCN,152,64,1,13,5,4,8,4,0.2741176470588235,299610,1.16
Handwriting,ModernTCN,152,64,1,13,5,4,12,6,0.2611764705882353,234970,0.91
Handwriting,ModernTCN,152,64,1,13,5,4,16,8,0.27176470588235296,205274,0.8
Handwriting,ModernTCN,152,64,1,13,5,4,23,12,0.2776470588235294,170778,0.67
Handwriting,ModernTCN,152,64,1,13,5,4,31,16,0.26823529411764707,156314,0.61
Handwriting,ModernTCN,152,64,1,13,5,4,38,19,0.26588235294117646,151770,0.6
Handwriting,ModernTCN,152,32,1,13,5,4,4,2,0.26823529411764707,219962,0.85
Handwriting,ModernTCN,152,32,1,13,5,4,8,4,0.26705882352941174,125242,0.49
Handwriting,ModernTCN,152,32,1,13,5,4,12,6,0.2576470588235294,92922,0.37
Handwriting,ModernTCN,152,32,1,13,5,4,16,8,0.27058823529411763,78074,0.31
Handwriting,ModernTCN,152,32,1,13,5,4,23,12,0.2541176470588235,60826,0.25
Handwriting,ModernTCN,152,32,1,13,5,4,31,16,0.26941176470588235,53594,0.22
Handwriting,ModernTCN,152,32,1,13,5,4,38,19,0.24352941176470588,51322,0.21
Handwriting,ModernTCN,152,128,3,13,5,2,4,2,0.2647058823529412,496186,1.94
Handwriting,ModernTCN,152,128,3,13,5,2,8,4,0.2741176470588235,406458,1.6
Handwriting,ModernTCN,152,128,3,13,5,2,12,6,0.2529411764705882,376634,1.49
Handwriting,ModernTCN,152,128,3,13,5,2,16,8,0.27058823529411763,356794,1.41
Handwriting,ModernTCN,152,128,3,13,5,2,23,12,0.24235294117647058,337050,1.33
Handwriting,ModernTCN,152,128,3,13,5,2,31,16,0.26235294117647057,337306,1.34
Handwriting,ModernTCN,152,128,3,13,5,2,38,19,0.2376470588235294,327546,1.3
Handwriting,ModernTCN,152,128,3,9,5,2,4,2,0.26941176470588235,493498,1.93
Handwriting,ModernTCN,152,128,3,9,5,2,8,4,0.2811764705882353,403770,1.59
Handwriting,ModernTCN,152,128,3,9,5,2,12,6,0.24705882352941178,373946,1.48
Handwriting,ModernTCN,152,128,3,9,5,2,16,8,0.27176470588235296,354106,1.4
Handwriting,ModernTCN,152,128,3,9,5,2,23,12,0.2541176470588235,334362,1.32
Handwriting,ModernTCN,152,128,3,9,5,2,31,16,0.2447058823529412,334618,1.33
Handwriting,ModernTCN,152,128,3,9,5,2,38,19,0.2235294117647059,324858,1.29
Handwriting,ModernTCN,152,256,2,13,5,2,4,2,0.2847058823529412,1855642,7.13
Handwriting,ModernTCN,152,256,2,13,5,2,8,4,0.2858823529411765,1476762,5.68
Handwriting,ModernTCN,152,256,2,13,5,2,12,6,0.2576470588235294,1357466,5.23
Handwriting,ModernTCN,152,256,2,13,5,2,16,8,0.28941176470588237,1298074,5.0
Handwriting,ModernTCN,152,256,2,13,5,2,23,12,0.2823529411764706,1219098,4.7
Handwriting,ModernTCN,152,256,2,13,5,2,31,16,0.2776470588235294,1200154,4.63
Handwriting,ModernTCN,152,256,2,13,5,2,38,19,0.28823529411764703,1181082,4.55
Handwriting,ModernTCN,152,128,2,13,5,2,4,2,0.2752941176470588,665690,2.57
Handwriting,ModernTCN,152,128,2,13,5,2,8,4,0.2788235294117647,476250,1.85
Handwriting,ModernTCN,152,128,2,13,5,2,12,6,0.27294117647058824,416602,1.62
Handwriting,ModernTCN,152,128,2,13,5,2,16,8,0.28823529411764703,386906,1.51
Handwriting,ModernTCN,152,128,2,13,5,2,23,12,0.28705882352941176,347418,1.36
Handwriting,ModernTCN,152,128,2,13,5,2,31,16,0.2823529411764706,337946,1.32
Handwriting,ModernTCN,152,128,2,13,5,2,38,19,0.27176470588235296,328410,1.29
Handwriting,ModernTCN,152,64,2,13,5,2,4,2,0.30117647058823527,267322,1.05
Handwriting,ModernTCN,152,64,2,13,5,2,8,4,0.2811764705882353,172602,0.69
Handwriting,ModernTCN,152,64,2,13,5,2,12,6,0.25176470588235295,142778,0.57
Handwriting,ModernTCN,152,64,2,13,5,2,16,8,0.2752941176470588,127930,0.52
Handwriting,ModernTCN,152,64,2,13,5,2,23,12,0.2752941176470588,108186,0.44
Handwriting,ModernTCN,152,64,2,13,5,2,31,16,0.26588235294117646,103450,0.42
Handwriting,ModernTCN,152,64,2,13,5,2,38,19,0.2647058823529412,98682,0.41
Handwriting,ModernTCN,152,256,2,9,5,2,4,2,0.2776470588235294,1851034,7.11
Handwriting,ModernTCN,152,256,2,9,5,2,8,4,0.27294117647058824,1472154,5.66
Handwriting,ModernTCN,152,256,2,9,5,2,12,6,0.2564705882352941,1352858,5.21
Handwriting,ModernTCN,152,256,2,9,5,2,16,8,0.28,1293466,4.98
Handwriting,ModernTCN,152,256,2,9,5,2,23,12,0.29058823529411765,1214490,4.68
Handwriting,ModernTCN,152,256,2,9,5,2,31,16,0.29764705882352943,1195546,4.61
Handwriting,ModernTCN,152,256,2,9,5,2,38,19,0.3,1176474,4.53
Handwriting,ModernTCN,152,128,2,9,5,2,4,2,0.27647058823529413,663386,2.57
Handwriting,ModernTCN,152,128,2,9,5,2,8,4,0.2741176470588235,473946,1.84
Handwriting,ModernTCN,152,128,2,9,5,2,12,6,0.2576470588235294,414298,1.62
Handwriting,ModernTCN,152,128,2,9,5,2,16,8,0.27647058823529413,384602,1.5
Handwriting,ModernTCN,152,128,2,9,5,2,23,12,0.2788235294117647,345114,1.35
Handwriting,ModernTCN,152,128,2,9,5,2,31,16,0.27647058823529413,335642,1.32
Handwriting,ModernTCN,152,128,2,9,5,2,38,19,0.27058823529411763,326106,1.28
Handwriting,ModernTCN,152,64,2,9,5,2,4,2,0.2788235294117647,266170,1.05
Handwriting,ModernTCN,152,64,2,9,5,2,8,4,0.2823529411764706,171450,0.68
Handwriting,ModernTCN,152,64,2,9,5,2,12,6,0.2647058823529412,141626,0.57
Handwriting,ModernTCN,152,64,2,9,5,2,16,8,0.28941176470588237,126778,0.51
Handwriting,ModernTCN,152,64,2,9,5,2,23,12,0.25176470588235295,107034,0.44
Handwriting,ModernTCN,152,64,2,9,5,2,31,16,0.2447058823529412,102298,0.42
Handwriting,ModernTCN,152,64,2,9,5,2,38,19,0.2529411764705882,97530,0.4
Handwriting,ModernTCN,152,256,1,13,5,2,4,2,0.27176470588235296,2337050,8.94
Handwriting,ModernTCN,152,256,1,13,5,2,8,4,0.26941176470588235,1579290,6.05
Handwriting,ModernTCN,152,256,1,13,5,2,12,6,0.27647058823529413,1320730,5.07
Handwriting,ModernTCN,152,256,1,13,5,2,16,8,0.29058823529411765,1201946,4.61
Handwriting,ModernTCN,152,256,1,13,5,2,23,12,0.29411764705882354,1063962,4.09
Handwriting,ModernTCN,152,256,1,13,5,2,31,16,0.2823529411764706,1006106,3.87
Handwriting,ModernTCN,152,256,1,13,5,2,38,19,0.2823529411764706,987930,3.8
Handwriting,ModernTCN,152,128,1,13,5,2,4,2,0.2752941176470588,971930,3.73
Handwriting,ModernTCN,152,128,1,13,5,2,8,4,0.2741176470588235,593050,2.28
Handwriting,ModernTCN,152,128,1,13,5,2,12,6,0.2635294117647059,463770,1.79
Handwriting,ModernTCN,152,128,1,13,5,2,16,8,0.26941176470588235,404378,1.56
Handwriting,ModernTCN,152,128,1,13,5,2,23,12,0.28,335386,1.3
