data_name,model,seq_len,d_model,n_layers,large_kernel_size,small_kernel_size,ffn_ratio,patch_size,patch_stride,acc,model_params,model_size (MB)
Heartbeat,ModernTCN,405,128,3,13,5,4,11,6,0.7317073170731707,17886466,68.48
Heartbeat,ModernTCN,405,128,3,13,5,4,21,11,0.7414634146341463,17761858,68.0
Heartbeat,ModernTCN,405,128,3,13,5,4,31,16,0.751219512195122,17730946,67.89
Heartbeat,ModernTCN,405,128,3,13,5,4,41,21,0.751219512195122,17700034,67.77
Heartbeat,ModernTCN,405,128,3,13,5,4,61,31,0.7609756097560976,17685058,67.71
Heartbeat,ModernTCN,405,128,3,13,5,4,81,41,0.7365853658536585,17670082,67.65
Heartbeat,ModernTCN,405,128,3,13,5,4,102,51,0.7560975609756098,17655138,67.6
Heartbeat,ModernTCN,405,128,3,9,5,4,11,6,0.7560975609756098,17831810,68.27
Heartbeat,ModernTCN,405,128,3,9,5,4,21,11,0.751219512195122,17707202,67.79
Heartbeat,ModernTCN,405,128,3,9,5,4,31,16,0.7414634146341463,17676290,67.68
Heartbeat,ModernTCN,405,128,3,9,5,4,41,21,0.7414634146341463,17645378,67.56
Heartbeat,ModernTCN,405,128,3,9,5,4,61,31,0.751219512195122,17630402,67.5
Heartbeat,ModernTCN,405,128,3,9,5,4,81,41,0.7414634146341463,17615426,67.44
Heartbeat,ModernTCN,405,128,3,9,5,4,102,51,0.751219512195122,17600482,67.39
Heartbeat,ModernTCN,405,256,2,13,5,4,11,6,0.7463414634146341,53287938,203.66
Heartbeat,ModernTCN,405,256,2,13,5,4,21,11,0.7365853658536585,52789506,201.76
Heartbeat,ModernTCN,405,256,2,13,5,4,31,16,0.7463414634146341,52634626,201.17
Heartbeat,ModernTCN,405,256,2,13,5,4,41,21,0.751219512195122,52542210,200.82
Heartbeat,ModernTCN,405,256,2,13,5,4,61,31,0.7414634146341463,52451074,200.47
Heartbeat,ModernTCN,405,256,2,13,5,4,81,41,0.7463414634146341,52391170,200.24
Heartbeat,ModernTCN,405,256,2,13,5,4,102,51,0.7560975609756098,52362626,200.13
Heartbeat,ModernTCN,405,128,2,13,5,4,11,6,0.7317073170731707,16633346,63.66
Heartbeat,ModernTCN,405,128,2,13,5,4,21,11,0.7365853658536585,16384130,62.71
Heartbeat,ModernTCN,405,128,2,13,5,4,31,16,0.7414634146341463,16306690,62.41
Heartbeat,ModernTCN,405,128,2,13,5,4,41,21,0.7414634146341463,16260482,62.23
Heartbeat,ModernTCN,405,128,2,13,5,4,61,31,0.751219512195122,16214914,62.06
