data_name,model,seq_len,d_model,n_layers,large_kernel_size,small_kernel_size,ffn_ratio,patch_size,patch_stride,acc,model_params,model_size (MB)
InsectWingbeat,ModernTCN,22,128,3,13,5,4,1,1,0.71412,109077450,416.82
InsectWingbeat,ModernTCN,22,128,3,13,5,4,2,1,0.72228,109077482,416.82
InsectWingbeat,ModernTCN,22,128,3,13,5,4,3,2,0.70876,108309514,413.89
InsectWingbeat,ModernTCN,22,128,3,13,5,4,4,2,0.70464,108309546,413.89
InsectWingbeat,ModernTCN,22,128,3,13,5,4,5,3,0.69876,108053578,412.91
InsectWingbeat,ModernTCN,22,128,3,13,5,4,6,3,0.70808,108053610,412.91
InsectWingbeat,ModernTCN,22,128,3,9,5,4,1,1,0.71436,108898250,416.14
InsectWingbeat,ModernTCN,22,128,3,9,5,4,2,1,0.72532,108898282,416.14
InsectWingbeat,ModernTCN,22,128,3,9,5,4,3,2,0.71068,108130314,413.21
InsectWingbeat,ModernTCN,22,128,3,9,5,4,4,2,0.70612,108130346,413.21
InsectWingbeat,ModernTCN,22,128,3,9,5,4,5,3,0.70792,107874378,412.23
InsectWingbeat,ModernTCN,22,128,3,9,5,4,6,3,0.68912,107874410,412.23
InsectWingbeat,ModernTCN,22,256,2,13,5,4,1,1,0.75132,262108938,1001.07
InsectWingbeat,ModernTCN,22,256,2,13,5,4,2,1,0.74828,262109066,1001.07
InsectWingbeat,ModernTCN,22,256,2,13,5,4,3,2,0.73644,259549194,991.3
InsectWingbeat,ModernTCN,22,256,2,13,5,4,4,2,0.73676,259549322,991.3
InsectWingbeat,ModernTCN,22,256,2,13,5,4,5,3,0.7262,258525450,987.4
InsectWingbeat,ModernTCN,22,256,2,13,5,4,6,3,0.71988,258525578,987.4
InsectWingbeat,ModernTCN,22,128,2,13,5,4,1,1,0.69948,98270090,375.48
InsectWingbeat,ModernTCN,22,128,2,13,5,4,2,1,0.72396,98270154,375.48
InsectWingbeat,ModernTCN,22,128,2,13,5,4,3,2,0.69368,96990218,370.6
InsectWingbeat,ModernTCN,22,128,2,13,5,4,4,2,0.70952,96990282,370.6
InsectWingbeat,ModernTCN,22,128,2,13,5,4,5,3,0.67928,96478346,368.65
InsectWingbeat,ModernTCN,22,128,2,13,5,4,6,3,0.69432,96478410,368.65
InsectWingbeat,ModernTCN,22,64,2,13,5,4,1,1,0.70296,40938954,156.49
InsectWingbeat,ModernTCN,22,64,2,13,5,4,2,1,0.70624,40938986,156.49
InsectWingbeat,ModernTCN,22,64,2,13,5,4,3,2,0.69324,40299018,154.05
InsectWingbeat,ModernTCN,22,64,2,13,5,4,4,2,0.68948,40299050,154.05
InsectWingbeat,ModernTCN,22,64,2,13,5,4,5,3,0.67892,40043082,153.07
InsectWingbeat,ModernTCN,22,64,2,13,5,4,6,3,0.67488,40043114,153.07
InsectWingbeat,ModernTCN,22,256,2,9,5,4,1,1,0.75356,261801738,999.9
InsectWingbeat,ModernTCN,22,256,2,9,5,4,2,1,0.75588,261801866,999.9
InsectWingbeat,ModernTCN,22,256,2,9,5,4,3,2,0.7408,259241994,990.13
InsectWingbeat,ModernTCN,22,256,2,9,5,4,4,2,0.68776,259242122,990.13
InsectWingbeat,ModernTCN,22,256,2,9,5,4,5,3,0.72488,258218250,986.23
InsectWingbeat,ModernTCN,22,256,2,9,5,4,6,3,0.73328,258218378,986.23
InsectWingbeat,ModernTCN,22,128,2,9,5,4,1,1,0.72484,98116490,374.9
InsectWingbeat,ModernTCN,22,128,2,9,5,4,2,1,0.7272,98116554,374.9
InsectWingbeat,ModernTCN,22,128,2,9,5,4,3,2,0.71452,96836618,370.02
InsectWingbeat,ModernTCN,22,128,2,9,5,4,4,2,0.69056,96836682,370.02
InsectWingbeat,ModernTCN,22,128,2,9,5,4,5,3,0.67416,96324746,368.06
InsectWingbeat,ModernTCN,22,128,2,9,5,4,6,3,0.68884,96324810,368.06
InsectWingbeat,ModernTCN,22,64,2,9,5,4,1,1,0.70292,40862154,156.2
InsectWingbeat,ModernTCN,22,64,2,9,5,4,2,1,0.71604,40862186,156.2
InsectWingbeat,ModernTCN,22,64,2,9,5,4,3,2,0.70064,40222218,153.75
InsectWingbeat,ModernTCN,22,64,2,9,5,4,4,2,0.69016,40222250,153.75
InsectWingbeat,ModernTCN,22,64,2,9,5,4,5,3,0.6826,39966282,152.78
