data_name,model,seq_len,d_model,n_layers,large_kernel_size,small_kernel_size,ffn_ratio,patch_size,patch_stride,acc,model_params,model_size (MB)
LSST,ModernTCN,36,128,3,13,5,4,1,1,0.38321167883211676,1257934,4.86
LSST,ModernTCN,36,128,3,13,5,4,2,1,0.402676399026764,1257966,4.86
LSST,ModernTCN,36,128,3,13,5,4,3,2,0.38523925385239255,1214990,4.69
LSST,ModernTCN,36,128,3,13,5,4,4,2,0.3515815085158151,1215022,4.69
LSST,ModernTCN,36,128,3,13,5,4,6,3,0.3771289537712895,1193582,4.61
LSST,ModernTCN,36,128,3,13,5,4,8,4,0.3746958637469586,1193646,4.61
LSST,ModernTCN,36,128,3,13,5,4,9,5,0.354014598540146,1182926,4.57
LSST,ModernTCN,36,128,3,9,5,4,1,1,0.4083536090835361,1252558,4.84
LSST,ModernTCN,36,128,3,9,5,4,2,1,0.39456609894566097,1252590,4.84
LSST,ModernTCN,36,128,3,9,5,4,3,2,0.3795620437956204,1209614,4.67
LSST,ModernTCN,36,128,3,9,5,4,4,2,0.37631792376317924,1209646,4.67
LSST,ModernTCN,36,128,3,9,5,4,6,3,0.35523114355231145,1188206,4.59
LSST,ModernTCN,36,128,3,9,5,4,8,4,0.3499594484995945,1188270,4.59
LSST,ModernTCN,36,128,3,9,5,4,9,5,0.36496350364963503,1177550,4.55
LSST,ModernTCN,36,256,2,13,5,4,1,1,0.39902676399026765,4570894,17.5
LSST,ModernTCN,36,256,2,13,5,4,2,1,0.35928629359286296,4571022,17.5
LSST,ModernTCN,36,256,2,13,5,4,3,2,0.38564476885644766,4377614,16.76
LSST,ModernTCN,36,256,2,13,5,4,4,2,0.39902676399026765,4377742,16.76
LSST,ModernTCN,36,256,2,13,5,4,6,3,0.3978102189781022,4313486,16.52
LSST,ModernTCN,36,256,2,13,5,4,8,4,0.3584752635847526,4292238,16.44
LSST,ModernTCN,36,256,2,13,5,4,9,5,0.36739659367396593,4270862,16.36
