data_name,model,seq_len,d_model,n_layers,large_kernel_size,small_kernel_size,ffn_ratio,patch_size,patch_stride,acc,model_params,model_size (MB)
PhonemeSpectra,ModernTCN,217,128,3,13,5,4,6,3,0.12943632567849686,3198087,12.28
PhonemeSpectra,ModernTCN,217,128,3,13,5,4,11,6,0.1258574410975246,2704039,10.39
PhonemeSpectra,ModernTCN,217,128,3,13,5,4,17,9,0.12496271995228155,2539495,9.76
PhonemeSpectra,ModernTCN,217,128,3,13,5,4,22,11,0.1306292872054876,2484743,9.55
PhonemeSpectra,ModernTCN,217,128,3,13,5,4,33,17,0.12138383537130927,2375271,9.14
PhonemeSpectra,ModernTCN,217,128,3,13,5,4,44,22,0.11333134506412168,2375623,9.14
PhonemeSpectra,ModernTCN,217,128,3,13,5,4,55,28,0.11392782582761705,2321063,8.93
PhonemeSpectra,ModernTCN,217,128,3,9,5,4,6,3,0.12436623918878616,3188231,12.24
PhonemeSpectra,ModernTCN,217,128,3,9,5,4,11,6,0.13301521025946914,2694183,10.35
PhonemeSpectra,ModernTCN,217,128,3,9,5,4,17,9,0.1258574410975246,2529639,9.73
PhonemeSpectra,ModernTCN,217,128,3,9,5,4,22,11,0.12436623918878616,2474887,9.52
PhonemeSpectra,ModernTCN,217,128,3,9,5,4,33,17,0.11989263346257083,2365415,9.1
PhonemeSpectra,ModernTCN,217,128,3,9,5,4,44,22,0.11840143155383238,2365767,9.1
PhonemeSpectra,ModernTCN,217,128,3,9,5,4,55,28,0.1181031911720847,2311207,8.89
PhonemeSpectra,ModernTCN,217,256,2,13,5,4,6,3,0.12526096033402923,11737511,44.87
PhonemeSpectra,ModernTCN,217,256,2,13,5,4,11,6,0.12138383537130927,9761319,37.33
PhonemeSpectra,ModernTCN,217,256,2,13,5,4,17,9,0.1315240083507307,9103143,34.82
PhonemeSpectra,ModernTCN,217,256,2,13,5,4,22,11,0.12406799880703848,8884135,33.98
PhonemeSpectra,ModernTCN,217,256,2,13,5,4,33,17,0.1234715180435431,8446247,32.31
PhonemeSpectra,ModernTCN,217,256,2,13,5,4,44,22,0.12257679689830003,8337831,31.9
PhonemeSpectra,ModernTCN,217,256,2,13,5,4,55,28,0.1258574410975246,8229415,31.49
PhonemeSpectra,ModernTCN,217,128,2,13,5,4,6,3,0.12048911422606622,4050151,15.51
PhonemeSpectra,ModernTCN,217,128,2,13,5,4,11,6,0.12376975842529078,3062055,11.74
PhonemeSpectra,ModernTCN,217,128,2,13,5,4,17,9,0.12227855651655234,2732967,10.48
PhonemeSpectra,ModernTCN,217,128,2,13,5,4,22,11,0.12406799880703848,2623463,10.07
PhonemeSpectra,ModernTCN,217,128,2,13,5,4,33,17,0.12138383537130927,2404519,9.23
PhonemeSpectra,ModernTCN,217,128,2,13,5,4,44,22,0.1258574410975246,2350311,9.02
PhonemeSpectra,ModernTCN,217,128,2,13,5,4,55,28,0.12496271995228155,2296103,8.82
PhonemeSpectra,ModernTCN,217,64,2,13,5,4,6,3,0.12555920071577692,1570439,6.03
PhonemeSpectra,ModernTCN,217,64,2,13,5,4,11,6,0.12198031613480466,1076391,4.15
PhonemeSpectra,ModernTCN,217,64,2,13,5,4,17,9,0.12973456606024455,911847,3.52
PhonemeSpectra,ModernTCN,217,64,2,13,5,4,22,11,0.12794512376975842,857095,3.31
PhonemeSpectra,ModernTCN,217,64,2,13,5,4,33,17,0.12227855651655234,747623,2.89
PhonemeSpectra,ModernTCN,217,64,2,13,5,4,44,22,0.11691022964509394,720519,2.79
PhonemeSpectra,ModernTCN,217,64,2,13,5,4,55,28,0.1258574410975246,693415,2.69
PhonemeSpectra,ModernTCN,217,256,2,9,5,4,6,3,0.11720847002684164,11720615,44.8
PhonemeSpectra,ModernTCN,217,256,2,9,5,4,11,6,0.12496271995228155,9744423,37.27
PhonemeSpectra,ModernTCN,217,256,2,9,5,4,17,9,0.12287503728004771,9086247,34.75
PhonemeSpectra,ModernTCN,217,256,2,9,5,4,22,11,0.13301521025946914,8867239,33.92
PhonemeSpectra,ModernTCN,217,256,2,9,5,4,33,17,0.12645392186101997,8429351,32.25
PhonemeSpectra,ModernTCN,217,256,2,9,5,4,44,22,0.131225767968983,8320935,31.84
PhonemeSpectra,ModernTCN,217,256,2,9,5,4,55,28,0.11989263346257083,8212519,31.42
PhonemeSpectra,ModernTCN,217,128,2,9,5,4,6,3,0.12555920071577692,4041703,15.48
PhonemeSpectra,ModernTCN,217,128,2,9,5,4,11,6,0.1285416045332538,3053607,11.71
PhonemeSpectra,ModernTCN,217,128,2,9,5,4,17,9,0.1285416045332538,2724519,10.45
PhonemeSpectra,ModernTCN,217,128,2,9,5,4,22,11,0.12705040262451536,2615015,10.03
PhonemeSpectra,ModernTCN,217,128,2,9,5,4,33,17,0.12108559498956159,2396071,9.2
PhonemeSpectra,ModernTCN,217,128,2,9,5,4,44,22,0.12019087384431852,2341863,8.99
PhonemeSpectra,ModernTCN,217,128,2,9,5,4,55,28,0.11631374888159857,2287655,8.79
PhonemeSpectra,ModernTCN,217,64,2,9,5,4,6,3,0.12615568147927228,1566215,6.02
PhonemeSpectra,ModernTCN,217,64,2,9,5,4,11,6,0.12734864300626306,1072167,4.13
PhonemeSpectra,ModernTCN,217,64,2,9,5,4,17,9,0.12615568147927228,907623,3.5
PhonemeSpectra,ModernTCN,217,64,2,9,5,4,22,11,0.13480465254995527,852871,3.3
PhonemeSpectra,ModernTCN,217,64,2,9,5,4,33,17,0.11989263346257083,743399,2.88
PhonemeSpectra,ModernTCN,217,64,2,9,5,4,44,22,0.13003280644199225,716295,2.77
PhonemeSpectra,ModernTCN,217,64,2,9,5,4,55,28,0.12138383537130927,689191,2.67
PhonemeSpectra,ModernTCN,217,256,1,13,5,4,6,3,0.11899791231732777,14015271,53.52
PhonemeSpectra,ModernTCN,217,256,1,13,5,4,11,6,0.12436623918878616,10062887,38.45
PhonemeSpectra,ModernTCN,217,256,1,13,5,4,17,9,0.12615568147927228,8746535,33.43
PhonemeSpectra,ModernTCN,217,256,1,13,5,4,22,11,0.1207873546078139,8198695,31.34
PhonemeSpectra,ModernTCN,217,256,1,13,5,4,33,17,0.12048911422606622,7432743,28.41
PhonemeSpectra,ModernTCN,217,256,1,13,5,4,44,22,0.12496271995228155,7106087,27.17
PhonemeSpectra,ModernTCN,217,256,1,13,5,4,55,28,0.12257679689830003,6889255,26.34
PhonemeSpectra,ModernTCN,217,128,1,13,5,4,6,3,0.11601550849985089,5565863,21.27
PhonemeSpectra,ModernTCN,217,128,1,13,5,4,11,6,0.131225767968983,3589671,13.73
PhonemeSpectra,ModernTCN,217,128,1,13,5,4,17,9,0.12794512376975842,2931495,11.22
PhonemeSpectra,ModernTCN,217,128,1,13,5,4,22,11,0.12734864300626306,2657575,10.17
PhonemeSpectra,ModernTCN,217,128,1,13,5,4,33,17,0.12675216224276767,2274599,8.71
PhonemeSpectra,ModernTCN,217,128,1,13,5,4,44,22,0.12168207575305696,2111271,8.09
PhonemeSpectra,ModernTCN,217,128,1,13,5,4,55,28,0.1207873546078139,2002855,7.68
PhonemeSpectra,ModernTCN,217,64,1,13,5,4,6,3,0.12406799880703848,2422503,9.27
PhonemeSpectra,ModernTCN,217,64,1,13,5,4,11,6,0.12675216224276767,1434407,5.5
PhonemeSpectra,ModernTCN,217,64,1,13,5,4,17,9,0.13241872949597375,1105319,4.24
PhonemeSpectra,ModernTCN,217,64,1,13,5,4,22,11,0.1258574410975246,968359,3.72
PhonemeSpectra,ModernTCN,217,64,1,13,5,4,33,17,0.12466447957053385,776871,2.99
PhonemeSpectra,ModernTCN,217,64,1,13,5,4,44,22,0.1234715180435431,695207,2.68
PhonemeSpectra,ModernTCN,217,64,1,13,5,4,55,28,0.11959439308082315,640999,2.47
PhonemeSpectra,ModernTCN,217,32,1,13,5,4,6,3,0.12943632567849686,1121159,4.3
PhonemeSpectra,ModernTCN,217,32,1,13,5,4,11,6,0.12376975842529078,627111,2.41
PhonemeSpectra,ModernTCN,217,32,1,13,5,4,17,9,0.13689233522218908,462567,1.78
PhonemeSpectra,ModernTCN,217,32,1,13,5,4,22,11,0.1288398449150015,394087,1.52
PhonemeSpectra,ModernTCN,217,32,1,13,5,4,33,17,0.12257679689830003,298343,1.16
PhonemeSpectra,ModernTCN,217,32,1,13,5,4,44,22,0.12168207575305696,257511,1.0
PhonemeSpectra,ModernTCN,217,32,1,13,5,4,55,28,0.12496271995228155,230407,0.9
PhonemeSpectra,ModernTCN,217,128,3,13,5,2,6,3,0.12436623918878616,2133639,8.22
PhonemeSpectra,ModernTCN,217,128,3,13,5,2,11,6,0.12168207575305696,1639591,6.33
PhonemeSpectra,ModernTCN,217,128,3,13,5,2,17,9,0.13241872949597375,1475047,5.7
PhonemeSpectra,ModernTCN,217,128,3,13,5,2,22,11,0.13003280644199225,1420295,5.49
PhonemeSpectra,ModernTCN,217,128,3,13,5,2,33,17,0.1181031911720847,1310823,5.08
PhonemeSpectra,ModernTCN,217,128,3,13,5,2,44,22,0.1127348643006263,1311175,5.08
PhonemeSpectra,ModernTCN,217,128,3,13,5,2,55,28,0.1103489412466448,1256615,4.87
PhonemeSpectra,ModernTCN,217,128,3,9,5,2,6,3,0.12764688338801072,2123783,8.18
PhonemeSpectra,ModernTCN,217,128,3,9,5,2,11,6,0.12734864300626306,1629735,6.29
PhonemeSpectra,ModernTCN,217,128,3,9,5,2,17,9,0.1318222487324784,1465191,5.67
PhonemeSpectra,ModernTCN,217,128,3,9,5,2,22,11,0.12466447957053385,1410439,5.46
PhonemeSpectra,ModernTCN,217,128,3,9,5,2,33,17,0.11631374888159857,1300967,5.04
PhonemeSpectra,ModernTCN,217,128,3,9,5,2,44,22,0.1154190277363555,1301319,5.04
PhonemeSpectra,ModernTCN,217,128,3,9,5,2,55,28,0.1154190277363555,1246759,4.83
PhonemeSpectra,ModernTCN,217,256,2,13,5,2,6,3,0.12675216224276767,7930279,30.35
PhonemeSpectra,ModernTCN,217,256,2,13,5,2,11,6,0.12019087384431852,5954087,22.81
PhonemeSpectra,ModernTCN,217,256,2,13,5,2,17,9,0.13212048911422605,5295911,20.3
PhonemeSpectra,ModernTCN,217,256,2,13,5,2,22,11,0.12406799880703848,5076903,19.46
PhonemeSpectra,ModernTCN,217,256,2,13,5,2,33,17,0.12705040262451536,4639015,17.79
PhonemeSpectra,ModernTCN,217,256,2,13,5,2,44,22,0.12048911422606622,4530599,17.38
PhonemeSpectra,ModernTCN,217,256,2,13,5,2,55,28,0.1154190277363555,4422183,16.96
PhonemeSpectra,ModernTCN,217,128,2,13,5,2,6,3,0.12198031613480466,3047655,11.68
PhonemeSpectra,ModernTCN,217,128,2,13,5,2,11,6,0.12764688338801072,2059559,7.92
PhonemeSpectra,ModernTCN,217,128,2,13,5,2,17,9,0.1258574410975246,1730471,6.66
PhonemeSpectra,ModernTCN,217,128,2,13,5,2,22,11,0.12675216224276767,1620967,6.24
PhonemeSpectra,ModernTCN,217,128,2,13,5,2,33,17,0.12108559498956159,1402023,5.41
PhonemeSpectra,ModernTCN,217,128,2,13,5,2,44,22,0.11869967193558008,1347815,5.2
PhonemeSpectra,ModernTCN,217,128,2,13,5,2,55,28,0.11989263346257083,1293607,4.99
PhonemeSpectra,ModernTCN,217,64,2,13,5,2,6,3,0.12406799880703848,1294471,4.98
PhonemeSpectra,ModernTCN,217,64,2,13,5,2,11,6,0.1282433641515061,800423,3.1
